"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.339694341,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.014142649,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.375455057,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.311630082,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.281701518,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.153851888,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.136144877,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.088439802,"P"
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.497127843,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.649124817,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.607538848,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.393353994,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.279320053,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.027382636,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.328123983,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.167527946,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.756734557,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-2.278947744,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",6.211608107,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-7.600387833,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.314675727,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.58498745,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.552374299,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.138397435,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.497283852,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.017259139,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.882513084,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-19.039337959,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",16.131886707,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.975470496,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q1",2.409699061,
