location,covid_sum
Afghanistan,1429.9190000000003
Africa,2876.8540000000003
Albania,35904.85300000001
Algeria,2564.6110000000012
Andorra,139455.10999999993
Angola,627.9970000000001
Anguilla,0.0
Antigua and Barbuda,6596.694000000001
Argentina,46141.72
Armenia,57688.660999999986
Asia,5153.076000000003
Australia,1135.1769999999997
Austria,50006.225
Azerbaijan,23043.696999999996
Bahamas,21604.689000000024
Bahrain,70439.11100000003
Bangladesh,3306.488000000001
Barbados,10115.855000000003
Belarus,29812.410000000018
Belgium,65645.759
Belize,30861.049999999985
Benin,448.2280000000001
Bermuda,0.0
Bhutan,1123.631000000001
Bolivia,21050.142000000003
Bosnia and Herzegovina,39549.01199999999
Botswana,11788.017000000002
Brazil,48572.12499999999
Brunei,422.87999999999994
Bulgaria,34845.78900000001
Burkina Faso,568.6759999999999
Burundi,173.99200000000008
Cambodia,41.700999999999965
Cameroon,1271.3519999999999
Canada,22795.405000000002
Cape Verde,27268.572000000004
Cayman Islands,0.0
Central African Republic,1036.0719999999992
Chad,237.69400000000002
Chile,42261.10200000003
China,69.67700000000006
Colombia,43974.364
Comoros,4069.7179999999994
Congo,1598.3780000000002
Costa Rica,39947.284000000014
Cote d'Ivoire,1224.3030000000003
Croatia,58716.74799999998
Cuba,4140.339000000001
Cyprus,38486.17200000002
Czechia,110594.26899999993
Democratic Republic of Congo,280.744
Denmark,36215.41099999999
Djibouti,6125.466000000005
Dominica,1958.5850000000005
Dominican Republic,21836.74300000001
Ecuador,15801.048999999997
Egypt,1759.440000000001
El Salvador,9132.464000000002
Equatorial Guinea,4171.111
Eritrea,786.4359999999999
Estonia,45588.56600000001
Eswatini,14564.321999999998
Ethiopia,1350.281
Europe,45056.05999999998
European Union,49508.146000000015
Faeroe Islands,0.0
Falkland Islands,0.0
Fiji,63.595000000000006
Finland,9948.530999999997
France,57007.21
Gabon,6395.204
Gambia,1920.0129999999979
Georgia,67542.27500000004
Germany,28836.515000000003
Ghana,2614.66
Gibraltar,0.0
Greece,17718.984999999993
Greenland,0.0
Grenada,1315.3279999999997
Guatemala,9643.231000000003
Guernsey,0.0
Guinea,1193.9659999999997
Guinea-Bissau,1611.2819999999997
Guyana,10751.888000000006
Haiti,1083.2659999999996
Honduras,16910.71900000002
Hong Kong,0.0
Hungary,42454.888000000035
Iceland,17725.994000000006
India,8004.980999999998
Indonesia,4775.239999999998
International,0.0
Iran,19035.822000000004
Iraq,16913.122000000003
Ireland,43914.33100000001
Isle of Man,0.0
Israel,88238.96599999999
Italy,47113.42499999998
Jamaica,7435.931999999996
Japan,3381.8950000000023
Jersey,0.0
Jordan,36894.602999999996
Kazakhstan,13819.148000000016
Kenya,1948.6170000000002
Kosovo,34959.59900000001
Kuwait,43789.307999999975
Kyrgyzstan,13185.544999999993
Laos,6.179
Latvia,44239.675000000025
Lebanon,53161.40699999998
Lesotho,4885.981000000001
Liberia,395.8319999999992
Libya,19102.97599999999
Liechtenstein,66942.85800000004
Lithuania,71807.53099999997
Luxembourg,87348.41499999998
Macao,0.0
Madagascar,716.1499999999997
Malawi,1635.9220000000005
Malaysia,9014.828999999998
Maldives,35449.634000000005
Mali,411.4420000000003
Malta,48765.79200000001
Marshall Islands,67.574
Mauritania,3690.1649999999986
Mauritius,479.64299999999974
Mexico,15984.366
Micronesia (country),8.694
Moldova,44658.31999999999
Monaco,48822.74699999998
Mongolia,854.391
Montenegro,117204.98799999987
Morocco,13062.057999999999
Mozambique,1821.1349999999995
Myanmar,2606.445
Namibia,14945.796999999999
Nepal,9395.665
Netherlands,63244.47500000005
New Zealand,491.0410000000013
Nicaragua,972.897
Niger,195.81199999999993
Nigeria,746.2920000000004
North America,54992.50000000002
North Macedonia,48302.29400000001
Northern Cyprus,0.0
Norway,12817.911999999993
Oceania,762.4010000000002
Oman,27474.134999999995
Pakistan,2607.339000000002
Palestine,34846.77800000002
Panama,78498.08900000007
Papua New Guinea,127.31699999999998
Paraguay,21717.967000000004
Peru,39230.352
Philippines,5168.962000000004
Poland,43890.577999999994
Portugal,78514.18199999999
Qatar,56160.92300000004
Romania,40963.76499999999
Russia,28463.016
Rwanda,1423.9150000000002
Saint Helena,0.0
Saint Kitts and Nevis,770.7979999999999
Saint Lucia,17148.717999999993
Saint Vincent and the Grenadines,13691.219999999996
Samoa,15.120000000000001
San Marino,105633.77400000002
Sao Tome and Principe,7629.1070000000145
Saudi Arabia,10800.89799999999
Senegal,1997.917999999999
Serbia,65589.94
Seychelles,26052.474000000002
Sierra Leone,486.3889999999989
Singapore,10237.023000000007
Slovakia,54644.04600000001
Slovenia,89952.43599999999
Solomon Islands,26.206000000000003
Somalia,412.05899999999974
South Africa,25416.976999999984
South America,40945.91899999999
South Korea,1726.4989999999996
South Sudan,645.3519999999996
Spain,67814.32200000001
Sri Lanka,3804.5190000000002
Sudan,689.5450000000002
Suriname,15157.657999999987
Sweden,64110.574000000015
Switzerland,63861.62699999998
Syria,876.7110000000001
Taiwan,39.69000000000011
Tajikistan,1395.3179999999982
Tanzania,8.518999999999998
Thailand,368.0230000000002
Timor,82.663
Togo,790.9479999999999
Trinidad and Tobago,5494.859000000007
Tunisia,19498.307000000008
Turkey,21840.045000000013
Turks and Caicos Islands,0.0
Uganda,880.193
Ukraine,31208.406
United Arab Emirates,38283.281000000025
United Kingdom,61230.627
United States,85603.484
Uruguay,15796.879
Uzbekistan,2382.7559999999985
Vanuatu,3.256
Vatican,33374.538
Venezuela,4833.507999999998
Vietnam,24.775000000000013
World,14333.851000000008
Yemen,74.49500000000009
Zambia,4160.370999999999
Zimbabwe,2419.4400000000005
