location,gdp_average
Afghanistan,1803.9869999999999
Africa,
Albania,11803.430999999953
Algeria,13913.838999999994
Andorra,
Angola,5819.495000000051
Anguilla,
Antigua and Barbuda,21490.942999999974
Argentina,18933.906999999857
Armenia,8787.580000000044
Asia,
Australia,44648.71000000045
Austria,45436.68600000031
Azerbaijan,15847.419000000016
Bahamas,27717.846999999936
Bahrain,43290.70500000007
Bangladesh,3523.9840000000113
Barbados,16978.067999999974
Belarus,17167.967000000106
Belgium,42658.57599999978
Belize,7824.362000000022
Benin,2064.236000000001
Bermuda,50669.314999999966
Bhutan,8708.597000000036
Bolivia,6885.828999999959
Bosnia and Herzegovina,11713.895000000017
Botswana,15807.373999999912
Brazil,14103.451999999956
Brunei,71809.25099999951
Bulgaria,18563.307000000026
Burkina Faso,1703.1020000000028
Burundi,702.2250000000039
Cambodia,3645.0700000000015
Cameroon,3364.9259999999836
Canada,44017.59099999994
Cape Verde,6222.554000000003
Cayman Islands,49903.02900000006
Central African Republic,661.2399999999973
Chad,1768.1530000000016
Chile,22767.03699999978
China,15308.712000000047
Colombia,13254.94900000002
Comoros,1413.8900000000094
Congo,4881.405999999974
Costa Rica,15524.995000000088
Cote d'Ivoire,3601.006000000028
Croatia,22669.797000000075
Cuba,
Cyprus,32415.131999999925
Czechia,32605.905999999988
Democratic Republic of Congo,808.1329999999992
Denmark,46682.515000000254
Djibouti,2705.4059999999854
Dominica,9673.367000000055
Dominican Republic,14600.860999999933
Ecuador,10581.936000000092
Egypt,10550.205999999895
El Salvador,7292.458000000054
Equatorial Guinea,22604.872999999872
Eritrea,1510.458999999988
Estonia,29481.25200000019
Eswatini,7738.97500000005
Ethiopia,1729.927000000013
Europe,
European Union,
Faeroe Islands,
Falkland Islands,
Fiji,8702.975000000059
Finland,40585.721000000354
France,38605.67100000008
Gabon,16562.412999999968
Gambia,1561.7669999999953
Georgia,9745.078999999943
Germany,45229.244999999726
Ghana,4227.629999999971
Gibraltar,
Greece,24574.382000000092
Greenland,
Grenada,13593.876999999986
Guatemala,7423.808000000027
Guernsey,
Guinea,1998.9259999999879
Guinea-Bissau,1548.6749999999918
Guyana,7435.046999999972
Haiti,1653.173000000003
Honduras,4541.794999999986
Hong Kong,56054.91999999995
Hungary,26777.561000000023
Iceland,46482.95800000021
India,6426.674000000066
Indonesia,11188.743999999955
International,
Iran,19082.620000000094
Iraq,15663.985999999903
Ireland,67335.29300000025
Isle of Man,
Israel,33132.320000000174
Italy,35220.0840000002
Jamaica,8193.570999999998
Japan,39002.22299999977
Jersey,
Jordan,8337.490000000062
Kazakhstan,24055.58800000022
Kenya,2993.0280000000207
Kosovo,9795.833999999935
Kuwait,65530.53700000024
Kyrgyzstan,3393.4740000000093
Laos,6397.360000000041
Latvia,25063.845999999994
Lebanon,13367.565000000022
Lesotho,2851.1530000000143
Liberia,752.7880000000004
Libya,17881.5089999999
Liechtenstein,
Lithuania,29524.265000000018
Luxembourg,94277.96499999998
Macao,104861.85100000001
Madagascar,1416.440000000002
Malawi,1095.0420000000001
Malaysia,26808.164000000106
Maldives,15183.616000000044
Mali,2014.305999999991
Malta,36513.323000000266
Marshall Islands,3819.2019999999934
Mauritania,3597.6329999999934
Mauritius,20292.745000000094
Mexico,17336.468999999837
Micronesia (country),3299.464000000003
Moldova,5189.972000000016
Monaco,
Mongolia,11840.84599999993
Montenegro,16409.287999999975
Morocco,7485.0129999999635
Mozambique,1136.1030000000023
Myanmar,5591.597000000017
Namibia,9541.808000000054
Nepal,2442.8040000000033
Netherlands,48472.545000000035
New Zealand,36085.84300000022
Nicaragua,5321.443999999965
Niger,926.0
Nigeria,5338.45399999997
North America,
North Macedonia,13111.214000000014
Northern Cyprus,
Norway,64800.05700000002
Oceania,
Oman,37960.709000000206
Pakistan,5034.708000000038
Palestine,4449.8980000000265
Panama,22267.036999999793
Papua New Guinea,3823.1939999999904
Paraguay,8827.009999999931
Peru,12236.7059999999
Philippines,7599.188000000048
Poland,27216.445000000138
Portugal,27936.895999999866
Qatar,116935.60000000079
Romania,23313.199000000004
Russia,24765.953999999925
Rwanda,1854.211000000008
Saint Helena,
Saint Kitts and Nevis,24654.384999999835
Saint Lucia,12951.839000000033
Saint Vincent and the Grenadines,10727.146000000059
Samoa,6021.556999999991
San Marino,56861.470000000016
Sao Tome and Principe,3052.7140000000127
Saudi Arabia,49045.41100000014
Senegal,2470.579999999986
Serbia,14048.881000000045
Seychelles,26382.28699999984
Sierra Leone,1390.2999999999922
Singapore,85535.38300000057
Slovakia,30155.152000000016
Slovenia,31400.839999999884
Solomon Islands,2205.923000000005
Somalia,
South Africa,12294.876000000078
South America,
South Korea,35938.373999999865
South Sudan,1569.887999999991
Spain,34272.35999999987
Sri Lanka,11669.077
Sudan,4466.506999999987
Suriname,13767.118999999955
Sweden,46949.28299999985
Switzerland,57410.166000000085
Syria,
Taiwan,
Tajikistan,2896.9129999999773
Tanzania,2683.3040000000033
Thailand,16277.671000000071
Timor,6570.101999999969
Togo,1429.8130000000099
Trinidad and Tobago,28763.07100000027
Tunisia,10849.296999999911
Turkey,25129.34100000001
Turks and Caicos Islands,
Uganda,1697.7070000000012
Ukraine,7894.393000000019
United Arab Emirates,67293.48299999937
United Kingdom,39753.24400000038
United States,54225.44599999995
Uruguay,20551.40899999999
Uzbekistan,6253.104000000029
Vanuatu,2921.9090000000037
Vatican,
Venezuela,16745.021999999946
Vietnam,6171.884000000038
World,15469.207000000102
Yemen,1479.1469999999977
Zambia,3689.2510000000048
Zimbabwe,1899.7750000000121
