continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,AFG,Afghanistan,2020,2,0,2020-02-24,1.0,1.0,,,0.026,0.026,,,,8.33
Asia,AFG,Afghanistan,2020,2,1,2020-02-25,1.0,0.0,,,0.026,0.0,,,,8.33
Asia,AFG,Afghanistan,2020,2,2,2020-02-26,1.0,0.0,,,0.026,0.0,,,,8.33
Asia,AFG,Afghanistan,2020,2,3,2020-02-27,1.0,0.0,,,0.026,0.0,,,,8.33
Asia,AFG,Afghanistan,2020,2,4,2020-02-28,1.0,0.0,,,0.026,0.0,,,,8.33
Asia,AFG,Afghanistan,2020,2,5,2020-02-29,1.0,0.0,,,0.026,0.0,,,,8.33
Asia,AFG,Afghanistan,2020,3,6,2020-03-01,1.0,0.0,,,0.026,0.0,,,,27.78
Asia,AFG,Afghanistan,2020,3,0,2020-03-02,1.0,0.0,,,0.026,0.0,,,,27.78
Asia,AFG,Afghanistan,2020,3,1,2020-03-03,2.0,1.0,,,0.051,0.026,,,,27.78
Asia,AFG,Afghanistan,2020,3,2,2020-03-04,4.0,2.0,,,0.103,0.051,,,,27.78
Asia,AFG,Afghanistan,2020,3,3,2020-03-05,4.0,0.0,,,0.103,0.0,,,,27.78
Asia,AFG,Afghanistan,2020,3,4,2020-03-06,4.0,0.0,,,0.103,0.0,,,,27.78
Asia,AFG,Afghanistan,2020,3,5,2020-03-07,4.0,0.0,,,0.103,0.0,,,,27.78
Asia,AFG,Afghanistan,2020,3,6,2020-03-08,5.0,1.0,,,0.128,0.026,,,,27.78
Asia,AFG,Afghanistan,2020,3,0,2020-03-09,7.0,2.0,,,0.18,0.051,,,,27.78
Asia,AFG,Afghanistan,2020,3,1,2020-03-10,8.0,1.0,,,0.206,0.026,,,,27.78
Asia,AFG,Afghanistan,2020,3,2,2020-03-11,11.0,3.0,,,0.283,0.077,,,,27.78
Asia,AFG,Afghanistan,2020,3,3,2020-03-12,12.0,1.0,,,0.308,0.026,,,,27.78
Asia,AFG,Afghanistan,2020,3,4,2020-03-13,13.0,1.0,,,0.334,0.026,,,,27.78
Asia,AFG,Afghanistan,2020,3,5,2020-03-14,15.0,2.0,,,0.385,0.051,,,,38.89
Asia,AFG,Afghanistan,2020,3,6,2020-03-15,16.0,1.0,,,0.411,0.026,,,,38.89
Asia,AFG,Afghanistan,2020,3,0,2020-03-16,18.0,2.0,,,0.462,0.051,,,,38.89
Asia,AFG,Afghanistan,2020,3,1,2020-03-17,20.0,2.0,,,0.514,0.051,,,,38.89
Asia,AFG,Afghanistan,2020,3,2,2020-03-18,24.0,4.0,,,0.617,0.103,,,,41.67
Asia,AFG,Afghanistan,2020,3,3,2020-03-19,25.0,1.0,,,0.642,0.026,,,,41.67
Asia,AFG,Afghanistan,2020,3,4,2020-03-20,29.0,4.0,,,0.745,0.103,,,,41.67
Asia,AFG,Afghanistan,2020,3,5,2020-03-21,30.0,1.0,,,0.771,0.026,,,,41.67
Asia,AFG,Afghanistan,2020,3,6,2020-03-22,34.0,4.0,1.0,1.0,0.873,0.103,0.026,0.026,,41.67
Asia,AFG,Afghanistan,2020,3,0,2020-03-23,41.0,7.0,1.0,0.0,1.053,0.18,0.026,0.0,,41.67
Asia,AFG,Afghanistan,2020,3,1,2020-03-24,43.0,2.0,1.0,0.0,1.105,0.051,0.026,0.0,,50.93
Asia,AFG,Afghanistan,2020,3,2,2020-03-25,76.0,33.0,2.0,1.0,1.952,0.848,0.051,0.026,,59.26
Asia,AFG,Afghanistan,2020,3,3,2020-03-26,80.0,4.0,3.0,1.0,2.055,0.103,0.077,0.026,,59.26
Asia,AFG,Afghanistan,2020,3,4,2020-03-27,91.0,11.0,3.0,0.0,2.338,0.283,0.077,0.0,,59.26
Asia,AFG,Afghanistan,2020,3,5,2020-03-28,107.0,16.0,4.0,1.0,2.749,0.411,0.103,0.026,,67.59
Asia,AFG,Afghanistan,2020,3,6,2020-03-29,118.0,11.0,4.0,0.0,3.031,0.283,0.103,0.0,1.44,67.59
Asia,AFG,Afghanistan,2020,3,0,2020-03-30,146.0,28.0,4.0,0.0,3.75,0.719,0.103,0.0,1.45,67.59
Asia,AFG,Afghanistan,2020,3,1,2020-03-31,175.0,29.0,4.0,0.0,4.495,0.745,0.103,0.0,1.46,67.59
Asia,AFG,Afghanistan,2020,4,2,2020-04-01,197.0,22.0,4.0,0.0,5.061,0.565,0.103,0.0,1.45,67.59
Asia,AFG,Afghanistan,2020,4,3,2020-04-02,240.0,43.0,4.0,0.0,6.165,1.105,0.103,0.0,1.46,67.59
Asia,AFG,Afghanistan,2020,4,4,2020-04-03,275.0,35.0,8.0,4.0,7.064,0.899,0.206,0.103,1.45,67.59
Asia,AFG,Afghanistan,2020,4,5,2020-04-04,300.0,25.0,10.0,2.0,7.706,0.642,0.257,0.051,1.43,67.59
Asia,AFG,Afghanistan,2020,4,6,2020-04-05,338.0,38.0,12.0,2.0,8.683,0.976,0.308,0.051,1.43,78.7
Asia,AFG,Afghanistan,2020,4,0,2020-04-06,368.0,30.0,15.0,3.0,9.453,0.771,0.385,0.077,1.42,78.7
Asia,AFG,Afghanistan,2020,4,1,2020-04-07,424.0,56.0,16.0,1.0,10.892,1.439,0.411,0.026,1.41,78.7
Asia,AFG,Afghanistan,2020,4,2,2020-04-08,445.0,21.0,16.0,0.0,11.431,0.539,0.411,0.0,1.39,78.7
Asia,AFG,Afghanistan,2020,4,3,2020-04-09,485.0,40.0,17.0,1.0,12.459,1.028,0.437,0.026,1.39,78.7
Asia,AFG,Afghanistan,2020,4,4,2020-04-10,532.0,47.0,18.0,1.0,13.666,1.207,0.462,0.026,1.39,78.7
Asia,AFG,Afghanistan,2020,4,5,2020-04-11,556.0,24.0,18.0,0.0,14.283,0.617,0.462,0.0,1.38,78.7
Asia,AFG,Afghanistan,2020,4,6,2020-04-12,608.0,52.0,19.0,1.0,15.618,1.336,0.488,0.026,1.39,84.26
