continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,AGO,Angola,2020,3,4,2020-03-20,1.0,1.0,,,0.03,0.03,,,,11.11
Africa,AGO,Angola,2020,3,5,2020-03-21,2.0,1.0,,,0.061,0.03,,,,11.11
Africa,AGO,Angola,2020,3,6,2020-03-22,2.0,0.0,,,0.061,0.0,,,,11.11
Africa,AGO,Angola,2020,3,0,2020-03-23,3.0,1.0,,,0.091,0.03,,,,11.11
Africa,AGO,Angola,2020,3,1,2020-03-24,3.0,0.0,,,0.091,0.0,,,,33.33
Africa,AGO,Angola,2020,3,2,2020-03-25,3.0,0.0,,,0.091,0.0,,,,33.33
Africa,AGO,Angola,2020,3,3,2020-03-26,4.0,1.0,,,0.122,0.03,,,,33.33
Africa,AGO,Angola,2020,3,4,2020-03-27,4.0,0.0,,,0.122,0.0,,,,90.74
Africa,AGO,Angola,2020,3,5,2020-03-28,5.0,1.0,,,0.152,0.03,,,,90.74
Africa,AGO,Angola,2020,3,6,2020-03-29,7.0,2.0,2.0,2.0,0.213,0.061,0.061,0.061,,90.74
Africa,AGO,Angola,2020,3,0,2020-03-30,7.0,0.0,2.0,0.0,0.213,0.0,0.061,0.0,,90.74
Africa,AGO,Angola,2020,3,1,2020-03-31,7.0,0.0,2.0,0.0,0.213,0.0,0.061,0.0,,90.74
Africa,AGO,Angola,2020,4,2,2020-04-01,8.0,1.0,2.0,0.0,0.243,0.03,0.061,0.0,,90.74
Africa,AGO,Angola,2020,4,3,2020-04-02,8.0,0.0,2.0,0.0,0.243,0.0,0.061,0.0,,90.74
Africa,AGO,Angola,2020,4,4,2020-04-03,8.0,0.0,2.0,0.0,0.243,0.0,0.061,0.0,,90.74
Africa,AGO,Angola,2020,4,5,2020-04-04,10.0,2.0,2.0,0.0,0.304,0.061,0.061,0.0,,90.74
