continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
North America,AIA,Anguilla,2021,2,3,2021-02-04,,,,,,,,,,
North America,AIA,Anguilla,2021,2,4,2021-02-05,,,,,,,,,,
North America,AIA,Anguilla,2021,2,5,2021-02-06,,,,,,,,,,
North America,AIA,Anguilla,2021,2,6,2021-02-07,,,,,,,,,,
North America,AIA,Anguilla,2021,2,0,2021-02-08,,,,,,,,,,
North America,AIA,Anguilla,2021,2,1,2021-02-09,,,,,,,,,,
North America,AIA,Anguilla,2021,2,2,2021-02-10,,,,,,,,,,
North America,AIA,Anguilla,2021,2,3,2021-02-11,,,,,,,,,,
North America,AIA,Anguilla,2021,2,4,2021-02-12,,,,,,,,,,
North America,AIA,Anguilla,2021,2,5,2021-02-13,,,,,,,,,,
North America,AIA,Anguilla,2021,2,6,2021-02-14,,,,,,,,,,
