continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,ALB,Albania,2020,2,1,2020-02-25,,,,,,,,,,8.33
Europe,ALB,Albania,2020,2,2,2020-02-26,,,,,,,,,,8.33
Europe,ALB,Albania,2020,2,3,2020-02-27,,,,,,,,,,8.33
Europe,ALB,Albania,2020,2,4,2020-02-28,,,,,,,,,,8.33
Europe,ALB,Albania,2020,2,5,2020-02-29,,,,,,,,,,8.33
Europe,ALB,Albania,2020,3,6,2020-03-01,,,,,,,,,,8.33
Europe,ALB,Albania,2020,3,0,2020-03-02,,,,,,,,,,8.33
Europe,ALB,Albania,2020,3,1,2020-03-03,,,,,,,,,,8.33
Europe,ALB,Albania,2020,3,2,2020-03-04,,,,,,,,,,8.33
Europe,ALB,Albania,2020,3,3,2020-03-05,,,,,,,,,,8.33
Europe,ALB,Albania,2020,3,4,2020-03-06,,,,,,,,,,8.33
Europe,ALB,Albania,2020,3,5,2020-03-07,,,,,,,,,,8.33
Europe,ALB,Albania,2020,3,6,2020-03-08,,,,,,,,,,8.33
Europe,ALB,Albania,2020,3,0,2020-03-09,2.0,2.0,,,0.695,0.695,,,,36.11
Europe,ALB,Albania,2020,3,1,2020-03-10,10.0,8.0,,,3.475,2.78,,,,41.67
Europe,ALB,Albania,2020,3,2,2020-03-11,12.0,2.0,1.0,1.0,4.17,0.695,0.347,0.347,,51.85
Europe,ALB,Albania,2020,3,3,2020-03-12,23.0,11.0,1.0,0.0,7.992,3.822,0.347,0.0,,51.85
Europe,ALB,Albania,2020,3,4,2020-03-13,33.0,10.0,1.0,0.0,11.467,3.475,0.347,0.0,,78.7
Europe,ALB,Albania,2020,3,5,2020-03-14,38.0,5.0,1.0,0.0,13.205,1.737,0.347,0.0,,78.7
Europe,ALB,Albania,2020,3,6,2020-03-15,42.0,4.0,1.0,0.0,14.594,1.39,0.347,0.0,,81.48
Europe,ALB,Albania,2020,3,0,2020-03-16,51.0,9.0,1.0,0.0,17.722,3.127,0.347,0.0,,81.48
Europe,ALB,Albania,2020,3,1,2020-03-17,55.0,4.0,1.0,0.0,19.112,1.39,0.347,0.0,,81.48
Europe,ALB,Albania,2020,3,2,2020-03-18,59.0,4.0,2.0,1.0,20.502,1.39,0.695,0.347,,81.48
Europe,ALB,Albania,2020,3,3,2020-03-19,64.0,5.0,2.0,0.0,22.239,1.737,0.695,0.0,,81.48
Europe,ALB,Albania,2020,3,4,2020-03-20,70.0,6.0,2.0,0.0,24.324,2.085,0.695,0.0,,81.48
Europe,ALB,Albania,2020,3,5,2020-03-21,76.0,6.0,2.0,0.0,26.409,2.085,0.695,0.0,,81.48
Europe,ALB,Albania,2020,3,6,2020-03-22,89.0,13.0,2.0,0.0,30.926,4.517,0.695,0.0,,81.48
Europe,ALB,Albania,2020,3,0,2020-03-23,104.0,15.0,4.0,2.0,36.139,5.212,1.39,0.695,,84.26
Europe,ALB,Albania,2020,3,1,2020-03-24,123.0,19.0,5.0,1.0,42.741,6.602,1.737,0.347,1.2,84.26
Europe,ALB,Albania,2020,3,2,2020-03-25,146.0,23.0,5.0,0.0,50.733,7.992,1.737,0.0,1.19,84.26
Europe,ALB,Albania,2020,3,3,2020-03-26,174.0,28.0,6.0,1.0,60.463,9.73,2.085,0.347,1.16,84.26
Europe,ALB,Albania,2020,3,4,2020-03-27,186.0,12.0,8.0,2.0,64.633,4.17,2.78,0.695,1.08,84.26
Europe,ALB,Albania,2020,3,5,2020-03-28,197.0,11.0,10.0,2.0,68.455,3.822,3.475,0.695,1.05,84.26
Europe,ALB,Albania,2020,3,6,2020-03-29,212.0,15.0,10.0,0.0,73.667,5.212,3.475,0.0,1.04,84.26
Europe,ALB,Albania,2020,3,0,2020-03-30,223.0,11.0,11.0,1.0,77.49,3.822,3.822,0.347,1.04,84.26
Europe,ALB,Albania,2020,3,1,2020-03-31,243.0,20.0,15.0,4.0,84.44,6.95,5.212,1.39,1.08,84.26
Europe,ALB,Albania,2020,4,2,2020-04-01,259.0,16.0,15.0,0.0,89.999,5.56,5.212,0.0,1.09,84.26
Europe,ALB,Albania,2020,4,3,2020-04-02,277.0,18.0,16.0,1.0,96.254,6.255,5.56,0.347,1.12,84.26
