continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,AND,Andorra,2020,3,0,2020-03-02,1.0,1.0,,,12.942,12.942,,,,0.0
Europe,AND,Andorra,2020,3,1,2020-03-03,1.0,0.0,,,12.942,0.0,,,,0.0
Europe,AND,Andorra,2020,3,2,2020-03-04,1.0,0.0,,,12.942,0.0,,,,0.0
Europe,AND,Andorra,2020,3,3,2020-03-05,1.0,0.0,,,12.942,0.0,,,,0.0
Europe,AND,Andorra,2020,3,4,2020-03-06,1.0,0.0,,,12.942,0.0,,,,0.0
Europe,AND,Andorra,2020,3,5,2020-03-07,1.0,0.0,,,12.942,0.0,,,,0.0
Europe,AND,Andorra,2020,3,6,2020-03-08,1.0,0.0,,,12.942,0.0,,,,0.0
Europe,AND,Andorra,2020,3,0,2020-03-09,1.0,0.0,,,12.942,0.0,,,,0.0
Europe,AND,Andorra,2020,3,1,2020-03-10,1.0,0.0,,,12.942,0.0,,,,0.0
Europe,AND,Andorra,2020,3,2,2020-03-11,1.0,0.0,,,12.942,0.0,,,,0.0
Europe,AND,Andorra,2020,3,3,2020-03-12,1.0,0.0,,,12.942,0.0,,,,0.0
Europe,AND,Andorra,2020,3,4,2020-03-13,1.0,0.0,,,12.942,0.0,,,,9.26
Europe,AND,Andorra,2020,3,5,2020-03-14,1.0,0.0,,,12.942,0.0,,,,20.37
Europe,AND,Andorra,2020,3,6,2020-03-15,1.0,0.0,,,12.942,0.0,,,,20.37
Europe,AND,Andorra,2020,3,0,2020-03-16,2.0,1.0,,,25.885,12.942,,,,31.48
Europe,AND,Andorra,2020,3,1,2020-03-17,39.0,37.0,,,504.756,478.871,,,,31.48
Europe,AND,Andorra,2020,3,2,2020-03-18,39.0,0.0,,,504.756,0.0,,,,31.48
Europe,AND,Andorra,2020,3,3,2020-03-19,53.0,14.0,,,685.951,181.195,,,,31.48
Europe,AND,Andorra,2020,3,4,2020-03-20,75.0,22.0,,,970.685,284.734,,,,31.48
Europe,AND,Andorra,2020,3,5,2020-03-21,88.0,13.0,,,1138.937,168.252,,,,31.48
Europe,AND,Andorra,2020,3,6,2020-03-22,113.0,25.0,1.0,1.0,1462.499,323.562,12.942,12.942,,31.48
Europe,AND,Andorra,2020,3,0,2020-03-23,133.0,20.0,1.0,0.0,1721.349,258.849,12.942,0.0,0.97,31.48
Europe,AND,Andorra,2020,3,1,2020-03-24,164.0,31.0,1.0,0.0,2122.565,401.217,12.942,0.0,0.97,31.48
Europe,AND,Andorra,2020,3,2,2020-03-25,188.0,24.0,1.0,0.0,2433.184,310.619,12.942,0.0,0.96,48.15
Europe,AND,Andorra,2020,3,3,2020-03-26,224.0,36.0,3.0,2.0,2899.113,465.929,38.827,25.885,0.96,48.15
Europe,AND,Andorra,2020,3,4,2020-03-27,267.0,43.0,3.0,0.0,3455.64,556.526,38.827,0.0,0.95,48.15
Europe,AND,Andorra,2020,3,5,2020-03-28,308.0,41.0,3.0,0.0,3986.281,530.641,38.827,0.0,0.94,48.15
Europe,AND,Andorra,2020,3,6,2020-03-29,334.0,26.0,6.0,3.0,4322.785,336.504,77.655,38.827,0.93,48.15
Europe,AND,Andorra,2020,3,0,2020-03-30,370.0,36.0,8.0,2.0,4788.714,465.929,103.54,25.885,0.91,48.15
Europe,AND,Andorra,2020,3,1,2020-03-31,376.0,6.0,12.0,4.0,4866.369,77.655,155.31,51.77,0.9,48.15
Europe,AND,Andorra,2020,4,2,2020-04-01,390.0,14.0,14.0,2.0,5047.564,181.195,181.195,25.885,0.89,48.15
Europe,AND,Andorra,2020,4,3,2020-04-02,428.0,38.0,15.0,1.0,5539.377,491.814,194.137,12.942,0.88,48.15
Europe,AND,Andorra,2020,4,4,2020-04-03,439.0,11.0,16.0,1.0,5681.745,142.367,207.08,12.942,0.86,48.15
Europe,AND,Andorra,2020,4,5,2020-04-04,466.0,27.0,17.0,1.0,6031.191,349.447,220.022,12.942,0.85,48.15
Europe,AND,Andorra,2020,4,6,2020-04-05,501.0,35.0,18.0,1.0,6484.178,452.986,232.964,12.942,0.84,48.15
Europe,AND,Andorra,2020,4,0,2020-04-06,525.0,24.0,21.0,3.0,6794.797,310.619,271.792,38.827,0.83,48.15
Europe,AND,Andorra,2020,4,1,2020-04-07,545.0,20.0,22.0,1.0,7053.647,258.849,284.734,12.942,0.81,48.15
Europe,AND,Andorra,2020,4,2,2020-04-08,564.0,19.0,23.0,1.0,7299.553,245.907,297.677,12.942,0.8,56.48
Europe,AND,Andorra,2020,4,3,2020-04-09,583.0,19.0,25.0,2.0,7545.46,245.907,323.562,25.885,0.78,56.48
Europe,AND,Andorra,2020,4,4,2020-04-10,601.0,18.0,26.0,1.0,7778.425,232.964,336.504,12.942,0.77,56.48
Europe,AND,Andorra,2020,4,5,2020-04-11,601.0,0.0,26.0,0.0,7778.425,0.0,336.504,0.0,0.75,56.48
Europe,AND,Andorra,2020,4,6,2020-04-12,638.0,37.0,29.0,3.0,8257.296,478.871,375.332,38.827,0.74,56.48
Europe,AND,Andorra,2020,4,0,2020-04-13,646.0,8.0,29.0,0.0,8360.836,103.54,375.332,0.0,0.73,56.48
Europe,AND,Andorra,2020,4,1,2020-04-14,659.0,13.0,31.0,2.0,8529.088,168.252,401.217,25.885,0.71,56.48
Europe,AND,Andorra,2020,4,2,2020-04-15,673.0,14.0,33.0,2.0,8710.283,181.195,427.102,25.885,0.7,56.48
Europe,AND,Andorra,2020,4,3,2020-04-16,673.0,0.0,33.0,0.0,8710.283,0.0,427.102,0.0,0.68,56.48
Europe,AND,Andorra,2020,4,4,2020-04-17,696.0,23.0,35.0,2.0,9007.96,297.677,452.986,25.885,0.67,56.48
Europe,AND,Andorra,2020,4,5,2020-04-18,704.0,8.0,35.0,0.0,9111.499,103.54,452.986,0.0,0.66,56.48
Europe,AND,Andorra,2020,4,6,2020-04-19,713.0,9.0,36.0,1.0,9227.982,116.482,465.929,12.942,0.64,56.48
Europe,AND,Andorra,2020,4,0,2020-04-20,717.0,4.0,37.0,1.0,9279.752,51.77,478.871,12.942,0.63,52.78
Europe,AND,Andorra,2020,4,1,2020-04-21,717.0,0.0,37.0,0.0,9279.752,0.0,478.871,0.0,0.62,52.78
Europe,AND,Andorra,2020,4,2,2020-04-22,723.0,6.0,37.0,0.0,9357.406,77.655,478.871,0.0,0.61,52.78
Europe,AND,Andorra,2020,4,3,2020-04-23,723.0,0.0,37.0,0.0,9357.406,0.0,478.871,0.0,0.6,52.78
Europe,AND,Andorra,2020,4,4,2020-04-24,731.0,8.0,40.0,3.0,9460.946,103.54,517.699,38.827,0.59,52.78
Europe,AND,Andorra,2020,4,5,2020-04-25,738.0,7.0,40.0,0.0,9551.543,90.597,517.699,0.0,0.58,52.78
Europe,AND,Andorra,2020,4,6,2020-04-26,738.0,0.0,40.0,0.0,9551.543,0.0,517.699,0.0,0.57,52.78
Europe,AND,Andorra,2020,4,0,2020-04-27,743.0,5.0,40.0,0.0,9616.256,64.712,517.699,0.0,0.56,52.78
Europe,AND,Andorra,2020,4,1,2020-04-28,743.0,0.0,41.0,1.0,9616.256,0.0,530.641,12.942,0.55,52.78
Europe,AND,Andorra,2020,4,2,2020-04-29,743.0,0.0,42.0,1.0,9616.256,0.0,543.584,12.942,0.54,52.78
