continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,ARE,United Arab Emirates,2020,1,2,2020-01-29,4.0,4.0,,,0.404,0.404,,,,2.78
Asia,ARE,United Arab Emirates,2020,1,3,2020-01-30,4.0,0.0,,,0.404,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,1,4,2020-01-31,4.0,0.0,,,0.404,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,5,2020-02-01,4.0,0.0,,,0.404,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,6,2020-02-02,5.0,1.0,,,0.506,0.101,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,0,2020-02-03,5.0,0.0,,,0.506,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,1,2020-02-04,5.0,0.0,,,0.506,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,2,2020-02-05,5.0,0.0,,,0.506,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,3,2020-02-06,5.0,0.0,,,0.506,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,4,2020-02-07,5.0,0.0,,,0.506,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,5,2020-02-08,7.0,2.0,,,0.708,0.202,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,6,2020-02-09,7.0,0.0,,,0.708,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,0,2020-02-10,8.0,1.0,,,0.809,0.101,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,1,2020-02-11,8.0,0.0,,,0.809,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,2,2020-02-12,8.0,0.0,,,0.809,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,3,2020-02-13,8.0,0.0,,,0.809,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,4,2020-02-14,8.0,0.0,,,0.809,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,5,2020-02-15,8.0,0.0,,,0.809,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,6,2020-02-16,9.0,1.0,,,0.91,0.101,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,0,2020-02-17,9.0,0.0,,,0.91,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,1,2020-02-18,9.0,0.0,,,0.91,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,2,2020-02-19,9.0,0.0,,,0.91,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,3,2020-02-20,9.0,0.0,,,0.91,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,4,2020-02-21,9.0,0.0,,,0.91,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,5,2020-02-22,13.0,4.0,,,1.314,0.404,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,6,2020-02-23,13.0,0.0,,,1.314,0.0,,,,2.78
Asia,ARE,United Arab Emirates,2020,2,0,2020-02-24,13.0,0.0,,,1.314,0.0,,,,8.33
Asia,ARE,United Arab Emirates,2020,2,1,2020-02-25,13.0,0.0,,,1.314,0.0,,,,8.33
Asia,ARE,United Arab Emirates,2020,2,2,2020-02-26,13.0,0.0,,,1.314,0.0,,,,8.33
Asia,ARE,United Arab Emirates,2020,2,3,2020-02-27,13.0,0.0,,,1.314,0.0,,,,8.33
Asia,ARE,United Arab Emirates,2020,2,4,2020-02-28,19.0,6.0,,,1.921,0.607,,,,8.33
Asia,ARE,United Arab Emirates,2020,2,5,2020-02-29,21.0,2.0,,,2.123,0.202,,,,8.33
Asia,ARE,United Arab Emirates,2020,3,6,2020-03-01,21.0,0.0,,,2.123,0.0,,,,15.74
Asia,ARE,United Arab Emirates,2020,3,0,2020-03-02,21.0,0.0,,,2.123,0.0,,,,15.74
Asia,ARE,United Arab Emirates,2020,3,1,2020-03-03,27.0,6.0,,,2.73,0.607,,,,15.74
Asia,ARE,United Arab Emirates,2020,3,2,2020-03-04,27.0,0.0,,,2.73,0.0,,,,15.74
Asia,ARE,United Arab Emirates,2020,3,3,2020-03-05,29.0,2.0,,,2.932,0.202,,,,15.74
Asia,ARE,United Arab Emirates,2020,3,4,2020-03-06,29.0,0.0,,,2.932,0.0,,,,15.74
Asia,ARE,United Arab Emirates,2020,3,5,2020-03-07,45.0,16.0,,,4.55,1.618,,,,15.74
Asia,ARE,United Arab Emirates,2020,3,6,2020-03-08,45.0,0.0,,,4.55,0.0,,,,21.3
Asia,ARE,United Arab Emirates,2020,3,0,2020-03-09,45.0,0.0,,,4.55,0.0,,,,21.3
Asia,ARE,United Arab Emirates,2020,3,1,2020-03-10,74.0,29.0,,,7.482,2.932,,,,21.3
Asia,ARE,United Arab Emirates,2020,3,2,2020-03-11,74.0,0.0,,,7.482,0.0,,,,32.41
Asia,ARE,United Arab Emirates,2020,3,3,2020-03-12,85.0,11.0,,,8.594,1.112,,,,32.41
Asia,ARE,United Arab Emirates,2020,3,4,2020-03-13,85.0,0.0,,,8.594,0.0,,,,34.26
Asia,ARE,United Arab Emirates,2020,3,5,2020-03-14,85.0,0.0,,,8.594,0.0,,,,34.26
Asia,ARE,United Arab Emirates,2020,3,6,2020-03-15,98.0,13.0,,,9.909,1.314,,,,34.26
Asia,ARE,United Arab Emirates,2020,3,0,2020-03-16,98.0,0.0,,,9.909,0.0,,,,45.37
Asia,ARE,United Arab Emirates,2020,3,1,2020-03-17,98.0,0.0,,,9.909,0.0,,,,45.37
Asia,ARE,United Arab Emirates,2020,3,2,2020-03-18,113.0,15.0,,,11.425,1.517,,,,45.37
Asia,ARE,United Arab Emirates,2020,3,3,2020-03-19,140.0,27.0,,,14.155,2.73,,,1.46,45.37
Asia,ARE,United Arab Emirates,2020,3,4,2020-03-20,140.0,0.0,2.0,2.0,14.155,0.0,0.202,0.202,1.44,45.37
Asia,ARE,United Arab Emirates,2020,3,5,2020-03-21,153.0,13.0,2.0,0.0,15.47,1.314,0.202,0.0,1.51,45.37
Asia,ARE,United Arab Emirates,2020,3,6,2020-03-22,153.0,0.0,2.0,0.0,15.47,0.0,0.202,0.0,1.63,45.37
Asia,ARE,United Arab Emirates,2020,3,0,2020-03-23,198.0,45.0,2.0,0.0,20.019,4.55,0.202,0.0,1.85,62.04
Asia,ARE,United Arab Emirates,2020,3,1,2020-03-24,248.0,50.0,2.0,0.0,25.075,5.055,0.202,0.0,1.96,62.04
Asia,ARE,United Arab Emirates,2020,3,2,2020-03-25,333.0,85.0,2.0,0.0,33.669,8.594,0.202,0.0,2.01,70.37
Asia,ARE,United Arab Emirates,2020,3,3,2020-03-26,333.0,0.0,2.0,0.0,33.669,0.0,0.202,0.0,1.94,73.15
Asia,ARE,United Arab Emirates,2020,3,4,2020-03-27,405.0,72.0,2.0,0.0,40.949,7.28,0.202,0.0,2.0,84.26
Asia,ARE,United Arab Emirates,2020,3,5,2020-03-28,468.0,63.0,2.0,0.0,47.319,6.37,0.202,0.0,2.02,84.26
Asia,ARE,United Arab Emirates,2020,3,6,2020-03-29,570.0,102.0,3.0,1.0,57.632,10.313,0.303,0.101,2.04,84.26
Asia,ARE,United Arab Emirates,2020,3,0,2020-03-30,611.0,41.0,5.0,2.0,61.777,4.145,0.506,0.202,2.02,84.26
Asia,ARE,United Arab Emirates,2020,3,1,2020-03-31,664.0,53.0,6.0,1.0,67.136,5.359,0.607,0.101,2.07,84.26
Asia,ARE,United Arab Emirates,2020,4,2,2020-04-01,814.0,150.0,8.0,2.0,82.302,15.166,0.809,0.202,2.18,84.26
Asia,ARE,United Arab Emirates,2020,4,3,2020-04-02,1024.0,210.0,8.0,0.0,103.535,21.233,0.809,0.0,2.23,84.26
Asia,ARE,United Arab Emirates,2020,4,4,2020-04-03,1264.0,240.0,9.0,1.0,127.801,24.266,0.91,0.101,2.21,84.26
Asia,ARE,United Arab Emirates,2020,4,5,2020-04-04,1505.0,241.0,10.0,1.0,152.168,24.367,1.011,0.101,2.14,89.81
Asia,ARE,United Arab Emirates,2020,4,6,2020-04-05,1799.0,294.0,10.0,0.0,181.894,29.726,1.011,0.0,2.06,89.81
Asia,ARE,United Arab Emirates,2020,4,0,2020-04-06,2076.0,277.0,11.0,1.0,209.901,28.007,1.112,0.101,1.96,89.81
Asia,ARE,United Arab Emirates,2020,4,1,2020-04-07,2359.0,283.0,12.0,1.0,238.514,28.614,1.213,0.101,1.87,89.81
Asia,ARE,United Arab Emirates,2020,4,2,2020-04-08,2659.0,300.0,12.0,0.0,268.847,30.332,1.213,0.0,1.8,89.81
Asia,ARE,United Arab Emirates,2020,4,3,2020-04-09,2990.0,331.0,14.0,2.0,302.313,33.467,1.416,0.202,1.73,89.81
Asia,ARE,United Arab Emirates,2020,4,4,2020-04-10,3360.0,370.0,16.0,2.0,339.723,37.41,1.618,0.202,1.67,89.81
Asia,ARE,United Arab Emirates,2020,4,5,2020-04-11,3736.0,376.0,20.0,4.0,377.74,38.017,2.022,0.404,1.61,89.81
Asia,ARE,United Arab Emirates,2020,4,6,2020-04-12,4123.0,387.0,22.0,2.0,416.869,39.129,2.224,0.202,1.55,89.81
Asia,ARE,United Arab Emirates,2020,4,0,2020-04-13,4521.0,398.0,25.0,3.0,457.11,40.241,2.528,0.303,1.5,89.81
Asia,ARE,United Arab Emirates,2020,4,1,2020-04-14,4933.0,412.0,28.0,3.0,498.766,41.657,2.831,0.303,1.45,89.81
Asia,ARE,United Arab Emirates,2020,4,2,2020-04-15,5365.0,432.0,33.0,5.0,542.445,43.679,3.337,0.506,1.4,89.81
