continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
South America,ARG,Argentina,2020,1,2,2020-01-01,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,3,2020-01-02,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,4,2020-01-03,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,5,2020-01-04,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,6,2020-01-05,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,0,2020-01-06,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,1,2020-01-07,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,2,2020-01-08,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,3,2020-01-09,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,4,2020-01-10,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,5,2020-01-11,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,6,2020-01-12,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,0,2020-01-13,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,1,2020-01-14,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,2,2020-01-15,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,3,2020-01-16,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,4,2020-01-17,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,5,2020-01-18,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,6,2020-01-19,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,0,2020-01-20,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,1,2020-01-21,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,2,2020-01-22,,,,,,,,,,0.0
South America,ARG,Argentina,2020,1,3,2020-01-23,,,,,,,,,,11.11
South America,ARG,Argentina,2020,1,4,2020-01-24,,,,,,,,,,11.11
South America,ARG,Argentina,2020,1,5,2020-01-25,,,,,,,,,,11.11
South America,ARG,Argentina,2020,1,6,2020-01-26,,,,,,,,,,11.11
South America,ARG,Argentina,2020,1,0,2020-01-27,,,,,,,,,,11.11
South America,ARG,Argentina,2020,1,1,2020-01-28,,,,,,,,,,11.11
South America,ARG,Argentina,2020,1,2,2020-01-29,,,,,,,,,,11.11
South America,ARG,Argentina,2020,1,3,2020-01-30,,,,,,,,,,11.11
South America,ARG,Argentina,2020,1,4,2020-01-31,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,5,2020-02-01,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,6,2020-02-02,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,0,2020-02-03,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,1,2020-02-04,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,2,2020-02-05,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,3,2020-02-06,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,4,2020-02-07,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,5,2020-02-08,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,6,2020-02-09,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,0,2020-02-10,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,1,2020-02-11,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,2,2020-02-12,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,3,2020-02-13,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,4,2020-02-14,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,5,2020-02-15,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,6,2020-02-16,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,0,2020-02-17,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,1,2020-02-18,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,2,2020-02-19,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,3,2020-02-20,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,4,2020-02-21,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,5,2020-02-22,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,6,2020-02-23,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,0,2020-02-24,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,1,2020-02-25,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,2,2020-02-26,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,3,2020-02-27,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,4,2020-02-28,,,,,,,,,,11.11
South America,ARG,Argentina,2020,2,5,2020-02-29,,,,,,,,,,11.11
South America,ARG,Argentina,2020,3,6,2020-03-01,,,,,,,,,,11.11
South America,ARG,Argentina,2020,3,0,2020-03-02,,,,,,,,,,11.11
South America,ARG,Argentina,2020,3,1,2020-03-03,1.0,1.0,,,0.022,0.022,,,,11.11
South America,ARG,Argentina,2020,3,2,2020-03-04,1.0,0.0,,,0.022,0.0,,,,11.11
South America,ARG,Argentina,2020,3,3,2020-03-05,1.0,0.0,,,0.022,0.0,,,,11.11
South America,ARG,Argentina,2020,3,4,2020-03-06,2.0,1.0,,,0.044,0.022,,,,11.11
South America,ARG,Argentina,2020,3,5,2020-03-07,8.0,6.0,,,0.177,0.133,,,,11.11
South America,ARG,Argentina,2020,3,6,2020-03-08,12.0,4.0,1.0,1.0,0.266,0.089,0.022,0.022,,11.11
South America,ARG,Argentina,2020,3,0,2020-03-09,12.0,0.0,1.0,0.0,0.266,0.0,0.022,0.0,,11.11
South America,ARG,Argentina,2020,3,1,2020-03-10,17.0,5.0,1.0,0.0,0.376,0.111,0.022,0.0,,11.11
South America,ARG,Argentina,2020,3,2,2020-03-11,19.0,2.0,1.0,0.0,0.42,0.044,0.022,0.0,,25.0
South America,ARG,Argentina,2020,3,3,2020-03-12,19.0,0.0,1.0,0.0,0.42,0.0,0.022,0.0,,25.0
South America,ARG,Argentina,2020,3,4,2020-03-13,31.0,12.0,2.0,1.0,0.686,0.266,0.044,0.022,,25.0
South America,ARG,Argentina,2020,3,5,2020-03-14,34.0,3.0,2.0,0.0,0.752,0.066,0.044,0.0,,25.0
South America,ARG,Argentina,2020,3,6,2020-03-15,45.0,11.0,2.0,0.0,0.996,0.243,0.044,0.0,,25.0
South America,ARG,Argentina,2020,3,0,2020-03-16,56.0,11.0,2.0,0.0,1.239,0.243,0.044,0.0,,41.67
South America,ARG,Argentina,2020,3,1,2020-03-17,68.0,12.0,2.0,0.0,1.505,0.266,0.044,0.0,,41.67
South America,ARG,Argentina,2020,3,2,2020-03-18,79.0,11.0,2.0,0.0,1.748,0.243,0.044,0.0,,41.67
South America,ARG,Argentina,2020,3,3,2020-03-19,97.0,18.0,3.0,1.0,2.146,0.398,0.066,0.022,,75.0
South America,ARG,Argentina,2020,3,4,2020-03-20,128.0,31.0,3.0,0.0,2.832,0.686,0.066,0.0,,88.89
South America,ARG,Argentina,2020,3,5,2020-03-21,158.0,30.0,4.0,1.0,3.496,0.664,0.089,0.022,1.83,88.89
South America,ARG,Argentina,2020,3,6,2020-03-22,266.0,108.0,4.0,0.0,5.886,2.39,0.089,0.0,1.83,88.89
South America,ARG,Argentina,2020,3,0,2020-03-23,301.0,35.0,4.0,0.0,6.66,0.774,0.089,0.0,1.8,100.0
South America,ARG,Argentina,2020,3,1,2020-03-24,387.0,86.0,6.0,2.0,8.563,1.903,0.133,0.044,1.77,100.0
South America,ARG,Argentina,2020,3,2,2020-03-25,387.0,0.0,8.0,2.0,8.563,0.0,0.177,0.044,1.74,100.0
South America,ARG,Argentina,2020,3,3,2020-03-26,502.0,115.0,9.0,1.0,11.107,2.544,0.199,0.022,1.72,100.0
South America,ARG,Argentina,2020,3,4,2020-03-27,589.0,87.0,13.0,4.0,13.032,1.925,0.288,0.089,1.69,100.0
South America,ARG,Argentina,2020,3,5,2020-03-28,690.0,101.0,18.0,5.0,15.267,2.235,0.398,0.111,1.66,100.0
South America,ARG,Argentina,2020,3,6,2020-03-29,745.0,55.0,19.0,1.0,16.484,1.217,0.42,0.022,1.63,100.0
South America,ARG,Argentina,2020,3,0,2020-03-30,820.0,75.0,23.0,4.0,18.143,1.659,0.509,0.089,1.6,100.0
South America,ARG,Argentina,2020,3,1,2020-03-31,1054.0,234.0,27.0,4.0,23.321,5.177,0.597,0.089,1.58,100.0
South America,ARG,Argentina,2020,4,2,2020-04-01,1054.0,0.0,28.0,1.0,23.321,0.0,0.62,0.022,1.53,100.0
South America,ARG,Argentina,2020,4,3,2020-04-02,1133.0,79.0,36.0,8.0,25.069,1.748,0.797,0.177,1.5,100.0
South America,ARG,Argentina,2020,4,4,2020-04-03,1265.0,132.0,39.0,3.0,27.989,2.921,0.863,0.066,1.47,100.0
South America,ARG,Argentina,2020,4,5,2020-04-04,1451.0,186.0,43.0,4.0,32.105,4.115,0.951,0.089,1.44,100.0
South America,ARG,Argentina,2020,4,6,2020-04-05,1451.0,0.0,44.0,1.0,32.105,0.0,0.974,0.022,1.41,100.0
South America,ARG,Argentina,2020,4,0,2020-04-06,1554.0,103.0,48.0,4.0,34.384,2.279,1.062,0.089,1.38,100.0
South America,ARG,Argentina,2020,4,1,2020-04-07,1628.0,74.0,56.0,8.0,36.021,1.637,1.239,0.177,1.36,100.0
South America,ARG,Argentina,2020,4,2,2020-04-08,1715.0,87.0,63.0,7.0,37.946,1.925,1.394,0.155,1.35,100.0
South America,ARG,Argentina,2020,4,3,2020-04-09,1795.0,80.0,72.0,9.0,39.716,1.77,1.593,0.199,1.33,100.0
South America,ARG,Argentina,2020,4,4,2020-04-10,1975.0,180.0,82.0,10.0,43.699,3.983,1.814,0.221,1.32,100.0
South America,ARG,Argentina,2020,4,5,2020-04-11,1975.0,0.0,83.0,1.0,43.699,0.0,1.836,0.022,1.3,100.0
South America,ARG,Argentina,2020,4,6,2020-04-12,2142.0,167.0,90.0,7.0,47.394,3.695,1.991,0.155,1.3,100.0
South America,ARG,Argentina,2020,4,0,2020-04-13,2208.0,66.0,97.0,7.0,48.854,1.46,2.146,0.155,1.28,100.0
South America,ARG,Argentina,2020,4,1,2020-04-14,2277.0,69.0,102.0,5.0,50.381,1.527,2.257,0.111,1.28,100.0
South America,ARG,Argentina,2020,4,2,2020-04-15,2443.0,166.0,111.0,9.0,54.054,3.673,2.456,0.199,1.28,100.0
South America,ARG,Argentina,2020,4,3,2020-04-16,2571.0,128.0,115.0,4.0,56.886,2.832,2.544,0.089,1.27,100.0
