continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,AZE,Azerbaijan,2020,3,6,2020-03-01,3.0,3.0,,,0.296,0.296,,,,19.44
Asia,AZE,Azerbaijan,2020,3,0,2020-03-02,3.0,0.0,,,0.296,0.0,,,,19.44
Asia,AZE,Azerbaijan,2020,3,1,2020-03-03,3.0,0.0,,,0.296,0.0,,,,30.56
Asia,AZE,Azerbaijan,2020,3,2,2020-03-04,3.0,0.0,,,0.296,0.0,,,,30.56
Asia,AZE,Azerbaijan,2020,3,3,2020-03-05,6.0,3.0,,,0.592,0.296,,,,30.56
Asia,AZE,Azerbaijan,2020,3,4,2020-03-06,6.0,0.0,,,0.592,0.0,,,,30.56
Asia,AZE,Azerbaijan,2020,3,5,2020-03-07,9.0,3.0,,,0.888,0.296,,,,30.56
Asia,AZE,Azerbaijan,2020,3,6,2020-03-08,9.0,0.0,,,0.888,0.0,,,,30.56
Asia,AZE,Azerbaijan,2020,3,0,2020-03-09,9.0,0.0,,,0.888,0.0,,,,30.56
Asia,AZE,Azerbaijan,2020,3,1,2020-03-10,11.0,2.0,,,1.085,0.197,,,,36.11
Asia,AZE,Azerbaijan,2020,3,2,2020-03-11,11.0,0.0,,,1.085,0.0,,,,36.11
Asia,AZE,Azerbaijan,2020,3,3,2020-03-12,11.0,0.0,,,1.085,0.0,,,,36.11
Asia,AZE,Azerbaijan,2020,3,4,2020-03-13,15.0,4.0,1.0,1.0,1.479,0.395,0.099,0.099,,36.11
Asia,AZE,Azerbaijan,2020,3,5,2020-03-14,15.0,0.0,1.0,0.0,1.479,0.0,0.099,0.0,,52.78
Asia,AZE,Azerbaijan,2020,3,6,2020-03-15,23.0,8.0,1.0,0.0,2.268,0.789,0.099,0.0,,52.78
Asia,AZE,Azerbaijan,2020,3,0,2020-03-16,28.0,5.0,1.0,0.0,2.762,0.493,0.099,0.0,,52.78
Asia,AZE,Azerbaijan,2020,3,1,2020-03-17,28.0,0.0,1.0,0.0,2.762,0.0,0.099,0.0,,52.78
Asia,AZE,Azerbaijan,2020,3,2,2020-03-18,28.0,0.0,1.0,0.0,2.762,0.0,0.099,0.0,,52.78
Asia,AZE,Azerbaijan,2020,3,3,2020-03-19,44.0,16.0,1.0,0.0,4.34,1.578,0.099,0.0,,61.11
Asia,AZE,Azerbaijan,2020,3,4,2020-03-20,44.0,0.0,1.0,0.0,4.34,0.0,0.099,0.0,,61.11
Asia,AZE,Azerbaijan,2020,3,5,2020-03-21,53.0,9.0,1.0,0.0,5.227,0.888,0.099,0.0,,61.11
Asia,AZE,Azerbaijan,2020,3,6,2020-03-22,65.0,12.0,1.0,0.0,6.411,1.184,0.099,0.0,,61.11
Asia,AZE,Azerbaijan,2020,3,0,2020-03-23,72.0,7.0,1.0,0.0,7.101,0.69,0.099,0.0,,68.52
Asia,AZE,Azerbaijan,2020,3,1,2020-03-24,87.0,15.0,1.0,0.0,8.581,1.479,0.099,0.0,,68.52
Asia,AZE,Azerbaijan,2020,3,2,2020-03-25,93.0,6.0,2.0,1.0,9.172,0.592,0.197,0.099,,68.52
Asia,AZE,Azerbaijan,2020,3,3,2020-03-26,122.0,29.0,3.0,1.0,12.033,2.86,0.296,0.099,,68.52
Asia,AZE,Azerbaijan,2020,3,4,2020-03-27,165.0,43.0,3.0,0.0,16.274,4.241,0.296,0.0,1.76,68.52
Asia,AZE,Azerbaijan,2020,3,5,2020-03-28,182.0,17.0,4.0,1.0,17.95,1.677,0.395,0.099,1.67,68.52
Asia,AZE,Azerbaijan,2020,3,6,2020-03-29,209.0,27.0,4.0,0.0,20.613,2.663,0.395,0.0,1.69,68.52
Asia,AZE,Azerbaijan,2020,3,0,2020-03-30,273.0,64.0,4.0,0.0,26.925,6.312,0.395,0.0,1.76,68.52
Asia,AZE,Azerbaijan,2020,3,1,2020-03-31,298.0,25.0,5.0,1.0,29.391,2.466,0.493,0.099,1.67,88.89
Asia,AZE,Azerbaijan,2020,4,2,2020-04-01,359.0,61.0,5.0,0.0,35.407,6.016,0.493,0.0,1.68,88.89
Asia,AZE,Azerbaijan,2020,4,3,2020-04-02,400.0,41.0,5.0,0.0,39.451,4.044,0.493,0.0,1.63,88.89
Asia,AZE,Azerbaijan,2020,4,4,2020-04-03,443.0,43.0,5.0,0.0,43.692,4.241,0.493,0.0,1.61,88.89
Asia,AZE,Azerbaijan,2020,4,5,2020-04-04,521.0,78.0,5.0,0.0,51.385,7.693,0.493,0.0,1.64,88.89
Asia,AZE,Azerbaijan,2020,4,6,2020-04-05,584.0,63.0,7.0,2.0,57.598,6.214,0.69,0.197,1.58,88.89
Asia,AZE,Azerbaijan,2020,4,0,2020-04-06,641.0,57.0,7.0,0.0,63.22,5.622,0.69,0.0,1.54,88.89
Asia,AZE,Azerbaijan,2020,4,1,2020-04-07,717.0,76.0,8.0,1.0,70.716,7.496,0.789,0.099,1.53,88.89
Asia,AZE,Azerbaijan,2020,4,2,2020-04-08,822.0,105.0,8.0,0.0,81.072,10.356,0.789,0.0,1.5,88.89
Asia,AZE,Azerbaijan,2020,4,3,2020-04-09,926.0,104.0,9.0,1.0,91.329,10.257,0.888,0.099,1.4,88.89
Asia,AZE,Azerbaijan,2020,4,4,2020-04-10,991.0,65.0,10.0,1.0,97.74,6.411,0.986,0.099,1.25,88.89
