continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,BEL,Belgium,2020,2,1,2020-02-04,1.0,1.0,,,0.086,0.086,,,,11.11
Europe,BEL,Belgium,2020,2,2,2020-02-05,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,3,2020-02-06,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,4,2020-02-07,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,5,2020-02-08,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,6,2020-02-09,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,0,2020-02-10,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,1,2020-02-11,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,2,2020-02-12,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,3,2020-02-13,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,4,2020-02-14,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,5,2020-02-15,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,6,2020-02-16,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,0,2020-02-17,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,1,2020-02-18,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,2,2020-02-19,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,3,2020-02-20,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,4,2020-02-21,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,5,2020-02-22,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,6,2020-02-23,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,0,2020-02-24,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,1,2020-02-25,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,2,2020-02-26,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,3,2020-02-27,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,4,2020-02-28,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,2,5,2020-02-29,1.0,0.0,,,0.086,0.0,,,,11.11
Europe,BEL,Belgium,2020,3,6,2020-03-01,2.0,1.0,,,0.173,0.086,,,,11.11
Europe,BEL,Belgium,2020,3,0,2020-03-02,8.0,6.0,,,0.69,0.518,,,,11.11
Europe,BEL,Belgium,2020,3,1,2020-03-03,13.0,5.0,,,1.122,0.431,,,,11.11
Europe,BEL,Belgium,2020,3,2,2020-03-04,23.0,10.0,,,1.985,0.863,,,,13.89
Europe,BEL,Belgium,2020,3,3,2020-03-05,50.0,27.0,,,4.314,2.33,,,,13.89
Europe,BEL,Belgium,2020,3,4,2020-03-06,109.0,59.0,,,9.405,5.091,,,,13.89
Europe,BEL,Belgium,2020,3,5,2020-03-07,169.0,60.0,,,14.582,5.177,,,2.45,13.89
Europe,BEL,Belgium,2020,3,6,2020-03-08,200.0,31.0,,,17.257,2.675,,,2.42,13.89
Europe,BEL,Belgium,2020,3,0,2020-03-09,239.0,39.0,,,20.622,3.365,,,2.41,13.89
Europe,BEL,Belgium,2020,3,1,2020-03-10,267.0,28.0,,,23.038,2.416,,,2.42,19.44
Europe,BEL,Belgium,2020,3,2,2020-03-11,314.0,47.0,3.0,3.0,27.093,4.055,0.259,0.259,2.45,19.44
Europe,BEL,Belgium,2020,3,3,2020-03-12,314.0,0.0,3.0,0.0,27.093,0.0,0.259,0.0,2.5,19.44
Europe,BEL,Belgium,2020,3,4,2020-03-13,559.0,245.0,3.0,0.0,48.233,21.14,0.259,0.0,2.6,23.15
Europe,BEL,Belgium,2020,3,5,2020-03-14,689.0,130.0,4.0,1.0,59.45,11.217,0.345,0.086,2.55,50.93
Europe,BEL,Belgium,2020,3,6,2020-03-15,886.0,197.0,4.0,0.0,76.448,16.998,0.345,0.0,2.5,50.93
Europe,BEL,Belgium,2020,3,0,2020-03-16,1058.0,172.0,5.0,1.0,91.289,14.841,0.431,0.086,2.45,50.93
Europe,BEL,Belgium,2020,3,1,2020-03-17,1243.0,185.0,10.0,5.0,107.251,15.963,0.863,0.431,2.4,50.93
Europe,BEL,Belgium,2020,3,2,2020-03-18,1486.0,243.0,14.0,4.0,128.218,20.967,1.208,0.345,2.37,73.15
Europe,BEL,Belgium,2020,3,3,2020-03-19,1795.0,309.0,21.0,7.0,154.88,26.662,1.812,0.604,2.34,73.15
Europe,BEL,Belgium,2020,3,4,2020-03-20,2257.0,462.0,37.0,16.0,194.743,39.863,3.193,1.381,2.3,81.48
Europe,BEL,Belgium,2020,3,5,2020-03-21,2815.0,558.0,67.0,30.0,242.89,48.147,5.781,2.589,2.26,81.48
Europe,BEL,Belgium,2020,3,6,2020-03-22,3401.0,586.0,75.0,8.0,293.452,50.563,6.471,0.69,2.2,81.48
Europe,BEL,Belgium,2020,3,0,2020-03-23,3743.0,342.0,88.0,13.0,322.962,29.509,7.593,1.122,2.14,81.48
Europe,BEL,Belgium,2020,3,1,2020-03-24,4269.0,526.0,122.0,34.0,368.347,45.385,10.527,2.934,2.1,81.48
Europe,BEL,Belgium,2020,3,2,2020-03-25,4937.0,668.0,178.0,56.0,425.985,57.638,15.359,4.832,2.07,81.48
Europe,BEL,Belgium,2020,3,3,2020-03-26,6235.0,1298.0,220.0,42.0,537.982,111.997,18.983,3.624,2.04,81.48
Europe,BEL,Belgium,2020,3,4,2020-03-27,7284.0,1049.0,289.0,69.0,628.494,90.512,24.936,5.954,1.99,81.48
Europe,BEL,Belgium,2020,3,5,2020-03-28,9134.0,1850.0,353.0,64.0,788.119,159.626,30.458,5.522,1.93,81.48
Europe,BEL,Belgium,2020,3,6,2020-03-29,10836.0,1702.0,431.0,78.0,934.975,146.856,37.188,6.73,1.85,81.48
Europe,BEL,Belgium,2020,3,0,2020-03-30,11899.0,1063.0,513.0,82.0,1026.695,91.72,44.264,7.075,1.76,81.48
Europe,BEL,Belgium,2020,3,1,2020-03-31,12775.0,876.0,705.0,192.0,1102.28,75.585,60.83,16.567,1.68,81.48
Europe,BEL,Belgium,2020,4,2,2020-04-01,13964.0,1189.0,828.0,123.0,1204.872,102.592,71.443,10.613,1.62,81.48
Europe,BEL,Belgium,2020,4,3,2020-04-02,15348.0,1384.0,1011.0,183.0,1324.289,119.417,87.233,15.79,1.56,81.48
Europe,BEL,Belgium,2020,4,4,2020-04-03,16770.0,1422.0,1143.0,132.0,1446.985,122.696,98.623,11.39,1.51,81.48
Europe,BEL,Belgium,2020,4,5,2020-04-04,18431.0,1661.0,1283.0,140.0,1590.303,143.318,110.703,12.08,1.46,81.48
Europe,BEL,Belgium,2020,4,6,2020-04-05,19691.0,1260.0,1447.0,164.0,1699.021,108.718,124.853,14.151,1.4,81.48
Europe,BEL,Belgium,2020,4,0,2020-04-06,20814.0,1123.0,1632.0,185.0,1795.918,96.897,140.816,15.963,1.36,81.48
Europe,BEL,Belgium,2020,4,1,2020-04-07,22194.0,1380.0,2035.0,403.0,1914.99,119.072,175.588,34.773,1.32,81.48
Europe,BEL,Belgium,2020,4,2,2020-04-08,23403.0,1209.0,2240.0,205.0,2019.308,104.318,193.276,17.688,1.28,81.48
Europe,BEL,Belgium,2020,4,3,2020-04-09,24983.0,1580.0,2523.0,283.0,2155.637,136.329,217.695,24.418,1.25,81.48
Europe,BEL,Belgium,2020,4,4,2020-04-10,26667.0,1684.0,3019.0,496.0,2300.939,145.302,260.492,42.797,1.22,81.48
Europe,BEL,Belgium,2020,4,5,2020-04-11,28018.0,1351.0,3346.0,327.0,2417.509,116.57,288.707,28.215,1.18,81.48
Europe,BEL,Belgium,2020,4,6,2020-04-12,29647.0,1629.0,3600.0,254.0,2558.066,140.557,310.623,21.916,1.15,81.48
Europe,BEL,Belgium,2020,4,0,2020-04-13,30589.0,942.0,3903.0,303.0,2639.345,81.28,336.767,26.144,1.12,81.48
Europe,BEL,Belgium,2020,4,1,2020-04-14,31119.0,530.0,4157.0,254.0,2685.076,45.731,358.683,21.916,1.09,81.48
Europe,BEL,Belgium,2020,4,2,2020-04-15,33573.0,2454.0,4440.0,283.0,2896.817,211.741,383.102,24.418,1.08,81.48
Europe,BEL,Belgium,2020,4,3,2020-04-16,34809.0,1236.0,4857.0,417.0,3003.464,106.647,419.082,35.98,1.05,81.48
Europe,BEL,Belgium,2020,4,4,2020-04-17,36138.0,1329.0,5163.0,306.0,3118.136,114.672,445.485,26.403,1.02,81.48
Europe,BEL,Belgium,2020,4,5,2020-04-18,37183.0,1045.0,5453.0,290.0,3208.303,90.167,470.507,25.022,0.99,81.48
Europe,BEL,Belgium,2020,4,6,2020-04-19,38496.0,1313.0,5683.0,230.0,3321.594,113.291,490.353,19.845,0.97,81.48
Europe,BEL,Belgium,2020,4,0,2020-04-20,39983.0,1487.0,5828.0,145.0,3449.899,128.305,502.864,12.511,0.95,81.48
Europe,BEL,Belgium,2020,4,1,2020-04-21,40956.0,973.0,5998.0,170.0,3533.853,83.954,517.532,14.668,0.92,81.48
Europe,BEL,Belgium,2020,4,2,2020-04-22,41889.0,933.0,6262.0,264.0,3614.356,80.503,540.311,22.779,0.89,81.48
Europe,BEL,Belgium,2020,4,3,2020-04-23,42797.0,908.0,6490.0,228.0,3692.702,78.346,559.984,19.673,0.87,81.48
Europe,BEL,Belgium,2020,4,4,2020-04-24,44293.0,1496.0,6679.0,189.0,3821.783,129.081,576.292,16.308,0.85,81.48
Europe,BEL,Belgium,2020,4,5,2020-04-25,45325.0,1032.0,6917.0,238.0,3910.828,89.045,596.827,20.536,0.83,81.48
Europe,BEL,Belgium,2020,4,6,2020-04-26,46134.0,809.0,7094.0,177.0,3980.632,69.804,612.1,15.272,0.8,81.48
Europe,BEL,Belgium,2020,4,0,2020-04-27,46687.0,553.0,7207.0,113.0,4028.347,47.715,621.85,9.75,0.77,81.48
Europe,BEL,Belgium,2020,4,1,2020-04-28,47334.0,647.0,7331.0,124.0,4084.173,55.826,632.549,10.699,0.76,81.48
Europe,BEL,Belgium,2020,4,2,2020-04-29,47859.0,525.0,7501.0,170.0,4129.472,45.299,647.217,14.668,0.74,81.48
Europe,BEL,Belgium,2020,4,3,2020-04-30,48519.0,660.0,7594.0,93.0,4186.42,56.948,655.242,8.024,0.73,81.48
Europe,BEL,Belgium,2020,5,4,2020-05-01,49032.0,513.0,7703.0,109.0,4230.684,44.264,664.647,9.405,0.72,81.48
Europe,BEL,Belgium,2020,5,5,2020-05-02,49517.0,485.0,7765.0,62.0,4272.532,41.848,669.996,5.35,0.71,81.48
Europe,BEL,Belgium,2020,5,6,2020-05-03,49906.0,389.0,7844.0,79.0,4306.096,33.565,676.813,6.816,0.7,81.48
Europe,BEL,Belgium,2020,5,0,2020-05-04,50267.0,361.0,7924.0,80.0,4337.245,31.149,683.715,6.903,0.7,81.48
Europe,BEL,Belgium,2020,5,1,2020-05-05,50509.0,242.0,8016.0,92.0,4358.125,20.881,691.654,7.938,0.7,78.7
Europe,BEL,Belgium,2020,5,2,2020-05-06,50781.0,272.0,8339.0,323.0,4381.595,23.469,719.523,27.87,0.71,78.7
Europe,BEL,Belgium,2020,5,3,2020-05-07,51420.0,639.0,8415.0,76.0,4436.73,55.136,726.081,6.558,0.73,78.7
Europe,BEL,Belgium,2020,5,4,2020-05-08,52011.0,591.0,8521.0,106.0,4487.724,50.994,735.227,9.146,0.73,78.7
Europe,BEL,Belgium,2020,5,5,2020-05-09,52596.0,585.0,8581.0,60.0,4538.2,50.476,740.404,5.177,0.73,78.7
Europe,BEL,Belgium,2020,5,6,2020-05-10,53081.0,485.0,8656.0,75.0,4580.048,41.848,746.875,6.471,0.73,78.7
Europe,BEL,Belgium,2020,5,0,2020-05-11,53449.0,368.0,8707.0,51.0,4611.801,31.753,751.276,4.4,0.72,75.0
Europe,BEL,Belgium,2020,5,1,2020-05-12,53779.0,330.0,8761.0,54.0,4640.275,28.474,755.935,4.659,0.71,75.0
Europe,BEL,Belgium,2020,5,2,2020-05-13,53981.0,202.0,8843.0,82.0,4657.704,17.429,763.011,7.075,0.71,75.0
Europe,BEL,Belgium,2020,5,3,2020-05-14,54288.0,307.0,8903.0,60.0,4684.193,26.489,768.188,5.177,0.71,75.0
Europe,BEL,Belgium,2020,5,4,2020-05-15,54644.0,356.0,8959.0,56.0,4714.91,30.717,773.02,4.832,0.71,75.0
Europe,BEL,Belgium,2020,5,5,2020-05-16,54989.0,345.0,9005.0,46.0,4744.678,29.768,776.989,3.969,0.71,75.0
Europe,BEL,Belgium,2020,5,6,2020-05-17,55280.0,291.0,9052.0,47.0,4769.787,25.109,781.044,4.055,0.71,75.0
Europe,BEL,Belgium,2020,5,0,2020-05-18,55559.0,279.0,9080.0,28.0,4793.86,24.073,783.46,2.416,0.71,75.0
Europe,BEL,Belgium,2020,5,1,2020-05-19,55791.0,232.0,9108.0,28.0,4813.878,20.018,785.876,2.416,0.71,75.0
Europe,BEL,Belgium,2020,5,2,2020-05-20,55983.0,192.0,9150.0,42.0,4830.445,16.567,789.5,3.624,0.71,75.0
Europe,BEL,Belgium,2020,5,3,2020-05-21,56235.0,252.0,9186.0,36.0,4852.188,21.744,792.606,3.106,0.72,75.0
Europe,BEL,Belgium,2020,5,4,2020-05-22,56511.0,276.0,9212.0,26.0,4876.003,23.814,794.849,2.243,0.73,75.0
Europe,BEL,Belgium,2020,5,5,2020-05-23,56810.0,299.0,9237.0,25.0,4901.802,25.799,797.007,2.157,0.73,75.0
Europe,BEL,Belgium,2020,5,6,2020-05-24,57092.0,282.0,9280.0,43.0,4926.134,24.332,800.717,3.71,0.73,75.0
