continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,BEN,Benin,2020,3,0,2020-03-16,1.0,1.0,,,0.082,0.082,,,,16.67
Africa,BEN,Benin,2020,3,1,2020-03-17,1.0,0.0,,,0.082,0.0,,,,27.78
Africa,BEN,Benin,2020,3,2,2020-03-18,2.0,1.0,,,0.165,0.082,,,,27.78
Africa,BEN,Benin,2020,3,3,2020-03-19,2.0,0.0,,,0.165,0.0,,,,27.78
Africa,BEN,Benin,2020,3,4,2020-03-20,2.0,0.0,,,0.165,0.0,,,,27.78
Africa,BEN,Benin,2020,3,5,2020-03-21,2.0,0.0,,,0.165,0.0,,,,27.78
Africa,BEN,Benin,2020,3,6,2020-03-22,2.0,0.0,,,0.165,0.0,,,,27.78
Africa,BEN,Benin,2020,3,0,2020-03-23,5.0,3.0,,,0.412,0.247,,,,27.78
Africa,BEN,Benin,2020,3,1,2020-03-24,6.0,1.0,,,0.495,0.082,,,,27.78
Africa,BEN,Benin,2020,3,2,2020-03-25,6.0,0.0,,,0.495,0.0,,,,27.78
Africa,BEN,Benin,2020,3,3,2020-03-26,6.0,0.0,,,0.495,0.0,,,,27.78
Africa,BEN,Benin,2020,3,4,2020-03-27,6.0,0.0,,,0.495,0.0,,,,27.78
Africa,BEN,Benin,2020,3,5,2020-03-28,6.0,0.0,,,0.495,0.0,,,,27.78
Africa,BEN,Benin,2020,3,6,2020-03-29,6.0,0.0,,,0.495,0.0,,,,27.78
Africa,BEN,Benin,2020,3,0,2020-03-30,6.0,0.0,,,0.495,0.0,,,,70.83
Africa,BEN,Benin,2020,3,1,2020-03-31,9.0,3.0,,,0.742,0.247,,,,70.83
Africa,BEN,Benin,2020,4,2,2020-04-01,13.0,4.0,,,1.072,0.33,,,,70.83
Africa,BEN,Benin,2020,4,3,2020-04-02,13.0,0.0,,,1.072,0.0,,,,70.83
Africa,BEN,Benin,2020,4,4,2020-04-03,16.0,3.0,,,1.32,0.247,,,,70.83
Africa,BEN,Benin,2020,4,5,2020-04-04,16.0,0.0,,,1.32,0.0,,,,70.83
Africa,BEN,Benin,2020,4,6,2020-04-05,22.0,6.0,,,1.815,0.495,,,,70.83
Africa,BEN,Benin,2020,4,0,2020-04-06,26.0,4.0,1.0,1.0,2.145,0.33,0.082,0.082,,70.83
Africa,BEN,Benin,2020,4,1,2020-04-07,26.0,0.0,1.0,0.0,2.145,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,2,2020-04-08,26.0,0.0,1.0,0.0,2.145,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,3,2020-04-09,26.0,0.0,1.0,0.0,2.145,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,4,2020-04-10,35.0,9.0,1.0,0.0,2.887,0.742,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,5,2020-04-11,35.0,0.0,1.0,0.0,2.887,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,6,2020-04-12,35.0,0.0,1.0,0.0,2.887,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,0,2020-04-13,35.0,0.0,1.0,0.0,2.887,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,1,2020-04-14,35.0,0.0,1.0,0.0,2.887,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,2,2020-04-15,35.0,0.0,1.0,0.0,2.887,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,3,2020-04-16,35.0,0.0,1.0,0.0,2.887,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,4,2020-04-17,35.0,0.0,1.0,0.0,2.887,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,5,2020-04-18,35.0,0.0,1.0,0.0,2.887,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,6,2020-04-19,35.0,0.0,1.0,0.0,2.887,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,0,2020-04-20,54.0,19.0,1.0,0.0,4.454,1.567,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,1,2020-04-21,54.0,0.0,1.0,0.0,4.454,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,2,2020-04-22,54.0,0.0,1.0,0.0,4.454,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,3,2020-04-23,54.0,0.0,1.0,0.0,4.454,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,4,2020-04-24,54.0,0.0,1.0,0.0,4.454,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,5,2020-04-25,54.0,0.0,1.0,0.0,4.454,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,6,2020-04-26,64.0,10.0,1.0,0.0,5.279,0.825,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,0,2020-04-27,64.0,0.0,1.0,0.0,5.279,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,1,2020-04-28,64.0,0.0,1.0,0.0,5.279,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,2,2020-04-29,64.0,0.0,1.0,0.0,5.279,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,4,3,2020-04-30,64.0,0.0,1.0,0.0,5.279,0.0,0.082,0.0,,70.83
Africa,BEN,Benin,2020,5,4,2020-05-01,90.0,26.0,2.0,1.0,7.424,2.145,0.165,0.082,,70.83
Africa,BEN,Benin,2020,5,5,2020-05-02,90.0,0.0,2.0,0.0,7.424,0.0,0.165,0.0,,70.83
Africa,BEN,Benin,2020,5,6,2020-05-03,90.0,0.0,2.0,0.0,7.424,0.0,0.165,0.0,,70.83
Africa,BEN,Benin,2020,5,0,2020-05-04,96.0,6.0,2.0,0.0,7.919,0.495,0.165,0.0,,70.83
Africa,BEN,Benin,2020,5,1,2020-05-05,96.0,0.0,2.0,0.0,7.919,0.0,0.165,0.0,,70.83
Africa,BEN,Benin,2020,5,2,2020-05-06,96.0,0.0,2.0,0.0,7.919,0.0,0.165,0.0,,70.83
