continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,BGD,Bangladesh,2020,3,1,2020-03-03,,,,,,,,,,13.89
Asia,BGD,Bangladesh,2020,3,2,2020-03-04,,,,,,,,,,13.89
Asia,BGD,Bangladesh,2020,3,3,2020-03-05,,,,,,,,,,13.89
Asia,BGD,Bangladesh,2020,3,4,2020-03-06,,,,,,,,,,13.89
Asia,BGD,Bangladesh,2020,3,5,2020-03-07,,,,,,,,,,13.89
Asia,BGD,Bangladesh,2020,3,6,2020-03-08,3.0,3.0,,,0.018,0.018,,,,13.89
Asia,BGD,Bangladesh,2020,3,0,2020-03-09,3.0,0.0,,,0.018,0.0,,,,13.89
Asia,BGD,Bangladesh,2020,3,1,2020-03-10,3.0,0.0,,,0.018,0.0,,,,13.89
Asia,BGD,Bangladesh,2020,3,2,2020-03-11,3.0,0.0,,,0.018,0.0,,,,13.89
Asia,BGD,Bangladesh,2020,3,3,2020-03-12,3.0,0.0,,,0.018,0.0,,,,13.89
Asia,BGD,Bangladesh,2020,3,4,2020-03-13,3.0,0.0,,,0.018,0.0,,,,13.89
Asia,BGD,Bangladesh,2020,3,5,2020-03-14,3.0,0.0,,,0.018,0.0,,,,13.89
Asia,BGD,Bangladesh,2020,3,6,2020-03-15,5.0,2.0,,,0.03,0.012,,,,13.89
Asia,BGD,Bangladesh,2020,3,0,2020-03-16,8.0,3.0,,,0.049,0.018,,,,33.33
Asia,BGD,Bangladesh,2020,3,1,2020-03-17,10.0,2.0,,,0.061,0.012,,,,33.33
Asia,BGD,Bangladesh,2020,3,2,2020-03-18,14.0,4.0,1.0,1.0,0.085,0.024,0.006,0.006,,33.33
Asia,BGD,Bangladesh,2020,3,3,2020-03-19,17.0,3.0,1.0,0.0,0.103,0.018,0.006,0.0,,75.93
Asia,BGD,Bangladesh,2020,3,4,2020-03-20,20.0,3.0,1.0,0.0,0.121,0.018,0.006,0.0,,75.93
Asia,BGD,Bangladesh,2020,3,5,2020-03-21,25.0,5.0,2.0,1.0,0.152,0.03,0.012,0.006,,81.48
Asia,BGD,Bangladesh,2020,3,6,2020-03-22,27.0,2.0,2.0,0.0,0.164,0.012,0.012,0.0,,81.48
Asia,BGD,Bangladesh,2020,3,0,2020-03-23,33.0,6.0,3.0,1.0,0.2,0.036,0.018,0.006,,81.48
Asia,BGD,Bangladesh,2020,3,1,2020-03-24,39.0,6.0,4.0,1.0,0.237,0.036,0.024,0.006,,81.48
Asia,BGD,Bangladesh,2020,3,2,2020-03-25,39.0,0.0,5.0,1.0,0.237,0.0,0.03,0.006,,82.41
Asia,BGD,Bangladesh,2020,3,3,2020-03-26,44.0,5.0,5.0,0.0,0.267,0.03,0.03,0.0,,84.26
Asia,BGD,Bangladesh,2020,3,4,2020-03-27,48.0,4.0,5.0,0.0,0.291,0.024,0.03,0.0,,84.26
Asia,BGD,Bangladesh,2020,3,5,2020-03-28,48.0,0.0,5.0,0.0,0.291,0.0,0.03,0.0,,84.26
Asia,BGD,Bangladesh,2020,3,6,2020-03-29,48.0,0.0,5.0,0.0,0.291,0.0,0.03,0.0,,84.26
Asia,BGD,Bangladesh,2020,3,0,2020-03-30,49.0,1.0,5.0,0.0,0.298,0.006,0.03,0.0,,84.26
Asia,BGD,Bangladesh,2020,3,1,2020-03-31,51.0,2.0,5.0,0.0,0.31,0.012,0.03,0.0,,87.04
Asia,BGD,Bangladesh,2020,4,2,2020-04-01,54.0,3.0,6.0,1.0,0.328,0.018,0.036,0.006,,87.04
Asia,BGD,Bangladesh,2020,4,3,2020-04-02,56.0,2.0,6.0,0.0,0.34,0.012,0.036,0.0,,87.04
Asia,BGD,Bangladesh,2020,4,4,2020-04-03,61.0,5.0,6.0,0.0,0.37,0.03,0.036,0.0,,87.04
Asia,BGD,Bangladesh,2020,4,5,2020-04-04,70.0,9.0,8.0,2.0,0.425,0.055,0.049,0.012,,87.04
Asia,BGD,Bangladesh,2020,4,6,2020-04-05,88.0,18.0,9.0,1.0,0.534,0.109,0.055,0.006,,87.04
Asia,BGD,Bangladesh,2020,4,0,2020-04-06,123.0,35.0,12.0,3.0,0.747,0.213,0.073,0.018,,87.04
Asia,BGD,Bangladesh,2020,4,1,2020-04-07,164.0,41.0,17.0,5.0,0.996,0.249,0.103,0.03,2.66,87.04
Asia,BGD,Bangladesh,2020,4,2,2020-04-08,218.0,54.0,20.0,3.0,1.324,0.328,0.121,0.018,2.7,87.04
Asia,BGD,Bangladesh,2020,4,3,2020-04-09,330.0,112.0,21.0,1.0,2.004,0.68,0.128,0.006,2.75,87.04
