continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,BGR,Bulgaria,2020,3,6,2020-03-08,4.0,4.0,,,0.576,0.576,,,,21.3
Europe,BGR,Bulgaria,2020,3,0,2020-03-09,4.0,0.0,,,0.576,0.0,,,,21.3
Europe,BGR,Bulgaria,2020,3,1,2020-03-10,4.0,0.0,,,0.576,0.0,,,,21.3
Europe,BGR,Bulgaria,2020,3,2,2020-03-11,7.0,3.0,1.0,1.0,1.007,0.432,0.144,0.144,,26.85
Europe,BGR,Bulgaria,2020,3,3,2020-03-12,7.0,0.0,1.0,0.0,1.007,0.0,0.144,0.0,,26.85
Europe,BGR,Bulgaria,2020,3,4,2020-03-13,23.0,16.0,1.0,0.0,3.31,2.303,0.144,0.0,,50.93
Europe,BGR,Bulgaria,2020,3,5,2020-03-14,41.0,18.0,2.0,1.0,5.901,2.591,0.288,0.144,,50.93
Europe,BGR,Bulgaria,2020,3,6,2020-03-15,51.0,10.0,2.0,0.0,7.34,1.439,0.288,0.0,,50.93
Europe,BGR,Bulgaria,2020,3,0,2020-03-16,52.0,1.0,2.0,0.0,7.484,0.144,0.288,0.0,,50.93
Europe,BGR,Bulgaria,2020,3,1,2020-03-17,67.0,15.0,2.0,0.0,9.642,2.159,0.288,0.0,,56.48
Europe,BGR,Bulgaria,2020,3,2,2020-03-18,92.0,25.0,2.0,0.0,13.24,3.598,0.288,0.0,,70.37
Europe,BGR,Bulgaria,2020,3,3,2020-03-19,94.0,2.0,3.0,1.0,13.528,0.288,0.432,0.144,,70.37
Europe,BGR,Bulgaria,2020,3,4,2020-03-20,127.0,33.0,3.0,0.0,18.277,4.749,0.432,0.0,,70.37
Europe,BGR,Bulgaria,2020,3,5,2020-03-21,163.0,36.0,3.0,0.0,23.458,5.181,0.432,0.0,1.19,73.15
Europe,BGR,Bulgaria,2020,3,6,2020-03-22,187.0,24.0,3.0,0.0,26.912,3.454,0.432,0.0,1.18,73.15
Europe,BGR,Bulgaria,2020,3,0,2020-03-23,201.0,14.0,3.0,0.0,28.927,2.015,0.432,0.0,1.16,73.15
Europe,BGR,Bulgaria,2020,3,1,2020-03-24,218.0,17.0,3.0,0.0,31.374,2.447,0.432,0.0,1.16,73.15
Europe,BGR,Bulgaria,2020,3,2,2020-03-25,242.0,24.0,3.0,0.0,34.828,3.454,0.432,0.0,1.16,73.15
Europe,BGR,Bulgaria,2020,3,3,2020-03-26,264.0,22.0,3.0,0.0,37.994,3.166,0.432,0.0,1.15,73.15
Europe,BGR,Bulgaria,2020,3,4,2020-03-27,293.0,29.0,3.0,0.0,42.168,4.174,0.432,0.0,1.16,73.15
Europe,BGR,Bulgaria,2020,3,5,2020-03-28,331.0,38.0,7.0,4.0,47.637,5.469,1.007,0.576,1.15,73.15
Europe,BGR,Bulgaria,2020,3,6,2020-03-29,346.0,15.0,8.0,1.0,49.795,2.159,1.151,0.144,1.14,73.15
Europe,BGR,Bulgaria,2020,3,0,2020-03-30,359.0,13.0,8.0,0.0,51.666,1.871,1.151,0.0,1.13,73.15
Europe,BGR,Bulgaria,2020,3,1,2020-03-31,399.0,40.0,8.0,0.0,57.423,5.757,1.151,0.0,1.14,73.15
Europe,BGR,Bulgaria,2020,4,2,2020-04-01,422.0,23.0,10.0,2.0,60.733,3.31,1.439,0.288,1.13,71.3
Europe,BGR,Bulgaria,2020,4,3,2020-04-02,457.0,35.0,10.0,0.0,65.77,5.037,1.439,0.0,1.12,71.3
Europe,BGR,Bulgaria,2020,4,4,2020-04-03,485.0,28.0,14.0,4.0,69.8,4.03,2.015,0.576,1.11,71.3
Europe,BGR,Bulgaria,2020,4,5,2020-04-04,503.0,18.0,17.0,3.0,72.39,2.591,2.447,0.432,1.1,71.3
Europe,BGR,Bulgaria,2020,4,6,2020-04-05,531.0,28.0,20.0,3.0,76.42,4.03,2.878,0.432,1.09,71.3
Europe,BGR,Bulgaria,2020,4,0,2020-04-06,549.0,18.0,22.0,2.0,79.01,2.591,3.166,0.288,1.09,71.3
Europe,BGR,Bulgaria,2020,4,1,2020-04-07,577.0,28.0,23.0,1.0,83.04,4.03,3.31,0.144,1.09,71.3
Europe,BGR,Bulgaria,2020,4,2,2020-04-08,593.0,16.0,24.0,1.0,85.343,2.303,3.454,0.144,1.09,71.3
Europe,BGR,Bulgaria,2020,4,3,2020-04-09,618.0,25.0,24.0,0.0,88.941,3.598,3.454,0.0,1.09,71.3
Europe,BGR,Bulgaria,2020,4,4,2020-04-10,635.0,17.0,25.0,1.0,91.387,2.447,3.598,0.144,1.1,71.3
Europe,BGR,Bulgaria,2020,4,5,2020-04-11,661.0,26.0,28.0,3.0,95.129,3.742,4.03,0.432,1.11,71.3
Europe,BGR,Bulgaria,2020,4,6,2020-04-12,675.0,14.0,29.0,1.0,97.144,2.015,4.174,0.144,1.13,71.3
Europe,BGR,Bulgaria,2020,4,0,2020-04-13,685.0,10.0,32.0,3.0,98.583,1.439,4.605,0.432,1.15,71.3
Europe,BGR,Bulgaria,2020,4,1,2020-04-14,713.0,28.0,35.0,3.0,102.613,4.03,5.037,0.432,1.18,71.3
Europe,BGR,Bulgaria,2020,4,2,2020-04-15,747.0,34.0,36.0,1.0,107.506,4.893,5.181,0.144,1.21,73.15
Europe,BGR,Bulgaria,2020,4,3,2020-04-16,800.0,53.0,38.0,2.0,115.134,7.628,5.469,0.288,1.23,73.15
Europe,BGR,Bulgaria,2020,4,4,2020-04-17,846.0,46.0,41.0,3.0,121.754,6.62,5.901,0.432,1.24,73.15
Europe,BGR,Bulgaria,2020,4,5,2020-04-18,878.0,32.0,41.0,0.0,126.359,4.605,5.901,0.0,1.24,73.15
Europe,BGR,Bulgaria,2020,4,6,2020-04-19,894.0,16.0,42.0,1.0,128.662,2.303,6.045,0.144,1.24,73.15
Europe,BGR,Bulgaria,2020,4,0,2020-04-20,929.0,35.0,43.0,1.0,133.699,5.037,6.188,0.144,1.25,73.15
Europe,BGR,Bulgaria,2020,4,1,2020-04-21,975.0,46.0,45.0,2.0,140.319,6.62,6.476,0.288,1.27,73.15
Europe,BGR,Bulgaria,2020,4,2,2020-04-22,1024.0,49.0,49.0,4.0,147.371,7.052,7.052,0.576,1.28,73.15
Europe,BGR,Bulgaria,2020,4,3,2020-04-23,1097.0,73.0,52.0,3.0,157.877,10.506,7.484,0.432,1.28,73.15
Europe,BGR,Bulgaria,2020,4,4,2020-04-24,1234.0,137.0,54.0,2.0,177.594,19.717,7.772,0.288,1.27,73.15
Europe,BGR,Bulgaria,2020,4,5,2020-04-25,1247.0,13.0,55.0,1.0,179.465,1.871,7.915,0.144,1.22,73.15
Europe,BGR,Bulgaria,2020,4,6,2020-04-26,1300.0,53.0,56.0,1.0,187.092,7.628,8.059,0.144,1.2,73.15
Europe,BGR,Bulgaria,2020,4,0,2020-04-27,1363.0,63.0,58.0,2.0,196.159,9.067,8.347,0.288,1.17,73.15
