continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,BHR,Bahrain,2020,2,0,2020-02-24,1.0,1.0,,,0.588,0.588,,,,25.0
Asia,BHR,Bahrain,2020,2,1,2020-02-25,23.0,22.0,,,13.517,12.929,,,,25.0
Asia,BHR,Bahrain,2020,2,2,2020-02-26,33.0,10.0,,,19.394,5.877,,,,30.56
Asia,BHR,Bahrain,2020,2,3,2020-02-27,33.0,0.0,,,19.394,0.0,,,,30.56
Asia,BHR,Bahrain,2020,2,4,2020-02-28,36.0,3.0,,,21.157,1.763,,,,30.56
Asia,BHR,Bahrain,2020,2,5,2020-02-29,41.0,5.0,,,24.095,2.938,,,,30.56
Asia,BHR,Bahrain,2020,3,6,2020-03-01,47.0,6.0,,,27.621,3.526,,,,30.56
Asia,BHR,Bahrain,2020,3,0,2020-03-02,49.0,2.0,,,28.797,1.175,,,,30.56
Asia,BHR,Bahrain,2020,3,1,2020-03-03,49.0,0.0,,,28.797,0.0,,,,30.56
Asia,BHR,Bahrain,2020,3,2,2020-03-04,52.0,3.0,,,30.56,1.763,,,,30.56
Asia,BHR,Bahrain,2020,3,3,2020-03-05,55.0,3.0,,,32.323,1.763,,,,30.56
Asia,BHR,Bahrain,2020,3,4,2020-03-06,60.0,5.0,,,35.261,2.938,,,,30.56
Asia,BHR,Bahrain,2020,3,5,2020-03-07,85.0,25.0,,,49.953,14.692,,,,30.56
Asia,BHR,Bahrain,2020,3,6,2020-03-08,85.0,0.0,,,49.953,0.0,,,,30.56
Asia,BHR,Bahrain,2020,3,0,2020-03-09,95.0,10.0,,,55.83,5.877,,,,30.56
Asia,BHR,Bahrain,2020,3,1,2020-03-10,110.0,15.0,,,64.646,8.815,,,,30.56
Asia,BHR,Bahrain,2020,3,2,2020-03-11,195.0,85.0,,,114.599,49.953,,,1.31,30.56
Asia,BHR,Bahrain,2020,3,3,2020-03-12,195.0,0.0,,,114.599,0.0,,,1.3,30.56
Asia,BHR,Bahrain,2020,3,4,2020-03-13,195.0,0.0,,,114.599,0.0,,,1.29,30.56
Asia,BHR,Bahrain,2020,3,5,2020-03-14,210.0,15.0,,,123.414,8.815,,,1.29,30.56
Asia,BHR,Bahrain,2020,3,6,2020-03-15,214.0,4.0,,,125.765,2.351,,,1.28,30.56
Asia,BHR,Bahrain,2020,3,0,2020-03-16,214.0,0.0,1.0,1.0,125.765,0.0,0.588,0.588,1.28,30.56
Asia,BHR,Bahrain,2020,3,1,2020-03-17,228.0,14.0,1.0,0.0,133.993,8.228,0.588,0.0,1.29,30.56
Asia,BHR,Bahrain,2020,3,2,2020-03-18,256.0,28.0,1.0,0.0,150.448,16.455,0.588,0.0,1.29,66.67
Asia,BHR,Bahrain,2020,3,3,2020-03-19,278.0,22.0,1.0,0.0,163.377,12.929,0.588,0.0,1.29,66.67
Asia,BHR,Bahrain,2020,3,4,2020-03-20,285.0,7.0,1.0,0.0,167.491,4.114,0.588,0.0,1.3,66.67
Asia,BHR,Bahrain,2020,3,5,2020-03-21,305.0,20.0,1.0,0.0,179.245,11.754,0.588,0.0,1.3,66.67
Asia,BHR,Bahrain,2020,3,6,2020-03-22,334.0,29.0,2.0,1.0,196.288,17.043,1.175,0.588,1.31,69.44
Asia,BHR,Bahrain,2020,3,0,2020-03-23,377.0,43.0,2.0,0.0,221.558,25.271,1.175,0.0,1.31,69.44
Asia,BHR,Bahrain,2020,3,1,2020-03-24,392.0,15.0,3.0,1.0,230.374,8.815,1.763,0.588,1.31,69.44
Asia,BHR,Bahrain,2020,3,2,2020-03-25,419.0,27.0,4.0,1.0,246.241,15.868,2.351,0.588,1.31,69.44
Asia,BHR,Bahrain,2020,3,3,2020-03-26,458.0,39.0,4.0,0.0,269.161,22.92,2.351,0.0,1.31,73.15
Asia,BHR,Bahrain,2020,3,4,2020-03-27,466.0,8.0,4.0,0.0,273.863,4.702,2.351,0.0,1.31,73.15
Asia,BHR,Bahrain,2020,3,5,2020-03-28,476.0,10.0,4.0,0.0,279.74,5.877,2.351,0.0,1.31,78.7
Asia,BHR,Bahrain,2020,3,6,2020-03-29,499.0,23.0,4.0,0.0,293.256,13.517,2.351,0.0,1.32,78.7
Asia,BHR,Bahrain,2020,3,0,2020-03-30,515.0,16.0,4.0,0.0,302.659,9.403,2.351,0.0,1.33,78.7
Asia,BHR,Bahrain,2020,3,1,2020-03-31,567.0,52.0,4.0,0.0,333.219,30.56,2.351,0.0,1.34,78.7
Asia,BHR,Bahrain,2020,4,2,2020-04-01,569.0,2.0,4.0,0.0,334.395,1.175,2.351,0.0,1.34,78.7
Asia,BHR,Bahrain,2020,4,3,2020-04-02,643.0,74.0,4.0,0.0,377.883,43.489,2.351,0.0,1.35,78.7
Asia,BHR,Bahrain,2020,4,4,2020-04-03,672.0,29.0,4.0,0.0,394.926,17.043,2.351,0.0,1.35,78.7
Asia,BHR,Bahrain,2020,4,5,2020-04-04,688.0,16.0,4.0,0.0,404.329,9.403,2.351,0.0,1.35,78.7
Asia,BHR,Bahrain,2020,4,6,2020-04-05,700.0,12.0,4.0,0.0,411.382,7.052,2.351,0.0,1.36,78.7
Asia,BHR,Bahrain,2020,4,0,2020-04-06,756.0,56.0,4.0,0.0,444.292,32.911,2.351,0.0,1.37,78.7
Asia,BHR,Bahrain,2020,4,1,2020-04-07,811.0,55.0,5.0,1.0,476.615,32.323,2.938,0.588,1.37,78.7
Asia,BHR,Bahrain,2020,4,2,2020-04-08,823.0,12.0,5.0,0.0,483.667,7.052,2.938,0.0,1.37,78.7
Asia,BHR,Bahrain,2020,4,3,2020-04-09,887.0,64.0,5.0,0.0,521.279,37.612,2.938,0.0,1.38,75.0
Asia,BHR,Bahrain,2020,4,4,2020-04-10,925.0,38.0,6.0,1.0,543.611,22.332,3.526,0.588,1.39,75.0
Asia,BHR,Bahrain,2020,4,5,2020-04-11,1040.0,115.0,6.0,0.0,611.196,67.584,3.526,0.0,1.39,75.0
Asia,BHR,Bahrain,2020,4,6,2020-04-12,1136.0,96.0,6.0,0.0,667.614,56.418,3.526,0.0,1.39,75.0
Asia,BHR,Bahrain,2020,4,0,2020-04-13,1361.0,225.0,6.0,0.0,799.843,132.23,3.526,0.0,1.39,75.0
Asia,BHR,Bahrain,2020,4,1,2020-04-14,1528.0,167.0,7.0,1.0,897.987,98.144,4.114,0.588,1.38,75.0
Asia,BHR,Bahrain,2020,4,2,2020-04-15,1671.0,143.0,7.0,0.0,982.027,84.039,4.114,0.0,1.37,75.0
Asia,BHR,Bahrain,2020,4,3,2020-04-16,1700.0,29.0,7.0,0.0,999.07,17.043,4.114,0.0,1.35,75.0
Asia,BHR,Bahrain,2020,4,4,2020-04-17,1740.0,40.0,7.0,0.0,1022.577,23.508,4.114,0.0,1.34,75.0
Asia,BHR,Bahrain,2020,4,5,2020-04-18,1773.0,33.0,7.0,0.0,1041.971,19.394,4.114,0.0,1.34,75.0
Asia,BHR,Bahrain,2020,4,6,2020-04-19,1881.0,108.0,7.0,0.0,1105.441,63.47,4.114,0.0,1.33,75.0
Asia,BHR,Bahrain,2020,4,0,2020-04-20,1907.0,26.0,7.0,0.0,1120.721,15.28,4.114,0.0,1.33,75.0
Asia,BHR,Bahrain,2020,4,1,2020-04-21,1973.0,66.0,7.0,0.0,1159.509,38.787,4.114,0.0,1.33,75.0
Asia,BHR,Bahrain,2020,4,2,2020-04-22,2027.0,54.0,7.0,0.0,1191.244,31.735,4.114,0.0,1.33,75.0
Asia,BHR,Bahrain,2020,4,3,2020-04-23,2217.0,190.0,8.0,1.0,1302.904,111.661,4.702,0.588,1.33,75.0
Asia,BHR,Bahrain,2020,4,4,2020-04-24,2518.0,301.0,8.0,0.0,1479.799,176.894,4.702,0.0,1.33,75.0
Asia,BHR,Bahrain,2020,4,5,2020-04-25,2588.0,70.0,8.0,0.0,1520.937,41.138,4.702,0.0,1.32,75.0
Asia,BHR,Bahrain,2020,4,6,2020-04-26,2647.0,59.0,8.0,0.0,1555.61,34.674,4.702,0.0,1.31,75.0
Asia,BHR,Bahrain,2020,4,0,2020-04-27,2723.0,76.0,8.0,0.0,1600.275,44.664,4.702,0.0,1.3,75.0
Asia,BHR,Bahrain,2020,4,1,2020-04-28,2811.0,88.0,8.0,0.0,1651.991,51.717,4.702,0.0,1.3,75.0
Asia,BHR,Bahrain,2020,4,2,2020-04-29,2921.0,110.0,8.0,0.0,1716.637,64.646,4.702,0.0,1.3,75.0
Asia,BHR,Bahrain,2020,4,3,2020-04-30,3040.0,119.0,8.0,0.0,1786.572,69.935,4.702,0.0,1.3,75.0
Asia,BHR,Bahrain,2020,5,4,2020-05-01,3170.0,130.0,8.0,0.0,1862.971,76.399,4.702,0.0,1.3,75.0
Asia,BHR,Bahrain,2020,5,5,2020-05-02,3284.0,114.0,8.0,0.0,1929.968,66.996,4.702,0.0,1.3,75.0
Asia,BHR,Bahrain,2020,5,6,2020-05-03,3383.0,99.0,8.0,0.0,1988.149,58.181,4.702,0.0,1.3,75.0
Asia,BHR,Bahrain,2020,5,0,2020-05-04,3533.0,150.0,8.0,0.0,2076.302,88.153,4.702,0.0,1.3,75.0
Asia,BHR,Bahrain,2020,5,1,2020-05-05,3720.0,187.0,8.0,0.0,2186.2,109.898,4.702,0.0,1.3,75.0
Asia,BHR,Bahrain,2020,5,2,2020-05-06,3934.0,214.0,8.0,0.0,2311.965,125.765,4.702,0.0,1.3,75.0
Asia,BHR,Bahrain,2020,5,3,2020-05-07,4199.0,265.0,8.0,0.0,2467.702,155.737,4.702,0.0,1.3,75.0
Asia,BHR,Bahrain,2020,5,4,2020-05-08,4444.0,245.0,8.0,0.0,2611.686,143.984,4.702,0.0,1.3,75.0
Asia,BHR,Bahrain,2020,5,5,2020-05-09,4774.0,330.0,8.0,0.0,2805.623,193.937,4.702,0.0,1.29,75.0
Asia,BHR,Bahrain,2020,5,6,2020-05-10,4941.0,167.0,8.0,0.0,2903.767,98.144,4.702,0.0,1.29,75.0
Asia,BHR,Bahrain,2020,5,0,2020-05-11,5236.0,295.0,8.0,0.0,3077.135,173.368,4.702,0.0,1.28,75.0
Asia,BHR,Bahrain,2020,5,1,2020-05-12,5531.0,295.0,9.0,1.0,3250.503,173.368,5.289,0.588,1.27,75.0
Asia,BHR,Bahrain,2020,5,2,2020-05-13,5816.0,285.0,10.0,1.0,3417.994,167.491,5.877,0.588,1.27,75.0
Asia,BHR,Bahrain,2020,5,3,2020-05-14,6198.0,382.0,10.0,0.0,3642.491,224.497,5.877,0.0,1.26,75.0
Asia,BHR,Bahrain,2020,5,4,2020-05-15,6583.0,385.0,12.0,2.0,3868.75,226.26,7.052,1.175,1.25,75.0
Asia,BHR,Bahrain,2020,5,5,2020-05-16,6747.0,164.0,12.0,0.0,3965.131,96.381,7.052,0.0,1.24,75.0
Asia,BHR,Bahrain,2020,5,6,2020-05-17,6956.0,209.0,12.0,0.0,4087.958,122.827,7.052,0.0,1.24,75.0
Asia,BHR,Bahrain,2020,5,0,2020-05-18,7184.0,228.0,12.0,0.0,4221.951,133.993,7.052,0.0,1.23,75.0
Asia,BHR,Bahrain,2020,5,1,2020-05-19,7532.0,348.0,12.0,0.0,4426.466,204.515,7.052,0.0,1.23,75.0
Asia,BHR,Bahrain,2020,5,2,2020-05-20,7888.0,356.0,12.0,0.0,4635.683,209.217,7.052,0.0,1.22,75.0
Asia,BHR,Bahrain,2020,5,3,2020-05-21,8174.0,286.0,12.0,0.0,4803.762,168.079,7.052,0.0,1.22,75.0
