continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
North America,BHS,Bahamas,2020,3,0,2020-03-16,1.0,1.0,,,2.543,2.543,,,,22.22
North America,BHS,Bahamas,2020,3,1,2020-03-17,1.0,0.0,,,2.543,0.0,,,,22.22
North America,BHS,Bahamas,2020,3,2,2020-03-18,1.0,0.0,,,2.543,0.0,,,,22.22
North America,BHS,Bahamas,2020,3,3,2020-03-19,3.0,2.0,,,7.629,5.086,,,,22.22
North America,BHS,Bahamas,2020,3,4,2020-03-20,3.0,0.0,,,7.629,0.0,,,,74.07
North America,BHS,Bahamas,2020,3,5,2020-03-21,4.0,1.0,,,10.172,2.543,,,,74.07
North America,BHS,Bahamas,2020,3,6,2020-03-22,4.0,0.0,,,10.172,0.0,,,,74.07
North America,BHS,Bahamas,2020,3,0,2020-03-23,4.0,0.0,,,10.172,0.0,,,,74.07
North America,BHS,Bahamas,2020,3,1,2020-03-24,5.0,1.0,,,12.715,2.543,,,,96.3
North America,BHS,Bahamas,2020,3,2,2020-03-25,5.0,0.0,,,12.715,0.0,,,,96.3
North America,BHS,Bahamas,2020,3,3,2020-03-26,9.0,4.0,,,22.886,10.172,,,,96.3
North America,BHS,Bahamas,2020,3,4,2020-03-27,10.0,1.0,,,25.429,2.543,,,,96.3
North America,BHS,Bahamas,2020,3,5,2020-03-28,10.0,0.0,,,25.429,0.0,,,,96.3
North America,BHS,Bahamas,2020,3,6,2020-03-29,11.0,1.0,,,27.972,2.543,,,,96.3
North America,BHS,Bahamas,2020,3,0,2020-03-30,14.0,3.0,,,35.601,7.629,,,,96.3
North America,BHS,Bahamas,2020,3,1,2020-03-31,14.0,0.0,,,35.601,0.0,,,,96.3
North America,BHS,Bahamas,2020,4,2,2020-04-01,21.0,7.0,1.0,1.0,53.401,17.8,2.543,2.543,,96.3
North America,BHS,Bahamas,2020,4,3,2020-04-02,24.0,3.0,1.0,0.0,61.03,7.629,2.543,0.0,,96.3
North America,BHS,Bahamas,2020,4,4,2020-04-03,24.0,0.0,1.0,0.0,61.03,0.0,2.543,0.0,,96.3
North America,BHS,Bahamas,2020,4,5,2020-04-04,28.0,4.0,4.0,3.0,71.202,10.172,10.172,7.629,,96.3
North America,BHS,Bahamas,2020,4,6,2020-04-05,28.0,0.0,4.0,0.0,71.202,0.0,10.172,0.0,,96.3
North America,BHS,Bahamas,2020,4,0,2020-04-06,29.0,1.0,5.0,1.0,73.745,2.543,12.715,2.543,,96.3
North America,BHS,Bahamas,2020,4,1,2020-04-07,33.0,4.0,6.0,1.0,83.917,10.172,15.258,2.543,,96.3
North America,BHS,Bahamas,2020,4,2,2020-04-08,40.0,7.0,7.0,1.0,101.717,17.8,17.8,2.543,,96.3
North America,BHS,Bahamas,2020,4,3,2020-04-09,41.0,1.0,8.0,1.0,104.26,2.543,20.343,2.543,,96.3
North America,BHS,Bahamas,2020,4,4,2020-04-10,42.0,1.0,8.0,0.0,106.803,2.543,20.343,0.0,,96.3
North America,BHS,Bahamas,2020,4,5,2020-04-11,46.0,4.0,8.0,0.0,116.975,10.172,20.343,0.0,,96.3
North America,BHS,Bahamas,2020,4,6,2020-04-12,46.0,0.0,8.0,0.0,116.975,0.0,20.343,0.0,,96.3
North America,BHS,Bahamas,2020,4,0,2020-04-13,47.0,1.0,8.0,0.0,119.517,2.543,20.343,0.0,,96.3
North America,BHS,Bahamas,2020,4,1,2020-04-14,49.0,2.0,8.0,0.0,124.603,5.086,20.343,0.0,,96.3
North America,BHS,Bahamas,2020,4,2,2020-04-15,49.0,0.0,8.0,0.0,124.603,0.0,20.343,0.0,,96.3
North America,BHS,Bahamas,2020,4,3,2020-04-16,53.0,4.0,8.0,0.0,134.775,10.172,20.343,0.0,,96.3
