continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,BIH,Bosnia and Herzegovina,2020,3,3,2020-03-05,2.0,2.0,,,0.61,0.61,,,,11.11
Europe,BIH,Bosnia and Herzegovina,2020,3,4,2020-03-06,2.0,0.0,,,0.61,0.0,,,,11.11
Europe,BIH,Bosnia and Herzegovina,2020,3,5,2020-03-07,3.0,1.0,,,0.914,0.305,,,,11.11
Europe,BIH,Bosnia and Herzegovina,2020,3,6,2020-03-08,3.0,0.0,,,0.914,0.0,,,,11.11
Europe,BIH,Bosnia and Herzegovina,2020,3,0,2020-03-09,3.0,0.0,,,0.914,0.0,,,,11.11
Europe,BIH,Bosnia and Herzegovina,2020,3,1,2020-03-10,5.0,2.0,,,1.524,0.61,,,,29.17
Europe,BIH,Bosnia and Herzegovina,2020,3,2,2020-03-11,7.0,2.0,,,2.134,0.61,,,,40.28
Europe,BIH,Bosnia and Herzegovina,2020,3,3,2020-03-12,11.0,4.0,,,3.353,1.219,,,,40.28
Europe,BIH,Bosnia and Herzegovina,2020,3,4,2020-03-13,13.0,2.0,,,3.962,0.61,,,,40.28
Europe,BIH,Bosnia and Herzegovina,2020,3,5,2020-03-14,18.0,5.0,,,5.486,1.524,,,,40.28
Europe,BIH,Bosnia and Herzegovina,2020,3,6,2020-03-15,24.0,6.0,,,7.315,1.829,,,,40.28
Europe,BIH,Bosnia and Herzegovina,2020,3,0,2020-03-16,25.0,1.0,,,7.62,0.305,,,,45.83
Europe,BIH,Bosnia and Herzegovina,2020,3,1,2020-03-17,26.0,1.0,,,7.925,0.305,,,,70.83
Europe,BIH,Bosnia and Herzegovina,2020,3,2,2020-03-18,38.0,12.0,,,11.582,3.658,,,,77.78
Europe,BIH,Bosnia and Herzegovina,2020,3,3,2020-03-19,63.0,25.0,,,19.203,7.62,,,,77.78
Europe,BIH,Bosnia and Herzegovina,2020,3,4,2020-03-20,89.0,26.0,,,27.127,7.925,,,,89.81
Europe,BIH,Bosnia and Herzegovina,2020,3,5,2020-03-21,93.0,4.0,1.0,1.0,28.347,1.219,0.305,0.305,,89.81
Europe,BIH,Bosnia and Herzegovina,2020,3,6,2020-03-22,126.0,33.0,1.0,0.0,38.405,10.058,0.305,0.0,,89.81
Europe,BIH,Bosnia and Herzegovina,2020,3,0,2020-03-23,136.0,10.0,1.0,0.0,41.453,3.048,0.305,0.0,1.17,89.81
Europe,BIH,Bosnia and Herzegovina,2020,3,1,2020-03-24,166.0,30.0,3.0,2.0,50.597,9.144,0.914,0.61,1.17,89.81
Europe,BIH,Bosnia and Herzegovina,2020,3,2,2020-03-25,176.0,10.0,3.0,0.0,53.645,3.048,0.914,0.0,1.17,89.81
Europe,BIH,Bosnia and Herzegovina,2020,3,3,2020-03-26,191.0,15.0,3.0,0.0,58.217,4.572,0.914,0.0,1.17,89.81
Europe,BIH,Bosnia and Herzegovina,2020,3,4,2020-03-27,237.0,46.0,4.0,1.0,72.238,14.021,1.219,0.305,1.17,89.81
Europe,BIH,Bosnia and Herzegovina,2020,3,5,2020-03-28,258.0,21.0,5.0,1.0,78.639,6.401,1.524,0.305,1.17,89.81
Europe,BIH,Bosnia and Herzegovina,2020,3,6,2020-03-29,323.0,65.0,6.0,1.0,98.451,19.812,1.829,0.305,1.17,89.81
Europe,BIH,Bosnia and Herzegovina,2020,3,0,2020-03-30,368.0,45.0,10.0,4.0,112.167,13.716,3.048,1.219,1.17,89.81
Europe,BIH,Bosnia and Herzegovina,2020,3,1,2020-03-31,420.0,52.0,13.0,3.0,128.017,15.85,3.962,0.914,1.17,89.81
Europe,BIH,Bosnia and Herzegovina,2020,4,2,2020-04-01,459.0,39.0,13.0,0.0,139.904,11.887,3.962,0.0,1.17,89.81
Europe,BIH,Bosnia and Herzegovina,2020,4,3,2020-04-02,533.0,74.0,16.0,3.0,162.46,22.555,4.877,0.914,1.16,89.81
Europe,BIH,Bosnia and Herzegovina,2020,4,4,2020-04-03,579.0,46.0,17.0,1.0,176.481,14.021,5.182,0.305,1.16,89.81
Europe,BIH,Bosnia and Herzegovina,2020,4,5,2020-04-04,624.0,45.0,21.0,4.0,190.197,13.716,6.401,1.219,1.16,89.81
Europe,BIH,Bosnia and Herzegovina,2020,4,6,2020-04-05,654.0,30.0,23.0,2.0,199.341,9.144,7.01,0.61,1.16,89.81
