continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,BLR,Belarus,2020,2,4,2020-02-28,1.0,1.0,,,0.106,0.106,,,,0.0
Europe,BLR,Belarus,2020,2,5,2020-02-29,1.0,0.0,,,0.106,0.0,,,,0.0
Europe,BLR,Belarus,2020,3,6,2020-03-01,1.0,0.0,,,0.106,0.0,,,,0.0
Europe,BLR,Belarus,2020,3,0,2020-03-02,1.0,0.0,,,0.106,0.0,,,,0.0
Europe,BLR,Belarus,2020,3,1,2020-03-03,1.0,0.0,,,0.106,0.0,,,,0.0
Europe,BLR,Belarus,2020,3,2,2020-03-04,6.0,5.0,,,0.635,0.529,,,,0.0
Europe,BLR,Belarus,2020,3,3,2020-03-05,6.0,0.0,,,0.635,0.0,,,,0.0
Europe,BLR,Belarus,2020,3,4,2020-03-06,6.0,0.0,,,0.635,0.0,,,,0.0
Europe,BLR,Belarus,2020,3,5,2020-03-07,6.0,0.0,,,0.635,0.0,,,,0.0
Europe,BLR,Belarus,2020,3,6,2020-03-08,6.0,0.0,,,0.635,0.0,,,,0.0
Europe,BLR,Belarus,2020,3,0,2020-03-09,6.0,0.0,,,0.635,0.0,,,,0.0
Europe,BLR,Belarus,2020,3,1,2020-03-10,9.0,3.0,,,0.952,0.317,,,,0.0
Europe,BLR,Belarus,2020,3,2,2020-03-11,9.0,0.0,,,0.952,0.0,,,,0.0
Europe,BLR,Belarus,2020,3,3,2020-03-12,12.0,3.0,,,1.27,0.317,,,,0.0
Europe,BLR,Belarus,2020,3,4,2020-03-13,27.0,15.0,,,2.857,1.587,,,,0.0
Europe,BLR,Belarus,2020,3,5,2020-03-14,27.0,0.0,,,2.857,0.0,,,,8.33
Europe,BLR,Belarus,2020,3,6,2020-03-15,27.0,0.0,,,2.857,0.0,,,,8.33
Europe,BLR,Belarus,2020,3,0,2020-03-16,36.0,9.0,,,3.81,0.952,,,,8.33
Europe,BLR,Belarus,2020,3,1,2020-03-17,36.0,0.0,,,3.81,0.0,,,,8.33
Europe,BLR,Belarus,2020,3,2,2020-03-18,51.0,15.0,,,5.397,1.587,,,,8.33
Europe,BLR,Belarus,2020,3,3,2020-03-19,51.0,0.0,,,5.397,0.0,,,,8.33
