continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
North America,BLZ,Belize,2020,3,0,2020-03-23,1.0,1.0,,,2.515,2.515,,,,54.63
North America,BLZ,Belize,2020,3,1,2020-03-24,1.0,0.0,,,2.515,0.0,,,,54.63
North America,BLZ,Belize,2020,3,2,2020-03-25,2.0,1.0,,,5.03,2.515,,,,54.63
North America,BLZ,Belize,2020,3,3,2020-03-26,2.0,0.0,,,5.03,0.0,,,,54.63
North America,BLZ,Belize,2020,3,4,2020-03-27,2.0,0.0,,,5.03,0.0,,,,54.63
North America,BLZ,Belize,2020,3,5,2020-03-28,2.0,0.0,,,5.03,0.0,,,,54.63
North America,BLZ,Belize,2020,3,6,2020-03-29,2.0,0.0,,,5.03,0.0,,,,54.63
North America,BLZ,Belize,2020,3,0,2020-03-30,3.0,1.0,,,7.545,2.515,,,,54.63
North America,BLZ,Belize,2020,3,1,2020-03-31,3.0,0.0,,,7.545,0.0,,,,54.63
North America,BLZ,Belize,2020,4,2,2020-04-01,3.0,0.0,,,7.545,0.0,,,,75.0
North America,BLZ,Belize,2020,4,3,2020-04-02,3.0,0.0,,,7.545,0.0,,,,75.0
North America,BLZ,Belize,2020,4,4,2020-04-03,4.0,1.0,,,10.06,2.515,,,,75.0
North America,BLZ,Belize,2020,4,5,2020-04-04,4.0,0.0,,,10.06,0.0,,,,75.0
North America,BLZ,Belize,2020,4,6,2020-04-05,5.0,1.0,,,12.575,2.515,,,,75.0
North America,BLZ,Belize,2020,4,0,2020-04-06,7.0,2.0,1.0,1.0,17.605,5.03,2.515,2.515,,75.0
North America,BLZ,Belize,2020,4,1,2020-04-07,7.0,0.0,1.0,0.0,17.605,0.0,2.515,0.0,,75.0
North America,BLZ,Belize,2020,4,2,2020-04-08,8.0,1.0,1.0,0.0,20.12,2.515,2.515,0.0,,75.0
North America,BLZ,Belize,2020,4,3,2020-04-09,9.0,1.0,1.0,0.0,22.635,2.515,2.515,0.0,,75.0
North America,BLZ,Belize,2020,4,4,2020-04-10,10.0,1.0,2.0,1.0,25.15,2.515,5.03,2.515,,75.0
North America,BLZ,Belize,2020,4,5,2020-04-11,13.0,3.0,2.0,0.0,32.694,7.545,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,6,2020-04-12,14.0,1.0,2.0,0.0,35.209,2.515,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,0,2020-04-13,18.0,4.0,2.0,0.0,45.269,10.06,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,1,2020-04-14,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,2,2020-04-15,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,3,2020-04-16,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,4,2020-04-17,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,5,2020-04-18,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,6,2020-04-19,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,0,2020-04-20,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,1,2020-04-21,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,2,2020-04-22,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,3,2020-04-23,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,4,2020-04-24,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,5,2020-04-25,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,6,2020-04-26,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,75.0
North America,BLZ,Belize,2020,4,0,2020-04-27,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,4,1,2020-04-28,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,4,2,2020-04-29,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,4,3,2020-04-30,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,5,4,2020-05-01,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,5,5,2020-05-02,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,5,6,2020-05-03,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,5,0,2020-05-04,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,5,1,2020-05-05,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,5,2,2020-05-06,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,5,3,2020-05-07,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,5,4,2020-05-08,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,5,5,2020-05-09,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,5,6,2020-05-10,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,5,0,2020-05-11,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,5,1,2020-05-12,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,5,2,2020-05-13,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,5,3,2020-05-14,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,76.85
North America,BLZ,Belize,2020,5,4,2020-05-15,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,85.19
North America,BLZ,Belize,2020,5,5,2020-05-16,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,85.19
North America,BLZ,Belize,2020,5,6,2020-05-17,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,85.19
North America,BLZ,Belize,2020,5,0,2020-05-18,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,85.19
North America,BLZ,Belize,2020,5,1,2020-05-19,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,85.19
North America,BLZ,Belize,2020,5,2,2020-05-20,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,85.19
North America,BLZ,Belize,2020,5,3,2020-05-21,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,85.19
