continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
South America,BOL,Bolivia,2020,3,2,2020-03-11,2.0,2.0,,,0.171,0.171,,,,5.56
South America,BOL,Bolivia,2020,3,3,2020-03-12,2.0,0.0,,,0.171,0.0,,,,30.56
South America,BOL,Bolivia,2020,3,4,2020-03-13,3.0,1.0,,,0.257,0.086,,,,44.44
South America,BOL,Bolivia,2020,3,5,2020-03-14,10.0,7.0,,,0.857,0.6,,,,44.44
South America,BOL,Bolivia,2020,3,6,2020-03-15,10.0,0.0,,,0.857,0.0,,,,44.44
South America,BOL,Bolivia,2020,3,0,2020-03-16,11.0,1.0,,,0.942,0.086,,,,52.78
South America,BOL,Bolivia,2020,3,1,2020-03-17,11.0,0.0,,,0.942,0.0,,,,68.52
South America,BOL,Bolivia,2020,3,2,2020-03-18,12.0,1.0,,,1.028,0.086,,,,75.0
South America,BOL,Bolivia,2020,3,3,2020-03-19,12.0,0.0,,,1.028,0.0,,,,75.0
South America,BOL,Bolivia,2020,3,4,2020-03-20,15.0,3.0,,,1.285,0.257,,,,75.0
South America,BOL,Bolivia,2020,3,5,2020-03-21,19.0,4.0,,,1.628,0.343,,,,86.11
South America,BOL,Bolivia,2020,3,6,2020-03-22,24.0,5.0,,,2.056,0.428,,,,93.52
South America,BOL,Bolivia,2020,3,0,2020-03-23,27.0,3.0,,,2.313,0.257,,,,93.52
South America,BOL,Bolivia,2020,3,1,2020-03-24,29.0,2.0,,,2.484,0.171,,,,93.52
South America,BOL,Bolivia,2020,3,2,2020-03-25,32.0,3.0,,,2.741,0.257,,,,93.52
South America,BOL,Bolivia,2020,3,3,2020-03-26,43.0,11.0,,,3.684,0.942,,,,93.52
South America,BOL,Bolivia,2020,3,4,2020-03-27,61.0,18.0,,,5.226,1.542,,,,93.52
South America,BOL,Bolivia,2020,3,5,2020-03-28,74.0,13.0,,,6.339,1.114,,,,93.52
South America,BOL,Bolivia,2020,3,6,2020-03-29,81.0,7.0,1.0,1.0,6.939,0.6,0.086,0.086,,93.52
South America,BOL,Bolivia,2020,3,0,2020-03-30,97.0,16.0,4.0,3.0,8.31,1.371,0.343,0.257,,93.52
South America,BOL,Bolivia,2020,3,1,2020-03-31,107.0,10.0,6.0,2.0,9.166,0.857,0.514,0.171,,96.3
South America,BOL,Bolivia,2020,4,2,2020-04-01,115.0,8.0,7.0,1.0,9.852,0.685,0.6,0.086,1.17,96.3
South America,BOL,Bolivia,2020,4,3,2020-04-02,123.0,8.0,8.0,1.0,10.537,0.685,0.685,0.086,1.17,96.3
South America,BOL,Bolivia,2020,4,4,2020-04-03,132.0,9.0,9.0,1.0,11.308,0.771,0.771,0.086,1.19,96.3
South America,BOL,Bolivia,2020,4,5,2020-04-04,139.0,7.0,10.0,1.0,11.908,0.6,0.857,0.086,1.21,96.3
South America,BOL,Bolivia,2020,4,6,2020-04-05,157.0,18.0,10.0,0.0,13.45,1.542,0.857,0.0,1.24,96.3
