continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
South America,BRA,Brazil,2020,2,2,2020-02-26,1.0,1.0,,,0.005,0.005,,,,5.56
South America,BRA,Brazil,2020,2,3,2020-02-27,1.0,0.0,,,0.005,0.0,,,,5.56
South America,BRA,Brazil,2020,2,4,2020-02-28,1.0,0.0,,,0.005,0.0,,,,5.56
South America,BRA,Brazil,2020,2,5,2020-02-29,2.0,1.0,,,0.009,0.005,,,,5.56
South America,BRA,Brazil,2020,3,6,2020-03-01,2.0,0.0,,,0.009,0.0,,,,5.56
South America,BRA,Brazil,2020,3,0,2020-03-02,2.0,0.0,,,0.009,0.0,,,,11.11
South America,BRA,Brazil,2020,3,1,2020-03-03,2.0,0.0,,,0.009,0.0,,,,11.11
South America,BRA,Brazil,2020,3,2,2020-03-04,4.0,2.0,,,0.019,0.009,,,,11.11
South America,BRA,Brazil,2020,3,3,2020-03-05,4.0,0.0,,,0.019,0.0,,,,11.11
South America,BRA,Brazil,2020,3,4,2020-03-06,13.0,9.0,,,0.061,0.042,,,,11.11
South America,BRA,Brazil,2020,3,5,2020-03-07,13.0,0.0,,,0.061,0.0,,,,11.11
South America,BRA,Brazil,2020,3,6,2020-03-08,20.0,7.0,,,0.094,0.033,,,,11.11
South America,BRA,Brazil,2020,3,0,2020-03-09,25.0,5.0,,,0.118,0.024,,,,11.11
South America,BRA,Brazil,2020,3,1,2020-03-10,31.0,6.0,,,0.146,0.028,,,,11.11
South America,BRA,Brazil,2020,3,2,2020-03-11,38.0,7.0,,,0.179,0.033,,,,11.11
South America,BRA,Brazil,2020,3,3,2020-03-12,52.0,14.0,,,0.245,0.066,,,,28.7
South America,BRA,Brazil,2020,3,4,2020-03-13,151.0,99.0,,,0.71,0.466,,,,37.96
South America,BRA,Brazil,2020,3,5,2020-03-14,151.0,0.0,,,0.71,0.0,,,2.27,42.13
South America,BRA,Brazil,2020,3,6,2020-03-15,162.0,11.0,,,0.762,0.052,,,2.29,42.13
South America,BRA,Brazil,2020,3,0,2020-03-16,200.0,38.0,,,0.941,0.179,,,2.32,42.13
South America,BRA,Brazil,2020,3,1,2020-03-17,321.0,121.0,1.0,1.0,1.51,0.569,0.005,0.005,2.35,57.87
South America,BRA,Brazil,2020,3,2,2020-03-18,372.0,51.0,3.0,2.0,1.75,0.24,0.014,0.009,2.36,60.65
South America,BRA,Brazil,2020,3,3,2020-03-19,621.0,249.0,6.0,3.0,2.922,1.171,0.028,0.014,2.37,66.2
South America,BRA,Brazil,2020,3,4,2020-03-20,793.0,172.0,11.0,5.0,3.731,0.809,0.052,0.024,2.35,66.2
South America,BRA,Brazil,2020,3,5,2020-03-21,1021.0,228.0,15.0,4.0,4.803,1.073,0.071,0.019,2.33,71.76
South America,BRA,Brazil,2020,3,6,2020-03-22,1546.0,525.0,25.0,10.0,7.273,2.47,0.118,0.047,2.3,71.76
South America,BRA,Brazil,2020,3,0,2020-03-23,1924.0,378.0,34.0,9.0,9.052,1.778,0.16,0.042,2.25,71.76
South America,BRA,Brazil,2020,3,1,2020-03-24,2247.0,323.0,46.0,12.0,10.571,1.52,0.216,0.056,2.21,71.76
South America,BRA,Brazil,2020,3,2,2020-03-25,2554.0,307.0,59.0,13.0,12.015,1.444,0.278,0.061,2.16,71.76
South America,BRA,Brazil,2020,3,3,2020-03-26,2985.0,431.0,77.0,18.0,14.043,2.028,0.362,0.085,2.12,71.76
South America,BRA,Brazil,2020,3,4,2020-03-27,3417.0,432.0,92.0,15.0,16.076,2.032,0.433,0.071,2.09,74.54
South America,BRA,Brazil,2020,3,5,2020-03-28,3904.0,487.0,111.0,19.0,18.367,2.291,0.522,0.089,2.06,74.54
South America,BRA,Brazil,2020,3,6,2020-03-29,4256.0,352.0,136.0,25.0,20.023,1.656,0.64,0.118,2.03,74.54
South America,BRA,Brazil,2020,3,0,2020-03-30,4579.0,323.0,159.0,23.0,21.542,1.52,0.748,0.108,2.01,74.54
South America,BRA,Brazil,2020,3,1,2020-03-31,5717.0,1138.0,201.0,42.0,26.896,5.354,0.946,0.198,1.99,74.54
South America,BRA,Brazil,2020,4,2,2020-04-01,6836.0,1119.0,240.0,39.0,32.16,5.264,1.129,0.183,1.97,74.54
South America,BRA,Brazil,2020,4,3,2020-04-02,8044.0,1208.0,324.0,84.0,37.844,5.683,1.524,0.395,1.93,74.54
South America,BRA,Brazil,2020,4,4,2020-04-03,9056.0,1012.0,359.0,35.0,42.605,4.761,1.689,0.165,1.9,74.54
South America,BRA,Brazil,2020,4,5,2020-04-04,10360.0,1304.0,445.0,86.0,48.739,6.135,2.094,0.405,1.87,74.54
South America,BRA,Brazil,2020,4,6,2020-04-05,11130.0,770.0,486.0,41.0,52.362,3.623,2.286,0.193,1.83,74.54
South America,BRA,Brazil,2020,4,0,2020-04-06,12161.0,1031.0,564.0,78.0,57.212,4.85,2.653,0.367,1.81,74.54
South America,BRA,Brazil,2020,4,1,2020-04-07,14034.0,1873.0,686.0,122.0,66.024,8.812,3.227,0.574,1.79,74.54
South America,BRA,Brazil,2020,4,2,2020-04-08,16170.0,2136.0,819.0,133.0,76.073,10.049,3.853,0.626,1.76,74.54
South America,BRA,Brazil,2020,4,3,2020-04-09,18092.0,1922.0,950.0,131.0,85.115,9.042,4.469,0.616,1.73,74.54
South America,BRA,Brazil,2020,4,4,2020-04-10,19638.0,1546.0,1057.0,107.0,92.388,7.273,4.973,0.503,1.7,74.54
South America,BRA,Brazil,2020,4,5,2020-04-11,20727.0,1089.0,1124.0,67.0,97.512,5.123,5.288,0.315,1.68,74.54
South America,BRA,Brazil,2020,4,6,2020-04-12,22192.0,1465.0,1223.0,99.0,104.404,6.892,5.754,0.466,1.65,74.54
South America,BRA,Brazil,2020,4,0,2020-04-13,23430.0,1238.0,1328.0,105.0,110.228,5.824,6.248,0.494,1.64,74.54
South America,BRA,Brazil,2020,4,1,2020-04-14,25262.0,1832.0,1532.0,204.0,118.847,8.619,7.207,0.96,1.63,74.54
South America,BRA,Brazil,2020,4,2,2020-04-15,28320.0,3058.0,1736.0,204.0,133.233,14.387,8.167,0.96,1.62,74.54
South America,BRA,Brazil,2020,4,3,2020-04-16,30425.0,2105.0,1924.0,188.0,143.136,9.903,9.052,0.884,1.6,74.54
South America,BRA,Brazil,2020,4,4,2020-04-17,33682.0,3257.0,2141.0,217.0,158.459,15.323,10.072,1.021,1.59,74.54
South America,BRA,Brazil,2020,4,5,2020-04-18,36658.0,2976.0,2354.0,213.0,172.46,14.001,11.075,1.002,1.57,74.54
South America,BRA,Brazil,2020,4,6,2020-04-19,38654.0,1996.0,2462.0,108.0,181.85,9.39,11.583,0.508,1.56,74.54
South America,BRA,Brazil,2020,4,0,2020-04-20,40743.0,2089.0,2587.0,125.0,191.678,9.828,12.171,0.588,1.55,74.54
South America,BRA,Brazil,2020,4,1,2020-04-21,43079.0,2336.0,2741.0,154.0,202.668,10.99,12.895,0.725,1.54,74.54
South America,BRA,Brazil,2020,4,2,2020-04-22,45757.0,2678.0,2906.0,165.0,215.267,12.599,13.671,0.776,1.54,74.54
South America,BRA,Brazil,2020,4,3,2020-04-23,50036.0,4279.0,3331.0,425.0,235.398,20.131,15.671,1.999,1.54,74.54
South America,BRA,Brazil,2020,4,4,2020-04-24,54043.0,4007.0,3704.0,373.0,254.249,18.851,17.426,1.755,1.53,74.54
South America,BRA,Brazil,2020,4,5,2020-04-25,59324.0,5281.0,4057.0,353.0,279.094,24.845,19.086,1.661,1.53,74.54
South America,BRA,Brazil,2020,4,6,2020-04-26,63100.0,3776.0,4286.0,229.0,296.858,17.764,20.164,1.077,1.52,77.31
South America,BRA,Brazil,2020,4,0,2020-04-27,67446.0,4346.0,4603.0,317.0,317.304,20.446,21.655,1.491,1.51,77.31
South America,BRA,Brazil,2020,4,1,2020-04-28,73235.0,5789.0,5083.0,480.0,344.539,27.235,23.913,2.258,1.5,77.31
South America,BRA,Brazil,2020,4,2,2020-04-29,79685.0,6450.0,5513.0,430.0,374.883,30.344,25.936,2.023,1.49,77.31
South America,BRA,Brazil,2020,4,3,2020-04-30,87187.0,7502.0,6006.0,493.0,410.177,35.294,28.256,2.319,1.48,77.31
South America,BRA,Brazil,2020,5,4,2020-05-01,92202.0,5015.0,6412.0,406.0,433.77,23.593,30.166,1.91,1.47,77.31
South America,BRA,Brazil,2020,5,5,2020-05-02,97100.0,4898.0,6761.0,349.0,456.813,23.043,31.808,1.642,1.46,77.31
South America,BRA,Brazil,2020,5,6,2020-05-03,101826.0,4726.0,7051.0,290.0,479.047,22.234,33.172,1.364,1.45,77.31
South America,BRA,Brazil,2020,5,0,2020-05-04,108620.0,6794.0,7367.0,316.0,511.01,31.963,34.659,1.487,1.45,77.31
South America,BRA,Brazil,2020,5,1,2020-05-05,115455.0,6835.0,7938.0,571.0,543.166,32.156,37.345,2.686,1.44,81.02
South America,BRA,Brazil,2020,5,2,2020-05-06,126611.0,11156.0,8588.0,650.0,595.65,52.484,40.403,3.058,1.44,81.02
South America,BRA,Brazil,2020,5,3,2020-05-07,135773.0,9162.0,9190.0,602.0,638.753,43.103,43.235,2.832,1.43,81.02
South America,BRA,Brazil,2020,5,4,2020-05-08,146894.0,11121.0,10017.0,827.0,691.073,52.319,47.126,3.891,1.42,81.02
South America,BRA,Brazil,2020,5,5,2020-05-09,156061.0,9167.0,10656.0,639.0,734.199,43.127,50.132,3.006,1.41,81.02
South America,BRA,Brazil,2020,5,6,2020-05-10,162699.0,6638.0,11123.0,467.0,765.428,31.229,52.329,2.197,1.4,81.02
South America,BRA,Brazil,2020,5,0,2020-05-11,169594.0,6895.0,11653.0,530.0,797.866,32.438,54.822,2.493,1.39,81.02
South America,BRA,Brazil,2020,5,1,2020-05-12,178214.0,8620.0,12461.0,808.0,838.42,40.553,58.624,3.801,1.39,81.02
South America,BRA,Brazil,2020,5,2,2020-05-13,190137.0,11923.0,13240.0,779.0,894.512,56.093,62.288,3.665,1.39,81.02
South America,BRA,Brazil,2020,5,3,2020-05-14,203165.0,13028.0,13999.0,759.0,955.803,61.291,65.859,3.571,1.39,81.02
South America,BRA,Brazil,2020,5,4,2020-05-15,220291.0,17126.0,14962.0,963.0,1036.374,80.57,70.39,4.53,1.38,81.02
South America,BRA,Brazil,2020,5,5,2020-05-16,233511.0,13220.0,15662.0,700.0,1098.568,62.194,73.683,3.293,1.37,81.02
South America,BRA,Brazil,2020,5,6,2020-05-17,241080.0,7569.0,16118.0,456.0,1134.177,35.609,75.828,2.145,1.36,81.02
South America,BRA,Brazil,2020,5,0,2020-05-18,255368.0,14288.0,16853.0,735.0,1201.396,67.219,79.286,3.458,1.36,81.02
South America,BRA,Brazil,2020,5,1,2020-05-19,271885.0,16517.0,17983.0,1130.0,1279.101,77.705,84.602,5.316,1.35,81.02
South America,BRA,Brazil,2020,5,2,2020-05-20,291579.0,19694.0,18859.0,876.0,1371.753,92.652,88.723,4.121,1.35,81.02
South America,BRA,Brazil,2020,5,3,2020-05-21,310087.0,18508.0,20047.0,1188.0,1458.825,87.072,94.312,5.589,1.34,81.02
South America,BRA,Brazil,2020,5,4,2020-05-22,330890.0,20803.0,21048.0,1001.0,1556.694,97.869,99.022,4.709,1.33,81.02
South America,BRA,Brazil,2020,5,5,2020-05-23,347398.0,16508.0,22013.0,965.0,1634.357,77.663,103.562,4.54,1.32,81.02
South America,BRA,Brazil,2020,5,6,2020-05-24,363211.0,15813.0,22666.0,653.0,1708.751,74.393,106.634,3.072,1.31,81.02
South America,BRA,Brazil,2020,5,0,2020-05-25,374898.0,11687.0,23473.0,807.0,1763.733,54.982,110.43,3.797,1.3,81.02
South America,BRA,Brazil,2020,5,1,2020-05-26,391222.0,16324.0,24512.0,1039.0,1840.53,76.797,115.318,4.888,1.29,81.02
South America,BRA,Brazil,2020,5,2,2020-05-27,411821.0,20599.0,25598.0,1086.0,1937.44,96.909,120.428,5.109,1.29,81.02
South America,BRA,Brazil,2020,5,3,2020-05-28,438238.0,26417.0,26754.0,1156.0,2061.72,124.281,125.866,5.438,1.29,81.02
South America,BRA,Brazil,2020,5,4,2020-05-29,465166.0,26928.0,27878.0,1124.0,2188.405,126.685,131.154,5.288,1.28,81.02
South America,BRA,Brazil,2020,5,5,2020-05-30,498440.0,33274.0,28834.0,956.0,2344.944,156.54,135.651,4.498,1.27,81.02
South America,BRA,Brazil,2020,5,6,2020-05-31,514849.0,16409.0,29314.0,480.0,2422.142,77.197,137.91,2.258,1.26,81.02
South America,BRA,Brazil,2020,6,0,2020-06-01,526447.0,11598.0,29937.0,623.0,2476.705,54.564,140.841,2.931,1.25,77.31
South America,BRA,Brazil,2020,6,1,2020-06-02,555383.0,28936.0,31199.0,1262.0,2612.837,136.131,146.778,5.937,1.24,77.31
South America,BRA,Brazil,2020,6,2,2020-06-03,584016.0,28633.0,32548.0,1349.0,2747.542,134.706,153.124,6.346,1.23,77.31
South America,BRA,Brazil,2020,6,3,2020-06-04,614941.0,30925.0,34021.0,1473.0,2893.031,145.489,160.054,6.93,1.23,77.31
South America,BRA,Brazil,2020,6,4,2020-06-05,645771.0,30830.0,35026.0,1005.0,3038.073,145.042,164.782,4.728,1.22,77.31
South America,BRA,Brazil,2020,6,5,2020-06-06,672846.0,27075.0,35930.0,904.0,3165.449,127.376,169.035,4.253,1.2,77.31
South America,BRA,Brazil,2020,6,6,2020-06-07,691758.0,18912.0,36455.0,525.0,3254.422,88.973,171.505,2.47,1.19,77.31
South America,BRA,Brazil,2020,6,0,2020-06-08,707412.0,15654.0,37134.0,679.0,3328.067,73.645,174.699,3.194,1.19,77.31
South America,BRA,Brazil,2020,6,1,2020-06-09,739503.0,32091.0,38406.0,1272.0,3479.041,150.974,180.684,5.984,1.18,77.31
South America,BRA,Brazil,2020,6,2,2020-06-10,772416.0,32913.0,39680.0,1274.0,3633.883,154.841,186.677,5.994,1.18,77.31
South America,BRA,Brazil,2020,6,3,2020-06-11,802828.0,30412.0,40919.0,1239.0,3776.958,143.075,192.506,5.829,1.17,77.31
