continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
North America,BRB,Barbados,2020,3,1,2020-03-17,2.0,2.0,,,6.96,6.96,,,,38.89
North America,BRB,Barbados,2020,3,2,2020-03-18,2.0,0.0,,,6.96,0.0,,,,38.89
North America,BRB,Barbados,2020,3,3,2020-03-19,5.0,3.0,,,17.399,10.439,,,,50.0
North America,BRB,Barbados,2020,3,4,2020-03-20,5.0,0.0,,,17.399,0.0,,,,50.0
North America,BRB,Barbados,2020,3,5,2020-03-21,6.0,1.0,,,20.879,3.48,,,,50.0
North America,BRB,Barbados,2020,3,6,2020-03-22,14.0,8.0,,,48.718,27.839,,,,50.0
North America,BRB,Barbados,2020,3,0,2020-03-23,17.0,3.0,,,59.157,10.439,,,,50.0
North America,BRB,Barbados,2020,3,1,2020-03-24,18.0,1.0,,,62.637,3.48,,,,50.0
North America,BRB,Barbados,2020,3,2,2020-03-25,18.0,0.0,,,62.637,0.0,,,,50.0
North America,BRB,Barbados,2020,3,3,2020-03-26,18.0,0.0,,,62.637,0.0,,,,50.0
North America,BRB,Barbados,2020,3,4,2020-03-27,24.0,6.0,,,83.516,20.879,,,,50.0
North America,BRB,Barbados,2020,3,5,2020-03-28,26.0,2.0,,,90.475,6.96,,,,73.15
North America,BRB,Barbados,2020,3,6,2020-03-29,33.0,7.0,,,114.834,24.359,,,,73.15
North America,BRB,Barbados,2020,3,0,2020-03-30,33.0,0.0,,,114.834,0.0,,,,73.15
North America,BRB,Barbados,2020,3,1,2020-03-31,34.0,1.0,,,118.314,3.48,,,,73.15
North America,BRB,Barbados,2020,4,2,2020-04-01,34.0,0.0,,,118.314,0.0,,,,73.15
North America,BRB,Barbados,2020,4,3,2020-04-02,46.0,12.0,,,160.072,41.758,,,,73.15
North America,BRB,Barbados,2020,4,4,2020-04-03,51.0,5.0,,,177.471,17.399,,,,83.33
North America,BRB,Barbados,2020,4,5,2020-04-04,52.0,1.0,,,180.951,3.48,,,,83.33
North America,BRB,Barbados,2020,4,6,2020-04-05,56.0,4.0,1.0,1.0,194.87,13.919,3.48,3.48,,83.33
North America,BRB,Barbados,2020,4,0,2020-04-06,60.0,4.0,2.0,1.0,208.789,13.919,6.96,3.48,,83.33
North America,BRB,Barbados,2020,4,1,2020-04-07,63.0,3.0,3.0,1.0,219.229,10.439,10.439,3.48,,83.33
