continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,BRN,Brunei,2020,3,0,2020-03-09,1.0,1.0,,,2.286,2.286,,,,19.44
Asia,BRN,Brunei,2020,3,1,2020-03-10,1.0,0.0,,,2.286,0.0,,,,19.44
Asia,BRN,Brunei,2020,3,2,2020-03-11,11.0,10.0,,,25.144,22.858,,,,30.56
Asia,BRN,Brunei,2020,3,3,2020-03-12,11.0,0.0,,,25.144,0.0,,,,30.56
Asia,BRN,Brunei,2020,3,4,2020-03-13,37.0,26.0,,,84.575,59.431,,,,50.0
Asia,BRN,Brunei,2020,3,5,2020-03-14,40.0,3.0,,,91.432,6.857,,,,50.0
Asia,BRN,Brunei,2020,3,6,2020-03-15,50.0,10.0,,,114.29,22.858,,,,50.0
Asia,BRN,Brunei,2020,3,0,2020-03-16,54.0,4.0,,,123.433,9.143,,,,50.0
Asia,BRN,Brunei,2020,3,1,2020-03-17,56.0,2.0,,,128.005,4.572,,,,50.0
Asia,BRN,Brunei,2020,3,2,2020-03-18,68.0,12.0,,,155.435,27.43,,,,50.0
Asia,BRN,Brunei,2020,3,3,2020-03-19,75.0,7.0,,,171.435,16.001,,,,50.0
Asia,BRN,Brunei,2020,3,4,2020-03-20,78.0,3.0,,,178.293,6.857,,,,50.0
Asia,BRN,Brunei,2020,3,5,2020-03-21,83.0,5.0,,,189.722,11.429,,,,50.0
Asia,BRN,Brunei,2020,3,6,2020-03-22,88.0,5.0,,,201.151,11.429,,,,50.0
Asia,BRN,Brunei,2020,3,0,2020-03-23,91.0,3.0,,,208.008,6.857,,,,50.0
Asia,BRN,Brunei,2020,3,1,2020-03-24,104.0,13.0,,,237.724,29.715,,,,52.78
Asia,BRN,Brunei,2020,3,2,2020-03-25,109.0,5.0,,,249.153,11.429,,,0.2,52.78
Asia,BRN,Brunei,2020,3,3,2020-03-26,114.0,5.0,,,260.582,11.429,,,0.2,52.78
Asia,BRN,Brunei,2020,3,4,2020-03-27,115.0,1.0,,,262.867,2.286,,,0.19,52.78
Asia,BRN,Brunei,2020,3,5,2020-03-28,120.0,5.0,1.0,1.0,274.296,11.429,2.286,2.286,0.19,52.78
Asia,BRN,Brunei,2020,3,6,2020-03-29,126.0,6.0,1.0,0.0,288.011,13.715,2.286,0.0,0.19,52.78
Asia,BRN,Brunei,2020,3,0,2020-03-30,127.0,1.0,1.0,0.0,290.297,2.286,2.286,0.0,0.19,52.78
Asia,BRN,Brunei,2020,3,1,2020-03-31,129.0,2.0,1.0,0.0,294.869,4.572,2.286,0.0,0.18,52.78
Asia,BRN,Brunei,2020,4,2,2020-04-01,131.0,2.0,1.0,0.0,299.44,4.572,2.286,0.0,0.18,52.78
Asia,BRN,Brunei,2020,4,3,2020-04-02,133.0,2.0,1.0,0.0,304.012,4.572,2.286,0.0,0.18,52.78
Asia,BRN,Brunei,2020,4,4,2020-04-03,134.0,1.0,1.0,0.0,306.298,2.286,2.286,0.0,0.17,52.78
Asia,BRN,Brunei,2020,4,5,2020-04-04,135.0,1.0,1.0,0.0,308.583,2.286,2.286,0.0,0.17,52.78
