continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,BTN,Bhutan,2020,3,4,2020-03-06,1.0,1.0,,,1.296,1.296,,,,31.48
Asia,BTN,Bhutan,2020,3,5,2020-03-07,1.0,0.0,,,1.296,0.0,,,,31.48
Asia,BTN,Bhutan,2020,3,6,2020-03-08,1.0,0.0,,,1.296,0.0,,,,31.48
Asia,BTN,Bhutan,2020,3,0,2020-03-09,1.0,0.0,,,1.296,0.0,,,,31.48
Asia,BTN,Bhutan,2020,3,1,2020-03-10,1.0,0.0,,,1.296,0.0,,,,31.48
Asia,BTN,Bhutan,2020,3,2,2020-03-11,1.0,0.0,,,1.296,0.0,,,,31.48
Asia,BTN,Bhutan,2020,3,3,2020-03-12,1.0,0.0,,,1.296,0.0,,,,31.48
Asia,BTN,Bhutan,2020,3,4,2020-03-13,1.0,0.0,,,1.296,0.0,,,,31.48
Asia,BTN,Bhutan,2020,3,5,2020-03-14,1.0,0.0,,,1.296,0.0,,,,31.48
Asia,BTN,Bhutan,2020,3,6,2020-03-15,1.0,0.0,,,1.296,0.0,,,,31.48
Asia,BTN,Bhutan,2020,3,0,2020-03-16,1.0,0.0,,,1.296,0.0,,,,31.48
Asia,BTN,Bhutan,2020,3,1,2020-03-17,1.0,0.0,,,1.296,0.0,,,,31.48
Asia,BTN,Bhutan,2020,3,2,2020-03-18,1.0,0.0,,,1.296,0.0,,,,33.33
Asia,BTN,Bhutan,2020,3,3,2020-03-19,1.0,0.0,,,1.296,0.0,,,,33.33
Asia,BTN,Bhutan,2020,3,4,2020-03-20,2.0,1.0,,,2.592,1.296,,,,33.33
Asia,BTN,Bhutan,2020,3,5,2020-03-21,2.0,0.0,,,2.592,0.0,,,,33.33
Asia,BTN,Bhutan,2020,3,6,2020-03-22,2.0,0.0,,,2.592,0.0,,,,33.33
Asia,BTN,Bhutan,2020,3,0,2020-03-23,2.0,0.0,,,2.592,0.0,,,,38.89
Asia,BTN,Bhutan,2020,3,1,2020-03-24,2.0,0.0,,,2.592,0.0,,,,38.89
Asia,BTN,Bhutan,2020,3,2,2020-03-25,2.0,0.0,,,2.592,0.0,,,,38.89
Asia,BTN,Bhutan,2020,3,3,2020-03-26,2.0,0.0,,,2.592,0.0,,,,42.59
Asia,BTN,Bhutan,2020,3,4,2020-03-27,3.0,1.0,,,3.888,1.296,,,,83.33
Asia,BTN,Bhutan,2020,3,5,2020-03-28,3.0,0.0,,,3.888,0.0,,,,83.33
Asia,BTN,Bhutan,2020,3,6,2020-03-29,4.0,1.0,,,5.184,1.296,,,,83.33
Asia,BTN,Bhutan,2020,3,0,2020-03-30,4.0,0.0,,,5.184,0.0,,,,83.33
Asia,BTN,Bhutan,2020,3,1,2020-03-31,4.0,0.0,,,5.184,0.0,,,,83.33
Asia,BTN,Bhutan,2020,4,2,2020-04-01,4.0,0.0,,,5.184,0.0,,,,83.33
Asia,BTN,Bhutan,2020,4,3,2020-04-02,5.0,1.0,,,6.48,1.296,,,,83.33
