continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,BWA,Botswana,2020,3,0,2020-03-30,3.0,3.0,,,1.276,1.276,,,,61.11
Africa,BWA,Botswana,2020,3,1,2020-03-31,4.0,1.0,1.0,1.0,1.701,0.425,0.425,0.425,,61.11
Africa,BWA,Botswana,2020,4,2,2020-04-01,4.0,0.0,1.0,0.0,1.701,0.0,0.425,0.0,,61.11
Africa,BWA,Botswana,2020,4,3,2020-04-02,4.0,0.0,1.0,0.0,1.701,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,4,2020-04-03,4.0,0.0,1.0,0.0,1.701,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,5,2020-04-04,4.0,0.0,1.0,0.0,1.701,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,6,2020-04-05,6.0,2.0,1.0,0.0,2.551,0.85,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,0,2020-04-06,6.0,0.0,1.0,0.0,2.551,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,1,2020-04-07,6.0,0.0,1.0,0.0,2.551,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,2,2020-04-08,6.0,0.0,1.0,0.0,2.551,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,3,2020-04-09,13.0,7.0,1.0,0.0,5.528,2.977,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,4,2020-04-10,13.0,0.0,1.0,0.0,5.528,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,5,2020-04-11,13.0,0.0,1.0,0.0,5.528,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,6,2020-04-12,13.0,0.0,1.0,0.0,5.528,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,0,2020-04-13,13.0,0.0,1.0,0.0,5.528,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,1,2020-04-14,13.0,0.0,1.0,0.0,5.528,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,2,2020-04-15,13.0,0.0,1.0,0.0,5.528,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,3,2020-04-16,15.0,2.0,1.0,0.0,6.379,0.85,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,4,2020-04-17,15.0,0.0,1.0,0.0,6.379,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,5,2020-04-18,15.0,0.0,1.0,0.0,6.379,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,6,2020-04-19,20.0,5.0,1.0,0.0,8.505,2.126,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,0,2020-04-20,20.0,0.0,1.0,0.0,8.505,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,1,2020-04-21,20.0,0.0,1.0,0.0,8.505,0.0,0.425,0.0,,86.11
Africa,BWA,Botswana,2020,4,2,2020-04-22,22.0,2.0,1.0,0.0,9.355,0.85,0.425,0.0,,86.11
