continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
North America,CAN,Canada,2020,1,6,2020-01-26,1.0,1.0,,,0.026,0.026,,,,2.78
North America,CAN,Canada,2020,1,0,2020-01-27,1.0,0.0,,,0.026,0.0,,,,2.78
North America,CAN,Canada,2020,1,1,2020-01-28,2.0,1.0,,,0.053,0.026,,,,2.78
North America,CAN,Canada,2020,1,2,2020-01-29,2.0,0.0,,,0.053,0.0,,,,2.78
North America,CAN,Canada,2020,1,3,2020-01-30,2.0,0.0,,,0.053,0.0,,,,2.78
North America,CAN,Canada,2020,1,4,2020-01-31,4.0,2.0,,,0.106,0.053,,,,2.78
North America,CAN,Canada,2020,2,5,2020-02-01,4.0,0.0,,,0.106,0.0,,,,2.78
North America,CAN,Canada,2020,2,6,2020-02-02,4.0,0.0,,,0.106,0.0,,,,2.78
North America,CAN,Canada,2020,2,0,2020-02-03,4.0,0.0,,,0.106,0.0,,,,2.78
North America,CAN,Canada,2020,2,1,2020-02-04,4.0,0.0,,,0.106,0.0,,,,2.78
North America,CAN,Canada,2020,2,2,2020-02-05,5.0,1.0,,,0.132,0.026,,,,2.78
North America,CAN,Canada,2020,2,3,2020-02-06,5.0,0.0,,,0.132,0.0,,,,2.78
North America,CAN,Canada,2020,2,4,2020-02-07,7.0,2.0,,,0.185,0.053,,,,2.78
North America,CAN,Canada,2020,2,5,2020-02-08,7.0,0.0,,,0.185,0.0,,,,2.78
North America,CAN,Canada,2020,2,6,2020-02-09,7.0,0.0,,,0.185,0.0,,,,2.78
North America,CAN,Canada,2020,2,0,2020-02-10,7.0,0.0,,,0.185,0.0,,,,2.78
North America,CAN,Canada,2020,2,1,2020-02-11,7.0,0.0,,,0.185,0.0,,,,2.78
North America,CAN,Canada,2020,2,2,2020-02-12,7.0,0.0,,,0.185,0.0,,,,2.78
North America,CAN,Canada,2020,2,3,2020-02-13,7.0,0.0,,,0.185,0.0,,,,2.78
North America,CAN,Canada,2020,2,4,2020-02-14,7.0,0.0,,,0.185,0.0,,,,2.78
North America,CAN,Canada,2020,2,5,2020-02-15,7.0,0.0,,,0.185,0.0,,,,2.78
North America,CAN,Canada,2020,2,6,2020-02-16,7.0,0.0,,,0.185,0.0,,,,2.78
North America,CAN,Canada,2020,2,0,2020-02-17,8.0,1.0,,,0.212,0.026,,,,2.78
North America,CAN,Canada,2020,2,1,2020-02-18,8.0,0.0,,,0.212,0.0,,,,2.78
North America,CAN,Canada,2020,2,2,2020-02-19,8.0,0.0,,,0.212,0.0,,,,2.78
North America,CAN,Canada,2020,2,3,2020-02-20,8.0,0.0,,,0.212,0.0,,,,2.78
North America,CAN,Canada,2020,2,4,2020-02-21,9.0,1.0,,,0.238,0.026,,,,2.78
North America,CAN,Canada,2020,2,5,2020-02-22,9.0,0.0,,,0.238,0.0,,,,2.78
North America,CAN,Canada,2020,2,6,2020-02-23,9.0,0.0,,,0.238,0.0,,,,2.78
North America,CAN,Canada,2020,2,0,2020-02-24,10.0,1.0,,,0.265,0.026,,,,2.78
North America,CAN,Canada,2020,2,1,2020-02-25,11.0,1.0,,,0.291,0.026,,,,2.78
North America,CAN,Canada,2020,2,2,2020-02-26,11.0,0.0,,,0.291,0.0,,,,2.78
North America,CAN,Canada,2020,2,3,2020-02-27,13.0,2.0,,,0.344,0.053,,,,2.78
North America,CAN,Canada,2020,2,4,2020-02-28,14.0,1.0,,,0.371,0.026,,,,2.78
North America,CAN,Canada,2020,2,5,2020-02-29,20.0,6.0,,,0.53,0.159,,,,2.78
North America,CAN,Canada,2020,3,6,2020-03-01,24.0,4.0,,,0.636,0.106,,,,2.78
North America,CAN,Canada,2020,3,0,2020-03-02,27.0,3.0,,,0.715,0.079,,,,2.78
North America,CAN,Canada,2020,3,1,2020-03-03,30.0,3.0,,,0.795,0.079,,,,2.78
North America,CAN,Canada,2020,3,2,2020-03-04,33.0,3.0,,,0.874,0.079,,,,2.78
North America,CAN,Canada,2020,3,3,2020-03-05,37.0,4.0,,,0.98,0.106,,,,2.78
North America,CAN,Canada,2020,3,4,2020-03-06,49.0,12.0,,,1.298,0.318,,,,2.78
North America,CAN,Canada,2020,3,5,2020-03-07,54.0,5.0,,,1.431,0.132,,,,2.78
North America,CAN,Canada,2020,3,6,2020-03-08,64.0,10.0,,,1.696,0.265,,,,2.78
North America,CAN,Canada,2020,3,0,2020-03-09,77.0,13.0,1.0,1.0,2.04,0.344,0.026,0.026,,2.78
