continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
South America,CHL,Chile,2020,2,6,2020-02-23,2.0,2.0,,,0.105,0.105,,,,0.0
South America,CHL,Chile,2020,2,0,2020-02-24,2.0,0.0,,,0.105,0.0,,,,0.0
South America,CHL,Chile,2020,2,1,2020-02-25,2.0,0.0,,,0.105,0.0,,,,0.0
South America,CHL,Chile,2020,2,2,2020-02-26,2.0,0.0,,,0.105,0.0,,,,0.0
South America,CHL,Chile,2020,2,3,2020-02-27,2.0,0.0,,,0.105,0.0,,,,0.0
South America,CHL,Chile,2020,2,4,2020-02-28,2.0,0.0,,,0.105,0.0,,,,0.0
South America,CHL,Chile,2020,2,5,2020-02-29,2.0,0.0,,,0.105,0.0,,,,0.0
South America,CHL,Chile,2020,3,6,2020-03-01,9.0,7.0,,,0.471,0.366,,,,0.0
South America,CHL,Chile,2020,3,0,2020-03-02,9.0,0.0,,,0.471,0.0,,,,0.0
South America,CHL,Chile,2020,3,1,2020-03-03,10.0,1.0,,,0.523,0.052,,,,0.0
South America,CHL,Chile,2020,3,2,2020-03-04,10.0,0.0,,,0.523,0.0,,,,0.0
South America,CHL,Chile,2020,3,3,2020-03-05,13.0,3.0,,,0.68,0.157,,,,0.0
South America,CHL,Chile,2020,3,4,2020-03-06,13.0,0.0,,,0.68,0.0,,,,0.0
South America,CHL,Chile,2020,3,5,2020-03-07,13.0,0.0,,,0.68,0.0,,,,0.0
South America,CHL,Chile,2020,3,6,2020-03-08,20.0,7.0,,,1.046,0.366,,,,0.0
South America,CHL,Chile,2020,3,0,2020-03-09,20.0,0.0,,,1.046,0.0,,,,0.0
South America,CHL,Chile,2020,3,1,2020-03-10,25.0,5.0,,,1.308,0.262,,,,0.0
South America,CHL,Chile,2020,3,2,2020-03-11,35.0,10.0,,,1.831,0.523,,,,0.0
South America,CHL,Chile,2020,3,3,2020-03-12,35.0,0.0,,,1.831,0.0,,,,0.0
South America,CHL,Chile,2020,3,4,2020-03-13,55.0,20.0,,,2.877,1.046,,,,0.0
South America,CHL,Chile,2020,3,5,2020-03-14,88.0,33.0,,,4.603,1.726,,,,11.11
South America,CHL,Chile,2020,3,6,2020-03-15,101.0,13.0,,,5.283,0.68,,,,22.22
South America,CHL,Chile,2020,3,0,2020-03-16,182.0,81.0,,,9.521,4.237,,,2.53,47.22
South America,CHL,Chile,2020,3,1,2020-03-17,228.0,46.0,,,11.927,2.406,,,2.49,47.22
South America,CHL,Chile,2020,3,2,2020-03-18,265.0,37.0,,,13.863,1.936,,,2.45,55.56
South America,CHL,Chile,2020,3,3,2020-03-19,265.0,0.0,,,13.863,0.0,,,2.43,55.56
South America,CHL,Chile,2020,3,4,2020-03-20,461.0,196.0,,,24.116,10.253,,,2.45,55.56
South America,CHL,Chile,2020,3,5,2020-03-21,592.0,131.0,,,30.968,6.853,,,2.38,51.85
South America,CHL,Chile,2020,3,6,2020-03-22,687.0,95.0,1.0,1.0,35.938,4.97,0.052,0.052,2.31,51.85
South America,CHL,Chile,2020,3,0,2020-03-23,801.0,114.0,2.0,1.0,41.902,5.964,0.105,0.052,2.25,51.85
South America,CHL,Chile,2020,3,1,2020-03-24,977.0,176.0,2.0,0.0,51.108,9.207,0.105,0.0,2.2,51.85
South America,CHL,Chile,2020,3,2,2020-03-25,1197.0,220.0,3.0,1.0,62.617,11.509,0.157,0.052,2.15,73.15
South America,CHL,Chile,2020,3,3,2020-03-26,1361.0,164.0,4.0,1.0,71.196,8.579,0.209,0.052,2.09,73.15
South America,CHL,Chile,2020,3,4,2020-03-27,1665.0,304.0,5.0,1.0,87.099,15.903,0.262,0.052,2.04,73.15
South America,CHL,Chile,2020,3,5,2020-03-28,2015.0,350.0,6.0,1.0,105.408,18.309,0.314,0.052,1.99,73.15
South America,CHL,Chile,2020,3,6,2020-03-29,2245.0,230.0,7.0,1.0,117.44,12.032,0.366,0.052,1.92,73.15
South America,CHL,Chile,2020,3,0,2020-03-30,2555.0,310.0,8.0,1.0,133.656,16.217,0.418,0.052,1.86,73.15
South America,CHL,Chile,2020,3,1,2020-03-31,2844.0,289.0,12.0,4.0,148.774,15.118,0.628,0.209,1.81,73.15
South America,CHL,Chile,2020,4,2,2020-04-01,3137.0,293.0,16.0,4.0,164.102,15.327,0.837,0.209,1.76,73.15
South America,CHL,Chile,2020,4,3,2020-04-02,3510.0,373.0,18.0,2.0,183.614,19.512,0.942,0.105,1.71,73.15
South America,CHL,Chile,2020,4,4,2020-04-03,3843.0,333.0,22.0,4.0,201.034,17.42,1.151,0.209,1.67,73.15
South America,CHL,Chile,2020,4,5,2020-04-04,4355.0,512.0,27.0,5.0,227.817,26.784,1.412,0.262,1.63,73.15
South America,CHL,Chile,2020,4,6,2020-04-05,4665.0,310.0,34.0,7.0,244.034,16.217,1.779,0.366,1.58,73.15
South America,CHL,Chile,2020,4,0,2020-04-06,5009.0,344.0,37.0,3.0,262.029,17.995,1.936,0.157,1.55,73.15
South America,CHL,Chile,2020,4,1,2020-04-07,5310.0,301.0,43.0,6.0,277.775,15.746,2.249,0.314,1.51,73.15
South America,CHL,Chile,2020,4,2,2020-04-08,5740.0,430.0,48.0,5.0,300.269,22.494,2.511,0.262,1.49,73.15
South America,CHL,Chile,2020,4,3,2020-04-09,6166.0,426.0,57.0,9.0,322.553,22.285,2.982,0.471,1.47,73.15
South America,CHL,Chile,2020,4,4,2020-04-10,6695.0,529.0,65.0,8.0,350.226,27.673,3.4,0.418,1.45,73.15
South America,CHL,Chile,2020,4,5,2020-04-11,7366.0,671.0,73.0,8.0,385.327,35.101,3.819,0.418,1.42,73.15
South America,CHL,Chile,2020,4,6,2020-04-12,7652.0,286.0,80.0,7.0,400.289,14.961,4.185,0.366,1.39,73.15
South America,CHL,Chile,2020,4,0,2020-04-13,7964.0,312.0,82.0,2.0,416.61,16.321,4.29,0.105,1.37,73.15
South America,CHL,Chile,2020,4,1,2020-04-14,8356.0,392.0,92.0,10.0,437.116,20.506,4.813,0.523,1.36,73.15
South America,CHL,Chile,2020,4,2,2020-04-15,8712.0,356.0,94.0,2.0,455.739,18.623,4.917,0.105,1.35,73.15
South America,CHL,Chile,2020,4,3,2020-04-16,9246.0,534.0,105.0,11.0,483.673,27.934,5.493,0.575,1.35,73.15
South America,CHL,Chile,2020,4,4,2020-04-17,9691.0,445.0,116.0,11.0,506.952,23.279,6.068,0.575,1.35,73.15
South America,CHL,Chile,2020,4,5,2020-04-18,10598.0,907.0,126.0,10.0,554.399,47.447,6.591,0.523,1.35,73.15
South America,CHL,Chile,2020,4,6,2020-04-19,10956.0,358.0,133.0,7.0,573.126,18.728,6.957,0.366,1.34,73.15
South America,CHL,Chile,2020,4,0,2020-04-20,11375.0,419.0,139.0,6.0,595.045,21.919,7.271,0.314,1.33,73.15
South America,CHL,Chile,2020,4,1,2020-04-21,11700.0,325.0,147.0,8.0,612.046,17.001,7.69,0.418,1.33,73.15
South America,CHL,Chile,2020,4,2,2020-04-22,12164.0,464.0,160.0,13.0,636.319,24.273,8.37,0.68,1.34,73.15
South America,CHL,Chile,2020,4,3,2020-04-23,12680.0,516.0,168.0,8.0,663.311,26.993,8.788,0.418,1.36,73.15
South America,CHL,Chile,2020,4,4,2020-04-24,13174.0,494.0,174.0,6.0,689.153,25.842,9.102,0.314,1.38,73.15
South America,CHL,Chile,2020,4,5,2020-04-25,14537.0,1363.0,181.0,7.0,760.454,71.301,9.468,0.366,1.4,73.15
South America,CHL,Chile,2020,4,6,2020-04-26,15010.0,473.0,189.0,8.0,785.198,24.743,9.887,0.418,1.39,73.15
South America,CHL,Chile,2020,4,0,2020-04-27,15492.0,482.0,198.0,9.0,810.412,25.214,10.358,0.471,1.4,73.15
South America,CHL,Chile,2020,4,1,2020-04-28,16044.0,552.0,207.0,9.0,839.288,28.876,10.829,0.471,1.42,73.15
South America,CHL,Chile,2020,4,2,2020-04-29,16564.0,520.0,216.0,9.0,866.49,27.202,11.299,0.471,1.44,73.15
South America,CHL,Chile,2020,4,3,2020-04-30,17702.0,1138.0,227.0,11.0,926.02,59.531,11.875,0.575,1.47,73.15
South America,CHL,Chile,2020,5,4,2020-05-01,18687.0,985.0,234.0,7.0,977.547,51.527,12.241,0.366,1.48,73.15
South America,CHL,Chile,2020,5,5,2020-05-02,21213.0,2526.0,247.0,13.0,1109.687,132.139,12.921,0.68,1.5,73.15
