continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,CHN,China,2020,1,2,2020-01-22,548.0,,17.0,,0.381,,0.012,,,26.39
Asia,CHN,China,2020,1,3,2020-01-23,643.0,95.0,18.0,1.0,0.447,0.066,0.013,0.001,3.14,44.91
Asia,CHN,China,2020,1,4,2020-01-24,920.0,277.0,26.0,8.0,0.639,0.192,0.018,0.006,3.25,44.91
Asia,CHN,China,2020,1,5,2020-01-25,1406.0,486.0,42.0,16.0,0.977,0.338,0.029,0.011,3.35,47.69
Asia,CHN,China,2020,1,6,2020-01-26,2075.0,669.0,56.0,14.0,1.442,0.465,0.039,0.01,3.38,69.91
Asia,CHN,China,2020,1,0,2020-01-27,2877.0,802.0,82.0,26.0,1.999,0.557,0.057,0.018,3.38,69.91
Asia,CHN,China,2020,1,1,2020-01-28,5509.0,2632.0,131.0,49.0,3.827,1.829,0.091,0.034,3.38,69.91
Asia,CHN,China,2020,1,2,2020-01-29,6087.0,578.0,133.0,2.0,4.229,0.402,0.092,0.001,3.09,69.91
Asia,CHN,China,2020,1,3,2020-01-30,8141.0,2054.0,171.0,38.0,5.656,1.427,0.119,0.026,2.94,69.91
Asia,CHN,China,2020,1,4,2020-01-31,9802.0,1661.0,213.0,42.0,6.81,1.154,0.148,0.029,2.76,69.91
Asia,CHN,China,2020,2,5,2020-02-01,11891.0,2089.0,259.0,46.0,8.262,1.451,0.18,0.032,2.64,77.31
Asia,CHN,China,2020,2,6,2020-02-02,16630.0,4739.0,361.0,102.0,11.554,3.293,0.251,0.071,2.54,77.31
Asia,CHN,China,2020,2,0,2020-02-03,19716.0,3086.0,425.0,64.0,13.698,2.144,0.295,0.044,2.34,77.31
Asia,CHN,China,2020,2,1,2020-02-04,23707.0,3991.0,491.0,66.0,16.471,2.773,0.341,0.046,2.17,77.31
Asia,CHN,China,2020,2,2,2020-02-05,27440.0,3733.0,563.0,72.0,19.065,2.594,0.391,0.05,2.0,77.31
Asia,CHN,China,2020,2,3,2020-02-06,30587.0,3147.0,633.0,70.0,21.251,2.186,0.44,0.049,1.85,77.31
Asia,CHN,China,2020,2,4,2020-02-07,34110.0,3523.0,718.0,85.0,23.699,2.448,0.499,0.059,1.72,77.31
Asia,CHN,China,2020,2,5,2020-02-08,36814.0,2704.0,805.0,87.0,25.577,1.879,0.559,0.06,1.62,77.31
Asia,CHN,China,2020,2,6,2020-02-09,39829.0,3015.0,905.0,100.0,27.672,2.095,0.629,0.069,1.54,77.31
Asia,CHN,China,2020,2,0,2020-02-10,42354.0,2525.0,1012.0,107.0,29.426,1.754,0.703,0.074,1.49,75.46
Asia,CHN,China,2020,2,1,2020-02-11,44386.0,2032.0,1112.0,100.0,30.838,1.412,0.773,0.069,1.46,75.46
Asia,CHN,China,2020,2,2,2020-02-12,44759.0,373.0,1117.0,5.0,31.097,0.259,0.776,0.003,1.48,75.46
Asia,CHN,China,2020,2,3,2020-02-13,59895.0,15136.0,1369.0,252.0,41.613,10.516,0.951,0.175,1.58,75.46
Asia,CHN,China,2020,2,4,2020-02-14,66358.0,6463.0,1521.0,152.0,46.104,4.49,1.057,0.106,1.38,75.46
Asia,CHN,China,2020,2,5,2020-02-15,68413.0,2055.0,1663.0,142.0,47.531,1.428,1.155,0.099,1.17,75.46
Asia,CHN,China,2020,2,6,2020-02-16,70513.0,2100.0,1766.0,103.0,48.99,1.459,1.227,0.072,1.0,75.46
Asia,CHN,China,2020,2,0,2020-02-17,72434.0,1921.0,1864.0,98.0,50.325,1.335,1.295,0.068,0.86,75.46
Asia,CHN,China,2020,2,1,2020-02-18,74211.0,1777.0,2003.0,139.0,51.56,1.235,1.392,0.097,0.74,75.46
Asia,CHN,China,2020,2,2,2020-02-19,74619.0,408.0,2116.0,113.0,51.843,0.283,1.47,0.079,0.64,75.46
Asia,CHN,China,2020,2,3,2020-02-20,75077.0,458.0,2238.0,122.0,52.161,0.318,1.555,0.085,0.56,75.46
Asia,CHN,China,2020,2,4,2020-02-21,75550.0,473.0,2238.0,0.0,52.49,0.329,1.555,0.0,0.5,75.46
Asia,CHN,China,2020,2,5,2020-02-22,77001.0,1451.0,2443.0,205.0,53.498,1.008,1.697,0.142,0.46,75.46
Asia,CHN,China,2020,2,6,2020-02-23,77022.0,21.0,2445.0,2.0,53.513,0.015,1.699,0.001,0.41,75.46
Asia,CHN,China,2020,2,0,2020-02-24,77241.0,219.0,2595.0,150.0,53.665,0.152,1.803,0.104,0.38,75.46
Asia,CHN,China,2020,2,1,2020-02-25,77754.0,513.0,2665.0,70.0,54.021,0.356,1.852,0.049,0.37,81.02
Asia,CHN,China,2020,2,2,2020-02-26,78166.0,412.0,2717.0,52.0,54.307,0.286,1.888,0.036,0.36,81.02
Asia,CHN,China,2020,2,3,2020-02-27,78600.0,434.0,2746.0,29.0,54.609,0.302,1.908,0.02,0.35,81.02
Asia,CHN,China,2020,2,4,2020-02-28,78928.0,328.0,2790.0,44.0,54.837,0.228,1.938,0.031,0.34,81.02
Asia,CHN,China,2020,2,5,2020-02-29,79356.0,428.0,2837.0,47.0,55.134,0.297,1.971,0.033,0.33,81.02
Asia,CHN,China,2020,3,6,2020-03-01,79932.0,576.0,2872.0,35.0,55.534,0.4,1.995,0.024,0.32,81.02
Asia,CHN,China,2020,3,0,2020-03-02,80136.0,204.0,2914.0,42.0,55.676,0.142,2.025,0.029,0.3,81.02
Asia,CHN,China,2020,3,1,2020-03-03,80261.0,125.0,2947.0,33.0,55.763,0.087,2.047,0.023,0.27,81.02
Asia,CHN,China,2020,3,2,2020-03-04,80386.0,125.0,2983.0,36.0,55.85,0.087,2.073,0.025,0.26,81.02
Asia,CHN,China,2020,3,3,2020-03-05,80537.0,151.0,3015.0,32.0,55.955,0.105,2.095,0.022,0.25,81.02
Asia,CHN,China,2020,3,4,2020-03-06,80690.0,153.0,3044.0,29.0,56.061,0.106,2.115,0.02,0.23,81.02
Asia,CHN,China,2020,3,5,2020-03-07,80770.0,80.0,3072.0,28.0,56.117,0.056,2.134,0.019,0.22,81.02
Asia,CHN,China,2020,3,6,2020-03-08,80823.0,53.0,3100.0,28.0,56.153,0.037,2.154,0.019,0.21,81.02
Asia,CHN,China,2020,3,0,2020-03-09,80860.0,37.0,3123.0,23.0,56.179,0.026,2.17,0.016,0.21,81.02
Asia,CHN,China,2020,3,1,2020-03-10,80887.0,27.0,3139.0,16.0,56.198,0.019,2.181,0.011,0.21,81.02
Asia,CHN,China,2020,3,2,2020-03-11,80921.0,34.0,3161.0,22.0,56.222,0.024,2.196,0.015,0.21,81.02
Asia,CHN,China,2020,3,3,2020-03-12,80932.0,11.0,3172.0,11.0,56.229,0.008,2.204,0.008,0.23,81.02
Asia,CHN,China,2020,3,4,2020-03-13,80945.0,13.0,3180.0,8.0,56.238,0.009,2.209,0.006,0.25,81.02
Asia,CHN,China,2020,3,5,2020-03-14,80977.0,32.0,3193.0,13.0,56.26,0.022,2.218,0.009,0.28,81.02
Asia,CHN,China,2020,3,6,2020-03-15,81003.0,26.0,3203.0,10.0,56.279,0.018,2.225,0.007,0.32,81.02
Asia,CHN,China,2020,3,0,2020-03-16,81033.0,30.0,3217.0,14.0,56.299,0.021,2.235,0.01,0.37,79.17
Asia,CHN,China,2020,3,1,2020-03-17,81058.0,25.0,3230.0,13.0,56.317,0.017,2.244,0.009,0.42,79.17
Asia,CHN,China,2020,3,2,2020-03-18,81102.0,44.0,3241.0,11.0,56.347,0.031,2.252,0.008,0.49,79.17
Asia,CHN,China,2020,3,3,2020-03-19,81156.0,54.0,3249.0,8.0,56.385,0.038,2.257,0.006,0.57,79.17
Asia,CHN,China,2020,3,4,2020-03-20,81250.0,94.0,3253.0,4.0,56.45,0.065,2.26,0.003,0.64,79.17
Asia,CHN,China,2020,3,5,2020-03-21,81305.0,55.0,3259.0,6.0,56.488,0.038,2.264,0.004,0.7,79.17
Asia,CHN,China,2020,3,6,2020-03-22,81435.0,130.0,3274.0,15.0,56.579,0.09,2.275,0.01,0.77,79.17
Asia,CHN,China,2020,3,0,2020-03-23,81498.0,63.0,3274.0,0.0,56.622,0.044,2.275,0.0,0.81,79.17
Asia,CHN,China,2020,3,1,2020-03-24,81591.0,93.0,3281.0,7.0,56.687,0.065,2.28,0.005,0.85,79.17
Asia,CHN,China,2020,3,2,2020-03-25,81661.0,70.0,3285.0,4.0,56.736,0.049,2.282,0.003,0.88,79.17
Asia,CHN,China,2020,3,3,2020-03-26,81782.0,121.0,3291.0,6.0,56.82,0.084,2.286,0.004,0.92,81.94
Asia,CHN,China,2020,3,4,2020-03-27,81897.0,115.0,3296.0,5.0,56.9,0.08,2.29,0.003,0.94,81.94
Asia,CHN,China,2020,3,5,2020-03-28,81999.0,102.0,3299.0,3.0,56.971,0.071,2.292,0.002,0.93,73.61
Asia,CHN,China,2020,3,6,2020-03-29,82122.0,123.0,3304.0,5.0,57.056,0.085,2.296,0.003,0.93,73.61
Asia,CHN,China,2020,3,0,2020-03-30,82198.0,76.0,3308.0,4.0,57.109,0.053,2.298,0.003,0.9,73.61
Asia,CHN,China,2020,3,1,2020-03-31,82279.0,81.0,3309.0,1.0,57.165,0.056,2.299,0.001,0.89,73.61
Asia,CHN,China,2020,4,2,2020-04-01,82361.0,82.0,3316.0,7.0,57.222,0.057,2.304,0.005,0.87,73.61
Asia,CHN,China,2020,4,3,2020-04-02,82432.0,71.0,3322.0,6.0,57.271,0.049,2.308,0.004,0.85,73.61
Asia,CHN,China,2020,4,4,2020-04-03,82511.0,79.0,3326.0,4.0,57.326,0.055,2.311,0.003,0.84,69.91
