continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,CIV,Cote d'Ivoire,2020,3,2,2020-03-11,1.0,1.0,,,0.038,0.038,,,,0.0
Africa,CIV,Cote d'Ivoire,2020,3,3,2020-03-12,1.0,0.0,,,0.038,0.0,,,,11.11
Africa,CIV,Cote d'Ivoire,2020,3,4,2020-03-13,1.0,0.0,,,0.038,0.0,,,,11.11
Africa,CIV,Cote d'Ivoire,2020,3,5,2020-03-14,1.0,0.0,,,0.038,0.0,,,,11.11
Africa,CIV,Cote d'Ivoire,2020,3,6,2020-03-15,1.0,0.0,,,0.038,0.0,,,,11.11
Africa,CIV,Cote d'Ivoire,2020,3,0,2020-03-16,1.0,0.0,,,0.038,0.0,,,,30.56
Africa,CIV,Cote d'Ivoire,2020,3,1,2020-03-17,5.0,4.0,,,0.19,0.152,,,,30.56
Africa,CIV,Cote d'Ivoire,2020,3,2,2020-03-18,6.0,1.0,,,0.227,0.038,,,,30.56
Africa,CIV,Cote d'Ivoire,2020,3,3,2020-03-19,9.0,3.0,,,0.341,0.114,,,,57.41
Africa,CIV,Cote d'Ivoire,2020,3,4,2020-03-20,9.0,0.0,,,0.341,0.0,,,,57.41
Africa,CIV,Cote d'Ivoire,2020,3,5,2020-03-21,14.0,5.0,,,0.531,0.19,,,,57.41
Africa,CIV,Cote d'Ivoire,2020,3,6,2020-03-22,14.0,0.0,,,0.531,0.0,,,,60.19
Africa,CIV,Cote d'Ivoire,2020,3,0,2020-03-23,25.0,11.0,,,0.948,0.417,,,,63.89
Africa,CIV,Cote d'Ivoire,2020,3,1,2020-03-24,73.0,48.0,,,2.767,1.82,,,,80.56
Africa,CIV,Cote d'Ivoire,2020,3,2,2020-03-25,80.0,7.0,,,3.033,0.265,,,,80.56
Africa,CIV,Cote d'Ivoire,2020,3,3,2020-03-26,96.0,16.0,,,3.639,0.607,,,,80.56
Africa,CIV,Cote d'Ivoire,2020,3,4,2020-03-27,101.0,5.0,,,3.829,0.19,,,,80.56
Africa,CIV,Cote d'Ivoire,2020,3,5,2020-03-28,101.0,0.0,,,3.829,0.0,,,1.33,80.56
Africa,CIV,Cote d'Ivoire,2020,3,6,2020-03-29,165.0,64.0,1.0,1.0,6.255,2.426,0.038,0.038,1.33,80.56
Africa,CIV,Cote d'Ivoire,2020,3,0,2020-03-30,168.0,3.0,1.0,0.0,6.369,0.114,0.038,0.0,1.32,80.56
Africa,CIV,Cote d'Ivoire,2020,3,1,2020-03-31,179.0,11.0,1.0,0.0,6.786,0.417,0.038,0.0,1.32,80.56
Africa,CIV,Cote d'Ivoire,2020,4,2,2020-04-01,190.0,11.0,1.0,0.0,7.203,0.417,0.038,0.0,1.32,80.56
Africa,CIV,Cote d'Ivoire,2020,4,3,2020-04-02,194.0,4.0,1.0,0.0,7.355,0.152,0.038,0.0,1.32,80.56
Africa,CIV,Cote d'Ivoire,2020,4,4,2020-04-03,218.0,24.0,1.0,0.0,8.264,0.91,0.038,0.0,1.32,80.56
Africa,CIV,Cote d'Ivoire,2020,4,5,2020-04-04,245.0,27.0,1.0,0.0,9.288,1.024,0.038,0.0,1.33,80.56
Africa,CIV,Cote d'Ivoire,2020,4,6,2020-04-05,261.0,16.0,3.0,2.0,9.895,0.607,0.114,0.076,1.33,80.56
