continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,CMR,Cameroon,2020,3,4,2020-03-06,1.0,1.0,,,0.038,0.038,,,,0.0
Africa,CMR,Cameroon,2020,3,5,2020-03-07,1.0,0.0,,,0.038,0.0,,,,0.0
Africa,CMR,Cameroon,2020,3,6,2020-03-08,2.0,1.0,,,0.075,0.038,,,,0.0
Africa,CMR,Cameroon,2020,3,0,2020-03-09,2.0,0.0,,,0.075,0.0,,,,0.0
Africa,CMR,Cameroon,2020,3,1,2020-03-10,2.0,0.0,,,0.075,0.0,,,,0.0
Africa,CMR,Cameroon,2020,3,2,2020-03-11,2.0,0.0,,,0.075,0.0,,,,0.0
Africa,CMR,Cameroon,2020,3,3,2020-03-12,2.0,0.0,,,0.075,0.0,,,,0.0
Africa,CMR,Cameroon,2020,3,4,2020-03-13,2.0,0.0,,,0.075,0.0,,,,2.78
Africa,CMR,Cameroon,2020,3,5,2020-03-14,2.0,0.0,,,0.075,0.0,,,,2.78
Africa,CMR,Cameroon,2020,3,6,2020-03-15,2.0,0.0,,,0.075,0.0,,,,2.78
Africa,CMR,Cameroon,2020,3,0,2020-03-16,4.0,2.0,,,0.151,0.075,,,,2.78
Africa,CMR,Cameroon,2020,3,1,2020-03-17,10.0,6.0,,,0.377,0.226,,,,2.78
Africa,CMR,Cameroon,2020,3,2,2020-03-18,10.0,0.0,,,0.377,0.0,,,,57.41
Africa,CMR,Cameroon,2020,3,3,2020-03-19,13.0,3.0,,,0.49,0.113,,,,57.41
Africa,CMR,Cameroon,2020,3,4,2020-03-20,20.0,7.0,,,0.753,0.264,,,,57.41
Africa,CMR,Cameroon,2020,3,5,2020-03-21,27.0,7.0,,,1.017,0.264,,,,57.41
Africa,CMR,Cameroon,2020,3,6,2020-03-22,40.0,13.0,,,1.507,0.49,,,,57.41
Africa,CMR,Cameroon,2020,3,0,2020-03-23,56.0,16.0,,,2.11,0.603,,,,57.41
