continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,COD,Democratic Republic of Congo,2020,3,2,2020-03-11,1.0,1.0,,,0.011,0.011,,,,11.11
Africa,COD,Democratic Republic of Congo,2020,3,3,2020-03-12,1.0,0.0,,,0.011,0.0,,,,11.11
Africa,COD,Democratic Republic of Congo,2020,3,4,2020-03-13,2.0,1.0,,,0.022,0.011,,,,11.11
Africa,COD,Democratic Republic of Congo,2020,3,5,2020-03-14,2.0,0.0,,,0.022,0.0,,,,11.11
Africa,COD,Democratic Republic of Congo,2020,3,6,2020-03-15,2.0,0.0,,,0.022,0.0,,,,11.11
Africa,COD,Democratic Republic of Congo,2020,3,0,2020-03-16,2.0,0.0,,,0.022,0.0,,,,11.11
Africa,COD,Democratic Republic of Congo,2020,3,1,2020-03-17,3.0,1.0,,,0.033,0.011,,,,11.11
Africa,COD,Democratic Republic of Congo,2020,3,2,2020-03-18,4.0,1.0,,,0.045,0.011,,,,19.44
Africa,COD,Democratic Republic of Congo,2020,3,3,2020-03-19,14.0,10.0,,,0.156,0.112,,,,52.78
Africa,COD,Democratic Republic of Congo,2020,3,4,2020-03-20,18.0,4.0,,,0.201,0.045,,,,55.56
Africa,COD,Democratic Republic of Congo,2020,3,5,2020-03-21,23.0,5.0,1.0,1.0,0.257,0.056,0.011,0.011,,55.56
Africa,COD,Democratic Republic of Congo,2020,3,6,2020-03-22,30.0,7.0,1.0,0.0,0.335,0.078,0.011,0.0,,58.33
Africa,COD,Democratic Republic of Congo,2020,3,0,2020-03-23,36.0,6.0,1.0,0.0,0.402,0.067,0.011,0.0,,58.33
Africa,COD,Democratic Republic of Congo,2020,3,1,2020-03-24,45.0,9.0,2.0,1.0,0.502,0.1,0.022,0.011,,77.78
Africa,COD,Democratic Republic of Congo,2020,3,2,2020-03-25,48.0,3.0,2.0,0.0,0.536,0.033,0.022,0.0,,77.78
Africa,COD,Democratic Republic of Congo,2020,3,3,2020-03-26,51.0,3.0,3.0,1.0,0.569,0.033,0.033,0.011,,77.78
Africa,COD,Democratic Republic of Congo,2020,3,4,2020-03-27,51.0,0.0,3.0,0.0,0.569,0.0,0.033,0.0,,77.78
Africa,COD,Democratic Republic of Congo,2020,3,5,2020-03-28,65.0,14.0,6.0,3.0,0.726,0.156,0.067,0.033,,77.78
Africa,COD,Democratic Republic of Congo,2020,3,6,2020-03-29,65.0,0.0,6.0,0.0,0.726,0.0,0.067,0.0,,77.78
Africa,COD,Democratic Republic of Congo,2020,3,0,2020-03-30,81.0,16.0,8.0,2.0,0.904,0.179,0.089,0.022,,77.78
Africa,COD,Democratic Republic of Congo,2020,3,1,2020-03-31,98.0,17.0,8.0,0.0,1.094,0.19,0.089,0.0,,77.78
Africa,COD,Democratic Republic of Congo,2020,4,2,2020-04-01,109.0,11.0,9.0,1.0,1.217,0.123,0.1,0.011,,77.78
Africa,COD,Democratic Republic of Congo,2020,4,3,2020-04-02,134.0,25.0,13.0,4.0,1.496,0.279,0.145,0.045,1.14,77.78
Africa,COD,Democratic Republic of Congo,2020,4,4,2020-04-03,134.0,0.0,13.0,0.0,1.496,0.0,0.145,0.0,1.14,77.78
Africa,COD,Democratic Republic of Congo,2020,4,5,2020-04-04,154.0,20.0,18.0,5.0,1.719,0.223,0.201,0.056,1.14,77.78
Africa,COD,Democratic Republic of Congo,2020,4,6,2020-04-05,154.0,0.0,18.0,0.0,1.719,0.0,0.201,0.0,1.14,77.78
Africa,COD,Democratic Republic of Congo,2020,4,0,2020-04-06,161.0,7.0,18.0,0.0,1.798,0.078,0.201,0.0,1.14,80.56
Africa,COD,Democratic Republic of Congo,2020,4,1,2020-04-07,180.0,19.0,18.0,0.0,2.01,0.212,0.201,0.0,1.14,80.56
Africa,COD,Democratic Republic of Congo,2020,4,2,2020-04-08,180.0,0.0,18.0,0.0,2.01,0.0,0.201,0.0,1.15,80.56
Africa,COD,Democratic Republic of Congo,2020,4,3,2020-04-09,180.0,0.0,18.0,0.0,2.01,0.0,0.201,0.0,1.15,80.56
Africa,COD,Democratic Republic of Congo,2020,4,4,2020-04-10,215.0,35.0,20.0,2.0,2.401,0.391,0.223,0.022,1.15,80.56
Africa,COD,Democratic Republic of Congo,2020,4,5,2020-04-11,223.0,8.0,20.0,0.0,2.49,0.089,0.223,0.0,1.16,80.56
Africa,COD,Democratic Republic of Congo,2020,4,6,2020-04-12,234.0,11.0,20.0,0.0,2.613,0.123,0.223,0.0,1.16,80.56
Africa,COD,Democratic Republic of Congo,2020,4,0,2020-04-13,235.0,1.0,20.0,0.0,2.624,0.011,0.223,0.0,1.16,80.56
Africa,COD,Democratic Republic of Congo,2020,4,1,2020-04-14,241.0,6.0,20.0,0.0,2.691,0.067,0.223,0.0,1.16,80.56
Africa,COD,Democratic Republic of Congo,2020,4,2,2020-04-15,254.0,13.0,21.0,1.0,2.836,0.145,0.234,0.011,1.17,80.56
Africa,COD,Democratic Republic of Congo,2020,4,3,2020-04-16,267.0,13.0,22.0,1.0,2.981,0.145,0.246,0.011,1.17,80.56
Africa,COD,Democratic Republic of Congo,2020,4,4,2020-04-17,287.0,20.0,23.0,1.0,3.205,0.223,0.257,0.011,1.18,80.56
Africa,COD,Democratic Republic of Congo,2020,4,5,2020-04-18,307.0,20.0,25.0,2.0,3.428,0.223,0.279,0.022,1.18,80.56
Africa,COD,Democratic Republic of Congo,2020,4,6,2020-04-19,327.0,20.0,25.0,0.0,3.651,0.223,0.279,0.0,1.18,80.56
Africa,COD,Democratic Republic of Congo,2020,4,0,2020-04-20,332.0,5.0,25.0,0.0,3.707,0.056,0.279,0.0,1.19,80.56
Africa,COD,Democratic Republic of Congo,2020,4,1,2020-04-21,350.0,18.0,25.0,0.0,3.908,0.201,0.279,0.0,1.19,80.56
Africa,COD,Democratic Republic of Congo,2020,4,2,2020-04-22,359.0,9.0,25.0,0.0,4.008,0.1,0.279,0.0,1.19,80.56
Africa,COD,Democratic Republic of Congo,2020,4,3,2020-04-23,377.0,18.0,25.0,0.0,4.209,0.201,0.279,0.0,1.2,80.56
Africa,COD,Democratic Republic of Congo,2020,4,4,2020-04-24,394.0,17.0,25.0,0.0,4.399,0.19,0.279,0.0,1.2,80.56
Africa,COD,Democratic Republic of Congo,2020,4,5,2020-04-25,416.0,22.0,28.0,3.0,4.645,0.246,0.313,0.033,1.21,80.56
Africa,COD,Democratic Republic of Congo,2020,4,6,2020-04-26,442.0,26.0,28.0,0.0,4.935,0.29,0.313,0.0,1.21,80.56
Africa,COD,Democratic Republic of Congo,2020,4,0,2020-04-27,459.0,17.0,28.0,0.0,5.125,0.19,0.313,0.0,1.21,80.56
Africa,COD,Democratic Republic of Congo,2020,4,1,2020-04-28,471.0,12.0,30.0,2.0,5.259,0.134,0.335,0.022,1.22,80.56
Africa,COD,Democratic Republic of Congo,2020,4,2,2020-04-29,491.0,20.0,30.0,0.0,5.482,0.223,0.335,0.0,1.22,80.56
Africa,COD,Democratic Republic of Congo,2020,4,3,2020-04-30,572.0,81.0,31.0,1.0,6.387,0.904,0.346,0.011,1.22,80.56
Africa,COD,Democratic Republic of Congo,2020,5,4,2020-05-01,604.0,32.0,32.0,1.0,6.744,0.357,0.357,0.011,1.22,80.56
Africa,COD,Democratic Republic of Congo,2020,5,5,2020-05-02,674.0,70.0,33.0,1.0,7.526,0.782,0.368,0.011,1.22,80.56
Africa,COD,Democratic Republic of Congo,2020,5,6,2020-05-03,674.0,0.0,33.0,0.0,7.526,0.0,0.368,0.0,1.22,80.56
Africa,COD,Democratic Republic of Congo,2020,5,0,2020-05-04,682.0,8.0,34.0,1.0,7.615,0.089,0.38,0.011,1.22,80.56
