continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,COG,Congo,2020,3,6,2020-03-15,1.0,1.0,,,0.181,0.181,,,,11.11
Africa,COG,Congo,2020,3,0,2020-03-16,1.0,0.0,,,0.181,0.0,,,,11.11
Africa,COG,Congo,2020,3,1,2020-03-17,1.0,0.0,,,0.181,0.0,,,,11.11
Africa,COG,Congo,2020,3,2,2020-03-18,1.0,0.0,,,0.181,0.0,,,,11.11
Africa,COG,Congo,2020,3,3,2020-03-19,3.0,2.0,,,0.544,0.362,,,,11.11
Africa,COG,Congo,2020,3,4,2020-03-20,3.0,0.0,,,0.544,0.0,,,,11.11
Africa,COG,Congo,2020,3,5,2020-03-21,3.0,0.0,,,0.544,0.0,,,,16.67
Africa,COG,Congo,2020,3,6,2020-03-22,3.0,0.0,,,0.544,0.0,,,,16.67
Africa,COG,Congo,2020,3,0,2020-03-23,4.0,1.0,,,0.725,0.181,,,,16.67
Africa,COG,Congo,2020,3,1,2020-03-24,4.0,0.0,,,0.725,0.0,,,,16.67
Africa,COG,Congo,2020,3,2,2020-03-25,4.0,0.0,,,0.725,0.0,,,,16.67
Africa,COG,Congo,2020,3,3,2020-03-26,4.0,0.0,,,0.725,0.0,,,,16.67
Africa,COG,Congo,2020,3,4,2020-03-27,4.0,0.0,,,0.725,0.0,,,,16.67
Africa,COG,Congo,2020,3,5,2020-03-28,4.0,0.0,,,0.725,0.0,,,,80.56
Africa,COG,Congo,2020,3,6,2020-03-29,19.0,15.0,,,3.443,2.718,,,,80.56
Africa,COG,Congo,2020,3,0,2020-03-30,19.0,0.0,,,3.443,0.0,,,,86.11
Africa,COG,Congo,2020,3,1,2020-03-31,19.0,0.0,,,3.443,0.0,,,,97.22
Africa,COG,Congo,2020,4,2,2020-04-01,19.0,0.0,,,3.443,0.0,,,,97.22
Africa,COG,Congo,2020,4,3,2020-04-02,22.0,3.0,2.0,2.0,3.987,0.544,0.362,0.362,,97.22
Africa,COG,Congo,2020,4,4,2020-04-03,22.0,0.0,2.0,0.0,3.987,0.0,0.362,0.0,,97.22
Africa,COG,Congo,2020,4,5,2020-04-04,22.0,0.0,2.0,0.0,3.987,0.0,0.362,0.0,,97.22
