continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
South America,COL,Colombia,2020,3,4,2020-03-06,1.0,1.0,,,0.02,0.02,,,,12.04
South America,COL,Colombia,2020,3,5,2020-03-07,1.0,0.0,,,0.02,0.0,,,,12.04
South America,COL,Colombia,2020,3,6,2020-03-08,1.0,0.0,,,0.02,0.0,,,,12.04
South America,COL,Colombia,2020,3,0,2020-03-09,1.0,0.0,,,0.02,0.0,,,,14.81
South America,COL,Colombia,2020,3,1,2020-03-10,3.0,2.0,,,0.059,0.039,,,,14.81
South America,COL,Colombia,2020,3,2,2020-03-11,9.0,6.0,,,0.177,0.118,,,,14.81
South America,COL,Colombia,2020,3,3,2020-03-12,9.0,0.0,,,0.177,0.0,,,,34.26
South America,COL,Colombia,2020,3,4,2020-03-13,13.0,4.0,,,0.255,0.079,,,,34.26
South America,COL,Colombia,2020,3,5,2020-03-14,22.0,9.0,,,0.432,0.177,,,,34.26
South America,COL,Colombia,2020,3,6,2020-03-15,34.0,12.0,,,0.668,0.236,,,,34.26
South America,COL,Colombia,2020,3,0,2020-03-16,57.0,23.0,,,1.12,0.452,,,,45.37
South America,COL,Colombia,2020,3,1,2020-03-17,75.0,18.0,,,1.474,0.354,,,,50.93
South America,COL,Colombia,2020,3,2,2020-03-18,102.0,27.0,,,2.005,0.531,,,,50.93
South America,COL,Colombia,2020,3,3,2020-03-19,108.0,6.0,,,2.123,0.118,,,1.89,50.93
South America,COL,Colombia,2020,3,4,2020-03-20,158.0,50.0,,,3.105,0.983,,,1.92,50.93
South America,COL,Colombia,2020,3,5,2020-03-21,196.0,38.0,,,3.852,0.747,,,1.91,50.93
South America,COL,Colombia,2020,3,6,2020-03-22,231.0,35.0,2.0,2.0,4.54,0.688,0.039,0.039,1.9,50.93
South America,COL,Colombia,2020,3,0,2020-03-23,277.0,46.0,3.0,1.0,5.444,0.904,0.059,0.02,1.9,53.7
South America,COL,Colombia,2020,3,1,2020-03-24,378.0,101.0,3.0,0.0,7.429,1.985,0.059,0.0,1.89,53.7
South America,COL,Colombia,2020,3,2,2020-03-25,470.0,92.0,4.0,1.0,9.237,1.808,0.079,0.02,1.85,87.96
South America,COL,Colombia,2020,3,3,2020-03-26,491.0,21.0,6.0,2.0,9.65,0.413,0.118,0.039,1.79,87.96
South America,COL,Colombia,2020,3,4,2020-03-27,539.0,48.0,6.0,0.0,10.593,0.943,0.118,0.0,1.76,87.96
South America,COL,Colombia,2020,3,5,2020-03-28,608.0,69.0,6.0,0.0,11.949,1.356,0.118,0.0,1.74,87.96
South America,COL,Colombia,2020,3,6,2020-03-29,702.0,94.0,10.0,4.0,13.796,1.847,0.197,0.079,1.73,87.96
South America,COL,Colombia,2020,3,0,2020-03-30,798.0,96.0,12.0,2.0,15.683,1.887,0.236,0.039,1.71,87.96
South America,COL,Colombia,2020,3,1,2020-03-31,906.0,108.0,16.0,4.0,17.806,2.123,0.314,0.079,1.68,87.96
