continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,COM,Comoros,2020,4,3,2020-04-30,1.0,1.0,,,1.15,1.15,,,,
Africa,COM,Comoros,2020,5,4,2020-05-01,1.0,0.0,,,1.15,0.0,,,,
Africa,COM,Comoros,2020,5,5,2020-05-02,3.0,2.0,,,3.45,2.3,,,,
Africa,COM,Comoros,2020,5,6,2020-05-03,3.0,0.0,,,3.45,0.0,,,,
Africa,COM,Comoros,2020,5,0,2020-05-04,3.0,0.0,,,3.45,0.0,,,,
Africa,COM,Comoros,2020,5,1,2020-05-05,3.0,0.0,,,3.45,0.0,,,,
Africa,COM,Comoros,2020,5,2,2020-05-06,8.0,5.0,1.0,1.0,9.2,5.75,1.15,1.15,,
Africa,COM,Comoros,2020,5,3,2020-05-07,8.0,0.0,1.0,0.0,9.2,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,4,2020-05-08,8.0,0.0,1.0,0.0,9.2,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,5,2020-05-09,11.0,3.0,1.0,0.0,12.65,3.45,1.15,0.0,,
Africa,COM,Comoros,2020,5,6,2020-05-10,11.0,0.0,1.0,0.0,12.65,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,0,2020-05-11,11.0,0.0,1.0,0.0,12.65,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,1,2020-05-12,11.0,0.0,1.0,0.0,12.65,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,2,2020-05-13,11.0,0.0,1.0,0.0,12.65,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,3,2020-05-14,11.0,0.0,1.0,0.0,12.65,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,4,2020-05-15,11.0,0.0,1.0,0.0,12.65,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,5,2020-05-16,11.0,0.0,1.0,0.0,12.65,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,6,2020-05-17,11.0,0.0,1.0,0.0,12.65,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,0,2020-05-18,11.0,0.0,1.0,0.0,12.65,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,1,2020-05-19,11.0,0.0,1.0,0.0,12.65,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,2,2020-05-20,34.0,23.0,1.0,0.0,39.099,26.449,1.15,0.0,,
Africa,COM,Comoros,2020,5,3,2020-05-21,34.0,0.0,1.0,0.0,39.099,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,4,2020-05-22,78.0,44.0,1.0,0.0,89.697,50.598,1.15,0.0,,
Africa,COM,Comoros,2020,5,5,2020-05-23,78.0,0.0,1.0,0.0,89.697,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,6,2020-05-24,87.0,9.0,1.0,0.0,100.047,10.35,1.15,0.0,,
Africa,COM,Comoros,2020,5,0,2020-05-25,87.0,0.0,1.0,0.0,100.047,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,1,2020-05-26,87.0,0.0,1.0,0.0,100.047,0.0,1.15,0.0,,
Africa,COM,Comoros,2020,5,2,2020-05-27,87.0,0.0,2.0,1.0,100.047,0.0,2.3,1.15,,
Africa,COM,Comoros,2020,5,3,2020-05-28,87.0,0.0,2.0,0.0,100.047,0.0,2.3,0.0,,
Africa,COM,Comoros,2020,5,4,2020-05-29,87.0,0.0,2.0,0.0,100.047,0.0,2.3,0.0,,
Africa,COM,Comoros,2020,5,5,2020-05-30,106.0,19.0,2.0,0.0,121.896,21.849,2.3,0.0,,
Africa,COM,Comoros,2020,5,6,2020-05-31,106.0,0.0,2.0,0.0,121.896,0.0,2.3,0.0,0.78,
