continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,CYP,Cyprus,2020,3,0,2020-03-09,2.0,2.0,,,2.283,2.283,,,,11.11
Europe,CYP,Cyprus,2020,3,1,2020-03-10,3.0,1.0,,,3.425,1.142,,,,22.22
Europe,CYP,Cyprus,2020,3,2,2020-03-11,6.0,3.0,,,6.85,3.425,,,,22.22
Europe,CYP,Cyprus,2020,3,3,2020-03-12,6.0,0.0,,,6.85,0.0,,,,22.22
Europe,CYP,Cyprus,2020,3,4,2020-03-13,14.0,8.0,,,15.984,9.133,,,,38.89
Europe,CYP,Cyprus,2020,3,5,2020-03-14,26.0,12.0,,,29.684,13.7,,,,38.89
Europe,CYP,Cyprus,2020,3,6,2020-03-15,26.0,0.0,,,29.684,0.0,,,,44.44
Europe,CYP,Cyprus,2020,3,0,2020-03-16,33.0,7.0,,,37.676,7.992,,,,51.85
Europe,CYP,Cyprus,2020,3,1,2020-03-17,46.0,13.0,,,52.517,14.842,,,,51.85
Europe,CYP,Cyprus,2020,3,2,2020-03-18,49.0,3.0,,,55.943,3.425,,,,51.85
Europe,CYP,Cyprus,2020,3,3,2020-03-19,67.0,18.0,,,76.493,20.55,,,,51.85
Europe,CYP,Cyprus,2020,3,4,2020-03-20,67.0,0.0,,,76.493,0.0,,,,51.85
Europe,CYP,Cyprus,2020,3,5,2020-03-21,84.0,17.0,,,95.901,19.409,,,,51.85
Europe,CYP,Cyprus,2020,3,6,2020-03-22,95.0,11.0,1.0,1.0,108.46,12.559,1.142,1.142,,51.85
Europe,CYP,Cyprus,2020,3,0,2020-03-23,116.0,21.0,1.0,0.0,132.435,23.975,1.142,0.0,,62.96
Europe,CYP,Cyprus,2020,3,1,2020-03-24,124.0,8.0,3.0,2.0,141.569,9.133,3.425,2.283,1.11,92.59
Europe,CYP,Cyprus,2020,3,2,2020-03-25,132.0,8.0,3.0,0.0,150.702,9.133,3.425,0.0,1.12,92.59
Europe,CYP,Cyprus,2020,3,3,2020-03-26,146.0,14.0,3.0,0.0,166.686,15.984,3.425,0.0,1.14,92.59
Europe,CYP,Cyprus,2020,3,4,2020-03-27,162.0,16.0,5.0,2.0,184.953,18.267,5.708,2.283,1.17,92.59
Europe,CYP,Cyprus,2020,3,5,2020-03-28,179.0,17.0,5.0,0.0,204.361,19.409,5.708,0.0,1.19,92.59
Europe,CYP,Cyprus,2020,3,6,2020-03-29,214.0,35.0,5.0,0.0,244.32,39.959,5.708,0.0,1.22,92.59
Europe,CYP,Cyprus,2020,3,0,2020-03-30,230.0,16.0,7.0,2.0,262.587,18.267,7.992,2.283,1.23,92.59
Europe,CYP,Cyprus,2020,3,1,2020-03-31,262.0,32.0,8.0,1.0,299.121,36.534,9.133,1.142,1.24,92.59
Europe,CYP,Cyprus,2020,4,2,2020-04-01,320.0,58.0,9.0,1.0,365.339,66.218,10.275,1.142,1.24,92.59
Europe,CYP,Cyprus,2020,4,3,2020-04-02,356.0,36.0,10.0,1.0,406.44,41.101,11.417,1.142,1.21,92.59
Europe,CYP,Cyprus,2020,4,4,2020-04-03,396.0,40.0,11.0,1.0,452.107,45.667,12.559,1.142,1.18,92.59
Europe,CYP,Cyprus,2020,4,5,2020-04-04,426.0,30.0,11.0,0.0,486.357,34.251,12.559,0.0,1.14,92.59
Europe,CYP,Cyprus,2020,4,6,2020-04-05,446.0,20.0,9.0,-2.0,509.191,22.834,10.275,-2.283,1.1,92.59
Europe,CYP,Cyprus,2020,4,0,2020-04-06,465.0,19.0,9.0,0.0,530.883,21.692,10.275,0.0,1.07,92.59
Europe,CYP,Cyprus,2020,4,1,2020-04-07,494.0,29.0,9.0,0.0,563.992,33.109,10.275,0.0,1.05,92.59
Europe,CYP,Cyprus,2020,4,2,2020-04-08,526.0,32.0,9.0,0.0,600.526,36.534,10.275,0.0,1.03,92.59
Europe,CYP,Cyprus,2020,4,3,2020-04-09,564.0,38.0,10.0,1.0,643.91,43.384,11.417,1.142,1.0,92.59
Europe,CYP,Cyprus,2020,4,4,2020-04-10,595.0,31.0,10.0,0.0,679.302,35.392,11.417,0.0,0.97,92.59
Europe,CYP,Cyprus,2020,4,5,2020-04-11,616.0,21.0,10.0,0.0,703.277,23.975,11.417,0.0,0.94,92.59
Europe,CYP,Cyprus,2020,4,6,2020-04-12,633.0,17.0,11.0,1.0,722.686,19.409,12.559,1.142,0.91,92.59
Europe,CYP,Cyprus,2020,4,0,2020-04-13,662.0,29.0,12.0,1.0,755.795,33.109,13.7,1.142,0.88,92.59
Europe,CYP,Cyprus,2020,4,1,2020-04-14,695.0,33.0,12.0,0.0,793.47,37.676,13.7,0.0,0.86,92.59
Europe,CYP,Cyprus,2020,4,2,2020-04-15,715.0,20.0,12.0,0.0,816.304,22.834,13.7,0.0,0.82,92.59
Europe,CYP,Cyprus,2020,4,3,2020-04-16,735.0,20.0,12.0,0.0,839.138,22.834,13.7,0.0,0.79,94.44
Europe,CYP,Cyprus,2020,4,4,2020-04-17,750.0,15.0,12.0,0.0,856.263,17.125,13.7,0.0,0.76,94.44
Europe,CYP,Cyprus,2020,4,5,2020-04-18,761.0,11.0,12.0,0.0,868.822,12.559,13.7,0.0,0.73,94.44
