continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,CZE,Czechia,2020,2,6,2020-02-02,,,,,,,,,,16.67
Europe,CZE,Czechia,2020,2,6,2020-02-09,,,,,,,,,,16.67
Europe,CZE,Czechia,2020,2,6,2020-02-16,,,,,,,,,,16.67
Europe,CZE,Czechia,2020,2,6,2020-02-23,,,,,,,,,,16.67
Europe,CZE,Czechia,2020,3,6,2020-03-01,3.0,3.0,,,0.28,0.28,,,,19.44
Europe,CZE,Czechia,2020,3,0,2020-03-02,3.0,0.0,,,0.28,0.0,,,,19.44
Europe,CZE,Czechia,2020,3,1,2020-03-03,5.0,2.0,,,0.467,0.187,,,,19.44
Europe,CZE,Czechia,2020,3,2,2020-03-04,8.0,3.0,,,0.747,0.28,,,,19.44
Europe,CZE,Czechia,2020,3,3,2020-03-05,12.0,4.0,,,1.121,0.374,,,,19.44
Europe,CZE,Czechia,2020,3,4,2020-03-06,18.0,6.0,,,1.681,0.56,,,,19.44
Europe,CZE,Czechia,2020,3,5,2020-03-07,19.0,1.0,,,1.774,0.093,,,,19.44
Europe,CZE,Czechia,2020,3,6,2020-03-08,31.0,12.0,,,2.895,1.121,,,,19.44
Europe,CZE,Czechia,2020,3,0,2020-03-09,31.0,0.0,,,2.895,0.0,,,,19.44
Europe,CZE,Czechia,2020,3,1,2020-03-10,41.0,10.0,,,3.829,0.934,,,,25.0
Europe,CZE,Czechia,2020,3,2,2020-03-11,91.0,50.0,,,8.498,4.669,,,,47.22
Europe,CZE,Czechia,2020,3,3,2020-03-12,94.0,3.0,,,8.778,0.28,,,,50.0
Europe,CZE,Czechia,2020,3,4,2020-03-13,141.0,47.0,,,13.167,4.389,,,,57.41
Europe,CZE,Czechia,2020,3,5,2020-03-14,189.0,48.0,,,17.649,4.482,,,2.31,61.11
