continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,DJI,Djibouti,2020,3,2,2020-03-18,1.0,1.0,,,1.012,1.012,,,,22.22
Africa,DJI,Djibouti,2020,3,3,2020-03-19,1.0,0.0,,,1.012,0.0,,,,33.33
Africa,DJI,Djibouti,2020,3,4,2020-03-20,1.0,0.0,,,1.012,0.0,,,,33.33
Africa,DJI,Djibouti,2020,3,5,2020-03-21,1.0,0.0,,,1.012,0.0,,,,33.33
Africa,DJI,Djibouti,2020,3,6,2020-03-22,1.0,0.0,,,1.012,0.0,,,,46.3
Africa,DJI,Djibouti,2020,3,0,2020-03-23,3.0,2.0,,,3.036,2.024,,,,94.44
Africa,DJI,Djibouti,2020,3,1,2020-03-24,3.0,0.0,,,3.036,0.0,,,,94.44
Africa,DJI,Djibouti,2020,3,2,2020-03-25,11.0,8.0,,,11.134,8.097,,,,94.44
Africa,DJI,Djibouti,2020,3,3,2020-03-26,11.0,0.0,,,11.134,0.0,,,,94.44
Africa,DJI,Djibouti,2020,3,4,2020-03-27,12.0,1.0,,,12.146,1.012,,,,94.44
Africa,DJI,Djibouti,2020,3,5,2020-03-28,14.0,2.0,,,14.17,2.024,,,,94.44
Africa,DJI,Djibouti,2020,3,6,2020-03-29,18.0,4.0,,,18.219,4.049,,,,94.44
Africa,DJI,Djibouti,2020,3,0,2020-03-30,18.0,0.0,,,18.219,0.0,,,,94.44
Africa,DJI,Djibouti,2020,3,1,2020-03-31,30.0,12.0,,,30.364,12.146,,,,94.44
Africa,DJI,Djibouti,2020,4,2,2020-04-01,33.0,3.0,,,33.401,3.036,,,,94.44
Africa,DJI,Djibouti,2020,4,3,2020-04-02,40.0,7.0,,,40.486,7.085,,,,94.44
Africa,DJI,Djibouti,2020,4,4,2020-04-03,49.0,9.0,,,49.595,9.109,,,,94.44
Africa,DJI,Djibouti,2020,4,5,2020-04-04,50.0,1.0,,,50.607,1.012,,,,94.44
Africa,DJI,Djibouti,2020,4,6,2020-04-05,59.0,9.0,,,59.716,9.109,,,,94.44
Africa,DJI,Djibouti,2020,4,0,2020-04-06,90.0,31.0,,,91.093,31.376,,,,94.44
Africa,DJI,Djibouti,2020,4,1,2020-04-07,90.0,0.0,,,91.093,0.0,,,,94.44
