continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
North America,DMA,Dominica,2020,3,6,2020-03-22,1.0,1.0,,,13.891,13.891,,,,13.89
North America,DMA,Dominica,2020,3,0,2020-03-23,2.0,1.0,,,27.781,13.891,,,,25.0
North America,DMA,Dominica,2020,3,1,2020-03-24,2.0,0.0,,,27.781,0.0,,,,25.0
North America,DMA,Dominica,2020,3,2,2020-03-25,7.0,5.0,,,97.234,69.453,,,,25.0
North America,DMA,Dominica,2020,3,3,2020-03-26,11.0,4.0,,,152.797,55.563,,,,25.0
North America,DMA,Dominica,2020,3,4,2020-03-27,11.0,0.0,,,152.797,0.0,,,,25.0
North America,DMA,Dominica,2020,3,5,2020-03-28,11.0,0.0,,,152.797,0.0,,,,30.56
North America,DMA,Dominica,2020,3,6,2020-03-29,11.0,0.0,,,152.797,0.0,,,,30.56
North America,DMA,Dominica,2020,3,0,2020-03-30,11.0,0.0,,,152.797,0.0,,,,30.56
North America,DMA,Dominica,2020,3,1,2020-03-31,12.0,1.0,,,166.688,13.891,,,,30.56
North America,DMA,Dominica,2020,4,2,2020-04-01,12.0,0.0,,,166.688,0.0,,,,79.63
North America,DMA,Dominica,2020,4,3,2020-04-02,12.0,0.0,,,166.688,0.0,,,,79.63
North America,DMA,Dominica,2020,4,4,2020-04-03,12.0,0.0,,,166.688,0.0,,,,79.63
North America,DMA,Dominica,2020,4,5,2020-04-04,14.0,2.0,,,194.469,27.781,,,,79.63
North America,DMA,Dominica,2020,4,6,2020-04-05,14.0,0.0,,,194.469,0.0,,,,79.63
North America,DMA,Dominica,2020,4,0,2020-04-06,15.0,1.0,,,208.359,13.891,,,,79.63
North America,DMA,Dominica,2020,4,1,2020-04-07,15.0,0.0,,,208.359,0.0,,,,79.63
North America,DMA,Dominica,2020,4,2,2020-04-08,15.0,0.0,,,208.359,0.0,,,,79.63
North America,DMA,Dominica,2020,4,3,2020-04-09,15.0,0.0,,,208.359,0.0,,,,79.63
North America,DMA,Dominica,2020,4,4,2020-04-10,16.0,1.0,,,222.25,13.891,,,,79.63
North America,DMA,Dominica,2020,4,5,2020-04-11,16.0,0.0,,,222.25,0.0,,,,79.63
North America,DMA,Dominica,2020,4,6,2020-04-12,16.0,0.0,,,222.25,0.0,,,,79.63
North America,DMA,Dominica,2020,4,0,2020-04-13,16.0,0.0,,,222.25,0.0,,,,79.63
North America,DMA,Dominica,2020,4,1,2020-04-14,16.0,0.0,,,222.25,0.0,,,,79.63
North America,DMA,Dominica,2020,4,2,2020-04-15,16.0,0.0,,,222.25,0.0,,,,79.63
North America,DMA,Dominica,2020,4,3,2020-04-16,16.0,0.0,,,222.25,0.0,,,,79.63
North America,DMA,Dominica,2020,4,4,2020-04-17,16.0,0.0,,,222.25,0.0,,,,79.63
North America,DMA,Dominica,2020,4,5,2020-04-18,16.0,0.0,,,222.25,0.0,,,,79.63
North America,DMA,Dominica,2020,4,6,2020-04-19,16.0,0.0,,,222.25,0.0,,,,79.63
North America,DMA,Dominica,2020,4,0,2020-04-20,16.0,0.0,,,222.25,0.0,,,,79.63
North America,DMA,Dominica,2020,4,1,2020-04-21,16.0,0.0,,,222.25,0.0,,,,79.63
North America,DMA,Dominica,2020,4,2,2020-04-22,16.0,0.0,,,222.25,0.0,,,,79.63
North America,DMA,Dominica,2020,4,3,2020-04-23,16.0,0.0,,,222.25,0.0,,,,79.63
