continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,DNK,Denmark,2020,2,6,2020-02-02,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,0,2020-02-03,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,1,2020-02-04,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,2,2020-02-05,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,3,2020-02-06,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,4,2020-02-07,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,5,2020-02-08,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,6,2020-02-09,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,0,2020-02-10,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,1,2020-02-11,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,2,2020-02-12,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,3,2020-02-13,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,4,2020-02-14,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,5,2020-02-15,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,6,2020-02-16,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,0,2020-02-17,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,1,2020-02-18,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,2,2020-02-19,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,3,2020-02-20,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,4,2020-02-21,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,5,2020-02-22,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,6,2020-02-23,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,0,2020-02-24,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,1,2020-02-25,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,2,2020-02-26,,,,,,,,,,0.0
Europe,DNK,Denmark,2020,2,3,2020-02-27,1.0,1.0,,,0.173,0.173,,,,11.11
Europe,DNK,Denmark,2020,2,4,2020-02-28,1.0,0.0,,,0.173,0.0,,,,11.11
Europe,DNK,Denmark,2020,2,5,2020-02-29,3.0,2.0,,,0.518,0.345,,,,11.11
Europe,DNK,Denmark,2020,3,6,2020-03-01,4.0,1.0,,,0.691,0.173,,,,11.11
Europe,DNK,Denmark,2020,3,0,2020-03-02,4.0,0.0,,,0.691,0.0,,,,11.11
Europe,DNK,Denmark,2020,3,1,2020-03-03,6.0,2.0,,,1.036,0.345,,,,20.37
Europe,DNK,Denmark,2020,3,2,2020-03-04,11.0,5.0,,,1.899,0.863,,,,20.37
Europe,DNK,Denmark,2020,3,3,2020-03-05,11.0,0.0,,,1.899,0.0,,,,20.37
Europe,DNK,Denmark,2020,3,4,2020-03-06,24.0,13.0,,,4.144,2.244,,,,25.93
Europe,DNK,Denmark,2020,3,5,2020-03-07,24.0,0.0,,,4.144,0.0,,,,25.93
Europe,DNK,Denmark,2020,3,6,2020-03-08,37.0,13.0,,,6.388,2.244,,,,25.93
Europe,DNK,Denmark,2020,3,0,2020-03-09,92.0,55.0,,,15.883,9.496,,,,25.93
Europe,DNK,Denmark,2020,3,1,2020-03-10,264.0,172.0,,,45.579,29.695,,,,31.48
Europe,DNK,Denmark,2020,3,2,2020-03-11,444.0,180.0,,,76.655,31.076,,,1.68,37.96
Europe,DNK,Denmark,2020,3,3,2020-03-12,617.0,173.0,,,106.523,29.868,,,1.65,37.96
Europe,DNK,Denmark,2020,3,4,2020-03-13,804.0,187.0,,,138.807,32.285,,,1.61,62.96
Europe,DNK,Denmark,2020,3,5,2020-03-14,836.0,32.0,1.0,1.0,144.332,5.525,0.173,0.173,1.56,65.74
Europe,DNK,Denmark,2020,3,6,2020-03-15,875.0,39.0,2.0,1.0,151.065,6.733,0.345,0.173,1.52,65.74
Europe,DNK,Denmark,2020,3,0,2020-03-16,933.0,58.0,3.0,1.0,161.079,10.013,0.518,0.173,1.5,65.74
Europe,DNK,Denmark,2020,3,1,2020-03-17,1025.0,92.0,4.0,1.0,176.962,15.883,0.691,0.173,1.48,65.74
Europe,DNK,Denmark,2020,3,2,2020-03-18,1116.0,91.0,4.0,0.0,192.673,15.711,0.691,0.0,1.46,72.22
Europe,DNK,Denmark,2020,3,3,2020-03-19,1225.0,109.0,6.0,2.0,211.491,18.818,1.036,0.345,1.44,72.22
Europe,DNK,Denmark,2020,3,4,2020-03-20,1337.0,112.0,9.0,3.0,230.828,19.336,1.554,0.518,1.43,72.22
Europe,DNK,Denmark,2020,3,5,2020-03-21,1420.0,83.0,13.0,4.0,245.157,14.33,2.244,0.691,1.41,72.22
Europe,DNK,Denmark,2020,3,6,2020-03-22,1514.0,94.0,13.0,0.0,261.386,16.229,2.244,0.0,1.4,72.22
Europe,DNK,Denmark,2020,3,0,2020-03-23,1572.0,58.0,24.0,11.0,271.399,10.013,4.144,1.899,1.4,72.22
Europe,DNK,Denmark,2020,3,1,2020-03-24,1718.0,146.0,32.0,8.0,296.606,25.206,5.525,1.381,1.4,72.22
Europe,DNK,Denmark,2020,3,2,2020-03-25,1862.0,144.0,34.0,2.0,321.467,24.861,5.87,0.345,1.4,72.22
Europe,DNK,Denmark,2020,3,3,2020-03-26,2023.0,161.0,41.0,7.0,349.263,27.796,7.078,1.209,1.39,72.22
Europe,DNK,Denmark,2020,3,4,2020-03-27,2200.0,177.0,52.0,11.0,379.821,30.558,8.978,1.899,1.39,72.22
Europe,DNK,Denmark,2020,3,5,2020-03-28,2366.0,166.0,65.0,13.0,408.48,28.659,11.222,2.244,1.38,72.22
Europe,DNK,Denmark,2020,3,6,2020-03-29,2564.0,198.0,72.0,7.0,442.664,34.184,12.431,1.209,1.37,72.22
Europe,DNK,Denmark,2020,3,0,2020-03-30,2755.0,191.0,77.0,5.0,475.639,32.975,13.294,0.863,1.36,72.22
Europe,DNK,Denmark,2020,3,1,2020-03-31,3039.0,284.0,90.0,13.0,524.671,49.031,15.538,2.244,1.35,72.22
Europe,DNK,Denmark,2020,4,2,2020-04-01,3290.0,251.0,104.0,14.0,568.005,43.334,17.955,2.417,1.34,72.22
Europe,DNK,Denmark,2020,4,3,2020-04-02,3573.0,283.0,123.0,19.0,616.864,48.859,21.235,3.28,1.32,72.22
Europe,DNK,Denmark,2020,4,4,2020-04-03,3946.0,373.0,139.0,16.0,681.261,64.397,23.998,2.762,1.3,72.22
Europe,DNK,Denmark,2020,4,5,2020-04-04,4269.0,323.0,161.0,22.0,737.025,55.765,27.796,3.798,1.27,72.22
