continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,DZA,Algeria,2020,2,1,2020-02-25,1.0,1.0,,,0.023,0.023,,,,0.0
Africa,DZA,Algeria,2020,2,2,2020-02-26,1.0,0.0,,,0.023,0.0,,,,0.0
Africa,DZA,Algeria,2020,2,3,2020-02-27,1.0,0.0,,,0.023,0.0,,,,0.0
Africa,DZA,Algeria,2020,2,4,2020-02-28,1.0,0.0,,,0.023,0.0,,,,0.0
Africa,DZA,Algeria,2020,2,5,2020-02-29,1.0,0.0,,,0.023,0.0,,,,0.0
Africa,DZA,Algeria,2020,3,6,2020-03-01,1.0,0.0,,,0.023,0.0,,,,0.0
Africa,DZA,Algeria,2020,3,0,2020-03-02,3.0,2.0,,,0.068,0.046,,,,0.0
Africa,DZA,Algeria,2020,3,1,2020-03-03,5.0,2.0,,,0.114,0.046,,,,0.0
Africa,DZA,Algeria,2020,3,2,2020-03-04,12.0,7.0,,,0.274,0.16,,,,0.0
Africa,DZA,Algeria,2020,3,3,2020-03-05,12.0,0.0,,,0.274,0.0,,,,5.56
Africa,DZA,Algeria,2020,3,4,2020-03-06,17.0,5.0,,,0.388,0.114,,,,5.56
Africa,DZA,Algeria,2020,3,5,2020-03-07,17.0,0.0,,,0.388,0.0,,,,5.56
Africa,DZA,Algeria,2020,3,6,2020-03-08,19.0,2.0,,,0.433,0.046,,,,5.56
Africa,DZA,Algeria,2020,3,0,2020-03-09,20.0,1.0,,,0.456,0.023,,,,5.56
Africa,DZA,Algeria,2020,3,1,2020-03-10,20.0,0.0,,,0.456,0.0,,,,16.67
Africa,DZA,Algeria,2020,3,2,2020-03-11,20.0,0.0,,,0.456,0.0,,,,16.67
Africa,DZA,Algeria,2020,3,3,2020-03-12,24.0,4.0,1.0,1.0,0.547,0.091,0.023,0.023,,30.56
Africa,DZA,Algeria,2020,3,4,2020-03-13,26.0,2.0,2.0,1.0,0.593,0.046,0.046,0.023,,30.56
Africa,DZA,Algeria,2020,3,5,2020-03-14,37.0,11.0,3.0,1.0,0.844,0.251,0.068,0.023,,36.11
Africa,DZA,Algeria,2020,3,6,2020-03-15,48.0,11.0,4.0,1.0,1.095,0.251,0.091,0.023,,36.11
Africa,DZA,Algeria,2020,3,0,2020-03-16,54.0,6.0,4.0,0.0,1.231,0.137,0.091,0.0,,36.11
Africa,DZA,Algeria,2020,3,1,2020-03-17,60.0,6.0,4.0,0.0,1.368,0.137,0.091,0.0,,38.89
Africa,DZA,Algeria,2020,3,2,2020-03-18,74.0,14.0,7.0,3.0,1.688,0.319,0.16,0.068,,38.89
