continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,EGY,Egypt,2020,2,4,2020-02-14,1.0,1.0,,,0.01,0.01,,,,0.0
Africa,EGY,Egypt,2020,2,5,2020-02-15,1.0,0.0,,,0.01,0.0,,,,0.0
Africa,EGY,Egypt,2020,2,6,2020-02-16,1.0,0.0,,,0.01,0.0,,,,0.0
Africa,EGY,Egypt,2020,2,0,2020-02-17,1.0,0.0,,,0.01,0.0,,,,0.0
Africa,EGY,Egypt,2020,2,1,2020-02-18,1.0,0.0,,,0.01,0.0,,,,0.0
Africa,EGY,Egypt,2020,2,2,2020-02-19,1.0,0.0,,,0.01,0.0,,,,0.0
Africa,EGY,Egypt,2020,2,3,2020-02-20,1.0,0.0,,,0.01,0.0,,,,0.0
Africa,EGY,Egypt,2020,2,4,2020-02-21,1.0,0.0,,,0.01,0.0,,,,0.0
Africa,EGY,Egypt,2020,2,5,2020-02-22,1.0,0.0,,,0.01,0.0,,,,0.0
Africa,EGY,Egypt,2020,2,6,2020-02-23,1.0,0.0,,,0.01,0.0,,,,0.0
Africa,EGY,Egypt,2020,2,0,2020-02-24,1.0,0.0,,,0.01,0.0,,,,0.0
Africa,EGY,Egypt,2020,2,1,2020-02-25,1.0,0.0,,,0.01,0.0,,,,0.0
Africa,EGY,Egypt,2020,2,2,2020-02-26,1.0,0.0,,,0.01,0.0,,,,0.0
Africa,EGY,Egypt,2020,2,3,2020-02-27,1.0,0.0,,,0.01,0.0,,,,0.0
Africa,EGY,Egypt,2020,2,4,2020-02-28,1.0,0.0,,,0.01,0.0,,,,0.0
Africa,EGY,Egypt,2020,2,5,2020-02-29,1.0,0.0,,,0.01,0.0,,,,0.0
Africa,EGY,Egypt,2020,3,6,2020-03-01,2.0,1.0,,,0.02,0.01,,,,0.0
Africa,EGY,Egypt,2020,3,0,2020-03-02,2.0,0.0,,,0.02,0.0,,,,0.0
Africa,EGY,Egypt,2020,3,1,2020-03-03,2.0,0.0,,,0.02,0.0,,,,0.0
Africa,EGY,Egypt,2020,3,2,2020-03-04,2.0,0.0,,,0.02,0.0,,,,0.0
Africa,EGY,Egypt,2020,3,3,2020-03-05,3.0,1.0,,,0.029,0.01,,,,0.0
Africa,EGY,Egypt,2020,3,4,2020-03-06,15.0,12.0,,,0.147,0.117,,,,0.0
Africa,EGY,Egypt,2020,3,5,2020-03-07,15.0,0.0,,,0.147,0.0,,,,0.0
Africa,EGY,Egypt,2020,3,6,2020-03-08,49.0,34.0,1.0,1.0,0.479,0.332,0.01,0.01,,0.0
Africa,EGY,Egypt,2020,3,0,2020-03-09,55.0,6.0,1.0,0.0,0.537,0.059,0.01,0.0,,0.0
Africa,EGY,Egypt,2020,3,1,2020-03-10,59.0,4.0,1.0,0.0,0.577,0.039,0.01,0.0,,0.0
Africa,EGY,Egypt,2020,3,2,2020-03-11,60.0,1.0,1.0,0.0,0.586,0.01,0.01,0.0,,0.0
Africa,EGY,Egypt,2020,3,3,2020-03-12,67.0,7.0,1.0,0.0,0.655,0.068,0.01,0.0,,0.0
Africa,EGY,Egypt,2020,3,4,2020-03-13,80.0,13.0,2.0,1.0,0.782,0.127,0.02,0.01,,0.0
Africa,EGY,Egypt,2020,3,5,2020-03-14,109.0,29.0,2.0,0.0,1.065,0.283,0.02,0.0,,0.0
Africa,EGY,Egypt,2020,3,6,2020-03-15,110.0,1.0,2.0,0.0,1.075,0.01,0.02,0.0,1.51,11.11
Africa,EGY,Egypt,2020,3,0,2020-03-16,150.0,40.0,2.0,0.0,1.466,0.391,0.02,0.0,1.58,18.52
