continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,ERI,Eritrea,2020,3,5,2020-03-21,1.0,1.0,,,0.282,0.282,,,,22.22
Africa,ERI,Eritrea,2020,3,6,2020-03-22,1.0,0.0,,,0.282,0.0,,,,22.22
Africa,ERI,Eritrea,2020,3,0,2020-03-23,1.0,0.0,,,0.282,0.0,,,,53.7
Africa,ERI,Eritrea,2020,3,1,2020-03-24,1.0,0.0,,,0.282,0.0,,,,53.7
Africa,ERI,Eritrea,2020,3,2,2020-03-25,4.0,3.0,,,1.128,0.846,,,,56.48
Africa,ERI,Eritrea,2020,3,3,2020-03-26,6.0,2.0,,,1.692,0.564,,,,56.48
Africa,ERI,Eritrea,2020,3,4,2020-03-27,6.0,0.0,,,1.692,0.0,,,,73.15
Africa,ERI,Eritrea,2020,3,5,2020-03-28,6.0,0.0,,,1.692,0.0,,,,73.15
Africa,ERI,Eritrea,2020,3,6,2020-03-29,12.0,6.0,,,3.384,1.692,,,,73.15
Africa,ERI,Eritrea,2020,3,0,2020-03-30,12.0,0.0,,,3.384,0.0,,,,73.15
Africa,ERI,Eritrea,2020,3,1,2020-03-31,15.0,3.0,,,4.23,0.846,,,,80.56
Africa,ERI,Eritrea,2020,4,2,2020-04-01,15.0,0.0,,,4.23,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,3,2020-04-02,22.0,7.0,,,6.203,1.974,,,,93.52
Africa,ERI,Eritrea,2020,4,4,2020-04-03,22.0,0.0,,,6.203,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,5,2020-04-04,29.0,7.0,,,8.177,1.974,,,,93.52
Africa,ERI,Eritrea,2020,4,6,2020-04-05,29.0,0.0,,,8.177,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,0,2020-04-06,31.0,2.0,,,8.741,0.564,,,,93.52
Africa,ERI,Eritrea,2020,4,1,2020-04-07,31.0,0.0,,,8.741,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,2,2020-04-08,33.0,2.0,,,9.305,0.564,,,,93.52
Africa,ERI,Eritrea,2020,4,3,2020-04-09,33.0,0.0,,,9.305,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,4,2020-04-10,34.0,1.0,,,9.587,0.282,,,,93.52
Africa,ERI,Eritrea,2020,4,5,2020-04-11,34.0,0.0,,,9.587,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,6,2020-04-12,34.0,0.0,,,9.587,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,0,2020-04-13,34.0,0.0,,,9.587,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,1,2020-04-14,34.0,0.0,,,9.587,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,2,2020-04-15,35.0,1.0,,,9.869,0.282,,,,93.52
Africa,ERI,Eritrea,2020,4,3,2020-04-16,35.0,0.0,,,9.869,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,4,2020-04-17,35.0,0.0,,,9.869,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,5,2020-04-18,39.0,4.0,,,10.997,1.128,,,,93.52
Africa,ERI,Eritrea,2020,4,6,2020-04-19,39.0,0.0,,,10.997,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,0,2020-04-20,39.0,0.0,,,10.997,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,1,2020-04-21,39.0,0.0,,,10.997,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,2,2020-04-22,39.0,0.0,,,10.997,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,3,2020-04-23,39.0,0.0,,,10.997,0.0,,,,93.52
Africa,ERI,Eritrea,2020,4,4,2020-04-24,39.0,0.0,,,10.997,0.0,,,,93.52
