continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,ESP,Spain,2020,2,5,2020-02-01,1.0,1.0,,,0.021,0.021,,,,11.11
Europe,ESP,Spain,2020,2,6,2020-02-02,1.0,0.0,,,0.021,0.0,,,,11.11
Europe,ESP,Spain,2020,2,0,2020-02-03,1.0,0.0,,,0.021,0.0,,,,11.11
Europe,ESP,Spain,2020,2,1,2020-02-04,1.0,0.0,,,0.021,0.0,,,,11.11
Europe,ESP,Spain,2020,2,2,2020-02-05,1.0,0.0,,,0.021,0.0,,,,11.11
Europe,ESP,Spain,2020,2,3,2020-02-06,1.0,0.0,,,0.021,0.0,,,,11.11
Europe,ESP,Spain,2020,2,4,2020-02-07,1.0,0.0,,,0.021,0.0,,,,11.11
Europe,ESP,Spain,2020,2,5,2020-02-08,1.0,0.0,,,0.021,0.0,,,,11.11
Europe,ESP,Spain,2020,2,6,2020-02-09,2.0,1.0,,,0.043,0.021,,,,11.11
Europe,ESP,Spain,2020,2,0,2020-02-10,2.0,0.0,,,0.043,0.0,,,,11.11
Europe,ESP,Spain,2020,2,1,2020-02-11,2.0,0.0,,,0.043,0.0,,,,11.11
Europe,ESP,Spain,2020,2,2,2020-02-12,2.0,0.0,,,0.043,0.0,,,,11.11
Europe,ESP,Spain,2020,2,3,2020-02-13,2.0,0.0,,,0.043,0.0,,,,11.11
Europe,ESP,Spain,2020,2,4,2020-02-14,2.0,0.0,,,0.043,0.0,,,,11.11
Europe,ESP,Spain,2020,2,5,2020-02-15,2.0,0.0,,,0.043,0.0,,,,11.11
Europe,ESP,Spain,2020,2,6,2020-02-16,2.0,0.0,,,0.043,0.0,,,,11.11
Europe,ESP,Spain,2020,2,0,2020-02-17,2.0,0.0,,,0.043,0.0,,,,11.11
Europe,ESP,Spain,2020,2,1,2020-02-18,2.0,0.0,,,0.043,0.0,,,,11.11
Europe,ESP,Spain,2020,2,2,2020-02-19,2.0,0.0,,,0.043,0.0,,,,11.11
Europe,ESP,Spain,2020,2,3,2020-02-20,2.0,0.0,,,0.043,0.0,,,,11.11
Europe,ESP,Spain,2020,2,4,2020-02-21,2.0,0.0,,,0.043,0.0,,,,11.11
Europe,ESP,Spain,2020,2,5,2020-02-22,2.0,0.0,,,0.043,0.0,,,,11.11
Europe,ESP,Spain,2020,2,6,2020-02-23,2.0,0.0,,,0.043,0.0,,,,11.11
Europe,ESP,Spain,2020,2,0,2020-02-24,2.0,0.0,,,0.043,0.0,,,,11.11
Europe,ESP,Spain,2020,2,1,2020-02-25,6.0,4.0,,,0.128,0.086,,,,11.11
Europe,ESP,Spain,2020,2,2,2020-02-26,13.0,7.0,,,0.278,0.15,,,,11.11
Europe,ESP,Spain,2020,2,3,2020-02-27,15.0,2.0,,,0.321,0.043,,,,11.11
Europe,ESP,Spain,2020,2,4,2020-02-28,32.0,17.0,,,0.684,0.364,,,,11.11
Europe,ESP,Spain,2020,2,5,2020-02-29,45.0,13.0,,,0.962,0.278,,,,11.11
Europe,ESP,Spain,2020,3,6,2020-03-01,84.0,39.0,,,1.797,0.834,,,,11.11
Europe,ESP,Spain,2020,3,0,2020-03-02,120.0,36.0,,,2.567,0.77,,,,11.11
Europe,ESP,Spain,2020,3,1,2020-03-03,165.0,45.0,1.0,1.0,3.529,0.962,0.021,0.021,2.52,11.11
Europe,ESP,Spain,2020,3,2,2020-03-04,222.0,57.0,2.0,1.0,4.748,1.219,0.043,0.021,2.52,11.11
Europe,ESP,Spain,2020,3,3,2020-03-05,259.0,37.0,3.0,1.0,5.54,0.791,0.064,0.021,2.52,11.11
Europe,ESP,Spain,2020,3,4,2020-03-06,400.0,141.0,5.0,2.0,8.555,3.016,0.107,0.043,2.53,11.11
Europe,ESP,Spain,2020,3,5,2020-03-07,500.0,100.0,10.0,5.0,10.694,2.139,0.214,0.107,2.52,11.11
Europe,ESP,Spain,2020,3,6,2020-03-08,673.0,173.0,17.0,7.0,14.394,3.7,0.364,0.15,2.51,11.11
Europe,ESP,Spain,2020,3,0,2020-03-09,1073.0,400.0,28.0,11.0,22.95,8.555,0.599,0.235,2.5,25.0
Europe,ESP,Spain,2020,3,1,2020-03-10,1695.0,622.0,35.0,7.0,36.253,13.303,0.749,0.15,2.46,45.83
Europe,ESP,Spain,2020,3,2,2020-03-11,2277.0,582.0,54.0,19.0,48.701,12.448,1.155,0.406,2.41,45.83
Europe,ESP,Spain,2020,3,3,2020-03-12,2277.0,0.0,55.0,1.0,48.701,0.0,1.176,0.021,2.35,45.83
Europe,ESP,Spain,2020,3,4,2020-03-13,5232.0,2955.0,133.0,78.0,111.903,63.202,2.845,1.668,2.31,45.83
Europe,ESP,Spain,2020,3,5,2020-03-14,6391.0,1159.0,195.0,62.0,136.692,24.789,4.171,1.326,2.27,67.13
Europe,ESP,Spain,2020,3,6,2020-03-15,7798.0,1407.0,289.0,94.0,166.785,30.093,6.181,2.01,2.23,67.13
Europe,ESP,Spain,2020,3,0,2020-03-16,9942.0,2144.0,342.0,53.0,212.641,45.856,7.315,1.134,2.2,68.98
Europe,ESP,Spain,2020,3,1,2020-03-17,11748.0,1806.0,533.0,191.0,251.268,38.627,11.4,4.085,2.16,71.76
Europe,ESP,Spain,2020,3,2,2020-03-18,13910.0,2162.0,623.0,90.0,297.51,46.241,13.325,1.925,2.12,71.76
Europe,ESP,Spain,2020,3,3,2020-03-19,17963.0,4053.0,830.0,207.0,384.196,86.686,17.752,4.427,2.08,71.76
Europe,ESP,Spain,2020,3,4,2020-03-20,20410.0,2447.0,1043.0,213.0,436.533,52.337,22.308,4.556,2.04,71.76
Europe,ESP,Spain,2020,3,5,2020-03-21,25374.0,4964.0,1375.0,332.0,542.704,106.171,29.409,7.101,2.0,71.76
Europe,ESP,Spain,2020,3,6,2020-03-22,28768.0,3394.0,1772.0,397.0,615.295,72.592,37.9,8.491,1.96,71.76
Europe,ESP,Spain,2020,3,0,2020-03-23,35136.0,6368.0,2311.0,539.0,751.495,136.2,49.428,11.528,1.92,71.76
Europe,ESP,Spain,2020,3,1,2020-03-24,39885.0,4749.0,2808.0,497.0,853.068,101.572,60.058,10.63,1.87,71.76
Europe,ESP,Spain,2020,3,2,2020-03-25,49515.0,9630.0,3647.0,839.0,1059.036,205.968,78.003,17.945,1.83,71.76
Europe,ESP,Spain,2020,3,3,2020-03-26,57786.0,8271.0,4365.0,718.0,1235.938,176.902,93.359,15.357,1.77,71.76
Europe,ESP,Spain,2020,3,4,2020-03-27,65719.0,7933.0,5138.0,773.0,1405.61,169.672,109.893,16.533,1.72,71.76
Europe,ESP,Spain,2020,3,5,2020-03-28,73235.0,7516.0,5982.0,844.0,1566.364,160.754,127.944,18.052,1.67,71.76
Europe,ESP,Spain,2020,3,6,2020-03-29,80110.0,6875.0,6803.0,821.0,1713.408,147.044,145.504,17.56,1.61,71.76
Europe,ESP,Spain,2020,3,0,2020-03-30,87956.0,7846.0,7716.0,913.0,1881.219,167.812,165.031,19.527,1.56,85.19
Europe,ESP,Spain,2020,3,1,2020-03-31,95923.0,7967.0,8464.0,748.0,2051.619,170.4,181.03,15.998,1.52,85.19
Europe,ESP,Spain,2020,4,2,2020-04-01,104118.0,8195.0,9387.0,923.0,2226.895,175.276,200.771,19.741,1.47,85.19
Europe,ESP,Spain,2020,4,3,2020-04-02,112065.0,7947.0,10348.0,961.0,2396.867,169.972,221.325,20.554,1.42,85.19
Europe,ESP,Spain,2020,4,4,2020-04-03,119199.0,7134.0,11198.0,850.0,2549.45,152.583,239.505,18.18,1.38,85.19
