continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,EST,Estonia,2020,2,5,2020-02-01,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,6,2020-02-02,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,0,2020-02-03,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,1,2020-02-04,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,2,2020-02-05,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,3,2020-02-06,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,4,2020-02-07,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,5,2020-02-08,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,6,2020-02-09,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,0,2020-02-10,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,1,2020-02-11,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,2,2020-02-12,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,3,2020-02-13,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,4,2020-02-14,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,5,2020-02-15,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,6,2020-02-16,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,0,2020-02-17,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,1,2020-02-18,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,2,2020-02-19,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,3,2020-02-20,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,4,2020-02-21,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,5,2020-02-22,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,6,2020-02-23,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,0,2020-02-24,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,1,2020-02-25,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,2,2020-02-26,,,,,,,,,,0.0
Europe,EST,Estonia,2020,2,3,2020-02-27,1.0,1.0,,,0.754,0.754,,,,0.0
Europe,EST,Estonia,2020,2,4,2020-02-28,1.0,0.0,,,0.754,0.0,,,,0.0
Europe,EST,Estonia,2020,2,5,2020-02-29,1.0,0.0,,,0.754,0.0,,,,0.0
Europe,EST,Estonia,2020,3,6,2020-03-01,1.0,0.0,,,0.754,0.0,,,,0.0
Europe,EST,Estonia,2020,3,0,2020-03-02,1.0,0.0,,,0.754,0.0,,,,0.0
Europe,EST,Estonia,2020,3,1,2020-03-03,2.0,1.0,,,1.508,0.754,,,,0.0
Europe,EST,Estonia,2020,3,2,2020-03-04,2.0,0.0,,,1.508,0.0,,,,0.0
Europe,EST,Estonia,2020,3,3,2020-03-05,3.0,1.0,,,2.262,0.754,,,,0.0
Europe,EST,Estonia,2020,3,4,2020-03-06,10.0,7.0,,,7.538,5.277,,,,0.0
Europe,EST,Estonia,2020,3,5,2020-03-07,10.0,0.0,,,7.538,0.0,,,,0.0
Europe,EST,Estonia,2020,3,6,2020-03-08,10.0,0.0,,,7.538,0.0,,,,0.0
Europe,EST,Estonia,2020,3,0,2020-03-09,10.0,0.0,,,7.538,0.0,,,,0.0
Europe,EST,Estonia,2020,3,1,2020-03-10,12.0,2.0,,,9.046,1.508,,,,0.0
Europe,EST,Estonia,2020,3,2,2020-03-11,16.0,4.0,,,12.061,3.015,,,,0.0
Europe,EST,Estonia,2020,3,3,2020-03-12,16.0,0.0,,,12.061,0.0,,,,25.0
Europe,EST,Estonia,2020,3,4,2020-03-13,79.0,63.0,,,59.553,47.492,,,,25.0
Europe,EST,Estonia,2020,3,5,2020-03-14,115.0,36.0,,,86.692,27.138,,,,33.33
Europe,EST,Estonia,2020,3,6,2020-03-15,171.0,56.0,,,128.907,42.215,,,1.48,33.33
Europe,EST,Estonia,2020,3,0,2020-03-16,205.0,34.0,,,154.537,25.631,,,1.44,44.44
Europe,EST,Estonia,2020,3,1,2020-03-17,225.0,20.0,,,169.614,15.077,,,1.41,50.0
Europe,EST,Estonia,2020,3,2,2020-03-18,258.0,33.0,,,194.491,24.877,,,1.38,50.0
Europe,EST,Estonia,2020,3,3,2020-03-19,267.0,9.0,,,201.276,6.785,,,1.35,50.0
Europe,EST,Estonia,2020,3,4,2020-03-20,283.0,16.0,,,213.337,12.061,,,1.34,50.0
Europe,EST,Estonia,2020,3,5,2020-03-21,306.0,23.0,,,230.675,17.338,,,1.35,50.0
Europe,EST,Estonia,2020,3,6,2020-03-22,326.0,20.0,,,245.752,15.077,,,1.35,50.0
Europe,EST,Estonia,2020,3,0,2020-03-23,352.0,26.0,,,265.352,19.6,,,1.37,50.0
Europe,EST,Estonia,2020,3,1,2020-03-24,369.0,17.0,,,278.167,12.815,,,1.39,50.0
Europe,EST,Estonia,2020,3,2,2020-03-25,404.0,35.0,1.0,1.0,304.552,26.384,0.754,0.754,1.42,61.11
Europe,EST,Estonia,2020,3,3,2020-03-26,538.0,134.0,1.0,0.0,405.567,101.015,0.754,0.0,1.45,61.11
Europe,EST,Estonia,2020,3,4,2020-03-27,575.0,37.0,1.0,0.0,433.459,27.892,0.754,0.0,1.4,72.22
Europe,EST,Estonia,2020,3,5,2020-03-28,645.0,70.0,1.0,0.0,486.228,52.769,0.754,0.0,1.36,72.22
Europe,EST,Estonia,2020,3,6,2020-03-29,679.0,34.0,3.0,2.0,511.858,25.631,2.262,1.508,1.32,77.78
Europe,EST,Estonia,2020,3,0,2020-03-30,715.0,36.0,3.0,0.0,538.997,27.138,2.262,0.0,1.28,77.78
Europe,EST,Estonia,2020,3,1,2020-03-31,745.0,30.0,4.0,1.0,561.612,22.615,3.015,0.754,1.25,77.78
Europe,EST,Estonia,2020,4,2,2020-04-01,779.0,34.0,5.0,1.0,587.242,25.631,3.769,0.754,1.23,77.78
Europe,EST,Estonia,2020,4,3,2020-04-02,858.0,79.0,11.0,6.0,646.796,59.553,8.292,4.523,1.22,77.78
Europe,EST,Estonia,2020,4,4,2020-04-03,961.0,103.0,12.0,1.0,724.442,77.646,9.046,0.754,1.19,77.78
Europe,EST,Estonia,2020,4,5,2020-04-04,1039.0,78.0,13.0,1.0,783.241,58.8,9.8,0.754,1.15,77.78
Europe,EST,Estonia,2020,4,6,2020-04-05,1097.0,58.0,15.0,2.0,826.964,43.723,11.308,1.508,1.09,77.78
Europe,EST,Estonia,2020,4,0,2020-04-06,1108.0,11.0,19.0,4.0,835.256,8.292,14.323,3.015,1.04,77.78
Europe,EST,Estonia,2020,4,1,2020-04-07,1149.0,41.0,21.0,2.0,866.164,30.907,15.831,1.508,1.01,77.78
Europe,EST,Estonia,2020,4,2,2020-04-08,1185.0,36.0,24.0,3.0,893.302,27.138,18.092,2.262,0.97,77.78
Europe,EST,Estonia,2020,4,3,2020-04-09,1207.0,22.0,24.0,0.0,909.887,16.585,18.092,0.0,0.95,77.78
Europe,EST,Estonia,2020,4,4,2020-04-10,1258.0,51.0,24.0,0.0,948.332,38.446,18.092,0.0,0.93,77.78
Europe,EST,Estonia,2020,4,5,2020-04-11,1304.0,46.0,24.0,0.0,983.009,34.677,18.092,0.0,0.9,77.78
Europe,EST,Estonia,2020,4,6,2020-04-12,1309.0,5.0,25.0,1.0,986.778,3.769,18.846,0.754,0.87,77.78
Europe,EST,Estonia,2020,4,0,2020-04-13,1332.0,23.0,28.0,3.0,1004.117,17.338,21.108,2.262,0.86,77.78
Europe,EST,Estonia,2020,4,1,2020-04-14,1373.0,41.0,31.0,3.0,1035.024,30.907,23.369,2.262,0.85,77.78
Europe,EST,Estonia,2020,4,2,2020-04-15,1400.0,27.0,35.0,4.0,1055.378,20.354,26.384,3.015,0.83,77.78
Europe,EST,Estonia,2020,4,3,2020-04-16,1434.0,34.0,36.0,1.0,1081.009,25.631,27.138,0.754,0.82,77.78
Europe,EST,Estonia,2020,4,4,2020-04-17,1459.0,25.0,38.0,2.0,1099.855,18.846,28.646,1.508,0.81,77.78
Europe,EST,Estonia,2020,4,5,2020-04-18,1512.0,53.0,38.0,0.0,1139.808,39.954,28.646,0.0,0.79,77.78
Europe,EST,Estonia,2020,4,6,2020-04-19,1528.0,16.0,40.0,2.0,1151.87,12.061,30.154,1.508,0.76,77.78
Europe,EST,Estonia,2020,4,0,2020-04-20,1535.0,7.0,40.0,0.0,1157.147,5.277,30.154,0.0,0.74,77.78
Europe,EST,Estonia,2020,4,1,2020-04-21,1552.0,17.0,43.0,3.0,1169.962,12.815,32.415,2.262,0.73,77.78
Europe,EST,Estonia,2020,4,2,2020-04-22,1559.0,7.0,44.0,1.0,1175.239,5.277,33.169,0.754,0.72,77.78
Europe,EST,Estonia,2020,4,3,2020-04-23,1592.0,33.0,45.0,1.0,1200.115,24.877,33.923,0.754,0.72,77.78
Europe,EST,Estonia,2020,4,4,2020-04-24,1605.0,13.0,46.0,1.0,1209.915,9.8,34.677,0.754,0.7,77.78
Europe,EST,Estonia,2020,4,5,2020-04-25,1635.0,30.0,46.0,0.0,1232.531,22.615,34.677,0.0,0.69,77.78
Europe,EST,Estonia,2020,4,6,2020-04-26,1643.0,8.0,49.0,3.0,1238.561,6.031,36.938,2.262,0.67,77.78
Europe,EST,Estonia,2020,4,0,2020-04-27,1647.0,4.0,50.0,1.0,1241.577,3.015,37.692,0.754,0.66,75.0
Europe,EST,Estonia,2020,4,1,2020-04-28,1660.0,13.0,50.0,0.0,1251.377,9.8,37.692,0.0,0.65,75.0
Europe,EST,Estonia,2020,4,2,2020-04-29,1666.0,6.0,50.0,0.0,1255.9,4.523,37.692,0.0,0.65,75.0
Europe,EST,Estonia,2020,4,3,2020-04-30,1689.0,23.0,52.0,2.0,1273.238,17.338,39.2,1.508,0.64,75.0
Europe,EST,Estonia,2020,5,4,2020-05-01,1694.0,5.0,52.0,0.0,1277.007,3.769,39.2,0.0,0.63,75.0
Europe,EST,Estonia,2020,5,5,2020-05-02,1699.0,5.0,53.0,1.0,1280.777,3.769,39.954,0.754,0.62,75.0
Europe,EST,Estonia,2020,5,6,2020-05-03,1700.0,1.0,55.0,2.0,1281.53,0.754,41.461,1.508,0.62,75.0
Europe,EST,Estonia,2020,5,0,2020-05-04,1703.0,3.0,55.0,0.0,1283.792,2.262,41.461,0.0,0.63,75.0
Europe,EST,Estonia,2020,5,1,2020-05-05,1711.0,8.0,55.0,0.0,1289.823,6.031,41.461,0.0,0.64,75.0
Europe,EST,Estonia,2020,5,2,2020-05-06,1713.0,2.0,55.0,0.0,1291.33,1.508,41.461,0.0,0.65,75.0
Europe,EST,Estonia,2020,5,3,2020-05-07,1720.0,7.0,56.0,1.0,1296.607,5.277,42.215,0.754,0.67,75.0
Europe,EST,Estonia,2020,5,4,2020-05-08,1725.0,5.0,56.0,0.0,1300.376,3.769,42.215,0.0,0.69,66.67
Europe,EST,Estonia,2020,5,5,2020-05-09,1733.0,8.0,60.0,4.0,1306.407,6.031,45.23,3.015,0.71,66.67
Europe,EST,Estonia,2020,5,6,2020-05-10,1739.0,6.0,60.0,0.0,1310.93,4.523,45.23,0.0,0.72,66.67
Europe,EST,Estonia,2020,5,0,2020-05-11,1741.0,2.0,61.0,1.0,1312.438,1.508,45.984,0.754,0.74,62.96
Europe,EST,Estonia,2020,5,1,2020-05-12,1746.0,5.0,61.0,0.0,1316.207,3.769,45.984,0.0,0.76,62.96
Europe,EST,Estonia,2020,5,2,2020-05-13,1751.0,5.0,61.0,0.0,1319.976,3.769,45.984,0.0,0.78,62.96
Europe,EST,Estonia,2020,5,3,2020-05-14,1758.0,7.0,62.0,1.0,1325.253,5.277,46.738,0.754,0.81,62.96
Europe,EST,Estonia,2020,5,4,2020-05-15,1766.0,8.0,63.0,1.0,1331.284,6.031,47.492,0.754,0.83,55.56
Europe,EST,Estonia,2020,5,5,2020-05-16,1770.0,4.0,63.0,0.0,1334.299,3.015,47.492,0.0,0.85,55.56
Europe,EST,Estonia,2020,5,6,2020-05-17,1774.0,4.0,63.0,0.0,1337.315,3.015,47.492,0.0,0.87,55.56
Europe,EST,Estonia,2020,5,0,2020-05-18,1784.0,10.0,64.0,1.0,1344.853,7.538,48.246,0.754,0.89,50.0
Europe,EST,Estonia,2020,5,1,2020-05-19,1791.0,7.0,64.0,0.0,1350.13,5.277,48.246,0.0,0.9,50.0
Europe,EST,Estonia,2020,5,2,2020-05-20,1794.0,3.0,64.0,0.0,1352.391,2.262,48.246,0.0,0.91,50.0
Europe,EST,Estonia,2020,5,3,2020-05-21,1800.0,6.0,64.0,0.0,1356.914,4.523,48.246,0.0,0.93,50.0
Europe,EST,Estonia,2020,5,4,2020-05-22,1807.0,7.0,64.0,0.0,1362.191,5.277,48.246,0.0,0.95,50.0
Europe,EST,Estonia,2020,5,5,2020-05-23,1821.0,14.0,64.0,0.0,1372.745,10.554,48.246,0.0,0.96,50.0
Europe,EST,Estonia,2020,5,6,2020-05-24,1823.0,2.0,64.0,0.0,1374.253,1.508,48.246,0.0,0.95,50.0
Europe,EST,Estonia,2020,5,0,2020-05-25,1824.0,1.0,65.0,1.0,1375.007,0.754,49.0,0.754,0.96,50.0
Europe,EST,Estonia,2020,5,1,2020-05-26,1834.0,10.0,65.0,0.0,1382.545,7.538,49.0,0.0,0.98,50.0
Europe,EST,Estonia,2020,5,2,2020-05-27,1840.0,6.0,66.0,1.0,1387.068,4.523,49.754,0.754,0.98,50.0
Europe,EST,Estonia,2020,5,3,2020-05-28,1851.0,11.0,66.0,0.0,1395.36,8.292,49.754,0.0,0.99,50.0
Europe,EST,Estonia,2020,5,4,2020-05-29,1859.0,8.0,67.0,1.0,1401.391,6.031,50.507,0.754,0.98,50.0
Europe,EST,Estonia,2020,5,5,2020-05-30,1865.0,6.0,67.0,0.0,1405.914,4.523,50.507,0.0,0.97,50.0
Europe,EST,Estonia,2020,5,6,2020-05-31,1869.0,4.0,68.0,1.0,1408.93,3.015,51.261,0.754,0.97,50.0
Europe,EST,Estonia,2020,6,0,2020-06-01,1870.0,1.0,68.0,0.0,1409.683,0.754,51.261,0.0,0.97,41.67
Europe,EST,Estonia,2020,6,1,2020-06-02,1870.0,0.0,68.0,0.0,1409.683,0.0,51.261,0.0,0.99,41.67
Europe,EST,Estonia,2020,6,2,2020-06-03,1880.0,10.0,69.0,1.0,1417.222,7.538,52.015,0.754,1.03,41.67
Europe,EST,Estonia,2020,6,3,2020-06-04,1890.0,10.0,69.0,0.0,1424.76,7.538,52.015,0.0,1.04,41.67
Europe,EST,Estonia,2020,6,4,2020-06-05,1910.0,20.0,69.0,0.0,1439.837,15.077,52.015,0.0,1.05,41.67
Europe,EST,Estonia,2020,6,5,2020-06-06,1931.0,21.0,69.0,0.0,1455.668,15.831,52.015,0.0,1.02,41.67
Europe,EST,Estonia,2020,6,6,2020-06-07,1939.0,8.0,69.0,0.0,1461.698,6.031,52.015,0.0,0.96,41.67
Europe,EST,Estonia,2020,6,0,2020-06-08,1940.0,1.0,69.0,0.0,1462.452,0.754,52.015,0.0,0.91,41.67
Europe,EST,Estonia,2020,6,1,2020-06-09,1947.0,7.0,69.0,0.0,1467.729,5.277,52.015,0.0,0.87,41.67
Europe,EST,Estonia,2020,6,2,2020-06-10,1958.0,11.0,69.0,0.0,1476.021,8.292,52.015,0.0,0.83,41.67
Europe,EST,Estonia,2020,6,3,2020-06-11,1965.0,7.0,69.0,0.0,1481.298,5.277,52.015,0.0,0.78,41.67
Europe,EST,Estonia,2020,6,4,2020-06-12,1970.0,5.0,69.0,0.0,1485.068,3.769,52.015,0.0,0.73,41.67
Europe,EST,Estonia,2020,6,5,2020-06-13,1973.0,3.0,69.0,0.0,1487.329,2.262,52.015,0.0,0.69,41.67
Europe,EST,Estonia,2020,6,6,2020-06-14,1973.0,0.0,69.0,0.0,1487.329,0.0,52.015,0.0,0.65,41.67
Europe,EST,Estonia,2020,6,0,2020-06-15,1974.0,1.0,69.0,0.0,1488.083,0.754,52.015,0.0,0.62,41.67
Europe,EST,Estonia,2020,6,1,2020-06-16,1975.0,1.0,69.0,0.0,1488.837,0.754,52.015,0.0,0.59,41.67
Europe,EST,Estonia,2020,6,2,2020-06-17,1977.0,2.0,69.0,0.0,1490.344,1.508,52.015,0.0,0.58,41.67
