continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,GAB,Gabon,2020,3,5,2020-03-14,1.0,1.0,,,0.449,0.449,,,,33.33
Africa,GAB,Gabon,2020,3,6,2020-03-15,1.0,0.0,,,0.449,0.0,,,,33.33
Africa,GAB,Gabon,2020,3,0,2020-03-16,1.0,0.0,,,0.449,0.0,,,,44.44
Africa,GAB,Gabon,2020,3,1,2020-03-17,1.0,0.0,,,0.449,0.0,,,,44.44
Africa,GAB,Gabon,2020,3,2,2020-03-18,1.0,0.0,,,0.449,0.0,,,,44.44
Africa,GAB,Gabon,2020,3,3,2020-03-19,1.0,0.0,,,0.449,0.0,,,,44.44
Africa,GAB,Gabon,2020,3,4,2020-03-20,3.0,2.0,1.0,1.0,1.348,0.899,0.449,0.449,,62.96
Africa,GAB,Gabon,2020,3,5,2020-03-21,4.0,1.0,1.0,0.0,1.797,0.449,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,3,6,2020-03-22,5.0,1.0,1.0,0.0,2.246,0.449,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,3,0,2020-03-23,5.0,0.0,1.0,0.0,2.246,0.0,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,3,1,2020-03-24,6.0,1.0,1.0,0.0,2.696,0.449,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,3,2,2020-03-25,6.0,0.0,1.0,0.0,2.696,0.0,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,3,3,2020-03-26,7.0,1.0,1.0,0.0,3.145,0.449,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,3,4,2020-03-27,7.0,0.0,1.0,0.0,3.145,0.0,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,3,5,2020-03-28,7.0,0.0,1.0,0.0,3.145,0.0,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,3,6,2020-03-29,7.0,0.0,1.0,0.0,3.145,0.0,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,3,0,2020-03-30,7.0,0.0,1.0,0.0,3.145,0.0,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,3,1,2020-03-31,16.0,9.0,1.0,0.0,7.189,4.044,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,4,2,2020-04-01,18.0,2.0,1.0,0.0,8.087,0.899,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,4,3,2020-04-02,21.0,3.0,1.0,0.0,9.435,1.348,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,4,4,2020-04-03,21.0,0.0,1.0,0.0,9.435,0.0,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,4,5,2020-04-04,21.0,0.0,1.0,0.0,9.435,0.0,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,4,6,2020-04-05,21.0,0.0,1.0,0.0,9.435,0.0,0.449,0.0,,66.67
Africa,GAB,Gabon,2020,4,0,2020-04-06,24.0,3.0,1.0,0.0,10.783,1.348,0.449,0.0,,66.67
