continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,GBR,United Kingdom,2020,1,4,2020-01-31,2.0,2.0,,,0.029,0.029,,,,8.33
Europe,GBR,United Kingdom,2020,2,5,2020-02-01,2.0,0.0,,,0.029,0.0,,,,8.33
Europe,GBR,United Kingdom,2020,2,6,2020-02-02,2.0,0.0,,,0.029,0.0,,,,11.11
Europe,GBR,United Kingdom,2020,2,0,2020-02-03,8.0,6.0,,,0.118,0.088,,,,11.11
Europe,GBR,United Kingdom,2020,2,1,2020-02-04,8.0,0.0,,,0.118,0.0,,,,11.11
Europe,GBR,United Kingdom,2020,2,2,2020-02-05,9.0,1.0,,,0.133,0.015,,,,11.11
Europe,GBR,United Kingdom,2020,2,3,2020-02-06,9.0,0.0,,,0.133,0.0,,,,11.11
Europe,GBR,United Kingdom,2020,2,4,2020-02-07,9.0,0.0,,,0.133,0.0,,,,11.11
Europe,GBR,United Kingdom,2020,2,5,2020-02-08,13.0,4.0,,,0.191,0.059,,,,11.11
Europe,GBR,United Kingdom,2020,2,6,2020-02-09,14.0,1.0,,,0.206,0.015,,,,11.11
Europe,GBR,United Kingdom,2020,2,0,2020-02-10,14.0,0.0,,,0.206,0.0,,,,11.11
Europe,GBR,United Kingdom,2020,2,1,2020-02-11,15.0,1.0,,,0.221,0.015,,,,11.11
Europe,GBR,United Kingdom,2020,2,2,2020-02-12,16.0,1.0,,,0.236,0.015,,,,11.11
Europe,GBR,United Kingdom,2020,2,3,2020-02-13,17.0,1.0,,,0.25,0.015,,,,11.11
Europe,GBR,United Kingdom,2020,2,4,2020-02-14,18.0,1.0,,,0.265,0.015,,,,11.11
Europe,GBR,United Kingdom,2020,2,5,2020-02-15,18.0,0.0,,,0.265,0.0,,,,11.11
Europe,GBR,United Kingdom,2020,2,6,2020-02-16,18.0,0.0,,,0.265,0.0,,,,11.11
Europe,GBR,United Kingdom,2020,2,0,2020-02-17,19.0,1.0,,,0.28,0.015,,,,11.11
Europe,GBR,United Kingdom,2020,2,1,2020-02-18,19.0,0.0,,,0.28,0.0,,,,11.11
