continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,GEO,Georgia,2020,2,2,2020-02-26,1.0,1.0,,,0.251,0.251,,,,19.44
Asia,GEO,Georgia,2020,2,3,2020-02-27,1.0,0.0,,,0.251,0.0,,,,19.44
Asia,GEO,Georgia,2020,2,4,2020-02-28,1.0,0.0,,,0.251,0.0,,,,19.44
Asia,GEO,Georgia,2020,2,5,2020-02-29,1.0,0.0,,,0.251,0.0,,,,19.44
Asia,GEO,Georgia,2020,3,6,2020-03-01,3.0,2.0,,,0.752,0.501,,,,30.56
Asia,GEO,Georgia,2020,3,0,2020-03-02,3.0,0.0,,,0.752,0.0,,,,41.67
Asia,GEO,Georgia,2020,3,1,2020-03-03,3.0,0.0,,,0.752,0.0,,,,41.67
Asia,GEO,Georgia,2020,3,2,2020-03-04,3.0,0.0,,,0.752,0.0,,,,41.67
Asia,GEO,Georgia,2020,3,3,2020-03-05,4.0,1.0,,,1.003,0.251,,,,41.67
Asia,GEO,Georgia,2020,3,4,2020-03-06,4.0,0.0,,,1.003,0.0,,,,41.67
Asia,GEO,Georgia,2020,3,5,2020-03-07,4.0,0.0,,,1.003,0.0,,,,41.67
Asia,GEO,Georgia,2020,3,6,2020-03-08,13.0,9.0,,,3.259,2.256,,,,41.67
Asia,GEO,Georgia,2020,3,0,2020-03-09,15.0,2.0,,,3.76,0.501,,,,45.37
Asia,GEO,Georgia,2020,3,1,2020-03-10,15.0,0.0,,,3.76,0.0,,,,45.37
Asia,GEO,Georgia,2020,3,2,2020-03-11,24.0,9.0,,,6.016,2.256,,,,45.37
Asia,GEO,Georgia,2020,3,3,2020-03-12,24.0,0.0,,,6.016,0.0,,,,45.37
Asia,GEO,Georgia,2020,3,4,2020-03-13,25.0,1.0,,,6.267,0.251,,,,45.37
Asia,GEO,Georgia,2020,3,5,2020-03-14,30.0,5.0,,,7.52,1.253,,,,52.78
Asia,GEO,Georgia,2020,3,6,2020-03-15,33.0,3.0,,,8.272,0.752,,,,52.78
Asia,GEO,Georgia,2020,3,0,2020-03-16,33.0,0.0,,,8.272,0.0,,,,52.78
Asia,GEO,Georgia,2020,3,1,2020-03-17,34.0,1.0,,,8.523,0.251,,,,52.78
Asia,GEO,Georgia,2020,3,2,2020-03-18,38.0,4.0,,,9.526,1.003,,,,55.56
Asia,GEO,Georgia,2020,3,3,2020-03-19,40.0,2.0,,,10.027,0.501,,,,59.26
Asia,GEO,Georgia,2020,3,4,2020-03-20,43.0,3.0,,,10.779,0.752,,,,59.26
Asia,GEO,Georgia,2020,3,5,2020-03-21,49.0,6.0,,,12.283,1.504,,,,70.37
Asia,GEO,Georgia,2020,3,6,2020-03-22,54.0,5.0,,,13.537,1.253,,,,78.7
Asia,GEO,Georgia,2020,3,0,2020-03-23,61.0,7.0,,,15.291,1.755,,,,88.89
Asia,GEO,Georgia,2020,3,1,2020-03-24,70.0,9.0,,,17.547,2.256,,,,88.89
Asia,GEO,Georgia,2020,3,2,2020-03-25,75.0,5.0,,,18.801,1.253,,,,88.89
Asia,GEO,Georgia,2020,3,3,2020-03-26,79.0,4.0,,,19.804,1.003,,,,90.74
Asia,GEO,Georgia,2020,3,4,2020-03-27,83.0,4.0,,,20.806,1.003,,,,90.74
Asia,GEO,Georgia,2020,3,5,2020-03-28,90.0,7.0,,,22.561,1.755,,,,90.74
Asia,GEO,Georgia,2020,3,6,2020-03-29,91.0,1.0,,,22.812,0.251,,,,90.74
Asia,GEO,Georgia,2020,3,0,2020-03-30,103.0,12.0,,,25.82,3.008,,,,90.74
Asia,GEO,Georgia,2020,3,1,2020-03-31,110.0,7.0,,,27.575,1.755,,,0.86,100.0
Asia,GEO,Georgia,2020,4,2,2020-04-01,117.0,7.0,,,29.329,1.755,,,0.88,100.0
Asia,GEO,Georgia,2020,4,3,2020-04-02,134.0,17.0,,,33.591,4.262,,,0.95,100.0
Asia,GEO,Georgia,2020,4,4,2020-04-03,155.0,21.0,,,38.855,5.264,,,0.97,100.0
Asia,GEO,Georgia,2020,4,5,2020-04-04,162.0,7.0,1.0,1.0,40.61,1.755,0.251,0.251,0.94,100.0
Asia,GEO,Georgia,2020,4,6,2020-04-05,174.0,12.0,2.0,1.0,43.618,3.008,0.501,0.251,0.95,100.0
Asia,GEO,Georgia,2020,4,0,2020-04-06,188.0,14.0,2.0,0.0,47.128,3.509,0.501,0.0,0.96,100.0
Asia,GEO,Georgia,2020,4,1,2020-04-07,196.0,8.0,3.0,1.0,49.133,2.005,0.752,0.251,0.95,100.0
Asia,GEO,Georgia,2020,4,2,2020-04-08,211.0,15.0,3.0,0.0,52.893,3.76,0.752,0.0,0.99,100.0
Asia,GEO,Georgia,2020,4,3,2020-04-09,218.0,7.0,3.0,0.0,54.648,1.755,0.752,0.0,0.99,100.0
Asia,GEO,Georgia,2020,4,4,2020-04-10,234.0,16.0,3.0,0.0,58.659,4.011,0.752,0.0,1.04,100.0
Asia,GEO,Georgia,2020,4,5,2020-04-11,242.0,8.0,3.0,0.0,60.664,2.005,0.752,0.0,1.07,100.0
Asia,GEO,Georgia,2020,4,6,2020-04-12,257.0,15.0,3.0,0.0,64.424,3.76,0.752,0.0,1.13,100.0
Asia,GEO,Georgia,2020,4,0,2020-04-13,272.0,15.0,3.0,0.0,68.185,3.76,0.752,0.0,1.19,100.0
Asia,GEO,Georgia,2020,4,1,2020-04-14,300.0,28.0,3.0,0.0,75.204,7.019,0.752,0.0,1.25,100.0
Asia,GEO,Georgia,2020,4,2,2020-04-15,306.0,6.0,3.0,0.0,76.708,1.504,0.752,0.0,1.22,100.0
Asia,GEO,Georgia,2020,4,3,2020-04-16,348.0,42.0,3.0,0.0,87.236,10.528,0.752,0.0,1.27,100.0
Asia,GEO,Georgia,2020,4,4,2020-04-17,370.0,22.0,3.0,0.0,92.751,5.515,0.752,0.0,1.16,100.0
Asia,GEO,Georgia,2020,4,5,2020-04-18,388.0,18.0,4.0,1.0,97.263,4.512,1.003,0.251,1.05,100.0
Asia,GEO,Georgia,2020,4,6,2020-04-19,394.0,6.0,4.0,0.0,98.767,1.504,1.003,0.0,0.94,100.0
Asia,GEO,Georgia,2020,4,0,2020-04-20,402.0,8.0,4.0,0.0,100.773,2.005,1.003,0.0,0.89,100.0
Asia,GEO,Georgia,2020,4,1,2020-04-21,408.0,6.0,4.0,0.0,102.277,1.504,1.003,0.0,0.87,100.0
Asia,GEO,Georgia,2020,4,2,2020-04-22,416.0,8.0,5.0,1.0,104.282,2.005,1.253,0.251,0.9,100.0
Asia,GEO,Georgia,2020,4,3,2020-04-23,425.0,9.0,5.0,0.0,106.538,2.256,1.253,0.0,0.95,100.0
Asia,GEO,Georgia,2020,4,4,2020-04-24,444.0,19.0,5.0,0.0,111.301,4.763,1.253,0.0,1.02,100.0
Asia,GEO,Georgia,2020,4,5,2020-04-25,456.0,12.0,5.0,0.0,114.309,3.008,1.253,0.0,1.05,100.0
Asia,GEO,Georgia,2020,4,6,2020-04-26,486.0,30.0,6.0,1.0,121.83,7.52,1.504,0.251,1.09,100.0
Asia,GEO,Georgia,2020,4,0,2020-04-27,497.0,11.0,6.0,0.0,124.587,2.757,1.504,0.0,1.03,96.3
Asia,GEO,Georgia,2020,4,1,2020-04-28,511.0,14.0,6.0,0.0,128.097,3.509,1.504,0.0,1.0,96.3
Asia,GEO,Georgia,2020,4,2,2020-04-29,517.0,6.0,6.0,0.0,129.601,1.504,1.504,0.0,0.98,96.3
Asia,GEO,Georgia,2020,4,3,2020-04-30,539.0,22.0,6.0,0.0,135.116,5.515,1.504,0.0,1.02,96.3
Asia,GEO,Georgia,2020,5,4,2020-05-01,566.0,27.0,7.0,1.0,141.884,6.768,1.755,0.251,1.0,96.3
Asia,GEO,Georgia,2020,5,5,2020-05-02,582.0,16.0,8.0,1.0,145.895,4.011,2.005,0.251,0.91,96.3
Asia,GEO,Georgia,2020,5,6,2020-05-03,589.0,7.0,9.0,1.0,147.65,1.755,2.256,0.251,0.81,96.3
Asia,GEO,Georgia,2020,5,0,2020-05-04,593.0,4.0,9.0,0.0,148.652,1.003,2.256,0.0,0.75,96.3
Asia,GEO,Georgia,2020,5,1,2020-05-05,604.0,11.0,9.0,0.0,151.41,2.757,2.256,0.0,0.73,96.3
Asia,GEO,Georgia,2020,5,2,2020-05-06,610.0,6.0,9.0,0.0,152.914,1.504,2.256,0.0,0.7,96.3
Asia,GEO,Georgia,2020,5,3,2020-05-07,615.0,5.0,9.0,0.0,154.167,1.253,2.256,0.0,0.68,96.3
Asia,GEO,Georgia,2020,5,4,2020-05-08,623.0,8.0,10.0,1.0,156.173,2.005,2.507,0.251,0.69,96.3
Asia,GEO,Georgia,2020,5,5,2020-05-09,626.0,3.0,10.0,0.0,156.925,0.752,2.507,0.0,0.69,96.3
Asia,GEO,Georgia,2020,5,6,2020-05-10,635.0,9.0,10.0,0.0,159.181,2.256,2.507,0.0,0.73,96.3
Asia,GEO,Georgia,2020,5,0,2020-05-11,638.0,3.0,11.0,1.0,159.933,0.752,2.757,0.251,0.75,96.3
Asia,GEO,Georgia,2020,5,1,2020-05-12,642.0,4.0,11.0,0.0,160.936,1.003,2.757,0.0,0.8,96.3
Asia,GEO,Georgia,2020,5,2,2020-05-13,647.0,5.0,11.0,0.0,162.189,1.253,2.757,0.0,0.88,96.3
Asia,GEO,Georgia,2020,5,3,2020-05-14,667.0,20.0,12.0,1.0,167.202,5.014,3.008,0.251,0.99,96.3
Asia,GEO,Georgia,2020,5,4,2020-05-15,671.0,4.0,12.0,0.0,168.205,1.003,3.008,0.0,0.95,96.3
Asia,GEO,Georgia,2020,5,5,2020-05-16,683.0,12.0,12.0,0.0,171.213,3.008,3.008,0.0,0.96,96.3
Asia,GEO,Georgia,2020,5,6,2020-05-17,695.0,12.0,12.0,0.0,174.221,3.008,3.008,0.0,0.93,96.3
Asia,GEO,Georgia,2020,5,0,2020-05-18,701.0,6.0,12.0,0.0,175.726,1.504,3.008,0.0,0.86,96.3
Asia,GEO,Georgia,2020,5,1,2020-05-19,707.0,6.0,12.0,0.0,177.23,1.504,3.008,0.0,0.82,96.3
Asia,GEO,Georgia,2020,5,2,2020-05-20,713.0,6.0,12.0,0.0,178.734,1.504,3.008,0.0,0.79,96.3
Asia,GEO,Georgia,2020,5,3,2020-05-21,721.0,8.0,12.0,0.0,180.739,2.005,3.008,0.0,0.76,96.3
Asia,GEO,Georgia,2020,5,4,2020-05-22,723.0,2.0,12.0,0.0,181.24,0.501,3.008,0.0,0.72,96.3
Asia,GEO,Georgia,2020,5,5,2020-05-23,728.0,5.0,12.0,0.0,182.494,1.253,3.008,0.0,0.71,84.26
Asia,GEO,Georgia,2020,5,6,2020-05-24,730.0,2.0,12.0,0.0,182.995,0.501,3.008,0.0,0.7,84.26
Asia,GEO,Georgia,2020,5,0,2020-05-25,731.0,1.0,12.0,0.0,183.246,0.251,3.008,0.0,0.72,84.26
Asia,GEO,Georgia,2020,5,1,2020-05-26,732.0,1.0,12.0,0.0,183.497,0.251,3.008,0.0,0.79,84.26
Asia,GEO,Georgia,2020,5,2,2020-05-27,735.0,3.0,12.0,0.0,184.249,0.752,3.008,0.0,0.91,84.26
Asia,GEO,Georgia,2020,5,3,2020-05-28,738.0,3.0,12.0,0.0,185.001,0.752,3.008,0.0,1.06,84.26
Asia,GEO,Georgia,2020,5,4,2020-05-29,746.0,8.0,12.0,0.0,187.006,2.005,3.008,0.0,1.25,69.44
Asia,GEO,Georgia,2020,5,5,2020-05-30,757.0,11.0,12.0,0.0,189.764,2.757,3.008,0.0,1.39,69.44
Asia,GEO,Georgia,2020,5,6,2020-05-31,783.0,26.0,12.0,0.0,196.281,6.518,3.008,0.0,1.46,69.44
Asia,GEO,Georgia,2020,6,0,2020-06-01,794.0,11.0,12.0,0.0,199.039,2.757,3.008,0.0,1.25,69.44
Asia,GEO,Georgia,2020,6,1,2020-06-02,796.0,2.0,13.0,1.0,199.54,0.501,3.259,0.251,1.06,69.44
Asia,GEO,Georgia,2020,6,2,2020-06-03,800.0,4.0,13.0,0.0,200.543,1.003,3.259,0.0,0.94,69.44
Asia,GEO,Georgia,2020,6,3,2020-06-04,801.0,1.0,13.0,0.0,200.793,0.251,3.259,0.0,0.85,69.44
Asia,GEO,Georgia,2020,6,4,2020-06-05,805.0,4.0,13.0,0.0,201.796,1.003,3.259,0.0,0.84,69.44
Asia,GEO,Georgia,2020,6,5,2020-06-06,808.0,3.0,13.0,0.0,202.548,0.752,3.259,0.0,0.83,69.44
