continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,GGY,Guernsey,2021,1,6,2021-01-24,,,,,,,,,,
Europe,GGY,Guernsey,2021,1,0,2021-01-25,,,,,,,,,,
Europe,GGY,Guernsey,2021,1,1,2021-01-26,,,,,,,,,,
Europe,GGY,Guernsey,2021,1,2,2021-01-27,,,,,,,,,,
Europe,GGY,Guernsey,2021,1,3,2021-01-28,,,,,,,,,,
Europe,GGY,Guernsey,2021,1,4,2021-01-29,,,,,,,,,,
Europe,GGY,Guernsey,2021,1,5,2021-01-30,,,,,,,,,,
Europe,GGY,Guernsey,2021,1,6,2021-01-31,,,,,,,,,,
Europe,GGY,Guernsey,2021,2,0,2021-02-01,,,,,,,,,,
Europe,GGY,Guernsey,2021,2,1,2021-02-02,,,,,,,,,,
Europe,GGY,Guernsey,2021,2,2,2021-02-03,,,,,,,,,,
Europe,GGY,Guernsey,2021,2,3,2021-02-04,,,,,,,,,,
Europe,GGY,Guernsey,2021,2,4,2021-02-05,,,,,,,,,,
Europe,GGY,Guernsey,2021,2,5,2021-02-06,,,,,,,,,,
Europe,GGY,Guernsey,2021,2,6,2021-02-07,,,,,,,,,,
Europe,GGY,Guernsey,2021,2,0,2021-02-08,,,,,,,,,,
Europe,GGY,Guernsey,2021,2,1,2021-02-09,,,,,,,,,,
Europe,GGY,Guernsey,2021,2,2,2021-02-10,,,,,,,,,,
Europe,GGY,Guernsey,2021,2,3,2021-02-11,,,,,,,,,,
Europe,GGY,Guernsey,2021,2,4,2021-02-12,,,,,,,,,,
Europe,GGY,Guernsey,2021,2,5,2021-02-13,,,,,,,,,,
Europe,GGY,Guernsey,2021,2,6,2021-02-14,,,,,,,,,,
