continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,GHA,Ghana,2020,3,5,2020-03-14,3.0,3.0,,,0.097,0.097,,,,8.33
Africa,GHA,Ghana,2020,3,6,2020-03-15,6.0,3.0,,,0.193,0.097,,,,13.89
Africa,GHA,Ghana,2020,3,0,2020-03-16,6.0,0.0,,,0.193,0.0,,,,44.44
Africa,GHA,Ghana,2020,3,1,2020-03-17,7.0,1.0,,,0.225,0.032,,,,50.0
Africa,GHA,Ghana,2020,3,2,2020-03-18,7.0,0.0,,,0.225,0.0,,,,50.0
Africa,GHA,Ghana,2020,3,3,2020-03-19,11.0,4.0,,,0.354,0.129,,,,50.0
Africa,GHA,Ghana,2020,3,4,2020-03-20,16.0,5.0,,,0.515,0.161,,,,50.0
Africa,GHA,Ghana,2020,3,5,2020-03-21,19.0,3.0,1.0,1.0,0.611,0.097,0.032,0.032,,50.0
Africa,GHA,Ghana,2020,3,6,2020-03-22,23.0,4.0,1.0,0.0,0.74,0.129,0.032,0.0,,52.78
Africa,GHA,Ghana,2020,3,0,2020-03-23,27.0,4.0,2.0,1.0,0.869,0.129,0.064,0.032,,52.78
Africa,GHA,Ghana,2020,3,1,2020-03-24,53.0,26.0,2.0,0.0,1.706,0.837,0.064,0.0,,52.78
Africa,GHA,Ghana,2020,3,2,2020-03-25,93.0,40.0,4.0,2.0,2.993,1.287,0.129,0.064,,52.78
Africa,GHA,Ghana,2020,3,3,2020-03-26,132.0,39.0,4.0,0.0,4.248,1.255,0.129,0.0,,52.78
Africa,GHA,Ghana,2020,3,4,2020-03-27,137.0,5.0,4.0,0.0,4.409,0.161,0.129,0.0,1.27,52.78
Africa,GHA,Ghana,2020,3,5,2020-03-28,141.0,4.0,5.0,1.0,4.538,0.129,0.161,0.032,1.27,52.78
