continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,GIN,Guinea,2020,3,4,2020-03-13,1.0,1.0,,,0.076,0.076,,,,13.89
Africa,GIN,Guinea,2020,3,5,2020-03-14,1.0,0.0,,,0.076,0.0,,,,13.89
Africa,GIN,Guinea,2020,3,6,2020-03-15,1.0,0.0,,,0.076,0.0,,,,13.89
Africa,GIN,Guinea,2020,3,0,2020-03-16,1.0,0.0,,,0.076,0.0,,,,13.89
Africa,GIN,Guinea,2020,3,1,2020-03-17,1.0,0.0,,,0.076,0.0,,,,13.89
Africa,GIN,Guinea,2020,3,2,2020-03-18,1.0,0.0,,,0.076,0.0,,,,13.89
Africa,GIN,Guinea,2020,3,3,2020-03-19,1.0,0.0,,,0.076,0.0,,,,13.89
Africa,GIN,Guinea,2020,3,4,2020-03-20,1.0,0.0,,,0.076,0.0,,,,13.89
Africa,GIN,Guinea,2020,3,5,2020-03-21,2.0,1.0,,,0.152,0.076,,,,25.0
Africa,GIN,Guinea,2020,3,6,2020-03-22,2.0,0.0,,,0.152,0.0,,,,25.0
Africa,GIN,Guinea,2020,3,0,2020-03-23,4.0,2.0,,,0.305,0.152,,,,25.0
Africa,GIN,Guinea,2020,3,1,2020-03-24,4.0,0.0,,,0.305,0.0,,,,25.0
Africa,GIN,Guinea,2020,3,2,2020-03-25,4.0,0.0,,,0.305,0.0,,,,25.0
Africa,GIN,Guinea,2020,3,3,2020-03-26,4.0,0.0,,,0.305,0.0,,,,25.0
Africa,GIN,Guinea,2020,3,4,2020-03-27,8.0,4.0,,,0.609,0.305,,,,71.3
Africa,GIN,Guinea,2020,3,5,2020-03-28,8.0,0.0,,,0.609,0.0,,,,71.3
Africa,GIN,Guinea,2020,3,6,2020-03-29,16.0,8.0,,,1.218,0.609,,,,71.3
Africa,GIN,Guinea,2020,3,0,2020-03-30,22.0,6.0,,,1.675,0.457,,,,78.7
Africa,GIN,Guinea,2020,3,1,2020-03-31,22.0,0.0,,,1.675,0.0,,,,78.7
Africa,GIN,Guinea,2020,4,2,2020-04-01,30.0,8.0,,,2.284,0.609,,,,78.7
Africa,GIN,Guinea,2020,4,3,2020-04-02,52.0,22.0,,,3.96,1.675,,,,78.7
Africa,GIN,Guinea,2020,4,4,2020-04-03,73.0,21.0,,,5.559,1.599,,,,78.7
Africa,GIN,Guinea,2020,4,5,2020-04-04,111.0,38.0,,,8.452,2.894,,,,78.7
Africa,GIN,Guinea,2020,4,6,2020-04-05,121.0,10.0,,,9.214,0.761,,,1.12,78.7
Africa,GIN,Guinea,2020,4,0,2020-04-06,128.0,7.0,,,9.747,0.533,,,1.12,78.7
Africa,GIN,Guinea,2020,4,1,2020-04-07,144.0,16.0,,,10.965,1.218,,,1.12,78.7
Africa,GIN,Guinea,2020,4,2,2020-04-08,164.0,20.0,,,12.488,1.523,,,1.12,78.7
Africa,GIN,Guinea,2020,4,3,2020-04-09,194.0,30.0,,,14.772,2.284,,,1.12,78.7
Africa,GIN,Guinea,2020,4,4,2020-04-10,212.0,18.0,,,16.143,1.371,,,1.12,78.7
Africa,GIN,Guinea,2020,4,5,2020-04-11,250.0,38.0,,,19.036,2.894,,,1.13,78.7
Africa,GIN,Guinea,2020,4,6,2020-04-12,250.0,0.0,,,19.036,0.0,,,1.13,78.7
Africa,GIN,Guinea,2020,4,0,2020-04-13,319.0,69.0,,,24.29,5.254,,,1.13,78.7
Africa,GIN,Guinea,2020,4,1,2020-04-14,363.0,44.0,,,27.641,3.35,,,1.12,78.7
Africa,GIN,Guinea,2020,4,2,2020-04-15,404.0,41.0,1.0,1.0,30.763,3.122,0.076,0.076,1.12,78.7
Africa,GIN,Guinea,2020,4,3,2020-04-16,438.0,34.0,1.0,0.0,33.352,2.589,0.076,0.0,1.12,78.7
Africa,GIN,Guinea,2020,4,4,2020-04-17,477.0,39.0,3.0,2.0,36.321,2.97,0.228,0.152,1.12,78.7
Africa,GIN,Guinea,2020,4,5,2020-04-18,518.0,41.0,3.0,0.0,39.443,3.122,0.228,0.0,1.12,78.7
Africa,GIN,Guinea,2020,4,6,2020-04-19,579.0,61.0,5.0,2.0,44.088,4.645,0.381,0.152,1.12,78.7
Africa,GIN,Guinea,2020,4,0,2020-04-20,622.0,43.0,5.0,0.0,47.362,3.274,0.381,0.0,1.12,78.7
Africa,GIN,Guinea,2020,4,1,2020-04-21,688.0,66.0,6.0,1.0,52.388,5.026,0.457,0.076,1.12,78.7
Africa,GIN,Guinea,2020,4,2,2020-04-22,761.0,73.0,6.0,0.0,57.947,5.559,0.457,0.0,1.12,78.7
Africa,GIN,Guinea,2020,4,3,2020-04-23,862.0,101.0,6.0,0.0,65.637,7.691,0.457,0.0,1.12,78.7
Africa,GIN,Guinea,2020,4,4,2020-04-24,954.0,92.0,6.0,0.0,72.643,7.005,0.457,0.0,1.12,78.7
Africa,GIN,Guinea,2020,4,5,2020-04-25,996.0,42.0,7.0,1.0,75.841,3.198,0.533,0.076,1.12,78.7
Africa,GIN,Guinea,2020,4,6,2020-04-26,996.0,0.0,7.0,0.0,75.841,0.0,0.533,0.0,1.12,78.7
Africa,GIN,Guinea,2020,4,0,2020-04-27,1163.0,167.0,7.0,0.0,88.557,12.716,0.533,0.0,1.12,78.7
Africa,GIN,Guinea,2020,4,1,2020-04-28,1240.0,77.0,7.0,0.0,94.42,5.863,0.533,0.0,1.12,78.7
Africa,GIN,Guinea,2020,4,2,2020-04-29,1351.0,111.0,7.0,0.0,102.872,8.452,0.533,0.0,1.12,78.7
Africa,GIN,Guinea,2020,4,3,2020-04-30,1495.0,144.0,7.0,0.0,113.837,10.965,0.533,0.0,1.12,78.7
Africa,GIN,Guinea,2020,5,4,2020-05-01,1537.0,42.0,7.0,0.0,117.035,3.198,0.533,0.0,1.12,78.7
Africa,GIN,Guinea,2020,5,5,2020-05-02,1586.0,49.0,7.0,0.0,120.766,3.731,0.533,0.0,1.11,78.7
Africa,GIN,Guinea,2020,5,6,2020-05-03,1586.0,0.0,7.0,0.0,120.766,0.0,0.533,0.0,1.11,78.7
Africa,GIN,Guinea,2020,5,0,2020-05-04,1710.0,124.0,9.0,2.0,130.208,9.442,0.685,0.152,1.11,78.7
Africa,GIN,Guinea,2020,5,1,2020-05-05,1811.0,101.0,10.0,1.0,137.899,7.691,0.761,0.076,1.11,78.7
Africa,GIN,Guinea,2020,5,2,2020-05-06,1856.0,45.0,11.0,1.0,141.326,3.427,0.838,0.076,1.11,78.7
Africa,GIN,Guinea,2020,5,3,2020-05-07,1927.0,71.0,11.0,0.0,146.732,5.406,0.838,0.0,1.11,78.7
Africa,GIN,Guinea,2020,5,4,2020-05-08,2009.0,82.0,11.0,0.0,152.976,6.244,0.838,0.0,1.11,78.7
Africa,GIN,Guinea,2020,5,5,2020-05-09,2042.0,33.0,11.0,0.0,155.489,2.513,0.838,0.0,1.11,78.7
Africa,GIN,Guinea,2020,5,6,2020-05-10,2146.0,104.0,11.0,0.0,163.408,7.919,0.838,0.0,1.11,78.7
Africa,GIN,Guinea,2020,5,0,2020-05-11,2146.0,0.0,11.0,0.0,163.408,0.0,0.838,0.0,1.11,78.7
Africa,GIN,Guinea,2020,5,1,2020-05-12,2298.0,152.0,11.0,0.0,174.982,11.574,0.838,0.0,1.11,78.7
Africa,GIN,Guinea,2020,5,2,2020-05-13,2374.0,76.0,14.0,3.0,180.769,5.787,1.066,0.228,1.11,78.7
Africa,GIN,Guinea,2020,5,3,2020-05-14,2473.0,99.0,15.0,1.0,188.307,7.538,1.142,0.076,1.11,78.7
Africa,GIN,Guinea,2020,5,4,2020-05-15,2473.0,0.0,15.0,0.0,188.307,0.0,1.142,0.0,1.11,78.7
Africa,GIN,Guinea,2020,5,5,2020-05-16,2658.0,185.0,16.0,1.0,202.394,14.087,1.218,0.076,1.1,78.7
Africa,GIN,Guinea,2020,5,6,2020-05-17,2658.0,0.0,16.0,0.0,202.394,0.0,1.218,0.0,1.1,78.7
Africa,GIN,Guinea,2020,5,0,2020-05-18,2796.0,138.0,16.0,0.0,212.902,10.508,1.218,0.0,1.1,78.7
Africa,GIN,Guinea,2020,5,1,2020-05-19,2863.0,67.0,18.0,2.0,218.004,5.102,1.371,0.152,1.1,78.7
Africa,GIN,Guinea,2020,5,2,2020-05-20,2863.0,0.0,18.0,0.0,218.004,0.0,1.371,0.0,1.1,78.7
Africa,GIN,Guinea,2020,5,3,2020-05-21,3067.0,204.0,18.0,0.0,233.538,15.534,1.371,0.0,1.1,78.7
Africa,GIN,Guinea,2020,5,4,2020-05-22,3067.0,0.0,19.0,1.0,233.538,0.0,1.447,0.076,1.1,78.7
Africa,GIN,Guinea,2020,5,5,2020-05-23,3176.0,109.0,20.0,1.0,241.837,8.3,1.523,0.076,1.1,78.7
Africa,GIN,Guinea,2020,5,6,2020-05-24,3275.0,99.0,20.0,0.0,249.376,7.538,1.523,0.0,1.1,78.7
Africa,GIN,Guinea,2020,5,0,2020-05-25,3275.0,0.0,20.0,0.0,249.376,0.0,1.523,0.0,1.1,78.7
Africa,GIN,Guinea,2020,5,1,2020-05-26,3275.0,0.0,20.0,0.0,249.376,0.0,1.523,0.0,1.1,78.7
Africa,GIN,Guinea,2020,5,2,2020-05-27,3275.0,0.0,20.0,0.0,249.376,0.0,1.523,0.0,1.1,78.7
Africa,GIN,Guinea,2020,5,3,2020-05-28,3553.0,278.0,22.0,2.0,270.544,21.168,1.675,0.152,1.1,78.7
Africa,GIN,Guinea,2020,5,4,2020-05-29,3656.0,103.0,22.0,0.0,278.387,7.843,1.675,0.0,1.1,78.7
Africa,GIN,Guinea,2020,5,5,2020-05-30,3706.0,50.0,23.0,1.0,282.194,3.807,1.751,0.076,1.1,78.7
Africa,GIN,Guinea,2020,5,6,2020-05-31,3706.0,0.0,23.0,0.0,282.194,0.0,1.751,0.0,1.1,78.7
Africa,GIN,Guinea,2020,6,0,2020-06-01,3844.0,138.0,23.0,0.0,292.702,10.508,1.751,0.0,1.1,78.7
Africa,GIN,Guinea,2020,6,1,2020-06-02,3886.0,42.0,23.0,0.0,295.901,3.198,1.751,0.0,1.09,78.7
Africa,GIN,Guinea,2020,6,2,2020-06-03,3933.0,47.0,23.0,0.0,299.479,3.579,1.751,0.0,1.09,78.7
Africa,GIN,Guinea,2020,6,3,2020-06-04,3991.0,58.0,23.0,0.0,303.896,4.416,1.751,0.0,1.09,78.7
Africa,GIN,Guinea,2020,6,4,2020-06-05,4060.0,69.0,23.0,0.0,309.15,5.254,1.751,0.0,1.09,78.7
Africa,GIN,Guinea,2020,6,5,2020-06-06,4117.0,57.0,23.0,0.0,313.49,4.34,1.751,0.0,1.09,78.7
Africa,GIN,Guinea,2020,6,6,2020-06-07,4117.0,0.0,23.0,0.0,313.49,0.0,1.751,0.0,1.09,78.7
Africa,GIN,Guinea,2020,6,0,2020-06-08,4216.0,99.0,23.0,0.0,321.028,7.538,1.751,0.0,1.09,78.7
Africa,GIN,Guinea,2020,6,1,2020-06-09,4258.0,42.0,23.0,0.0,324.227,3.198,1.751,0.0,1.09,78.7
Africa,GIN,Guinea,2020,6,2,2020-06-10,4258.0,0.0,23.0,0.0,324.227,0.0,1.751,0.0,1.09,78.7
Africa,GIN,Guinea,2020,6,3,2020-06-11,4372.0,114.0,23.0,0.0,332.907,8.681,1.751,0.0,1.09,78.7
Africa,GIN,Guinea,2020,6,4,2020-06-12,4426.0,54.0,24.0,1.0,337.019,4.112,1.827,0.076,1.09,78.7
Africa,GIN,Guinea,2020,6,5,2020-06-13,4484.0,58.0,25.0,1.0,341.435,4.416,1.904,0.076,1.09,78.7
Africa,GIN,Guinea,2020,6,6,2020-06-14,4532.0,48.0,25.0,0.0,345.09,3.655,1.904,0.0,1.09,78.7
Africa,GIN,Guinea,2020,6,0,2020-06-15,4572.0,40.0,26.0,1.0,348.136,3.046,1.98,0.076,1.09,73.15
Africa,GIN,Guinea,2020,6,1,2020-06-16,4639.0,67.0,26.0,0.0,353.238,5.102,1.98,0.0,1.09,73.15
Africa,GIN,Guinea,2020,6,2,2020-06-17,4668.0,29.0,26.0,0.0,355.446,2.208,1.98,0.0,1.09,73.15
Africa,GIN,Guinea,2020,6,3,2020-06-18,4841.0,173.0,26.0,0.0,368.619,13.173,1.98,0.0,1.09,73.15
Africa,GIN,Guinea,2020,6,4,2020-06-19,4904.0,63.0,27.0,1.0,373.416,4.797,2.056,0.076,1.09,73.15
Africa,GIN,Guinea,2020,6,5,2020-06-20,4960.0,56.0,27.0,0.0,377.681,4.264,2.056,0.0,1.09,73.15
Africa,GIN,Guinea,2020,6,6,2020-06-21,4988.0,28.0,27.0,0.0,379.813,2.132,2.056,0.0,1.09,73.15
Africa,GIN,Guinea,2020,6,0,2020-06-22,4988.0,0.0,27.0,0.0,379.813,0.0,2.056,0.0,1.09,73.15
Africa,GIN,Guinea,2020,6,1,2020-06-23,5040.0,52.0,28.0,1.0,383.772,3.96,2.132,0.076,1.09,73.15
Africa,GIN,Guinea,2020,6,2,2020-06-24,5174.0,134.0,29.0,1.0,393.976,10.203,2.208,0.076,1.09,73.15
Africa,GIN,Guinea,2020,6,3,2020-06-25,5174.0,0.0,29.0,0.0,393.976,0.0,2.208,0.0,1.09,73.15
Africa,GIN,Guinea,2020,6,4,2020-06-26,5260.0,86.0,29.0,0.0,400.524,6.548,2.208,0.0,1.08,73.15
Africa,GIN,Guinea,2020,6,5,2020-06-27,5291.0,31.0,30.0,1.0,402.885,2.361,2.284,0.076,1.08,73.15
Africa,GIN,Guinea,2020,6,6,2020-06-28,5342.0,51.0,31.0,1.0,406.768,3.883,2.361,0.076,1.08,73.15
Africa,GIN,Guinea,2020,6,0,2020-06-29,5351.0,9.0,31.0,0.0,407.453,0.685,2.361,0.0,1.08,71.3
Africa,GIN,Guinea,2020,6,1,2020-06-30,5391.0,40.0,33.0,2.0,410.499,3.046,2.513,0.152,1.08,71.3
Africa,GIN,Guinea,2020,7,2,2020-07-01,5404.0,13.0,33.0,0.0,411.489,0.99,2.513,0.0,1.08,71.3
Africa,GIN,Guinea,2020,7,3,2020-07-02,5450.0,46.0,33.0,0.0,414.992,3.503,2.513,0.0,1.08,71.3
Africa,GIN,Guinea,2020,7,4,2020-07-03,5521.0,71.0,33.0,0.0,420.398,5.406,2.513,0.0,1.08,71.3
Africa,GIN,Guinea,2020,7,5,2020-07-04,5570.0,49.0,34.0,1.0,424.129,3.731,2.589,0.076,1.08,71.3
Africa,GIN,Guinea,2020,7,6,2020-07-05,5610.0,40.0,34.0,0.0,427.175,3.046,2.589,0.0,1.08,71.3
Africa,GIN,Guinea,2020,7,0,2020-07-06,5610.0,0.0,34.0,0.0,427.175,0.0,2.589,0.0,1.08,71.3
Africa,GIN,Guinea,2020,7,1,2020-07-07,5636.0,26.0,34.0,0.0,429.155,1.98,2.589,0.0,1.08,71.3
Africa,GIN,Guinea,2020,7,2,2020-07-08,5697.0,61.0,34.0,0.0,433.8,4.645,2.589,0.0,1.08,71.3
