continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,GMB,Gambia,2020,3,1,2020-03-17,1.0,1.0,,,0.414,0.414,,,,11.11
Africa,GMB,Gambia,2020,3,2,2020-03-18,1.0,0.0,,,0.414,0.0,,,,45.37
Africa,GMB,Gambia,2020,3,3,2020-03-19,1.0,0.0,,,0.414,0.0,,,,45.37
Africa,GMB,Gambia,2020,3,4,2020-03-20,1.0,0.0,,,0.414,0.0,,,,53.7
Africa,GMB,Gambia,2020,3,5,2020-03-21,1.0,0.0,,,0.414,0.0,,,,53.7
Africa,GMB,Gambia,2020,3,6,2020-03-22,1.0,0.0,,,0.414,0.0,,,,53.7
Africa,GMB,Gambia,2020,3,0,2020-03-23,2.0,1.0,1.0,1.0,0.828,0.414,0.414,0.414,,56.48
Africa,GMB,Gambia,2020,3,1,2020-03-24,3.0,1.0,1.0,0.0,1.241,0.414,0.414,0.0,,56.48
Africa,GMB,Gambia,2020,3,2,2020-03-25,3.0,0.0,1.0,0.0,1.241,0.0,0.414,0.0,,56.48
Africa,GMB,Gambia,2020,3,3,2020-03-26,3.0,0.0,1.0,0.0,1.241,0.0,0.414,0.0,,56.48
Africa,GMB,Gambia,2020,3,4,2020-03-27,3.0,0.0,1.0,0.0,1.241,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,3,5,2020-03-28,3.0,0.0,1.0,0.0,1.241,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,3,6,2020-03-29,4.0,1.0,1.0,0.0,1.655,0.414,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,3,0,2020-03-30,4.0,0.0,1.0,0.0,1.655,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,3,1,2020-03-31,4.0,0.0,1.0,0.0,1.655,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,2,2020-04-01,4.0,0.0,1.0,0.0,1.655,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,3,2020-04-02,4.0,0.0,1.0,0.0,1.655,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,4,2020-04-03,4.0,0.0,1.0,0.0,1.655,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,5,2020-04-04,4.0,0.0,1.0,0.0,1.655,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,6,2020-04-05,4.0,0.0,1.0,0.0,1.655,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,0,2020-04-06,4.0,0.0,1.0,0.0,1.655,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,1,2020-04-07,4.0,0.0,1.0,0.0,1.655,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,2,2020-04-08,4.0,0.0,1.0,0.0,1.655,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,3,2020-04-09,4.0,0.0,1.0,0.0,1.655,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,4,2020-04-10,4.0,0.0,1.0,0.0,1.655,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,5,2020-04-11,9.0,5.0,1.0,0.0,3.724,2.069,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,6,2020-04-12,9.0,0.0,1.0,0.0,3.724,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,0,2020-04-13,9.0,0.0,1.0,0.0,3.724,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,1,2020-04-14,9.0,0.0,1.0,0.0,3.724,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,2,2020-04-15,9.0,0.0,1.0,0.0,3.724,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,3,2020-04-16,9.0,0.0,1.0,0.0,3.724,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,4,2020-04-17,9.0,0.0,1.0,0.0,3.724,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,5,2020-04-18,9.0,0.0,1.0,0.0,3.724,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,6,2020-04-19,10.0,1.0,1.0,0.0,4.138,0.414,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,0,2020-04-20,10.0,0.0,1.0,0.0,4.138,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,1,2020-04-21,10.0,0.0,1.0,0.0,4.138,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,2,2020-04-22,10.0,0.0,1.0,0.0,4.138,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,3,2020-04-23,10.0,0.0,1.0,0.0,4.138,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,4,2020-04-24,10.0,0.0,1.0,0.0,4.138,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,5,2020-04-25,10.0,0.0,1.0,0.0,4.138,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,6,2020-04-26,10.0,0.0,1.0,0.0,4.138,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,0,2020-04-27,10.0,0.0,1.0,0.0,4.138,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,1,2020-04-28,10.0,0.0,1.0,0.0,4.138,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,2,2020-04-29,10.0,0.0,1.0,0.0,4.138,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,4,3,2020-04-30,11.0,1.0,1.0,0.0,4.552,0.414,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,4,2020-05-01,12.0,1.0,1.0,0.0,4.966,0.414,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,5,2020-05-02,17.0,5.0,1.0,0.0,7.034,2.069,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,6,2020-05-03,17.0,0.0,1.0,0.0,7.034,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,0,2020-05-04,17.0,0.0,1.0,0.0,7.034,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,1,2020-05-05,17.0,0.0,1.0,0.0,7.034,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,2,2020-05-06,17.0,0.0,1.0,0.0,7.034,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,3,2020-05-07,18.0,1.0,1.0,0.0,7.448,0.414,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,4,2020-05-08,20.0,2.0,1.0,0.0,8.276,0.828,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,5,2020-05-09,20.0,0.0,1.0,0.0,8.276,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,6,2020-05-10,20.0,0.0,1.0,0.0,8.276,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,0,2020-05-11,22.0,2.0,1.0,0.0,9.103,0.828,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,1,2020-05-12,22.0,0.0,1.0,0.0,9.103,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,2,2020-05-13,23.0,1.0,1.0,0.0,9.517,0.414,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,3,2020-05-14,23.0,0.0,1.0,0.0,9.517,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,4,2020-05-15,23.0,0.0,1.0,0.0,9.517,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,5,2020-05-16,23.0,0.0,1.0,0.0,9.517,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,6,2020-05-17,23.0,0.0,1.0,0.0,9.517,0.0,0.414,0.0,,78.7
Africa,GMB,Gambia,2020,5,0,2020-05-18,24.0,1.0,1.0,0.0,9.931,0.414,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,5,1,2020-05-19,24.0,0.0,1.0,0.0,9.931,0.0,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,5,2,2020-05-20,24.0,0.0,1.0,0.0,9.931,0.0,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,5,3,2020-05-21,24.0,0.0,1.0,0.0,9.931,0.0,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,5,4,2020-05-22,25.0,1.0,1.0,0.0,10.345,0.414,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,5,5,2020-05-23,25.0,0.0,1.0,0.0,10.345,0.0,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,5,6,2020-05-24,25.0,0.0,1.0,0.0,10.345,0.0,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,5,0,2020-05-25,25.0,0.0,1.0,0.0,10.345,0.0,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,5,1,2020-05-26,25.0,0.0,1.0,0.0,10.345,0.0,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,5,2,2020-05-27,25.0,0.0,1.0,0.0,10.345,0.0,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,5,3,2020-05-28,25.0,0.0,1.0,0.0,10.345,0.0,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,5,4,2020-05-29,25.0,0.0,1.0,0.0,10.345,0.0,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,5,5,2020-05-30,25.0,0.0,1.0,0.0,10.345,0.0,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,5,6,2020-05-31,25.0,0.0,1.0,0.0,10.345,0.0,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,6,0,2020-06-01,25.0,0.0,1.0,0.0,10.345,0.0,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,6,1,2020-06-02,25.0,0.0,1.0,0.0,10.345,0.0,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,6,2,2020-06-03,26.0,1.0,1.0,0.0,10.759,0.414,0.414,0.0,,77.78
Africa,GMB,Gambia,2020,6,3,2020-06-04,26.0,0.0,1.0,0.0,10.759,0.0,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,4,2020-06-05,26.0,0.0,1.0,0.0,10.759,0.0,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,5,2020-06-06,26.0,0.0,1.0,0.0,10.759,0.0,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,6,2020-06-07,26.0,0.0,1.0,0.0,10.759,0.0,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,0,2020-06-08,28.0,2.0,1.0,0.0,11.586,0.828,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,1,2020-06-09,28.0,0.0,1.0,0.0,11.586,0.0,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,2,2020-06-10,28.0,0.0,1.0,0.0,11.586,0.0,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,3,2020-06-11,28.0,0.0,1.0,0.0,11.586,0.0,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,4,2020-06-12,28.0,0.0,1.0,0.0,11.586,0.0,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,5,2020-06-13,28.0,0.0,1.0,0.0,11.586,0.0,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,6,2020-06-14,28.0,0.0,1.0,0.0,11.586,0.0,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,0,2020-06-15,30.0,2.0,1.0,0.0,12.414,0.828,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,1,2020-06-16,34.0,4.0,1.0,0.0,14.069,1.655,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,2,2020-06-17,34.0,0.0,1.0,0.0,14.069,0.0,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,3,2020-06-18,36.0,2.0,1.0,0.0,14.897,0.828,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,4,2020-06-19,36.0,0.0,1.0,0.0,14.897,0.0,0.414,0.0,,74.07
Africa,GMB,Gambia,2020,6,5,2020-06-20,37.0,1.0,2.0,1.0,15.31,0.414,0.828,0.414,,74.07
Africa,GMB,Gambia,2020,6,6,2020-06-21,37.0,0.0,2.0,0.0,15.31,0.0,0.828,0.0,,74.07
Africa,GMB,Gambia,2020,6,0,2020-06-22,41.0,4.0,2.0,0.0,16.966,1.655,0.828,0.0,,74.07
Africa,GMB,Gambia,2020,6,1,2020-06-23,42.0,1.0,2.0,0.0,17.379,0.414,0.828,0.0,,74.07
Africa,GMB,Gambia,2020,6,2,2020-06-24,42.0,0.0,2.0,0.0,17.379,0.0,0.828,0.0,,74.07
Africa,GMB,Gambia,2020,6,3,2020-06-25,43.0,1.0,2.0,0.0,17.793,0.414,0.828,0.0,,70.37
Africa,GMB,Gambia,2020,6,4,2020-06-26,43.0,0.0,2.0,0.0,17.793,0.0,0.828,0.0,,70.37
Africa,GMB,Gambia,2020,6,5,2020-06-27,44.0,1.0,2.0,0.0,18.207,0.414,0.828,0.0,,70.37
Africa,GMB,Gambia,2020,6,6,2020-06-28,45.0,1.0,2.0,0.0,18.621,0.414,0.828,0.0,,70.37
Africa,GMB,Gambia,2020,6,0,2020-06-29,47.0,2.0,2.0,0.0,19.448,0.828,0.828,0.0,,68.98
Africa,GMB,Gambia,2020,6,1,2020-06-30,49.0,2.0,2.0,0.0,20.276,0.828,0.828,0.0,,68.98
Africa,GMB,Gambia,2020,7,2,2020-07-01,49.0,0.0,2.0,0.0,20.276,0.0,0.828,0.0,,68.98
Africa,GMB,Gambia,2020,7,3,2020-07-02,55.0,6.0,2.0,0.0,22.759,2.483,0.828,0.0,,68.98
Africa,GMB,Gambia,2020,7,4,2020-07-03,55.0,0.0,2.0,0.0,22.759,0.0,0.828,0.0,,68.98
Africa,GMB,Gambia,2020,7,5,2020-07-04,57.0,2.0,2.0,0.0,23.586,0.828,0.828,0.0,,68.98
Africa,GMB,Gambia,2020,7,6,2020-07-05,57.0,0.0,2.0,0.0,23.586,0.0,0.828,0.0,,68.98
Africa,GMB,Gambia,2020,7,0,2020-07-06,61.0,4.0,3.0,1.0,25.241,1.655,1.241,0.414,,68.98
Africa,GMB,Gambia,2020,7,1,2020-07-07,61.0,0.0,3.0,0.0,25.241,0.0,1.241,0.0,,68.98
Africa,GMB,Gambia,2020,7,2,2020-07-08,61.0,0.0,3.0,0.0,25.241,0.0,1.241,0.0,,68.98
Africa,GMB,Gambia,2020,7,3,2020-07-09,63.0,2.0,3.0,0.0,26.069,0.828,1.241,0.0,,68.98
Africa,GMB,Gambia,2020,7,4,2020-07-10,64.0,1.0,3.0,0.0,26.483,0.414,1.241,0.0,,68.98
Africa,GMB,Gambia,2020,7,5,2020-07-11,64.0,0.0,3.0,0.0,26.483,0.0,1.241,0.0,,68.98
Africa,GMB,Gambia,2020,7,6,2020-07-12,64.0,0.0,3.0,0.0,26.483,0.0,1.241,0.0,,68.98
Africa,GMB,Gambia,2020,7,0,2020-07-13,64.0,0.0,3.0,0.0,26.483,0.0,1.241,0.0,,68.98
Africa,GMB,Gambia,2020,7,1,2020-07-14,64.0,0.0,3.0,0.0,26.483,0.0,1.241,0.0,,68.98
Africa,GMB,Gambia,2020,7,2,2020-07-15,64.0,0.0,3.0,0.0,26.483,0.0,1.241,0.0,,68.98
Africa,GMB,Gambia,2020,7,3,2020-07-16,78.0,14.0,3.0,0.0,32.276,5.793,1.241,0.0,,68.98
Africa,GMB,Gambia,2020,7,4,2020-07-17,78.0,0.0,3.0,0.0,32.276,0.0,1.241,0.0,,68.98
Africa,GMB,Gambia,2020,7,5,2020-07-18,93.0,15.0,4.0,1.0,38.483,6.207,1.655,0.414,,68.98
Africa,GMB,Gambia,2020,7,6,2020-07-19,93.0,0.0,4.0,0.0,38.483,0.0,1.655,0.0,,68.98
Africa,GMB,Gambia,2020,7,0,2020-07-20,112.0,19.0,4.0,0.0,46.345,7.862,1.655,0.0,,68.98
Africa,GMB,Gambia,2020,7,1,2020-07-21,112.0,0.0,4.0,0.0,46.345,0.0,1.655,0.0,1.31,68.98
Africa,GMB,Gambia,2020,7,2,2020-07-22,146.0,34.0,5.0,1.0,60.414,14.069,2.069,0.414,1.32,35.65
Africa,GMB,Gambia,2020,7,3,2020-07-23,170.0,24.0,5.0,0.0,70.345,9.931,2.069,0.0,1.32,35.65
Africa,GMB,Gambia,2020,7,4,2020-07-24,216.0,46.0,6.0,1.0,89.379,19.035,2.483,0.414,1.31,35.65
Africa,GMB,Gambia,2020,7,5,2020-07-25,277.0,61.0,6.0,0.0,114.621,25.241,2.483,0.0,1.31,35.65
Africa,GMB,Gambia,2020,7,6,2020-07-26,277.0,0.0,6.0,0.0,114.621,0.0,2.483,0.0,1.3,35.65
Africa,GMB,Gambia,2020,7,0,2020-07-27,326.0,49.0,8.0,2.0,134.897,20.276,3.31,0.828,1.3,35.65
Africa,GMB,Gambia,2020,7,1,2020-07-28,326.0,0.0,8.0,0.0,134.897,0.0,3.31,0.0,1.3,35.65
Africa,GMB,Gambia,2020,7,2,2020-07-29,326.0,0.0,8.0,0.0,134.897,0.0,3.31,0.0,1.3,35.65
Africa,GMB,Gambia,2020,7,3,2020-07-30,403.0,77.0,8.0,0.0,166.759,31.862,3.31,0.0,1.3,35.65
Africa,GMB,Gambia,2020,7,4,2020-07-31,498.0,95.0,9.0,1.0,206.069,39.31,3.724,0.414,1.3,35.65
Africa,GMB,Gambia,2020,8,5,2020-08-01,498.0,0.0,9.0,0.0,206.069,0.0,3.724,0.0,1.29,35.65
Africa,GMB,Gambia,2020,8,6,2020-08-02,498.0,0.0,9.0,0.0,206.069,0.0,3.724,0.0,1.29,35.65
Africa,GMB,Gambia,2020,8,0,2020-08-03,498.0,0.0,9.0,0.0,206.069,0.0,3.724,0.0,1.28,35.65
Africa,GMB,Gambia,2020,8,1,2020-08-04,671.0,173.0,14.0,5.0,277.655,71.586,5.793,2.069,1.28,35.65
Africa,GMB,Gambia,2020,8,2,2020-08-05,799.0,128.0,16.0,2.0,330.621,52.966,6.621,0.828,1.28,35.65
Africa,GMB,Gambia,2020,8,3,2020-08-06,935.0,136.0,16.0,0.0,386.897,56.276,6.621,0.0,1.26,77.78
Africa,GMB,Gambia,2020,8,4,2020-08-07,1090.0,155.0,19.0,3.0,451.035,64.138,7.862,1.241,1.25,77.78
Africa,GMB,Gambia,2020,8,5,2020-08-08,1090.0,0.0,19.0,0.0,451.035,0.0,7.862,0.0,1.23,77.78
Africa,GMB,Gambia,2020,8,6,2020-08-09,1235.0,145.0,23.0,4.0,511.035,60.0,9.517,1.655,1.22,77.78
Africa,GMB,Gambia,2020,8,0,2020-08-10,1235.0,0.0,23.0,0.0,511.035,0.0,9.517,0.0,1.21,77.78
Africa,GMB,Gambia,2020,8,1,2020-08-11,1346.0,111.0,32.0,9.0,556.966,45.931,13.241,3.724,1.2,77.78
Africa,GMB,Gambia,2020,8,2,2020-08-12,1477.0,131.0,33.0,1.0,611.173,54.207,13.655,0.414,1.19,77.78
Africa,GMB,Gambia,2020,8,3,2020-08-13,1556.0,79.0,43.0,10.0,643.863,32.69,17.793,4.138,1.17,77.78
Africa,GMB,Gambia,2020,8,4,2020-08-14,1623.0,67.0,50.0,7.0,671.587,27.724,20.69,2.897,1.16,77.78
Africa,GMB,Gambia,2020,8,5,2020-08-15,1689.0,66.0,54.0,4.0,698.897,27.31,22.345,1.655,1.15,77.78
Africa,GMB,Gambia,2020,8,6,2020-08-16,1872.0,183.0,63.0,9.0,774.622,75.724,26.069,3.724,1.14,77.78
Africa,GMB,Gambia,2020,8,0,2020-08-17,1872.0,0.0,63.0,0.0,774.622,0.0,26.069,0.0,1.12,77.78
Africa,GMB,Gambia,2020,8,1,2020-08-18,2116.0,244.0,63.0,0.0,875.587,100.966,26.069,0.0,1.11,77.78
Africa,GMB,Gambia,2020,8,2,2020-08-19,2288.0,172.0,77.0,14.0,946.76,71.172,31.862,5.793,1.1,77.78
Africa,GMB,Gambia,2020,8,3,2020-08-20,2401.0,113.0,81.0,4.0,993.518,46.759,33.517,1.655,1.08,77.78
Africa,GMB,Gambia,2020,8,4,2020-08-21,2437.0,36.0,84.0,3.0,1008.415,14.897,34.759,1.241,1.07,77.78
Africa,GMB,Gambia,2020,8,5,2020-08-22,2437.0,0.0,84.0,0.0,1008.415,0.0,34.759,0.0,1.06,77.78
Africa,GMB,Gambia,2020,8,6,2020-08-23,2685.0,248.0,87.0,3.0,1111.036,102.621,36.0,1.241,1.05,77.78
Africa,GMB,Gambia,2020,8,0,2020-08-24,2585.0,-100.0,87.0,0.0,1069.656,-41.379,36.0,0.0,1.03,77.78
Africa,GMB,Gambia,2020,8,1,2020-08-25,2686.0,101.0,90.0,3.0,1111.45,41.793,37.241,1.241,1.02,77.78
