continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,GNB,Guinea-Bissau,2020,3,2,2020-03-25,2.0,2.0,,,1.016,1.016,,,,
Africa,GNB,Guinea-Bissau,2020,3,3,2020-03-26,2.0,0.0,,,1.016,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,3,4,2020-03-27,2.0,0.0,,,1.016,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,3,5,2020-03-28,2.0,0.0,,,1.016,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,3,6,2020-03-29,2.0,0.0,,,1.016,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,3,0,2020-03-30,8.0,6.0,,,4.065,3.049,,,,
Africa,GNB,Guinea-Bissau,2020,3,1,2020-03-31,8.0,0.0,,,4.065,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,4,2,2020-04-01,9.0,1.0,,,4.573,0.508,,,,
Africa,GNB,Guinea-Bissau,2020,4,3,2020-04-02,9.0,0.0,,,4.573,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,4,4,2020-04-03,15.0,6.0,,,7.622,3.049,,,,
Africa,GNB,Guinea-Bissau,2020,4,5,2020-04-04,18.0,3.0,,,9.146,1.524,,,,
Africa,GNB,Guinea-Bissau,2020,4,6,2020-04-05,18.0,0.0,,,9.146,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,4,0,2020-04-06,18.0,0.0,,,9.146,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,4,1,2020-04-07,33.0,15.0,,,16.768,7.622,,,,
Africa,GNB,Guinea-Bissau,2020,4,2,2020-04-08,33.0,0.0,,,16.768,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,4,3,2020-04-09,36.0,3.0,,,18.293,1.524,,,,
Africa,GNB,Guinea-Bissau,2020,4,4,2020-04-10,36.0,0.0,,,18.293,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,4,5,2020-04-11,38.0,2.0,,,19.309,1.016,,,,
Africa,GNB,Guinea-Bissau,2020,4,6,2020-04-12,38.0,0.0,,,19.309,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,4,0,2020-04-13,38.0,0.0,,,19.309,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,4,1,2020-04-14,38.0,0.0,,,19.309,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,4,2,2020-04-15,43.0,5.0,,,21.85,2.541,,,,
Africa,GNB,Guinea-Bissau,2020,4,3,2020-04-16,43.0,0.0,,,21.85,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,4,4,2020-04-17,43.0,0.0,,,21.85,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,4,5,2020-04-18,46.0,3.0,,,23.374,1.524,,,,
Africa,GNB,Guinea-Bissau,2020,4,6,2020-04-19,50.0,4.0,,,25.407,2.033,,,,
Africa,GNB,Guinea-Bissau,2020,4,0,2020-04-20,50.0,0.0,,,25.407,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,4,1,2020-04-21,50.0,0.0,,,25.407,0.0,,,,
Africa,GNB,Guinea-Bissau,2020,4,2,2020-04-22,50.0,0.0,,,25.407,0.0,,,,
