continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,GRC,Greece,2020,2,6,2020-02-02,,,,,,,,,,0.0
Europe,GRC,Greece,2020,2,6,2020-02-09,,,,,,,,,,0.0
Europe,GRC,Greece,2020,2,6,2020-02-16,,,,,,,,,,0.0
Europe,GRC,Greece,2020,2,6,2020-02-23,,,,,,,,,,0.0
Europe,GRC,Greece,2020,2,2,2020-02-26,1.0,1.0,,,0.096,0.096,,,,11.11
Europe,GRC,Greece,2020,2,3,2020-02-27,3.0,2.0,,,0.288,0.192,,,,11.11
Europe,GRC,Greece,2020,2,4,2020-02-28,4.0,1.0,,,0.384,0.096,,,,11.11
Europe,GRC,Greece,2020,2,5,2020-02-29,4.0,0.0,,,0.384,0.0,,,,19.44
Europe,GRC,Greece,2020,3,6,2020-03-01,7.0,3.0,,,0.672,0.288,,,,19.44
Europe,GRC,Greece,2020,3,0,2020-03-02,7.0,0.0,,,0.672,0.0,,,,19.44
Europe,GRC,Greece,2020,3,1,2020-03-03,7.0,0.0,,,0.672,0.0,,,,19.44
Europe,GRC,Greece,2020,3,2,2020-03-04,9.0,2.0,,,0.863,0.192,,,,19.44
Europe,GRC,Greece,2020,3,3,2020-03-05,31.0,22.0,,,2.974,2.111,,,,28.7
Europe,GRC,Greece,2020,3,4,2020-03-06,45.0,14.0,,,4.317,1.343,,,,28.7
Europe,GRC,Greece,2020,3,5,2020-03-07,46.0,1.0,,,4.413,0.096,,,,28.7
Europe,GRC,Greece,2020,3,6,2020-03-08,73.0,27.0,,,7.004,2.59,,,,28.7
Europe,GRC,Greece,2020,3,0,2020-03-09,73.0,0.0,,,7.004,0.0,,,,31.48
Europe,GRC,Greece,2020,3,1,2020-03-10,89.0,16.0,,,8.539,1.535,,,,33.33
Europe,GRC,Greece,2020,3,2,2020-03-11,99.0,10.0,1.0,1.0,9.498,0.959,0.096,0.096,,33.33
Europe,GRC,Greece,2020,3,3,2020-03-12,99.0,0.0,1.0,0.0,9.498,0.0,0.096,0.0,,40.74
Europe,GRC,Greece,2020,3,4,2020-03-13,190.0,91.0,1.0,0.0,18.229,8.731,0.096,0.0,,40.74
Europe,GRC,Greece,2020,3,5,2020-03-14,228.0,38.0,3.0,2.0,21.875,3.646,0.288,0.192,1.41,54.63
Europe,GRC,Greece,2020,3,6,2020-03-15,331.0,103.0,4.0,1.0,31.757,9.882,0.384,0.096,1.41,54.63
Europe,GRC,Greece,2020,3,0,2020-03-16,331.0,0.0,4.0,0.0,31.757,0.0,0.384,0.0,1.38,54.63
Europe,GRC,Greece,2020,3,1,2020-03-17,387.0,56.0,5.0,1.0,37.129,5.373,0.48,0.096,1.36,54.63
Europe,GRC,Greece,2020,3,2,2020-03-18,418.0,31.0,5.0,0.0,40.103,2.974,0.48,0.0,1.35,65.74
Europe,GRC,Greece,2020,3,3,2020-03-19,418.0,0.0,6.0,1.0,40.103,0.0,0.576,0.096,1.34,65.74
Europe,GRC,Greece,2020,3,4,2020-03-20,495.0,77.0,6.0,0.0,47.491,7.387,0.576,0.0,1.35,65.74
Europe,GRC,Greece,2020,3,5,2020-03-21,530.0,35.0,13.0,7.0,50.849,3.358,1.247,0.672,1.35,74.07
Europe,GRC,Greece,2020,3,6,2020-03-22,624.0,94.0,15.0,2.0,59.867,9.018,1.439,0.192,1.35,74.07
Europe,GRC,Greece,2020,3,0,2020-03-23,695.0,71.0,17.0,2.0,66.679,6.812,1.631,0.192,1.34,84.26
Europe,GRC,Greece,2020,3,1,2020-03-24,743.0,48.0,20.0,3.0,71.284,4.605,1.919,0.288,1.32,84.26
Europe,GRC,Greece,2020,3,2,2020-03-25,821.0,78.0,22.0,2.0,78.768,7.483,2.111,0.192,1.3,84.26
Europe,GRC,Greece,2020,3,3,2020-03-26,892.0,71.0,26.0,4.0,85.58,6.812,2.494,0.384,1.29,84.26
Europe,GRC,Greece,2020,3,4,2020-03-27,966.0,74.0,28.0,2.0,92.679,7.1,2.686,0.192,1.27,84.26
Europe,GRC,Greece,2020,3,5,2020-03-28,1061.0,95.0,32.0,4.0,101.794,9.114,3.07,0.384,1.25,84.26
Europe,GRC,Greece,2020,3,6,2020-03-29,1156.0,95.0,38.0,6.0,110.908,9.114,3.646,0.576,1.23,84.26
