continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
North America,GRD,Grenada,2020,3,6,2020-03-22,1.0,1.0,,,8.887,8.887,,,,
North America,GRD,Grenada,2020,3,0,2020-03-23,1.0,0.0,,,8.887,0.0,,,,
North America,GRD,Grenada,2020,3,1,2020-03-24,1.0,0.0,,,8.887,0.0,,,,
North America,GRD,Grenada,2020,3,2,2020-03-25,1.0,0.0,,,8.887,0.0,,,,
North America,GRD,Grenada,2020,3,3,2020-03-26,7.0,6.0,,,62.212,53.324,,,,
North America,GRD,Grenada,2020,3,4,2020-03-27,7.0,0.0,,,62.212,0.0,,,,
North America,GRD,Grenada,2020,3,5,2020-03-28,7.0,0.0,,,62.212,0.0,,,,
North America,GRD,Grenada,2020,3,6,2020-03-29,9.0,2.0,,,79.986,17.775,,,,
North America,GRD,Grenada,2020,3,0,2020-03-30,9.0,0.0,,,79.986,0.0,,,,
North America,GRD,Grenada,2020,3,1,2020-03-31,9.0,0.0,,,79.986,0.0,,,,
North America,GRD,Grenada,2020,4,2,2020-04-01,9.0,0.0,,,79.986,0.0,,,,
North America,GRD,Grenada,2020,4,3,2020-04-02,10.0,1.0,,,88.874,8.887,,,,
North America,GRD,Grenada,2020,4,4,2020-04-03,12.0,2.0,,,106.649,17.775,,,,
North America,GRD,Grenada,2020,4,5,2020-04-04,12.0,0.0,,,106.649,0.0,,,,
North America,GRD,Grenada,2020,4,6,2020-04-05,12.0,0.0,,,106.649,0.0,,,,
North America,GRD,Grenada,2020,4,0,2020-04-06,12.0,0.0,,,106.649,0.0,,,,
North America,GRD,Grenada,2020,4,1,2020-04-07,12.0,0.0,,,106.649,0.0,,,,
North America,GRD,Grenada,2020,4,2,2020-04-08,12.0,0.0,,,106.649,0.0,,,,
North America,GRD,Grenada,2020,4,3,2020-04-09,12.0,0.0,,,106.649,0.0,,,,
North America,GRD,Grenada,2020,4,4,2020-04-10,14.0,2.0,,,124.423,17.775,,,,
North America,GRD,Grenada,2020,4,5,2020-04-11,14.0,0.0,,,124.423,0.0,,,,
North America,GRD,Grenada,2020,4,6,2020-04-12,14.0,0.0,,,124.423,0.0,,,,
North America,GRD,Grenada,2020,4,0,2020-04-13,14.0,0.0,,,124.423,0.0,,,,
North America,GRD,Grenada,2020,4,1,2020-04-14,14.0,0.0,,,124.423,0.0,,,,
North America,GRD,Grenada,2020,4,2,2020-04-15,14.0,0.0,,,124.423,0.0,,,,
North America,GRD,Grenada,2020,4,3,2020-04-16,14.0,0.0,,,124.423,0.0,,,,
North America,GRD,Grenada,2020,4,4,2020-04-17,14.0,0.0,,,124.423,0.0,,,,
North America,GRD,Grenada,2020,4,5,2020-04-18,14.0,0.0,,,124.423,0.0,,,,
North America,GRD,Grenada,2020,4,6,2020-04-19,14.0,0.0,,,124.423,0.0,,,,
North America,GRD,Grenada,2020,4,0,2020-04-20,14.0,0.0,,,124.423,0.0,,,,
North America,GRD,Grenada,2020,4,1,2020-04-21,14.0,0.0,,,124.423,0.0,,,,
North America,GRD,Grenada,2020,4,2,2020-04-22,15.0,1.0,,,133.311,8.887,,,,
North America,GRD,Grenada,2020,4,3,2020-04-23,15.0,0.0,,,133.311,0.0,,,,
North America,GRD,Grenada,2020,4,4,2020-04-24,15.0,0.0,,,133.311,0.0,,,,
North America,GRD,Grenada,2020,4,5,2020-04-25,18.0,3.0,,,159.973,26.662,,,,
North America,GRD,Grenada,2020,4,6,2020-04-26,18.0,0.0,,,159.973,0.0,,,,
North America,GRD,Grenada,2020,4,0,2020-04-27,18.0,0.0,,,159.973,0.0,,,,
North America,GRD,Grenada,2020,4,1,2020-04-28,19.0,1.0,,,168.86,8.887,,,,
North America,GRD,Grenada,2020,4,2,2020-04-29,20.0,1.0,,,177.748,8.887,,,,
North America,GRD,Grenada,2020,4,3,2020-04-30,20.0,0.0,,,177.748,0.0,,,,
North America,GRD,Grenada,2020,5,4,2020-05-01,20.0,0.0,,,177.748,0.0,,,,
North America,GRD,Grenada,2020,5,5,2020-05-02,21.0,1.0,,,186.635,8.887,,,,
North America,GRD,Grenada,2020,5,6,2020-05-03,21.0,0.0,,,186.635,0.0,,,,
North America,GRD,Grenada,2020,5,0,2020-05-04,21.0,0.0,,,186.635,0.0,,,,
North America,GRD,Grenada,2020,5,1,2020-05-05,21.0,0.0,,,186.635,0.0,,,,
North America,GRD,Grenada,2020,5,2,2020-05-06,21.0,0.0,,,186.635,0.0,,,,
North America,GRD,Grenada,2020,5,3,2020-05-07,21.0,0.0,,,186.635,0.0,,,,
North America,GRD,Grenada,2020,5,4,2020-05-08,21.0,0.0,,,186.635,0.0,,,,
North America,GRD,Grenada,2020,5,5,2020-05-09,21.0,0.0,,,186.635,0.0,,,,
North America,GRD,Grenada,2020,5,6,2020-05-10,21.0,0.0,,,186.635,0.0,,,,
North America,GRD,Grenada,2020,5,0,2020-05-11,21.0,0.0,,,186.635,0.0,,,,
North America,GRD,Grenada,2020,5,1,2020-05-12,21.0,0.0,,,186.635,0.0,,,,
North America,GRD,Grenada,2020,5,2,2020-05-13,21.0,0.0,,,186.635,0.0,,,,
North America,GRD,Grenada,2020,5,3,2020-05-14,21.0,0.0,,,186.635,0.0,,,,
North America,GRD,Grenada,2020,5,4,2020-05-15,22.0,1.0,,,195.523,8.887,,,,
North America,GRD,Grenada,2020,5,5,2020-05-16,22.0,0.0,,,195.523,0.0,,,,
North America,GRD,Grenada,2020,5,6,2020-05-17,22.0,0.0,,,195.523,0.0,,,,
North America,GRD,Grenada,2020,5,0,2020-05-18,22.0,0.0,,,195.523,0.0,,,,
North America,GRD,Grenada,2020,5,1,2020-05-19,22.0,0.0,,,195.523,0.0,,,,
North America,GRD,Grenada,2020,5,2,2020-05-20,22.0,0.0,,,195.523,0.0,,,,
North America,GRD,Grenada,2020,5,3,2020-05-21,22.0,0.0,,,195.523,0.0,,,,
North America,GRD,Grenada,2020,5,4,2020-05-22,22.0,0.0,,,195.523,0.0,,,,
North America,GRD,Grenada,2020,5,5,2020-05-23,22.0,0.0,,,195.523,0.0,,,,
North America,GRD,Grenada,2020,5,6,2020-05-24,22.0,0.0,,,195.523,0.0,,,,
North America,GRD,Grenada,2020,5,0,2020-05-25,23.0,1.0,,,204.41,8.887,,,,
North America,GRD,Grenada,2020,5,1,2020-05-26,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,5,2,2020-05-27,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,5,3,2020-05-28,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,5,4,2020-05-29,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,5,5,2020-05-30,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,5,6,2020-05-31,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,0,2020-06-01,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,1,2020-06-02,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,2,2020-06-03,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,3,2020-06-04,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,4,2020-06-05,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,5,2020-06-06,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,6,2020-06-07,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,0,2020-06-08,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,1,2020-06-09,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,2,2020-06-10,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,3,2020-06-11,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,4,2020-06-12,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,5,2020-06-13,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,6,2020-06-14,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,0,2020-06-15,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,1,2020-06-16,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,2,2020-06-17,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,3,2020-06-18,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,4,2020-06-19,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,5,2020-06-20,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,6,2020-06-21,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,0,2020-06-22,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,1,2020-06-23,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,2,2020-06-24,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,3,2020-06-25,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,4,2020-06-26,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,5,2020-06-27,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,6,2020-06-28,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,0,2020-06-29,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,6,1,2020-06-30,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,2,2020-07-01,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,3,2020-07-02,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,4,2020-07-03,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,5,2020-07-04,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,6,2020-07-05,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,0,2020-07-06,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,1,2020-07-07,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,2,2020-07-08,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,3,2020-07-09,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,4,2020-07-10,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,5,2020-07-11,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,6,2020-07-12,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,0,2020-07-13,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,1,2020-07-14,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,2,2020-07-15,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,3,2020-07-16,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,4,2020-07-17,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,5,2020-07-18,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,6,2020-07-19,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,0,2020-07-20,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,1,2020-07-21,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,2,2020-07-22,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,3,2020-07-23,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,4,2020-07-24,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,5,2020-07-25,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,6,2020-07-26,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,0,2020-07-27,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,1,2020-07-28,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,2,2020-07-29,23.0,0.0,,,204.41,0.0,,,,
North America,GRD,Grenada,2020,7,3,2020-07-30,24.0,1.0,,,213.297,8.887,,,,
North America,GRD,Grenada,2020,7,4,2020-07-31,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,5,2020-08-01,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,6,2020-08-02,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,0,2020-08-03,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,1,2020-08-04,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,2,2020-08-05,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,3,2020-08-06,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,4,2020-08-07,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,5,2020-08-08,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,6,2020-08-09,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,0,2020-08-10,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,1,2020-08-11,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,2,2020-08-12,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,3,2020-08-13,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,4,2020-08-14,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,5,2020-08-15,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,6,2020-08-16,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,0,2020-08-17,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,1,2020-08-18,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,2,2020-08-19,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,3,2020-08-20,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,4,2020-08-21,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,5,2020-08-22,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,6,2020-08-23,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,0,2020-08-24,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,1,2020-08-25,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,2,2020-08-26,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,3,2020-08-27,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,4,2020-08-28,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,5,2020-08-29,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,6,2020-08-30,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,8,0,2020-08-31,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,9,1,2020-09-01,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,9,2,2020-09-02,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,9,3,2020-09-03,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,9,4,2020-09-04,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,9,5,2020-09-05,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,9,6,2020-09-06,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,9,0,2020-09-07,24.0,0.0,,,213.297,0.0,,,,
North America,GRD,Grenada,2020,9,1,2020-09-08,24.0,0.0,,,213.297,0.0,,,,
