continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
South America,GUY,Guyana,2020,3,3,2020-03-12,1.0,1.0,1.0,1.0,1.271,1.271,1.271,1.271,,25.0
South America,GUY,Guyana,2020,3,4,2020-03-13,1.0,0.0,1.0,0.0,1.271,0.0,1.271,0.0,,25.0
South America,GUY,Guyana,2020,3,5,2020-03-14,1.0,0.0,1.0,0.0,1.271,0.0,1.271,0.0,,25.0
South America,GUY,Guyana,2020,3,6,2020-03-15,4.0,3.0,1.0,0.0,5.085,3.814,1.271,0.0,,25.0
South America,GUY,Guyana,2020,3,0,2020-03-16,4.0,0.0,1.0,0.0,5.085,0.0,1.271,0.0,,36.11
South America,GUY,Guyana,2020,3,1,2020-03-17,7.0,3.0,1.0,0.0,8.9,3.814,1.271,0.0,,36.11
South America,GUY,Guyana,2020,3,2,2020-03-18,7.0,0.0,1.0,0.0,8.9,0.0,1.271,0.0,,41.67
South America,GUY,Guyana,2020,3,3,2020-03-19,7.0,0.0,1.0,0.0,8.9,0.0,1.271,0.0,,41.67
South America,GUY,Guyana,2020,3,4,2020-03-20,7.0,0.0,1.0,0.0,8.9,0.0,1.271,0.0,,41.67
South America,GUY,Guyana,2020,3,5,2020-03-21,7.0,0.0,1.0,0.0,8.9,0.0,1.271,0.0,,41.67
South America,GUY,Guyana,2020,3,6,2020-03-22,19.0,12.0,1.0,0.0,24.156,15.256,1.271,0.0,,41.67
South America,GUY,Guyana,2020,3,0,2020-03-23,20.0,1.0,1.0,0.0,25.427,1.271,1.271,0.0,,41.67
South America,GUY,Guyana,2020,3,1,2020-03-24,5.0,-15.0,1.0,0.0,6.357,-19.07,1.271,0.0,,41.67
South America,GUY,Guyana,2020,3,2,2020-03-25,5.0,0.0,1.0,0.0,6.357,0.0,1.271,0.0,,41.67
South America,GUY,Guyana,2020,3,3,2020-03-26,5.0,0.0,1.0,0.0,6.357,0.0,1.271,0.0,,45.37
South America,GUY,Guyana,2020,3,4,2020-03-27,5.0,0.0,1.0,0.0,6.357,0.0,1.271,0.0,,48.15
South America,GUY,Guyana,2020,3,5,2020-03-28,8.0,3.0,1.0,0.0,10.171,3.814,1.271,0.0,,57.41
