continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,HKG,Hong Kong,2020,1,4,2020-01-31,,,,,,,,,,49.07
Asia,HKG,Hong Kong,2020,2,5,2020-02-29,,,,,,,,,,52.78
Asia,HKG,Hong Kong,2020,3,1,2020-03-31,,,,,,,,,,63.89
Asia,HKG,Hong Kong,2020,4,3,2020-04-30,,,,,,,,,,66.67
Asia,HKG,Hong Kong,2020,5,6,2020-05-31,,,,,,,,,,52.78
Asia,HKG,Hong Kong,2020,6,1,2020-06-30,,,,,,,,,,41.67
Asia,HKG,Hong Kong,2020,7,4,2020-07-31,,,,,,,,,,66.67
Asia,HKG,Hong Kong,2020,8,0,2020-08-31,,,,,,,,,,66.67
Asia,HKG,Hong Kong,2020,9,1,2020-09-01,,,,,,,,,,66.67
Asia,HKG,Hong Kong,2020,9,2,2020-09-02,,,,,,,,,,66.67
Asia,HKG,Hong Kong,2020,9,3,2020-09-03,,,,,,,,,,66.67
Asia,HKG,Hong Kong,2020,9,4,2020-09-04,,,,,,,,,,66.67
Asia,HKG,Hong Kong,2020,9,5,2020-09-05,,,,,,,,,,66.67
Asia,HKG,Hong Kong,2020,9,6,2020-09-06,,,,,,,,,,66.67
Asia,HKG,Hong Kong,2020,9,0,2020-09-07,,,,,,,,,,66.67
Asia,HKG,Hong Kong,2020,9,1,2020-09-08,,,,,,,,,,66.67
Asia,HKG,Hong Kong,2020,9,2,2020-09-09,,,,,,,,,,66.67
Asia,HKG,Hong Kong,2020,9,3,2020-09-10,,,,,,,,,,66.67
Asia,HKG,Hong Kong,2020,9,4,2020-09-11,,,,,,,,,,62.96
Asia,HKG,Hong Kong,2020,9,5,2020-09-12,,,,,,,,,,62.96
Asia,HKG,Hong Kong,2020,9,6,2020-09-13,,,,,,,,,,62.96
Asia,HKG,Hong Kong,2020,9,0,2020-09-14,,,,,,,,,,62.96
Asia,HKG,Hong Kong,2020,9,1,2020-09-15,,,,,,,,,,62.96
Asia,HKG,Hong Kong,2020,9,2,2020-09-16,,,,,,,,,,62.96
Asia,HKG,Hong Kong,2020,9,3,2020-09-17,,,,,,,,,,62.96
Asia,HKG,Hong Kong,2020,9,4,2020-09-18,,,,,,,,,,62.96
Asia,HKG,Hong Kong,2020,9,5,2020-09-19,,,,,,,,,,62.96
Asia,HKG,Hong Kong,2020,9,6,2020-09-20,,,,,,,,,,62.96
Asia,HKG,Hong Kong,2020,9,0,2020-09-21,,,,,,,,,,62.96
Asia,HKG,Hong Kong,2020,9,1,2020-09-22,,,,,,,,,,62.96
Asia,HKG,Hong Kong,2020,9,2,2020-09-23,,,,,,,,,,59.26
Asia,HKG,Hong Kong,2020,9,3,2020-09-24,,,,,,,,,,59.26
Asia,HKG,Hong Kong,2020,9,4,2020-09-25,,,,,,,,,,59.26
Asia,HKG,Hong Kong,2020,9,5,2020-09-26,,,,,,,,,,55.56
Asia,HKG,Hong Kong,2020,9,6,2020-09-27,,,,,,,,,,55.56
Asia,HKG,Hong Kong,2020,9,0,2020-09-28,,,,,,,,,,55.56
Asia,HKG,Hong Kong,2020,9,1,2020-09-29,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,9,2,2020-09-30,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,3,2020-10-01,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,4,2020-10-02,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,5,2020-10-03,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,6,2020-10-04,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,0,2020-10-05,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,1,2020-10-06,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,2,2020-10-07,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,3,2020-10-08,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,4,2020-10-09,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,5,2020-10-10,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,6,2020-10-11,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,0,2020-10-12,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,1,2020-10-13,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,2,2020-10-14,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,3,2020-10-15,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,4,2020-10-16,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,5,2020-10-17,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,6,2020-10-18,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,0,2020-10-19,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,1,2020-10-20,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,2,2020-10-21,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,3,2020-10-22,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,4,2020-10-23,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,5,2020-10-24,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,6,2020-10-25,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,0,2020-10-26,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,1,2020-10-27,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,2,2020-10-28,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,3,2020-10-29,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,4,2020-10-30,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,10,5,2020-10-31,,,,,,,,,,51.85
Asia,HKG,Hong Kong,2020,11,0,2020-11-30,,,,,,,,,,68.52
Asia,HKG,Hong Kong,2020,12,3,2020-12-31,,,,,,,,,,71.3
Asia,HKG,Hong Kong,2021,1,6,2021-01-31,,,,,,,,,,71.3
Asia,HKG,Hong Kong,2021,2,0,2021-02-01,,,,,,,,,,71.3
Asia,HKG,Hong Kong,2021,2,1,2021-02-02,,,,,,,,,,71.3
