continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
North America,HND,Honduras,2020,3,2,2020-03-11,2.0,2.0,,,0.202,0.202,,,,11.11
North America,HND,Honduras,2020,3,3,2020-03-12,2.0,0.0,,,0.202,0.0,,,,11.11
North America,HND,Honduras,2020,3,4,2020-03-13,2.0,0.0,,,0.202,0.0,,,,33.33
North America,HND,Honduras,2020,3,5,2020-03-14,2.0,0.0,,,0.202,0.0,,,,33.33
North America,HND,Honduras,2020,3,6,2020-03-15,3.0,1.0,,,0.303,0.101,,,,33.33
North America,HND,Honduras,2020,3,0,2020-03-16,6.0,3.0,,,0.606,0.303,,,,93.52
North America,HND,Honduras,2020,3,1,2020-03-17,8.0,2.0,,,0.808,0.202,,,,93.52
North America,HND,Honduras,2020,3,2,2020-03-18,9.0,1.0,,,0.909,0.101,,,,93.52
North America,HND,Honduras,2020,3,3,2020-03-19,12.0,3.0,,,1.212,0.303,,,,93.52
North America,HND,Honduras,2020,3,4,2020-03-20,24.0,12.0,,,2.423,1.212,,,,97.22
North America,HND,Honduras,2020,3,5,2020-03-21,24.0,0.0,,,2.423,0.0,,,,100.0
North America,HND,Honduras,2020,3,6,2020-03-22,26.0,2.0,,,2.625,0.202,,,,100.0
North America,HND,Honduras,2020,3,0,2020-03-23,30.0,4.0,,,3.029,0.404,,,,100.0
North America,HND,Honduras,2020,3,1,2020-03-24,30.0,0.0,,,3.029,0.0,,,,100.0
North America,HND,Honduras,2020,3,2,2020-03-25,36.0,6.0,,,3.635,0.606,,,,100.0
North America,HND,Honduras,2020,3,3,2020-03-26,52.0,16.0,1.0,1.0,5.25,1.615,0.101,0.101,,100.0
North America,HND,Honduras,2020,3,4,2020-03-27,68.0,16.0,1.0,0.0,6.865,1.615,0.101,0.0,,100.0
North America,HND,Honduras,2020,3,5,2020-03-28,95.0,27.0,1.0,0.0,9.591,2.726,0.101,0.0,,100.0
North America,HND,Honduras,2020,3,6,2020-03-29,110.0,15.0,3.0,2.0,11.106,1.514,0.303,0.202,,100.0
North America,HND,Honduras,2020,3,0,2020-03-30,139.0,29.0,7.0,4.0,14.034,2.928,0.707,0.404,1.26,100.0
