continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,IDN,Indonesia,2020,3,0,2020-03-02,2.0,2.0,,,0.007,0.007,,,,28.7
Asia,IDN,Indonesia,2020,3,1,2020-03-03,2.0,0.0,,,0.007,0.0,,,,37.04
Asia,IDN,Indonesia,2020,3,2,2020-03-04,2.0,0.0,,,0.007,0.0,,,,37.04
Asia,IDN,Indonesia,2020,3,3,2020-03-05,2.0,0.0,,,0.007,0.0,,,,37.04
Asia,IDN,Indonesia,2020,3,4,2020-03-06,4.0,2.0,,,0.015,0.007,,,,37.04
Asia,IDN,Indonesia,2020,3,5,2020-03-07,4.0,0.0,,,0.015,0.0,,,,37.04
Asia,IDN,Indonesia,2020,3,6,2020-03-08,6.0,2.0,,,0.022,0.007,,,,37.04
Asia,IDN,Indonesia,2020,3,0,2020-03-09,19.0,13.0,,,0.069,0.048,,,,37.04
Asia,IDN,Indonesia,2020,3,1,2020-03-10,27.0,8.0,,,0.099,0.029,,,,37.04
Asia,IDN,Indonesia,2020,3,2,2020-03-11,34.0,7.0,1.0,1.0,0.124,0.026,0.004,0.004,,37.04
Asia,IDN,Indonesia,2020,3,3,2020-03-12,34.0,0.0,1.0,0.0,0.124,0.0,0.004,0.0,,37.04
Asia,IDN,Indonesia,2020,3,4,2020-03-13,69.0,35.0,4.0,3.0,0.252,0.128,0.015,0.011,,37.04
Asia,IDN,Indonesia,2020,3,5,2020-03-14,96.0,27.0,5.0,1.0,0.351,0.099,0.018,0.004,,37.04
Asia,IDN,Indonesia,2020,3,6,2020-03-15,117.0,21.0,5.0,0.0,0.428,0.077,0.018,0.0,,40.74
Asia,IDN,Indonesia,2020,3,0,2020-03-16,134.0,17.0,5.0,0.0,0.49,0.062,0.018,0.0,1.97,45.37
Asia,IDN,Indonesia,2020,3,1,2020-03-17,172.0,38.0,5.0,0.0,0.629,0.139,0.018,0.0,2.01,42.59
Asia,IDN,Indonesia,2020,3,2,2020-03-18,227.0,55.0,19.0,14.0,0.83,0.201,0.069,0.051,2.05,42.59
Asia,IDN,Indonesia,2020,3,3,2020-03-19,311.0,84.0,25.0,6.0,1.137,0.307,0.091,0.022,2.05,45.37
Asia,IDN,Indonesia,2020,3,4,2020-03-20,369.0,58.0,32.0,7.0,1.349,0.212,0.117,0.026,1.99,45.37
Asia,IDN,Indonesia,2020,3,5,2020-03-21,450.0,81.0,38.0,6.0,1.645,0.296,0.139,0.022,1.94,45.37
Asia,IDN,Indonesia,2020,3,6,2020-03-22,514.0,64.0,48.0,10.0,1.879,0.234,0.175,0.037,1.88,45.37
Asia,IDN,Indonesia,2020,3,0,2020-03-23,579.0,65.0,49.0,1.0,2.117,0.238,0.179,0.004,1.84,48.15
Asia,IDN,Indonesia,2020,3,1,2020-03-24,686.0,107.0,55.0,6.0,2.508,0.391,0.201,0.022,1.82,48.15
Asia,IDN,Indonesia,2020,3,2,2020-03-25,790.0,104.0,58.0,3.0,2.888,0.38,0.212,0.011,1.78,48.15
Asia,IDN,Indonesia,2020,3,3,2020-03-26,893.0,103.0,78.0,20.0,3.265,0.377,0.285,0.073,1.74,48.15
Asia,IDN,Indonesia,2020,3,4,2020-03-27,1046.0,153.0,87.0,9.0,3.824,0.559,0.318,0.033,1.7,48.15
Asia,IDN,Indonesia,2020,3,5,2020-03-28,1155.0,109.0,102.0,15.0,4.223,0.399,0.373,0.055,1.65,48.15
