continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,IRN,Iran,2020,2,2,2020-02-19,2.0,2.0,2.0,2.0,0.024,0.024,0.024,0.024,,0.0
Asia,IRN,Iran,2020,2,3,2020-02-20,5.0,3.0,2.0,0.0,0.06,0.036,0.024,0.0,,2.78
Asia,IRN,Iran,2020,2,4,2020-02-21,18.0,13.0,4.0,2.0,0.214,0.155,0.048,0.024,,2.78
Asia,IRN,Iran,2020,2,5,2020-02-22,28.0,10.0,5.0,1.0,0.333,0.119,0.06,0.012,,11.11
Asia,IRN,Iran,2020,2,6,2020-02-23,43.0,15.0,8.0,3.0,0.512,0.179,0.095,0.036,,11.11
Asia,IRN,Iran,2020,2,0,2020-02-24,61.0,18.0,12.0,4.0,0.726,0.214,0.143,0.048,,11.11
Asia,IRN,Iran,2020,2,1,2020-02-25,95.0,34.0,16.0,4.0,1.131,0.405,0.19,0.048,,11.11
Asia,IRN,Iran,2020,2,2,2020-02-26,139.0,44.0,19.0,3.0,1.655,0.524,0.226,0.036,,20.37
Asia,IRN,Iran,2020,2,3,2020-02-27,245.0,106.0,26.0,7.0,2.917,1.262,0.31,0.083,5.1,20.37
Asia,IRN,Iran,2020,2,4,2020-02-28,388.0,143.0,34.0,8.0,4.619,1.703,0.405,0.095,4.64,20.37
Asia,IRN,Iran,2020,2,5,2020-02-29,593.0,205.0,43.0,9.0,7.06,2.441,0.512,0.107,4.55,20.37
Asia,IRN,Iran,2020,3,6,2020-03-01,978.0,385.0,54.0,11.0,11.644,4.584,0.643,0.131,5.01,20.37
Asia,IRN,Iran,2020,3,0,2020-03-02,1501.0,523.0,66.0,12.0,17.871,6.227,0.786,0.143,4.57,20.37
Asia,IRN,Iran,2020,3,1,2020-03-03,2336.0,835.0,77.0,11.0,27.812,9.941,0.917,0.131,4.23,20.37
Asia,IRN,Iran,2020,3,2,2020-03-04,2922.0,586.0,92.0,15.0,34.789,6.977,1.095,0.179,2.75,20.37
Asia,IRN,Iran,2020,3,3,2020-03-05,3513.0,591.0,107.0,15.0,41.825,7.036,1.274,0.179,2.36,42.59
Asia,IRN,Iran,2020,3,4,2020-03-06,4747.0,1234.0,124.0,17.0,56.517,14.692,1.476,0.202,2.89,42.59
Asia,IRN,Iran,2020,3,5,2020-03-07,5823.0,1076.0,145.0,21.0,69.327,12.811,1.726,0.25,2.23,42.59
Asia,IRN,Iran,2020,3,6,2020-03-08,6566.0,743.0,194.0,49.0,78.173,8.846,2.31,0.583,1.53,42.59
Asia,IRN,Iran,2020,3,0,2020-03-09,7161.0,595.0,237.0,43.0,85.257,7.084,2.822,0.512,1.25,42.59
Asia,IRN,Iran,2020,3,1,2020-03-10,8042.0,881.0,291.0,54.0,95.746,10.489,3.465,0.643,1.44,42.59
Asia,IRN,Iran,2020,3,2,2020-03-11,9000.0,958.0,354.0,63.0,107.152,11.406,4.215,0.75,1.51,48.15
Asia,IRN,Iran,2020,3,3,2020-03-12,10075.0,1075.0,429.0,75.0,119.951,12.799,5.108,0.893,1.59,48.15
Asia,IRN,Iran,2020,3,4,2020-03-13,11364.0,1289.0,514.0,85.0,135.297,15.347,6.12,1.012,1.67,48.15
Asia,IRN,Iran,2020,3,5,2020-03-14,12729.0,1365.0,611.0,97.0,151.548,16.251,7.274,1.155,1.6,48.15
Asia,IRN,Iran,2020,3,6,2020-03-15,13938.0,1209.0,724.0,113.0,165.942,14.394,8.62,1.345,1.38,48.15
Asia,IRN,Iran,2020,3,0,2020-03-16,14991.0,1053.0,853.0,129.0,178.479,12.537,10.156,1.536,1.21,48.15
Asia,IRN,Iran,2020,3,1,2020-03-17,16169.0,1178.0,988.0,135.0,192.504,14.025,11.763,1.607,1.22,48.15
Asia,IRN,Iran,2020,3,2,2020-03-18,17361.0,1192.0,1135.0,147.0,206.696,14.192,13.513,1.75,1.18,48.15
Asia,IRN,Iran,2020,3,3,2020-03-19,18407.0,1046.0,1284.0,149.0,219.149,12.453,15.287,1.774,1.09,51.85
Asia,IRN,Iran,2020,3,4,2020-03-20,19644.0,1237.0,1433.0,149.0,233.877,14.727,17.061,1.774,1.13,51.85
Asia,IRN,Iran,2020,3,5,2020-03-21,20610.0,966.0,1556.0,123.0,245.378,11.501,18.525,1.464,1.02,51.85
Asia,IRN,Iran,2020,3,6,2020-03-22,21638.0,1028.0,1685.0,129.0,257.617,12.239,20.061,1.536,1.09,57.41
Asia,IRN,Iran,2020,3,0,2020-03-23,23049.0,1411.0,1812.0,127.0,274.416,16.799,21.573,1.512,1.35,57.41
Asia,IRN,Iran,2020,3,1,2020-03-24,24811.0,1762.0,1934.0,122.0,295.394,20.978,23.026,1.453,1.59,57.41
Asia,IRN,Iran,2020,3,2,2020-03-25,27017.0,2206.0,2077.0,143.0,321.658,26.264,24.728,1.703,1.78,57.41
Asia,IRN,Iran,2020,3,3,2020-03-26,29406.0,2389.0,2234.0,157.0,350.101,28.443,26.597,1.869,1.81,57.41
Asia,IRN,Iran,2020,3,4,2020-03-27,32332.0,2926.0,2378.0,144.0,384.937,34.836,28.312,1.714,1.88,57.41
Asia,IRN,Iran,2020,3,5,2020-03-28,35408.0,3076.0,2517.0,139.0,421.559,36.622,29.967,1.655,1.78,57.41
Asia,IRN,Iran,2020,3,6,2020-03-29,38309.0,2901.0,2640.0,123.0,456.098,34.539,31.431,1.464,1.6,57.41
Asia,IRN,Iran,2020,3,0,2020-03-30,41495.0,3186.0,2757.0,117.0,494.03,37.932,32.824,1.393,1.54,57.41
Asia,IRN,Iran,2020,3,1,2020-03-31,44605.0,3110.0,2898.0,141.0,531.056,37.027,34.503,1.679,1.42,57.41
Asia,IRN,Iran,2020,4,2,2020-04-01,47593.0,2988.0,3036.0,138.0,566.631,35.574,36.146,1.643,1.29,57.41
Asia,IRN,Iran,2020,4,3,2020-04-02,50468.0,2875.0,3160.0,124.0,600.86,34.229,37.622,1.476,1.19,57.41
Asia,IRN,Iran,2020,4,4,2020-04-03,53183.0,2715.0,3294.0,134.0,633.184,32.324,39.218,1.595,1.1,57.41
Asia,IRN,Iran,2020,4,5,2020-04-04,55743.0,2560.0,3452.0,158.0,663.663,30.479,41.099,1.881,1.03,57.41
Asia,IRN,Iran,2020,4,6,2020-04-05,58226.0,2483.0,3603.0,151.0,693.225,29.562,42.896,1.798,0.98,59.26
Asia,IRN,Iran,2020,4,0,2020-04-06,60500.0,2274.0,3739.0,136.0,720.299,27.074,44.516,1.619,0.91,59.26
Asia,IRN,Iran,2020,4,1,2020-04-07,62589.0,2089.0,3872.0,133.0,745.17,24.871,46.099,1.583,0.85,59.26
Asia,IRN,Iran,2020,4,2,2020-04-08,64586.0,1997.0,3993.0,121.0,768.945,23.776,47.54,1.441,0.81,59.26
Asia,IRN,Iran,2020,4,3,2020-04-09,66220.0,1634.0,4110.0,117.0,788.399,19.454,48.933,1.393,0.76,59.26
Asia,IRN,Iran,2020,4,4,2020-04-10,68192.0,1972.0,4232.0,122.0,811.878,23.478,50.385,1.453,0.83,59.26
Asia,IRN,Iran,2020,4,5,2020-04-11,70029.0,1837.0,4357.0,125.0,833.749,21.871,51.873,1.488,0.82,50.93
Asia,IRN,Iran,2020,4,6,2020-04-12,71686.0,1657.0,4474.0,117.0,853.476,19.728,53.266,1.393,0.78,50.93
Asia,IRN,Iran,2020,4,0,2020-04-13,73303.0,1617.0,4585.0,111.0,872.728,19.252,54.588,1.322,0.78,50.93
Asia,IRN,Iran,2020,4,1,2020-04-14,74877.0,1574.0,4683.0,98.0,891.468,18.74,55.755,1.167,0.78,50.93
Asia,IRN,Iran,2020,4,2,2020-04-15,76389.0,1512.0,4777.0,94.0,909.469,18.002,56.874,1.119,0.79,50.93
Asia,IRN,Iran,2020,4,3,2020-04-16,77995.0,1606.0,4869.0,92.0,928.59,19.121,57.969,1.095,0.82,50.93
Asia,IRN,Iran,2020,4,4,2020-04-17,79494.0,1499.0,4958.0,89.0,946.437,17.847,59.029,1.06,0.8,50.93
Asia,IRN,Iran,2020,4,5,2020-04-18,80868.0,1374.0,5031.0,73.0,962.795,16.359,59.898,0.869,0.77,50.93
Asia,IRN,Iran,2020,4,6,2020-04-19,82211.0,1343.0,5118.0,87.0,978.784,15.989,60.934,1.036,0.77,53.7
