continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,IRQ,Iraq,2020,2,0,2020-02-24,1.0,1.0,,,0.025,0.025,,,,19.44
Asia,IRQ,Iraq,2020,2,1,2020-02-25,1.0,0.0,,,0.025,0.0,,,,50.93
Asia,IRQ,Iraq,2020,2,2,2020-02-26,5.0,4.0,,,0.124,0.099,,,,50.93
Asia,IRQ,Iraq,2020,2,3,2020-02-27,7.0,2.0,,,0.174,0.05,,,,52.78
Asia,IRQ,Iraq,2020,2,4,2020-02-28,7.0,0.0,,,0.174,0.0,,,,52.78
Asia,IRQ,Iraq,2020,2,5,2020-02-29,13.0,6.0,,,0.323,0.149,,,,52.78
Asia,IRQ,Iraq,2020,3,6,2020-03-01,19.0,6.0,,,0.472,0.149,,,,52.78
Asia,IRQ,Iraq,2020,3,0,2020-03-02,26.0,7.0,,,0.646,0.174,,,,52.78
Asia,IRQ,Iraq,2020,3,1,2020-03-03,32.0,6.0,,,0.796,0.149,,,,52.78
Asia,IRQ,Iraq,2020,3,2,2020-03-04,35.0,3.0,2.0,2.0,0.87,0.075,0.05,0.05,,52.78
Asia,IRQ,Iraq,2020,3,3,2020-03-05,35.0,0.0,2.0,0.0,0.87,0.0,0.05,0.0,,52.78
Asia,IRQ,Iraq,2020,3,4,2020-03-06,40.0,5.0,3.0,1.0,0.994,0.124,0.075,0.025,,52.78
Asia,IRQ,Iraq,2020,3,5,2020-03-07,54.0,14.0,4.0,1.0,1.343,0.348,0.099,0.025,,52.78
Asia,IRQ,Iraq,2020,3,6,2020-03-08,60.0,6.0,6.0,2.0,1.492,0.149,0.149,0.05,,52.78
Asia,IRQ,Iraq,2020,3,0,2020-03-09,60.0,0.0,6.0,0.0,1.492,0.0,0.149,0.0,,52.78
Asia,IRQ,Iraq,2020,3,1,2020-03-10,71.0,11.0,7.0,1.0,1.765,0.273,0.174,0.025,,52.78
Asia,IRQ,Iraq,2020,3,2,2020-03-11,71.0,0.0,7.0,0.0,1.765,0.0,0.174,0.0,,61.11
Asia,IRQ,Iraq,2020,3,3,2020-03-12,71.0,0.0,8.0,1.0,1.765,0.0,0.199,0.025,,61.11
Asia,IRQ,Iraq,2020,3,4,2020-03-13,101.0,30.0,9.0,1.0,2.511,0.746,0.224,0.025,,75.0
Asia,IRQ,Iraq,2020,3,5,2020-03-14,110.0,9.0,10.0,1.0,2.735,0.224,0.249,0.025,1.01,75.0
Asia,IRQ,Iraq,2020,3,6,2020-03-15,116.0,6.0,10.0,0.0,2.884,0.149,0.249,0.0,1.05,75.0
Asia,IRQ,Iraq,2020,3,0,2020-03-16,124.0,8.0,10.0,0.0,3.083,0.199,0.249,0.0,1.13,77.78
Asia,IRQ,Iraq,2020,3,1,2020-03-17,154.0,30.0,11.0,1.0,3.829,0.746,0.273,0.025,1.25,89.81
Asia,IRQ,Iraq,2020,3,2,2020-03-18,164.0,10.0,12.0,1.0,4.077,0.249,0.298,0.025,1.27,89.81
Asia,IRQ,Iraq,2020,3,3,2020-03-19,192.0,28.0,13.0,1.0,4.773,0.696,0.323,0.025,1.33,89.81
Asia,IRQ,Iraq,2020,3,4,2020-03-20,208.0,16.0,17.0,4.0,5.171,0.398,0.423,0.099,1.33,89.81
Asia,IRQ,Iraq,2020,3,5,2020-03-21,214.0,6.0,17.0,0.0,5.32,0.149,0.423,0.0,1.36,89.81
Asia,IRQ,Iraq,2020,3,6,2020-03-22,233.0,19.0,20.0,3.0,5.793,0.472,0.497,0.075,1.48,94.44
Asia,IRQ,Iraq,2020,3,0,2020-03-23,266.0,33.0,23.0,3.0,6.613,0.82,0.572,0.075,1.61,94.44
Asia,IRQ,Iraq,2020,3,1,2020-03-24,316.0,50.0,27.0,4.0,7.856,1.243,0.671,0.099,1.69,94.44
Asia,IRQ,Iraq,2020,3,2,2020-03-25,346.0,30.0,29.0,2.0,8.602,0.746,0.721,0.05,1.68,94.44
Asia,IRQ,Iraq,2020,3,3,2020-03-26,382.0,36.0,36.0,7.0,9.497,0.895,0.895,0.174,1.7,96.3
Asia,IRQ,Iraq,2020,3,4,2020-03-27,458.0,76.0,40.0,4.0,11.387,1.889,0.994,0.099,1.73,96.3
Asia,IRQ,Iraq,2020,3,5,2020-03-28,506.0,48.0,42.0,2.0,12.58,1.193,1.044,0.05,1.65,96.3
Asia,IRQ,Iraq,2020,3,6,2020-03-29,547.0,41.0,42.0,0.0,13.599,1.019,1.044,0.0,1.58,96.3
Asia,IRQ,Iraq,2020,3,0,2020-03-30,630.0,83.0,46.0,4.0,15.663,2.064,1.144,0.099,1.56,96.3
Asia,IRQ,Iraq,2020,3,1,2020-03-31,694.0,64.0,50.0,4.0,17.254,1.591,1.243,0.099,1.46,96.3
Asia,IRQ,Iraq,2020,4,2,2020-04-01,728.0,34.0,52.0,2.0,18.099,0.845,1.293,0.05,1.36,96.3
Asia,IRQ,Iraq,2020,4,3,2020-04-02,772.0,44.0,54.0,2.0,19.193,1.094,1.343,0.05,1.32,96.3
Asia,IRQ,Iraq,2020,4,4,2020-04-03,820.0,48.0,54.0,0.0,20.387,1.193,1.343,0.0,1.3,96.3
Asia,IRQ,Iraq,2020,4,5,2020-04-04,878.0,58.0,56.0,2.0,21.829,1.442,1.392,0.05,1.3,96.3
Asia,IRQ,Iraq,2020,4,6,2020-04-05,961.0,83.0,61.0,5.0,23.892,2.064,1.517,0.124,1.3,96.3
Asia,IRQ,Iraq,2020,4,0,2020-04-06,1031.0,70.0,64.0,3.0,25.632,1.74,1.591,0.075,1.25,96.3
Asia,IRQ,Iraq,2020,4,1,2020-04-07,1122.0,91.0,65.0,1.0,27.895,2.262,1.616,0.025,1.2,96.3
Asia,IRQ,Iraq,2020,4,2,2020-04-08,1202.0,80.0,69.0,4.0,29.884,1.989,1.715,0.099,1.1,96.3
Asia,IRQ,Iraq,2020,4,3,2020-04-09,1232.0,30.0,69.0,0.0,30.63,0.746,1.715,0.0,0.99,96.3
Asia,IRQ,Iraq,2020,4,4,2020-04-10,1279.0,47.0,70.0,1.0,31.798,1.169,1.74,0.025,0.91,96.3
Asia,IRQ,Iraq,2020,4,5,2020-04-11,1318.0,39.0,72.0,2.0,32.768,0.97,1.79,0.05,0.85,96.3
Asia,IRQ,Iraq,2020,4,6,2020-04-12,1352.0,34.0,76.0,4.0,33.613,0.845,1.889,0.099,0.8,96.3
Asia,IRQ,Iraq,2020,4,0,2020-04-13,1378.0,26.0,78.0,2.0,34.259,0.646,1.939,0.05,0.76,96.3
Asia,IRQ,Iraq,2020,4,1,2020-04-14,1400.0,22.0,78.0,0.0,34.806,0.547,1.939,0.0,0.74,96.3
Asia,IRQ,Iraq,2020,4,2,2020-04-15,1415.0,15.0,79.0,1.0,35.179,0.373,1.964,0.025,0.74,96.3
Asia,IRQ,Iraq,2020,4,3,2020-04-16,1434.0,19.0,80.0,1.0,35.652,0.472,1.989,0.025,0.78,96.3
Asia,IRQ,Iraq,2020,4,4,2020-04-17,1482.0,48.0,81.0,1.0,36.845,1.193,2.014,0.025,0.85,96.3
Asia,IRQ,Iraq,2020,4,5,2020-04-18,1513.0,31.0,82.0,1.0,37.616,0.771,2.039,0.025,0.87,96.3
Asia,IRQ,Iraq,2020,4,6,2020-04-19,1539.0,26.0,82.0,0.0,38.262,0.646,2.039,0.0,0.89,96.3
Asia,IRQ,Iraq,2020,4,0,2020-04-20,1574.0,35.0,82.0,0.0,39.132,0.87,2.039,0.0,0.94,96.3
Asia,IRQ,Iraq,2020,4,1,2020-04-21,1602.0,28.0,83.0,1.0,39.828,0.696,2.064,0.025,0.98,85.19
Asia,IRQ,Iraq,2020,4,2,2020-04-22,1631.0,29.0,83.0,0.0,40.549,0.721,2.064,0.0,1.03,85.19
Asia,IRQ,Iraq,2020,4,3,2020-04-23,1677.0,46.0,83.0,0.0,41.693,1.144,2.064,0.0,1.1,85.19
Asia,IRQ,Iraq,2020,4,4,2020-04-24,1708.0,31.0,86.0,3.0,42.464,0.771,2.138,0.075,1.15,85.19
Asia,IRQ,Iraq,2020,4,5,2020-04-25,1763.0,55.0,86.0,0.0,43.831,1.367,2.138,0.0,1.22,85.19
Asia,IRQ,Iraq,2020,4,6,2020-04-26,1820.0,57.0,87.0,1.0,45.248,1.417,2.163,0.025,1.26,85.19
Asia,IRQ,Iraq,2020,4,0,2020-04-27,1847.0,27.0,88.0,1.0,45.92,0.671,2.188,0.025,1.28,85.19
Asia,IRQ,Iraq,2020,4,1,2020-04-28,1928.0,81.0,90.0,2.0,47.933,2.014,2.238,0.05,1.36,85.19
Asia,IRQ,Iraq,2020,4,2,2020-04-29,2003.0,75.0,92.0,2.0,49.798,1.865,2.287,0.05,1.37,85.19
Asia,IRQ,Iraq,2020,4,3,2020-04-30,2085.0,82.0,93.0,1.0,51.837,2.039,2.312,0.025,1.35,85.19
Asia,IRQ,Iraq,2020,5,4,2020-05-01,2153.0,68.0,94.0,1.0,53.527,1.691,2.337,0.025,1.31,85.19
Asia,IRQ,Iraq,2020,5,5,2020-05-02,2219.0,66.0,95.0,1.0,55.168,1.641,2.362,0.025,1.27,85.19
Asia,IRQ,Iraq,2020,5,6,2020-05-03,2296.0,77.0,97.0,2.0,57.082,1.914,2.412,0.05,1.24,85.19
Asia,IRQ,Iraq,2020,5,0,2020-05-04,2346.0,50.0,98.0,1.0,58.326,1.243,2.436,0.025,1.2,85.19
Asia,IRQ,Iraq,2020,5,1,2020-05-05,2431.0,85.0,102.0,4.0,60.439,2.113,2.536,0.099,1.19,85.19
Asia,IRQ,Iraq,2020,5,2,2020-05-06,2480.0,49.0,102.0,0.0,61.657,1.218,2.536,0.0,1.16,85.19
Asia,IRQ,Iraq,2020,5,3,2020-05-07,2543.0,63.0,102.0,0.0,63.223,1.566,2.536,0.0,1.16,85.19
Asia,IRQ,Iraq,2020,5,4,2020-05-08,2603.0,60.0,104.0,2.0,64.715,1.492,2.586,0.05,1.17,85.19
Asia,IRQ,Iraq,2020,5,5,2020-05-09,2679.0,76.0,107.0,3.0,66.605,1.889,2.66,0.075,1.2,85.19
Asia,IRQ,Iraq,2020,5,6,2020-05-10,2767.0,88.0,109.0,2.0,68.792,2.188,2.71,0.05,1.22,85.19
Asia,IRQ,Iraq,2020,5,0,2020-05-11,2818.0,51.0,110.0,1.0,70.06,1.268,2.735,0.025,1.23,82.41
Asia,IRQ,Iraq,2020,5,1,2020-05-12,2913.0,95.0,112.0,2.0,72.422,2.362,2.785,0.05,1.27,82.41
Asia,IRQ,Iraq,2020,5,2,2020-05-13,3032.0,119.0,115.0,3.0,75.381,2.959,2.859,0.075,1.3,82.41
Asia,IRQ,Iraq,2020,5,3,2020-05-14,3143.0,111.0,115.0,0.0,78.14,2.76,2.859,0.0,1.29,82.41
Asia,IRQ,Iraq,2020,5,4,2020-05-15,3193.0,50.0,117.0,2.0,79.383,1.243,2.909,0.05,1.27,82.41
Asia,IRQ,Iraq,2020,5,5,2020-05-16,3260.0,67.0,121.0,4.0,81.049,1.666,3.008,0.099,1.3,82.41
Asia,IRQ,Iraq,2020,5,6,2020-05-17,3404.0,144.0,123.0,2.0,84.629,3.58,3.058,0.05,1.37,82.41
Asia,IRQ,Iraq,2020,5,0,2020-05-18,3554.0,150.0,127.0,4.0,88.358,3.729,3.157,0.099,1.39,82.41
Asia,IRQ,Iraq,2020,5,1,2020-05-19,3611.0,57.0,131.0,4.0,89.776,1.417,3.257,0.099,1.37,82.41
Asia,IRQ,Iraq,2020,5,2,2020-05-20,3724.0,113.0,134.0,3.0,92.585,2.809,3.331,0.075,1.42,82.41
Asia,IRQ,Iraq,2020,5,3,2020-05-21,3877.0,153.0,140.0,6.0,96.389,3.804,3.481,0.149,1.49,82.41
Asia,IRQ,Iraq,2020,5,4,2020-05-22,3964.0,87.0,147.0,7.0,98.552,2.163,3.655,0.174,1.54,82.41
Asia,IRQ,Iraq,2020,5,5,2020-05-23,4272.0,308.0,152.0,5.0,106.209,7.657,3.779,0.124,1.65,82.41
Asia,IRQ,Iraq,2020,5,6,2020-05-24,4469.0,197.0,160.0,8.0,111.107,4.898,3.978,0.199,1.63,82.41
Asia,IRQ,Iraq,2020,5,0,2020-05-25,4632.0,163.0,163.0,3.0,115.159,4.052,4.052,0.075,1.62,82.41
Asia,IRQ,Iraq,2020,5,1,2020-05-26,4848.0,216.0,169.0,6.0,120.53,5.37,4.202,0.149,1.65,92.59
Asia,IRQ,Iraq,2020,5,2,2020-05-27,5135.0,287.0,175.0,6.0,127.665,7.135,4.351,0.149,1.7,92.59
Asia,IRQ,Iraq,2020,5,3,2020-05-28,5457.0,322.0,179.0,4.0,135.67,8.005,4.45,0.099,1.72,92.59
Asia,IRQ,Iraq,2020,5,4,2020-05-29,5873.0,416.0,185.0,6.0,146.013,10.342,4.599,0.149,1.74,92.59
Asia,IRQ,Iraq,2020,5,5,2020-05-30,6179.0,306.0,195.0,10.0,153.62,7.608,4.848,0.249,1.72,92.59
Asia,IRQ,Iraq,2020,5,6,2020-05-31,6439.0,260.0,205.0,10.0,160.085,6.464,5.097,0.249,1.72,92.59
Asia,IRQ,Iraq,2020,6,0,2020-06-01,6868.0,429.0,215.0,10.0,170.75,10.666,5.345,0.249,1.79,92.59
Asia,IRQ,Iraq,2020,6,1,2020-06-02,7387.0,519.0,235.0,20.0,183.653,12.903,5.843,0.497,1.85,92.59
Asia,IRQ,Iraq,2020,6,2,2020-06-03,8168.0,781.0,256.0,21.0,203.07,19.417,6.365,0.522,1.91,92.59
Asia,IRQ,Iraq,2020,6,3,2020-06-04,8840.0,672.0,271.0,15.0,219.777,16.707,6.738,0.373,1.91,92.59
Asia,IRQ,Iraq,2020,6,4,2020-06-05,9846.0,1006.0,285.0,14.0,244.788,25.011,7.086,0.348,1.92,92.59
Asia,IRQ,Iraq,2020,6,5,2020-06-06,11098.0,1252.0,318.0,33.0,275.915,31.127,7.906,0.82,1.89,92.59
Asia,IRQ,Iraq,2020,6,6,2020-06-07,12366.0,1268.0,346.0,28.0,307.44,31.525,8.602,0.696,1.8,92.59
Asia,IRQ,Iraq,2020,6,0,2020-06-08,13481.0,1115.0,370.0,24.0,335.161,27.721,9.199,0.597,1.7,92.59
Asia,IRQ,Iraq,2020,6,1,2020-06-09,14268.0,787.0,392.0,22.0,354.727,19.566,9.746,0.547,1.6,92.59
Asia,IRQ,Iraq,2020,6,2,2020-06-10,15414.0,1146.0,426.0,34.0,383.218,28.492,10.591,0.845,1.54,92.59
Asia,IRQ,Iraq,2020,6,3,2020-06-11,16675.0,1261.0,457.0,31.0,414.569,31.351,11.362,0.771,1.5,92.59
Asia,IRQ,Iraq,2020,6,4,2020-06-12,17770.0,1095.0,496.0,39.0,441.792,27.224,12.331,0.97,1.45,92.59
Asia,IRQ,Iraq,2020,6,5,2020-06-13,18950.0,1180.0,549.0,53.0,471.129,29.337,13.649,1.318,1.41,92.59
Asia,IRQ,Iraq,2020,6,6,2020-06-14,20209.0,1259.0,607.0,58.0,502.43,31.301,15.091,1.442,1.38,92.59
Asia,IRQ,Iraq,2020,6,0,2020-06-15,21315.0,1106.0,652.0,45.0,529.927,27.497,16.21,1.119,1.36,92.59
Asia,IRQ,Iraq,2020,6,1,2020-06-16,22700.0,1385.0,712.0,60.0,564.361,34.433,17.702,1.492,1.37,92.59
Asia,IRQ,Iraq,2020,6,2,2020-06-17,24254.0,1554.0,773.0,61.0,602.996,38.635,19.218,1.517,1.37,92.59
Asia,IRQ,Iraq,2020,6,3,2020-06-18,25717.0,1463.0,856.0,83.0,639.368,36.373,21.282,2.064,1.36,92.59
Asia,IRQ,Iraq,2020,6,4,2020-06-19,27352.0,1635.0,925.0,69.0,680.017,40.649,22.997,1.715,1.36,92.59
Asia,IRQ,Iraq,2020,6,5,2020-06-20,29222.0,1870.0,1013.0,88.0,726.509,46.491,25.185,2.188,1.35,92.59
Asia,IRQ,Iraq,2020,6,6,2020-06-21,30868.0,1646.0,1100.0,87.0,767.431,40.922,27.348,2.163,1.33,92.59
Asia,IRQ,Iraq,2020,6,0,2020-06-22,32676.0,1808.0,1167.0,67.0,812.381,44.95,29.014,1.666,1.32,92.59
Asia,IRQ,Iraq,2020,6,1,2020-06-23,34502.0,1826.0,1251.0,84.0,857.779,45.397,31.102,2.088,1.31,92.59
Asia,IRQ,Iraq,2020,6,2,2020-06-24,36702.0,2200.0,1330.0,79.0,912.474,54.696,33.066,1.964,1.31,92.59
Asia,IRQ,Iraq,2020,6,3,2020-06-25,39139.0,2437.0,1437.0,107.0,973.062,60.588,35.726,2.66,1.29,92.59
Asia,IRQ,Iraq,2020,6,4,2020-06-26,41193.0,2054.0,1559.0,122.0,1024.128,51.066,38.759,3.033,1.25,92.59
Asia,IRQ,Iraq,2020,6,5,2020-06-27,43262.0,2069.0,1660.0,101.0,1075.567,51.439,41.27,2.511,1.22,92.59
Asia,IRQ,Iraq,2020,6,6,2020-06-28,45402.0,2140.0,1756.0,96.0,1128.771,53.204,43.657,2.387,1.19,92.59
Asia,IRQ,Iraq,2020,6,0,2020-06-29,47151.0,1749.0,1839.0,83.0,1172.254,43.483,45.721,2.064,1.17,92.59
Asia,IRQ,Iraq,2020,6,1,2020-06-30,49109.0,1958.0,1943.0,104.0,1220.933,48.679,48.306,2.586,1.16,92.59
Asia,IRQ,Iraq,2020,7,2,2020-07-01,51524.0,2415.0,2050.0,107.0,1280.974,60.041,50.966,2.66,1.16,92.59
Asia,IRQ,Iraq,2020,7,3,2020-07-02,53708.0,2184.0,2160.0,110.0,1335.272,54.298,53.701,2.735,1.15,92.59
Asia,IRQ,Iraq,2020,7,4,2020-07-03,56020.0,2312.0,2262.0,102.0,1392.753,57.48,56.237,2.536,1.14,92.59
Asia,IRQ,Iraq,2020,7,5,2020-07-04,58354.0,2334.0,2368.0,106.0,1450.78,58.027,58.873,2.635,1.13,92.59
Asia,IRQ,Iraq,2020,7,6,2020-07-05,60479.0,2125.0,2473.0,105.0,1503.611,52.831,61.483,2.61,1.11,92.59
Asia,IRQ,Iraq,2020,7,0,2020-07-06,62275.0,1796.0,2567.0,94.0,1548.263,44.652,63.82,2.337,1.1,92.59
Asia,IRQ,Iraq,2020,7,1,2020-07-07,64701.0,2426.0,2685.0,118.0,1608.577,60.314,66.754,2.934,1.11,92.59
Asia,IRQ,Iraq,2020,7,2,2020-07-08,67442.0,2741.0,2779.0,94.0,1676.723,68.146,69.091,2.337,1.12,92.59
Asia,IRQ,Iraq,2020,7,3,2020-07-09,69612.0,2170.0,2882.0,103.0,1730.673,53.95,71.651,2.561,1.11,92.59
Asia,IRQ,Iraq,2020,7,4,2020-07-10,72460.0,2848.0,2960.0,78.0,1801.479,70.806,73.591,1.939,1.1,92.59
Asia,IRQ,Iraq,2020,7,5,2020-07-11,75194.0,2734.0,3055.0,95.0,1869.451,67.972,75.953,2.362,1.08,92.59
Asia,IRQ,Iraq,2020,7,6,2020-07-12,77506.0,2312.0,3150.0,95.0,1926.931,57.48,78.314,2.362,1.05,92.59
Asia,IRQ,Iraq,2020,7,0,2020-07-13,79735.0,2229.0,3250.0,100.0,1982.348,55.417,80.801,2.486,1.03,92.59
Asia,IRQ,Iraq,2020,7,1,2020-07-14,81757.0,2022.0,3345.0,95.0,2032.618,50.27,83.162,2.362,1.01,92.59
Asia,IRQ,Iraq,2020,7,2,2020-07-15,83867.0,2110.0,3432.0,87.0,2085.077,52.458,85.325,2.163,1.0,92.59
Asia,IRQ,Iraq,2020,7,3,2020-07-16,86148.0,2281.0,3522.0,90.0,2141.786,56.71,87.563,2.238,1.0,92.59
Asia,IRQ,Iraq,2020,7,4,2020-07-17,88171.0,2023.0,3616.0,94.0,2192.081,50.295,89.9,2.337,1.0,92.59
Asia,IRQ,Iraq,2020,7,5,2020-07-18,90220.0,2049.0,3691.0,75.0,2243.023,50.942,91.765,1.865,1.01,92.59
Asia,IRQ,Iraq,2020,7,6,2020-07-19,92530.0,2310.0,3781.0,90.0,2300.454,57.431,94.002,2.238,1.03,92.59
Asia,IRQ,Iraq,2020,7,0,2020-07-20,94693.0,2163.0,3869.0,88.0,2354.229,53.776,96.19,2.188,1.04,92.59
Asia,IRQ,Iraq,2020,7,1,2020-07-21,97159.0,2466.0,3950.0,81.0,2415.538,61.309,98.204,2.014,1.06,92.59
Asia,IRQ,Iraq,2020,7,2,2020-07-22,99865.0,2706.0,4042.0,92.0,2482.814,67.276,100.491,2.287,1.07,92.59
Asia,IRQ,Iraq,2020,7,3,2020-07-23,102226.0,2361.0,4122.0,80.0,2541.513,58.698,102.48,1.989,1.08,92.59
Asia,IRQ,Iraq,2020,7,4,2020-07-24,104711.0,2485.0,4212.0,90.0,2603.294,61.781,104.718,2.238,1.08,92.59
Asia,IRQ,Iraq,2020,7,5,2020-07-25,107573.0,2862.0,4284.0,72.0,2674.448,71.154,106.508,1.79,1.09,92.59
Asia,IRQ,Iraq,2020,7,6,2020-07-26,110032.0,2459.0,4362.0,78.0,2735.583,61.135,108.447,1.939,1.09,92.59
Asia,IRQ,Iraq,2020,7,0,2020-07-27,112585.0,2553.0,4458.0,96.0,2799.055,63.472,110.833,2.387,1.09,92.59
Asia,IRQ,Iraq,2020,7,1,2020-07-28,115332.0,2747.0,4535.0,77.0,2867.35,68.295,112.748,1.914,1.1,92.59
Asia,IRQ,Iraq,2020,7,2,2020-07-29,118300.0,2968.0,4603.0,68.0,2941.14,73.79,114.438,1.691,1.1,92.59
Asia,IRQ,Iraq,2020,7,3,2020-07-30,121263.0,2963.0,4671.0,68.0,3014.805,73.665,116.129,1.691,1.1,92.59
Asia,IRQ,Iraq,2020,7,4,2020-07-31,124609.0,3346.0,4741.0,70.0,3097.992,83.187,117.869,1.74,1.09,92.59
Asia,IRQ,Iraq,2020,8,5,2020-08-01,126704.0,2095.0,4805.0,64.0,3150.077,52.085,119.46,1.591,1.06,92.59
Asia,IRQ,Iraq,2020,8,6,2020-08-02,129151.0,2447.0,4868.0,63.0,3210.914,60.837,121.027,1.566,1.06,92.59
Asia,IRQ,Iraq,2020,8,0,2020-08-03,131886.0,2735.0,4934.0,66.0,3278.911,67.997,122.668,1.641,1.07,92.59
Asia,IRQ,Iraq,2020,8,1,2020-08-04,134722.0,2836.0,5017.0,83.0,3349.419,70.508,124.731,2.064,1.09,92.59
Asia,IRQ,Iraq,2020,8,2,2020-08-05,137556.0,2834.0,5094.0,77.0,3419.877,70.458,126.646,1.914,1.1,92.59
Asia,IRQ,Iraq,2020,8,3,2020-08-06,140603.0,3047.0,5161.0,67.0,3495.63,75.754,128.311,1.666,1.12,92.59
Asia,IRQ,Iraq,2020,8,4,2020-08-07,144064.0,3461.0,5236.0,75.0,3581.677,86.046,130.176,1.865,1.13,92.59
Asia,IRQ,Iraq,2020,8,5,2020-08-08,147389.0,3325.0,5310.0,74.0,3664.342,82.665,132.016,1.84,1.13,92.59
Asia,IRQ,Iraq,2020,8,6,2020-08-09,150115.0,2726.0,5392.0,82.0,3732.115,67.773,134.054,2.039,1.13,92.59
Asia,IRQ,Iraq,2020,8,0,2020-08-10,153599.0,3484.0,5464.0,72.0,3818.733,86.618,135.844,1.79,1.14,92.59
