continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,ISL,Iceland,2020,2,6,2020-02-09,,,,,,,,,,16.67
Europe,ISL,Iceland,2020,2,3,2020-02-27,,,,,,,,,,16.67
Europe,ISL,Iceland,2020,2,4,2020-02-28,1.0,1.0,,,2.93,2.93,,,,16.67
Europe,ISL,Iceland,2020,2,5,2020-02-29,1.0,0.0,,,2.93,0.0,,,,16.67
Europe,ISL,Iceland,2020,3,6,2020-03-01,3.0,2.0,,,8.791,5.861,,,,16.67
Europe,ISL,Iceland,2020,3,0,2020-03-02,6.0,3.0,,,17.582,8.791,,,,16.67
Europe,ISL,Iceland,2020,3,1,2020-03-03,11.0,5.0,,,32.234,14.652,,,,16.67
Europe,ISL,Iceland,2020,3,2,2020-03-04,26.0,15.0,,,76.19,43.956,,,,16.67
Europe,ISL,Iceland,2020,3,3,2020-03-05,34.0,8.0,,,99.634,23.443,,,,16.67
Europe,ISL,Iceland,2020,3,4,2020-03-06,43.0,9.0,,,126.007,26.374,,,,16.67
Europe,ISL,Iceland,2020,3,5,2020-03-07,50.0,7.0,,,146.52,20.513,,,,16.67
Europe,ISL,Iceland,2020,3,6,2020-03-08,50.0,0.0,,,146.52,0.0,,,,16.67
Europe,ISL,Iceland,2020,3,0,2020-03-09,58.0,8.0,,,169.963,23.443,,,,16.67
Europe,ISL,Iceland,2020,3,1,2020-03-10,69.0,11.0,,,202.198,32.234,,,,16.67
Europe,ISL,Iceland,2020,3,2,2020-03-11,85.0,16.0,,,249.084,46.886,,,,16.67
Europe,ISL,Iceland,2020,3,3,2020-03-12,103.0,18.0,,,301.832,52.747,,,,16.67
Europe,ISL,Iceland,2020,3,4,2020-03-13,134.0,31.0,,,392.674,90.842,,,1.56,16.67
Europe,ISL,Iceland,2020,3,5,2020-03-14,156.0,22.0,,,457.143,64.469,,,1.55,16.67
Europe,ISL,Iceland,2020,3,6,2020-03-15,171.0,15.0,,,501.099,43.956,,,1.55,25.0
Europe,ISL,Iceland,2020,3,0,2020-03-16,180.0,9.0,,,527.473,26.374,,,1.55,50.93
Europe,ISL,Iceland,2020,3,1,2020-03-17,220.0,40.0,,,644.689,117.216,,,1.58,50.93
Europe,ISL,Iceland,2020,3,2,2020-03-18,250.0,30.0,,,732.601,87.912,,,1.59,50.93
Europe,ISL,Iceland,2020,3,3,2020-03-19,330.0,80.0,,,967.033,234.432,,,1.61,50.93
Europe,ISL,Iceland,2020,3,4,2020-03-20,409.0,79.0,,,1198.535,231.502,,,1.58,53.7
Europe,ISL,Iceland,2020,3,5,2020-03-21,473.0,64.0,1.0,1.0,1386.081,187.546,2.93,2.93,1.54,53.7
