continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,ISR,Israel,2020,2,3,2020-02-20,,,,,,,,,,19.44
Asia,ISR,Israel,2020,2,4,2020-02-21,1.0,1.0,,,0.116,0.116,,,,19.44
Asia,ISR,Israel,2020,2,5,2020-02-22,1.0,0.0,,,0.116,0.0,,,,19.44
Asia,ISR,Israel,2020,2,6,2020-02-23,1.0,0.0,,,0.116,0.0,,,,19.44
Asia,ISR,Israel,2020,2,0,2020-02-24,1.0,0.0,,,0.116,0.0,,,,19.44
Asia,ISR,Israel,2020,2,1,2020-02-25,1.0,0.0,,,0.116,0.0,,,,19.44
Asia,ISR,Israel,2020,2,2,2020-02-26,2.0,1.0,,,0.231,0.116,,,,19.44
Asia,ISR,Israel,2020,2,3,2020-02-27,3.0,1.0,,,0.347,0.116,,,,19.44
Asia,ISR,Israel,2020,2,4,2020-02-28,6.0,3.0,,,0.693,0.347,,,,19.44
Asia,ISR,Israel,2020,2,5,2020-02-29,6.0,0.0,,,0.693,0.0,,,,19.44
Asia,ISR,Israel,2020,3,6,2020-03-01,7.0,1.0,,,0.809,0.116,,,,19.44
Asia,ISR,Israel,2020,3,0,2020-03-02,12.0,5.0,,,1.386,0.578,,,,19.44
Asia,ISR,Israel,2020,3,1,2020-03-03,15.0,3.0,,,1.733,0.347,,,,19.44
Asia,ISR,Israel,2020,3,2,2020-03-04,15.0,0.0,,,1.733,0.0,,,,33.33
Asia,ISR,Israel,2020,3,3,2020-03-05,21.0,6.0,,,2.426,0.693,,,,33.33
Asia,ISR,Israel,2020,3,4,2020-03-06,37.0,16.0,,,4.275,1.849,,,,33.33
Asia,ISR,Israel,2020,3,5,2020-03-07,47.0,10.0,,,5.43,1.155,,,,33.33
Asia,ISR,Israel,2020,3,6,2020-03-08,56.0,9.0,,,6.47,1.04,,,,33.33
Asia,ISR,Israel,2020,3,0,2020-03-09,60.0,4.0,,,6.932,0.462,,,,33.33
Asia,ISR,Israel,2020,3,1,2020-03-10,88.0,28.0,,,10.167,3.235,,,,33.33
Asia,ISR,Israel,2020,3,2,2020-03-11,60.0,-28.0,,,6.932,-3.235,,,,33.33
Asia,ISR,Israel,2020,3,3,2020-03-12,81.0,21.0,,,9.358,2.426,,,,41.67
Asia,ISR,Israel,2020,3,4,2020-03-13,112.0,31.0,,,12.94,3.582,,,,52.78
Asia,ISR,Israel,2020,3,5,2020-03-14,138.0,26.0,,,15.944,3.004,,,2.5,52.78
Asia,ISR,Israel,2020,3,6,2020-03-15,177.0,39.0,,,20.449,4.506,,,2.53,62.96
Asia,ISR,Israel,2020,3,0,2020-03-16,251.0,74.0,,,28.999,8.549,,,2.57,68.52
Asia,ISR,Israel,2020,3,1,2020-03-17,295.0,44.0,,,34.082,5.083,,,2.58,77.78
Asia,ISR,Israel,2020,3,2,2020-03-18,371.0,76.0,,,42.863,8.781,,,2.62,77.78
Asia,ISR,Israel,2020,3,3,2020-03-19,386.0,15.0,,,44.596,1.733,,,2.67,77.78
Asia,ISR,Israel,2020,3,4,2020-03-20,628.0,242.0,1.0,1.0,72.555,27.959,0.116,0.116,2.82,81.48
Asia,ISR,Israel,2020,3,5,2020-03-21,843.0,215.0,1.0,0.0,97.394,24.84,0.116,0.0,2.78,81.48
Asia,ISR,Israel,2020,3,6,2020-03-22,1080.0,237.0,1.0,0.0,124.776,27.381,0.116,0.0,2.73,81.48
Asia,ISR,Israel,2020,3,0,2020-03-23,1249.0,169.0,1.0,0.0,144.301,19.525,0.116,0.0,2.67,81.48
Asia,ISR,Israel,2020,3,1,2020-03-24,1351.0,102.0,4.0,3.0,156.085,11.784,0.462,0.347,2.66,81.48
Asia,ISR,Israel,2020,3,2,2020-03-25,2468.0,1117.0,5.0,1.0,285.135,129.05,0.578,0.116,2.73,81.48
Asia,ISR,Israel,2020,3,3,2020-03-26,2988.0,520.0,10.0,5.0,345.212,60.077,1.155,0.578,2.5,81.48
Asia,ISR,Israel,2020,3,4,2020-03-27,3421.0,433.0,12.0,2.0,395.238,50.026,1.386,0.231,2.3,81.48
Asia,ISR,Israel,2020,3,5,2020-03-28,3901.0,480.0,13.0,1.0,450.694,55.456,1.502,0.116,2.14,81.48
Asia,ISR,Israel,2020,3,6,2020-03-29,4433.0,532.0,16.0,3.0,512.157,61.464,1.849,0.347,2.0,81.48
Asia,ISR,Israel,2020,3,0,2020-03-30,4979.0,546.0,17.0,1.0,575.238,63.081,1.964,0.116,1.87,81.48
Asia,ISR,Israel,2020,3,1,2020-03-31,5717.0,738.0,21.0,4.0,660.502,85.263,2.426,0.462,1.76,81.48
Asia,ISR,Israel,2020,4,2,2020-04-01,6413.0,696.0,29.0,8.0,740.913,80.411,3.35,0.924,1.65,85.19
Asia,ISR,Israel,2020,4,3,2020-04-02,7132.0,719.0,38.0,9.0,823.981,83.068,4.39,1.04,1.54,85.19
Asia,ISR,Israel,2020,4,4,2020-04-03,7729.0,597.0,43.0,5.0,892.954,68.973,4.968,0.578,1.43,87.96
