continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,ITA,Italy,2020,1,4,2020-01-31,2.0,2.0,,,0.033,0.033,,,,19.44
Europe,ITA,Italy,2020,2,5,2020-02-01,2.0,0.0,,,0.033,0.0,,,,19.44
Europe,ITA,Italy,2020,2,6,2020-02-02,2.0,0.0,,,0.033,0.0,,,,19.44
Europe,ITA,Italy,2020,2,0,2020-02-03,2.0,0.0,,,0.033,0.0,,,,19.44
Europe,ITA,Italy,2020,2,1,2020-02-04,2.0,0.0,,,0.033,0.0,,,,19.44
Europe,ITA,Italy,2020,2,2,2020-02-05,2.0,0.0,,,0.033,0.0,,,,19.44
Europe,ITA,Italy,2020,2,3,2020-02-06,2.0,0.0,,,0.033,0.0,,,,19.44
Europe,ITA,Italy,2020,2,4,2020-02-07,3.0,1.0,,,0.05,0.017,,,,19.44
Europe,ITA,Italy,2020,2,5,2020-02-08,3.0,0.0,,,0.05,0.0,,,,19.44
Europe,ITA,Italy,2020,2,6,2020-02-09,3.0,0.0,,,0.05,0.0,,,,19.44
Europe,ITA,Italy,2020,2,0,2020-02-10,3.0,0.0,,,0.05,0.0,,,,19.44
Europe,ITA,Italy,2020,2,1,2020-02-11,3.0,0.0,,,0.05,0.0,,,,19.44
Europe,ITA,Italy,2020,2,2,2020-02-12,3.0,0.0,,,0.05,0.0,,,,19.44
Europe,ITA,Italy,2020,2,3,2020-02-13,3.0,0.0,,,0.05,0.0,,,,19.44
Europe,ITA,Italy,2020,2,4,2020-02-14,3.0,0.0,,,0.05,0.0,,,,19.44
Europe,ITA,Italy,2020,2,5,2020-02-15,3.0,0.0,,,0.05,0.0,,,,19.44
Europe,ITA,Italy,2020,2,6,2020-02-16,3.0,0.0,,,0.05,0.0,,,,19.44
Europe,ITA,Italy,2020,2,0,2020-02-17,3.0,0.0,,,0.05,0.0,,,,19.44
Europe,ITA,Italy,2020,2,1,2020-02-18,3.0,0.0,,,0.05,0.0,,,,19.44
Europe,ITA,Italy,2020,2,2,2020-02-19,3.0,0.0,,,0.05,0.0,,,,19.44
Europe,ITA,Italy,2020,2,3,2020-02-20,3.0,0.0,,,0.05,0.0,,,,19.44
Europe,ITA,Italy,2020,2,4,2020-02-21,20.0,17.0,1.0,1.0,0.331,0.281,0.017,0.017,,27.78
Europe,ITA,Italy,2020,2,5,2020-02-22,62.0,42.0,2.0,1.0,1.025,0.695,0.033,0.017,,37.04
Europe,ITA,Italy,2020,2,6,2020-02-23,155.0,93.0,3.0,1.0,2.564,1.538,0.05,0.017,,69.91
Europe,ITA,Italy,2020,2,0,2020-02-24,229.0,74.0,7.0,4.0,3.788,1.224,0.116,0.066,3.26,69.91
Europe,ITA,Italy,2020,2,1,2020-02-25,322.0,93.0,10.0,3.0,5.326,1.538,0.165,0.05,3.25,69.91
Europe,ITA,Italy,2020,2,2,2020-02-26,453.0,131.0,12.0,2.0,7.492,2.167,0.198,0.033,3.26,69.91
Europe,ITA,Italy,2020,2,3,2020-02-27,655.0,202.0,17.0,5.0,10.833,3.341,0.281,0.083,3.25,69.91
Europe,ITA,Italy,2020,2,4,2020-02-28,888.0,233.0,21.0,4.0,14.687,3.854,0.347,0.066,3.16,69.91
Europe,ITA,Italy,2020,2,5,2020-02-29,1128.0,240.0,29.0,8.0,18.656,3.969,0.48,0.132,3.08,69.91
Europe,ITA,Italy,2020,3,6,2020-03-01,1694.0,566.0,34.0,5.0,28.018,9.361,0.562,0.083,3.06,69.91
Europe,ITA,Italy,2020,3,0,2020-03-02,2036.0,342.0,52.0,18.0,33.674,5.656,0.86,0.298,2.83,69.91
